# source: /Users/mac/Documents/MOF/img/adfm.201303986/adfm.201303986_f2a.png
# doi: 10.1002/adfm.201303986  figure: Figure 2A
# legend: 2 as-synthesized  (match: colour+geometry)
# x: 2θ/degree   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.1082,0.445681
5.1515,0.446990
5.1948,0.449607
5.2381,0.449607
5.2814,0.465314
5.3247,0.469241
5.3680,0.470550
5.4113,0.470550
5.4545,0.469241
5.4978,0.469895
5.5411,0.462042
5.5844,0.460733
5.6277,0.459424
5.6710,0.452880
5.7143,0.451571
5.7576,0.450262
5.8009,0.449607
5.8442,0.448298
5.8874,0.443063
5.9307,0.441754
5.9740,0.440445
6.0173,0.436518
6.0606,0.432592
6.1039,0.431283
6.1472,0.429974
6.1905,0.428665
6.2338,0.427356
6.2771,0.427356
6.3203,0.424738
6.3636,0.423429
6.4069,0.422120
6.4502,0.420812
6.4935,0.420812
6.5368,0.420812
6.5801,0.420812
6.6234,0.420812
6.6667,0.420812
6.7100,0.419503
6.7532,0.418194
6.7965,0.416885
6.8398,0.415576
6.8831,0.414267
6.9264,0.414267
6.9697,0.412958
7.0130,0.411649
7.0563,0.411649
7.0996,0.411649
7.1429,0.410340
7.1861,0.410340
7.2294,0.410340
7.2727,0.411649
7.3160,0.412958
7.3593,0.414267
7.4026,0.414267
7.4459,0.412958
7.4892,0.407723
7.5325,0.406414
7.5758,0.406414
7.6190,0.407723
7.6623,0.407723
7.7056,0.409031
7.7489,0.412958
7.7922,0.414267
7.8355,0.414267
7.8788,0.414267
7.9221,0.411649
7.9654,0.407723
8.0087,0.406414
8.0519,0.406414
8.0952,0.406414
8.1385,0.406414
8.1818,0.406414
8.2251,0.406414
8.2684,0.406414
8.3117,0.405105
8.3550,0.403796
8.3983,0.403796
8.4416,0.403796
8.4848,0.403796
8.5281,0.403796
8.5714,0.403796
8.6147,0.403796
8.6580,0.403796
8.7013,0.403796
8.7446,0.403796
8.7879,0.403796
8.8312,0.403796
8.8745,0.403796
8.9177,0.403796
8.9610,0.403796
9.0043,0.403796
9.0476,0.403796
9.0909,0.403796
9.1342,0.405105
9.1775,0.405105
9.2208,0.405105
9.2641,0.405105
9.3074,0.405105
9.3506,0.405105
9.3939,0.405105
9.4372,0.405105
9.4805,0.405105
9.5238,0.406414
9.5671,0.410340
9.6104,0.412958
9.6537,0.414267
9.6970,0.414267
9.7403,0.415576
9.7835,0.418194
9.8268,0.419503
9.8701,0.419503
9.9134,0.418194
9.9567,0.416885
10.0000,0.411649
10.0433,0.403796
10.0866,0.403796
10.1299,0.405105
10.1732,0.405105
10.2165,0.405105
10.2597,0.406414
10.3030,0.405105
10.3463,0.405105
10.3896,0.403796
10.4329,0.403796
10.4762,0.403796
10.5195,0.402487
10.5628,0.402487
10.6061,0.402487
10.6494,0.403796
10.6926,0.403796
10.7359,0.403796
10.7792,0.403796
10.8225,0.403796
10.8658,0.403796
10.9091,0.403796
10.9524,0.406414
10.9957,0.406414
11.0390,0.407723
11.0823,0.407723
11.1255,0.407723
11.1688,0.419503
11.2121,0.492801
11.2554,0.568717
11.2987,0.572644
11.3420,0.573953
11.3853,0.573953
11.4286,0.572644
11.4719,0.445681
11.5152,0.406414
11.5584,0.405105
11.6017,0.405105
11.6450,0.403796
11.6883,0.403796
11.7316,0.403796
11.7749,0.402487
11.8182,0.403796
11.8615,0.403796
11.9048,0.403796
11.9481,0.403796
11.9913,0.403796
12.0346,0.402487
12.0779,0.402487
12.1212,0.402487
12.1645,0.402487
12.2078,0.403796
12.2511,0.402487
12.2944,0.402487
12.3377,0.402487
12.3810,0.402487
12.4242,0.402487
12.4675,0.402487
12.5108,0.402487
12.5541,0.402487
12.5974,0.402487
12.6407,0.402487
12.6840,0.402487
12.7273,0.402487
12.7706,0.403796
12.8139,0.403796
12.8571,0.403796
12.9004,0.406414
12.9437,0.406414
12.9870,0.406414
13.0303,0.403796
13.0736,0.402487
13.1169,0.402487
13.1602,0.402487
13.2035,0.402487
13.2468,0.402487
13.2900,0.402487
13.3333,0.402487
13.3766,0.402487
13.4199,0.402487
13.4632,0.403796
13.5065,0.403796
13.5498,0.403796
13.5931,0.402487
13.6364,0.402487
13.6797,0.402487
13.7229,0.402487
13.7662,0.402487
13.8095,0.402487
13.8528,0.402487
13.8961,0.402487
13.9394,0.402487
13.9827,0.402487
14.0260,0.402487
14.0693,0.402487
14.1126,0.402487
14.1558,0.402487
14.1991,0.402487
14.2424,0.402487
14.2857,0.402487
14.3290,0.403796
14.3723,0.403796
14.4156,0.403796
14.4589,0.402487
14.5022,0.402487
14.5455,0.401178
14.5887,0.402487
14.6320,0.402487
14.6753,0.402487
14.7186,0.403796
14.7619,0.403796
14.8052,0.405105
14.8485,0.405105
14.8918,0.406414
14.9351,0.406414
14.9784,0.407723
15.0216,0.409031
15.0649,0.412958
15.1082,0.412958
15.1515,0.412958
15.1948,0.411649
15.2381,0.410340
15.2814,0.402487
15.3247,0.402487
15.3680,0.402487
15.4113,0.402487
15.4545,0.402487
15.4978,0.402487
15.5411,0.402487
15.5844,0.402487
15.6277,0.402487
15.6710,0.402487
15.7143,0.402487
15.7576,0.402487
15.8009,0.402487
15.8442,0.402487
15.8874,0.402487
15.9307,0.402487
15.9740,0.402487
16.0173,0.402487
16.0606,0.402487
16.1039,0.402487
16.1472,0.402487
16.1905,0.402487
16.2338,0.402487
16.2771,0.402487
16.3203,0.402487
16.3636,0.402487
16.4069,0.403796
16.4502,0.403796
16.4935,0.403796
16.5368,0.402487
16.5801,0.402487
16.6234,0.403796
16.6667,0.403796
16.7100,0.403796
16.7532,0.402487
16.7965,0.402487
16.8398,0.402487
16.8831,0.402487
16.9264,0.403796
16.9697,0.409031
17.0130,0.412958
17.0563,0.414267
17.0996,0.414267
17.1429,0.412958
17.1861,0.406414
17.2294,0.402487
17.2727,0.402487
17.3160,0.402487
17.3593,0.402487
17.4026,0.402487
17.4459,0.402487
17.4892,0.402487
17.5325,0.402487
17.5758,0.402487
17.6190,0.402487
17.6623,0.402487
17.7056,0.402487
17.7489,0.402487
17.7922,0.402487
17.8355,0.402487
17.8788,0.402487
17.9221,0.402487
