# source: /Users/mac/Documents/MOF/img/adfm.201303986/adfm.201303986_f2a.png
# doi: 10.1002/adfm.201303986  figure: Figure 2A
# legend: 1 simulated  (match: colour+geometry)
# x: 2θ/degree   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.1082,0.032723
5.1515,0.030759
5.1948,0.033377
5.2381,0.040576
5.2814,0.033377
5.3247,0.083770
5.3680,0.135471
5.4113,0.286649
5.4545,0.193717
5.4978,0.286649
5.5411,0.196335
5.5844,0.286649
5.6277,0.193717
5.6710,0.286649
5.7143,0.191099
5.7576,0.286649
5.8009,0.286649
5.8442,0.155759
5.8874,0.086387
5.9307,0.058901
5.9740,0.045812
6.0173,0.037958
6.0606,0.029450
6.1039,0.029450
6.1472,0.028796
6.1905,0.027487
6.2338,0.027487
6.2771,0.026178
6.3203,0.026178
6.3636,0.026178
6.4069,0.025524
6.4502,0.026178
6.4935,0.026832
6.5368,0.027487
6.5801,0.030105
6.6234,0.030105
6.6667,0.029450
6.7100,0.028796
6.7532,0.025524
6.7965,0.024869
6.8398,0.024215
6.8831,0.024215
6.9264,0.024215
6.9697,0.024215
7.0130,0.024215
7.0563,0.024215
7.0996,0.024215
7.1429,0.024215
7.1861,0.024215
7.2294,0.024869
7.2727,0.025524
7.3160,0.028796
7.3593,0.030105
7.4026,0.032723
7.4459,0.031414
7.4892,0.027487
7.5325,0.028796
7.5758,0.026832
7.6190,0.028796
7.6623,0.040576
7.7056,0.036649
7.7489,0.029450
7.7922,0.049738
7.8355,0.065445
7.8788,0.043194
7.9221,0.052356
7.9654,0.028796
8.0087,0.026832
8.0519,0.024869
8.0952,0.024869
8.1385,0.027487
8.1818,0.028796
8.2251,0.028796
8.2684,0.030105
8.3117,0.029450
8.3550,0.028796
8.3983,0.025524
8.4416,0.024869
8.4848,0.024215
8.5281,0.023560
8.5714,0.023560
8.6147,0.023560
8.6580,0.023560
8.7013,0.022906
8.7446,0.023560
8.7879,0.023560
8.8312,0.023560
8.8745,0.023560
8.9177,0.023560
8.9610,0.023560
9.0043,0.023560
9.0476,0.023560
9.0909,0.024215
9.1342,0.024215
9.1775,0.024215
9.2208,0.024215
9.2641,0.024215
9.3074,0.024869
9.3506,0.024869
9.3939,0.026832
9.4372,0.027487
9.4805,0.047120
9.5238,0.045812
9.5671,0.086387
9.6104,0.061518
9.6537,0.089005
9.6970,0.056283
9.7403,0.087696
9.7835,0.060209
9.8268,0.061518
9.8701,0.043194
9.9134,0.064136
9.9567,0.049738
10.0000,0.034686
10.0433,0.032723
10.0866,0.041885
10.1299,0.036649
10.1732,0.034686
10.2165,0.031414
10.2597,0.040576
10.3030,0.037304
10.3463,0.039267
10.3896,0.032068
10.4329,0.032723
10.4762,0.025524
10.5195,0.024869
10.5628,0.024215
10.6061,0.024215
10.6494,0.024215
10.6926,0.024215
10.7359,0.024215
10.7792,0.024869
10.8225,0.024869
10.8658,0.024869
10.9091,0.025524
10.9524,0.032723
10.9957,0.031414
11.0390,0.027487
11.0823,0.037958
11.1255,0.028796
11.1688,0.033377
11.2121,0.032723
11.2554,0.028796
11.2987,0.069372
11.3420,0.047120
11.3853,0.070681
11.4286,0.049738
11.4719,0.068063
11.5152,0.032723
11.5584,0.032723
