# source: /Users/mac/Documents/MOF/img/anie.202009765/anie.202009765_f2a.png
# doi: 10.1002/anie.202009765  figure: Figure 2A
# legend: PBMA  (match: geometry)
# x: 2θ (degree)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.8333,0.744941
5.8681,0.744941
5.9028,0.744941
5.9375,0.744941
5.9722,0.744941
6.0069,0.744941
6.0417,0.744941
6.0764,0.744941
6.1111,0.744941
6.1458,0.747071
6.1806,0.747071
6.2153,0.747071
6.2500,0.747604
6.2847,0.747604
6.3194,0.747071
6.3542,0.747071
6.3889,0.747604
6.4236,0.747071
6.4583,0.747604
6.4931,0.747604
6.5278,0.747604
6.5625,0.747604
6.5972,0.748136
6.6319,0.748669
6.6667,0.750266
6.7014,0.751331
6.7361,0.751864
6.7708,0.752929
6.8056,0.752929
6.8403,0.752929
6.8750,0.753461
6.9097,0.753461
6.9444,0.753461
6.9792,0.754526
7.0139,0.754526
7.0486,0.755059
7.0833,0.755059
7.1181,0.757188
7.1528,0.757188
7.1875,0.760383
7.2222,0.820554
7.2569,0.757721
7.2917,0.775825
7.3264,0.773695
7.3611,0.773695
7.3958,0.752396
7.4306,0.757721
7.4653,0.757721
7.5000,0.757721
7.5347,0.757188
7.5694,0.758253
7.6042,0.758253
7.6389,0.758253
7.6736,0.756124
7.7083,0.756124
7.7431,0.755591
7.7778,0.756124
7.8125,0.754526
7.8472,0.754526
7.8819,0.754526
7.9167,0.753994
7.9514,0.754526
7.9861,0.753994
8.0208,0.754526
8.0556,0.753994
8.0903,0.753994
8.1250,0.753994
8.1597,0.753994
8.1944,0.753461
8.2292,0.751864
8.2639,0.752929
8.2986,0.750799
8.3333,0.750266
8.3681,0.748669
8.4028,0.747604
8.4375,0.746006
8.4722,0.746006
8.5069,0.746539
8.5417,0.746539
8.5764,0.747071
8.6111,0.747071
8.6458,0.747071
8.6806,0.747071
8.7153,0.747071
8.7500,0.746539
8.7847,0.747071
8.8194,0.746539
8.8542,0.747604
8.8889,0.747604
8.9236,0.747604
8.9583,0.746539
8.9931,0.746539
9.0278,0.746006
9.0625,0.746006
9.0972,0.746539
9.1319,0.747071
9.1667,0.746006
9.2014,0.744409
9.2361,0.743876
9.2708,0.742279
9.3056,0.742279
9.3403,0.742279
9.3750,0.741747
9.4097,0.741747
9.4444,0.741214
9.4792,0.741214
9.5139,0.741214
9.5486,0.740149
9.5833,0.741214
9.6181,0.741214
9.6528,0.741214
9.6875,0.741747
9.7222,0.741747
9.7569,0.741747
9.7917,0.741747
9.8264,0.741214
9.8611,0.741747
9.8958,0.741214
9.9306,0.741747
9.9653,0.741747
10.0000,0.741214
10.0347,0.741214
10.0694,0.740682
10.1042,0.740682
10.1389,0.741214
10.1736,0.741214
10.2083,0.741214
10.2431,0.741747
10.2778,0.741747
10.3125,0.741747
10.3472,0.741214
10.3819,0.742812
10.4167,0.742279
10.4514,0.741747
10.4861,0.741214
10.5208,0.739617
10.5556,0.739617
10.5903,0.740149
10.6250,0.740149
10.6597,0.740682
10.6944,0.740682
10.7292,0.740149
10.7639,0.740149
10.7986,0.739617
10.8333,0.740149
10.8681,0.741214
10.9028,0.741747
10.9375,0.741747
10.9722,0.741747
11.0069,0.741747
11.0417,0.741214
11.0764,0.741214
11.1111,0.741214
11.1458,0.740149
11.1806,0.740682
11.2153,0.740682
11.2500,0.741214
11.2847,0.741214
11.3194,0.741747
11.3542,0.741214
11.3889,0.741214
