# source: /Users/mac/Documents/MOF/img/anie.202009765/anie.202009765_f2a.png
# doi: 10.1002/anie.202009765  figure: Figure 2A
# legend: Tb-BABDC  (match: geometry)
# x: 2θ (degree)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.8333,0.338658
5.8681,0.339723
5.9028,0.339723
5.9375,0.339723
5.9722,0.338658
6.0069,0.338658
6.0417,0.338658
6.0764,0.340256
6.1111,0.340256
6.1458,0.339191
6.1806,0.339191
6.2153,0.339191
6.2500,0.339191
6.2847,0.340256
6.3194,0.339191
6.3542,0.339191
6.3889,0.339191
6.4236,0.339191
6.4583,0.339191
6.4931,0.339191
6.5278,0.339191
6.5625,0.339191
6.5972,0.339191
6.6319,0.339191
6.6667,0.339191
6.7014,0.339191
6.7361,0.340256
6.7708,0.340256
6.8056,0.340256
6.8403,0.340256
6.8750,0.341321
6.9097,0.342386
6.9444,0.342386
6.9792,0.383387
7.0139,0.382854
7.0486,0.465389
7.0833,0.465921
7.1181,0.468051
7.1528,0.468051
7.1875,0.470181
7.2222,0.474973
7.2569,0.497338
7.2917,0.502130
7.3264,0.503195
7.3611,0.503195
7.3958,0.502130
7.4306,0.453142
7.4653,0.453142
7.5000,0.455272
7.5347,0.455272
7.5694,0.443557
7.6042,0.412673
7.6389,0.413206
7.6736,0.415335
7.7083,0.405218
7.7431,0.405218
7.7778,0.343450
7.8125,0.343450
7.8472,0.339191
7.8819,0.339191
7.9167,0.339191
7.9514,0.339191
7.9861,0.339191
8.0208,0.339191
8.0556,0.339191
8.0903,0.339191
8.1250,0.339191
8.1597,0.339191
8.1944,0.337061
8.2292,0.337061
8.2639,0.337061
8.2986,0.337061
8.3333,0.337061
8.3681,0.337061
8.4028,0.334931
8.4375,0.334931
8.4722,0.334931
8.5069,0.334931
8.5417,0.334931
8.5764,0.334931
8.6111,0.334931
8.6458,0.334931
8.6806,0.334931
8.7153,0.334931
8.7500,0.334931
8.7847,0.334931
8.8194,0.332801
8.8542,0.332801
8.8889,0.332801
8.9236,0.332801
8.9583,0.332801
8.9931,0.332801
9.0278,0.332801
9.0625,0.332801
9.0972,0.330671
9.1319,0.330671
9.1667,0.330671
9.2014,0.330671
9.2361,0.330671
9.2708,0.330671
9.3056,0.330671
9.3403,0.330671
9.3750,0.328541
9.4097,0.328541
9.4444,0.328541
9.4792,0.328541
9.5139,0.328541
9.5486,0.328541
9.5833,0.328541
9.6181,0.328541
9.6528,0.328541
9.6875,0.328541
9.7222,0.328541
9.7569,0.328541
9.7917,0.326411
9.8264,0.326411
9.8611,0.326411
9.8958,0.326411
9.9306,0.326411
9.9653,0.326411
10.0000,0.326411
10.0347,0.326411
10.0694,0.328541
10.1042,0.328541
10.1389,0.334931
10.1736,0.334931
10.2083,0.341321
10.2431,0.341321
10.2778,0.343450
10.3125,0.343450
10.3472,0.343450
10.3819,0.343450
10.4167,0.343450
10.4514,0.343450
10.4861,0.343450
10.5208,0.343450
10.5556,0.339191
10.5903,0.339191
10.6250,0.326411
10.6597,0.326411
10.6944,0.324281
