# source: /Users/mac/Documents/MOF/img/anie.202009765/anie.202009765_f4c.png
# doi: 10.1002/anie.202009765  figure: Figure 4C
# legend: inpH=2HC1  (match: colour+geometry)
# x: 2θ (degree)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.1955,0.480834
5.2328,0.480834
5.2700,0.475197
5.3073,0.475197
5.3445,0.475197
5.3818,0.475197
5.4190,0.475197
5.4562,0.474070
5.4935,0.474070
5.5307,0.474634
5.5680,0.475197
5.6052,0.475197
5.6425,0.474070
5.6797,0.473506
5.7169,0.473506
5.7542,0.473506
5.7914,0.473506
5.8287,0.473506
5.8659,0.473506
5.9032,0.474070
5.9404,0.474070
5.9777,0.473506
6.0149,0.474634
6.0521,0.474070
6.0894,0.474070
6.1266,0.475761
6.1639,0.475197
6.2011,0.475197
6.2384,0.474634
6.2756,0.474634
6.3128,0.474634
6.3501,0.474634
6.3873,0.474634
6.4246,0.474634
6.4618,0.474634
6.4991,0.474634
6.5363,0.474634
6.5736,0.474634
6.6108,0.474634
6.6480,0.475197
6.6853,0.475197
6.7225,0.475197
6.7598,0.475197
6.7970,0.475197
6.8343,0.476325
6.8715,0.476325
6.9088,0.478579
6.9460,0.478579
6.9832,0.487599
7.0205,0.484216
7.0577,0.501127
7.0950,0.486471
7.1322,0.503382
7.1695,0.490417
7.2067,0.482525
7.2439,0.505637
7.2812,0.503382
7.3184,0.503382
7.3557,0.501127
7.3929,0.501127
7.4302,0.492672
7.4674,0.490417
7.5047,0.487599
7.5419,0.492108
7.5791,0.483089
7.6164,0.470688
7.6536,0.487599
7.6909,0.487599
7.7281,0.478579
7.7654,0.468997
7.8026,0.471815
7.8399,0.471815
7.8771,0.470688
7.9143,0.470688
7.9516,0.470688
7.9888,0.470688
8.0261,0.469560
8.0633,0.469560
8.1006,0.468433
8.1378,0.468433
8.1750,0.468433
8.2123,0.468433
8.2495,0.467306
8.2868,0.467306
8.3240,0.466178
8.3613,0.466178
8.3985,0.466178
8.4358,0.466178
8.4730,0.466178
8.5102,0.466178
8.5475,0.466178
8.5847,0.466178
8.6220,0.465051
8.6592,0.465051
8.6965,0.465051
8.7337,0.465051
8.7709,0.467306
8.8082,0.467306
8.8454,0.467306
8.8827,0.467306
8.9199,0.470688
8.9572,0.467306
8.9944,0.462796
9.0317,0.462796
9.0689,0.465051
9.1061,0.465051
9.1434,0.460541
9.1806,0.460541
9.2179,0.460541
9.2551,0.459977
9.2924,0.459977
9.3296,0.459977
9.3669,0.461105
9.4041,0.461669
9.4413,0.461669
9.4786,0.461669
9.5158,0.461669
9.5531,0.461669
9.5903,0.460541
9.6276,0.460541
9.6648,0.459414
9.7020,0.459414
9.7393,0.459414
9.7765,0.459414
9.8138,0.459414
9.8510,0.459414
9.8883,0.459414
9.9255,0.459414
9.9628,0.459414
10.0000,0.459414
10.0372,0.459414
10.0745,0.459414
10.1117,0.459414
10.1490,0.459414
10.1862,0.459414
10.2235,0.459414
10.2607,0.459414
10.2980,0.459414
10.3352,0.458850
10.3724,0.458850
10.4097,0.458850
10.4469,0.458850
10.4842,0.458850
10.5214,0.458286
10.5587,0.457159
10.5959,0.457159
10.6331,0.457159
10.6704,0.457159
10.7076,0.457159
10.7449,0.457159
10.7821,0.457159
10.8194,0.457159
10.8566,0.457159
10.8939,0.457159
10.9311,0.457159
10.9683,0.457159
11.0056,0.456032
11.0428,0.456032
11.0801,0.454904
11.1173,0.454904
11.1546,0.453777
11.1918,0.453777
11.2291,0.454904
11.2663,0.454904
11.3035,0.454904
11.3408,0.454904
11.3780,0.454340
11.4153,0.454340
11.4525,0.454340
11.4898,0.454340
11.5270,0.454904
11.5642,0.454904
11.6015,0.452649
11.6387,0.452649
11.6760,0.452649
11.7132,0.452649
11.7505,0.452649
11.7877,0.452649
11.8250,0.452649
11.8622,0.452649
11.8994,0.452649
11.9367,0.452649
11.9739,0.452649
12.0112,0.452649
12.0484,0.452649
12.0857,0.452649
12.1229,0.452649
12.1601,0.452649
12.1974,0.452649
12.2346,0.452649
12.2719,0.451522
12.3091,0.452086
12.3464,0.452086
12.3836,0.452086
12.4209,0.452086
12.4581,0.451522
12.4953,0.451522
12.5326,0.451522
12.5698,0.451522
12.6071,0.451522
12.6443,0.450395
12.6816,0.450395
12.7188,0.450395
12.7561,0.450395
12.7933,0.450395
12.8305,0.450395
12.8678,0.450395
12.9050,0.450395
12.9423,0.449267
12.9795,0.449267
13.0168,0.450395
