# source: /Users/mac/Documents/MOF/img/anie.202009765/anie.202009765_s5.png
# doi: 10.1002/anie.202009765  figure: Figure S5
# legend:   (match: )
# x: 2θ (degree)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.1770,0.730975
5.2212,0.730975
5.2655,0.729640
5.3097,0.729640
5.3540,0.728304
5.3982,0.725634
5.4425,0.722964
5.4867,0.722964
5.5310,0.721629
5.5752,0.721629
5.6195,0.721629
5.6637,0.721629
5.7080,0.721629
5.7522,0.721629
5.7965,0.721629
5.8407,0.720294
5.8850,0.720294
5.9292,0.720294
5.9735,0.718959
6.0177,0.718959
6.0619,0.718959
6.1062,0.718959
6.1504,0.717623
6.1947,0.717623
6.2389,0.716288
6.2832,0.716288
6.3274,0.714953
6.3717,0.714953
6.4159,0.714953
6.4602,0.713618
6.5044,0.712283
6.5487,0.712283
6.5929,0.713618
6.6372,0.713618
6.6814,0.713618
6.7257,0.713618
6.7699,0.713618
6.8142,0.712283
6.8584,0.712283
6.9027,0.712283
6.9469,0.716288
6.9912,0.726969
7.0354,0.737650
7.0796,0.755007
7.1239,0.783044
7.1681,0.795060
7.2124,0.801736
7.2566,0.804406
7.3009,0.805741
7.3451,0.809746
7.3894,0.829773
7.4336,0.893858
7.4779,0.935247
7.5221,0.943258
7.5664,0.944593
7.6106,0.945928
7.6549,0.944593
7.6991,0.944593
7.7434,0.939252
7.7876,0.881842
7.8319,0.781709
7.8761,0.733645
7.9204,0.726969
7.9646,0.725634
8.0088,0.724299
8.0531,0.721629
8.0973,0.720294
8.1416,0.720294
8.1858,0.721629
8.2301,0.724299
8.2743,0.728304
8.3186,0.729640
8.3628,0.730975
8.4071,0.732310
8.4513,0.734980
8.4956,0.737650
8.5398,0.740320
8.5841,0.749666
8.6283,0.753672
8.6726,0.755007
8.7168,0.755007
8.7611,0.756342
8.8053,0.755007
8.8496,0.755007
8.8938,0.753672
8.9381,0.753672
8.9823,0.751001
9.0265,0.744326
9.0708,0.734980
9.1150,0.732310
9.1593,0.730975
9.2035,0.729640
9.2478,0.726969
9.2920,0.724299
9.3363,0.716288
9.3805,0.713618
9.4248,0.710948
9.4690,0.710948
9.5133,0.714953
9.5575,0.725634
9.6018,0.736315
9.6460,0.765688
9.6903,0.768358
9.7345,0.769693
9.7788,0.771028
9.8230,0.772363
9.8673,0.771028
9.9115,0.771028
9.9558,0.767023
10.0000,0.733645
10.0442,0.704272
10.0885,0.697597
10.1327,0.690921
10.1770,0.688251
10.2212,0.686916
10.2655,0.686916
10.3097,0.688251
10.3540,0.688251
10.3982,0.688251
10.4425,0.688251
10.4867,0.688251
10.5310,0.689586
10.5752,0.690921
10.6195,0.692256
10.6637,0.696262
10.7080,0.697597
10.7522,0.698932
10.7965,0.698932
10.8407,0.697597
10.8850,0.696262
10.9292,0.689586
10.9735,0.684246
11.0177,0.684246
11.0619,0.684246
11.1062,0.685581
11.1504,0.685581
11.1947,0.685581
11.2389,0.684246
11.2832,0.684246
11.3274,0.684246
11.3717,0.684246
11.4159,0.684246
11.4602,0.684246
11.5044,0.685581
11.5487,0.685581
11.5929,0.685581
11.6372,0.685581
11.6814,0.685581
11.7257,0.685581
11.7699,0.684246
11.8142,0.684246
11.8584,0.682911
11.9027,0.682911
11.9469,0.681575
11.9912,0.681575
12.0354,0.681575
12.0796,0.680240
12.1239,0.680240
12.1681,0.681575
12.2124,0.682911
12.2566,0.682911
12.3009,0.682911
12.3451,0.684246
12.3894,0.684246
12.4336,0.684246
12.4779,0.682911
12.5221,0.681575
12.5664,0.680240
12.6106,0.678905
12.6549,0.677570
12.6991,0.676235
12.7434,0.674900
12.7876,0.674900
12.8319,0.674900
12.8761,0.673565
12.9204,0.674900
12.9646,0.674900
13.0088,0.676235
13.0531,0.676235
13.0973,0.673565
13.1416,0.670895
13.1858,0.669559
13.2301,0.668224
13.2743,0.668224
13.3186,0.666889
13.3628,0.666889
13.4071,0.665554
13.4513,0.665554
13.4956,0.664219
13.5398,0.664219
13.5841,0.662884
13.6283,0.662884
13.6726,0.661549
13.7168,0.661549
13.7611,0.662884
13.8053,0.662884
13.8496,0.664219
13.8938,0.665554
13.9381,0.666889
13.9823,0.665554
14.0265,0.664219
14.0708,0.662884
14.1150,0.661549
14.1593,0.661549
14.2035,0.661549
14.2478,0.661549
14.2920,0.662884
14.3363,0.662884
14.3805,0.662884
14.4248,0.662884
14.4690,0.661549
14.5133,0.662884
14.5575,0.662884
14.6018,0.666889
14.6460,0.673565
14.6903,0.674900
14.7345,0.674900
14.7788,0.674900
14.8230,0.674900
14.8673,0.674900
14.9115,0.673565
14.9558,0.672230
15.0000,0.670895
15.0442,0.669559
15.0885,0.666889
15.1327,0.666889
15.1770,0.682911
15.2212,0.697597
15.2655,0.724299
15.3097,0.725634
15.3540,0.726969
15.3982,0.728304
15.4425,0.728304
15.4867,0.728304
15.5310,0.726969
15.5752,0.725634
15.6195,0.710948
15.6637,0.682911
15.7080,0.677570
15.7522,0.669559
15.7965,0.666889
15.8407,0.666889
15.8850,0.668224
15.9292,0.668224
15.9735,0.666889
16.0177,0.665554
16.0619,0.664219
16.1062,0.662884
16.1504,0.661549
16.1947,0.658879
16.2389,0.657543
16.2832,0.657543
16.3274,0.657543
16.3717,0.658879
16.4159,0.661549
16.4602,0.662884
16.5044,0.664219
16.5487,0.665554
16.5929,0.666889
16.6372,0.668224
16.6814,0.668224
16.7257,0.668224
16.7699,0.669559
16.8142,0.670895
16.8584,0.670895
16.9027,0.670895
16.9469,0.670895
16.9912,0.670895
17.0354,0.670895
17.0796,0.670895
17.1239,0.670895
17.1681,0.670895
17.2124,0.670895
17.2566,0.670895
17.3009,0.670895
17.3451,0.670895
17.3894,0.670895
17.4336,0.669559
17.4779,0.668224
17.5221,0.666889
17.5664,0.666889
17.6106,0.668224
17.6549,0.669559
17.6991,0.669559
17.7434,0.668224
17.7876,0.666889
17.8319,0.665554
17.8761,0.665554
17.9204,0.664219
17.9646,0.662884
18.0088,0.661549
18.0531,0.661549
18.0973,0.660214
18.1416,0.660214
18.1858,0.660214
18.2301,0.660214
18.2743,0.658879
18.3186,0.656208
18.3628,0.654873
18.4071,0.653538
18.4513,0.652203
18.4956,0.649533
18.5398,0.646862
18.5841,0.646862
18.6283,0.646862
18.6726,0.648198
18.7168,0.648198
18.7611,0.646862
18.8053,0.645527
18.8496,0.644192
18.8938,0.648198
18.9381,0.652203
18.9823,0.656208
19.0265,0.657543
19.0708,0.657543
19.1150,0.657543
19.1593,0.657543
19.2035,0.658879
19.2478,0.658879
19.2920,0.658879
19.3363,0.658879
19.3805,0.658879
19.4248,0.657543
19.4690,0.654873
