# source: /Users/mac/Documents/MOF/img/anie.202305144/anie.202305144_f2c.png
# doi: 10.1002/anie.202305144  figure: Figure 2C
# legend: HCI  (match: colour+geometry)
# x: 2θ (°)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
3.6752,0.386628
3.7179,0.386628
3.7607,0.386628
3.8034,0.395349
3.8462,0.395349
3.8889,0.395349
3.9316,0.456395
3.9744,0.456395
4.0171,0.456395
4.0598,0.456395
4.1026,0.456395
4.1453,0.456395
4.1880,0.447674
4.2308,0.447674
4.2735,0.447674
4.3162,0.364826
4.3590,0.364826
4.4017,0.364826
4.4444,0.369186
4.4872,0.369186
4.5299,0.369186
4.5726,0.395349
4.6154,0.395349
4.6581,0.395349
4.7009,0.408430
4.7436,0.408430
4.7863,0.408430
4.8291,0.408430
4.8718,0.408430
4.9145,0.408430
4.9573,0.404070
5.0000,0.404070
5.0427,0.404070
5.0855,0.360465
5.1282,0.360465
5.1709,0.360465
5.2137,0.360465
5.2564,0.360465
5.2991,0.360465
5.3419,0.360465
5.3846,0.360465
5.4274,0.360465
5.4701,0.360465
5.5128,0.360465
5.5556,0.360465
5.5983,0.360465
5.6410,0.360465
5.6838,0.360465
5.7265,0.356105
5.7692,0.356105
5.8120,0.356105
5.8547,0.360465
5.8974,0.360465
5.9402,0.360465
5.9829,0.382267
6.0256,0.382267
6.0684,0.382267
6.1111,0.495640
6.1538,0.495640
6.1966,0.495640
6.2393,0.500000
6.2821,0.500000
6.3248,0.500000
6.3675,0.495640
6.4103,0.495640
6.4530,0.495640
6.4957,0.382267
6.5385,0.382267
6.5812,0.382267
6.6239,0.360465
6.6667,0.360465
6.7094,0.360465
6.7521,0.356105
6.7949,0.356105
6.8376,0.356105
6.8803,0.356105
6.9231,0.356105
6.9658,0.356105
7.0085,0.356105
7.0513,0.356105
7.0940,0.356105
7.1368,0.356105
7.1795,0.356105
7.2222,0.356105
7.2650,0.356105
7.3077,0.356105
7.3504,0.356105
7.3932,0.356105
7.4359,0.356105
7.4786,0.356105
7.5214,0.356105
7.5641,0.356105
7.6068,0.356105
7.6496,0.356105
7.6923,0.356105
7.7350,0.356105
7.7778,0.356105
7.8205,0.356105
7.8632,0.356105
7.9060,0.356105
7.9487,0.356105
7.9915,0.356105
8.0342,0.360465
8.0769,0.360465
8.1197,0.360465
8.1624,0.360465
8.2051,0.360465
8.2479,0.360465
8.2906,0.356105
8.3333,0.356105
8.3761,0.356105
8.4188,0.412791
8.4615,0.412791
8.5043,0.412791
8.5470,0.412791
8.5897,0.412791
8.6325,0.412791
8.6752,0.412791
8.7179,0.412791
8.7607,0.412791
8.8034,0.364826
8.8462,0.364826
8.8889,0.364826
8.9316,0.364826
8.9744,0.364826
9.0171,0.364826
9.0598,0.364826
9.1026,0.364826
9.1453,0.364826
9.1880,0.360465
9.2308,0.360465
9.2735,0.360465
9.3162,0.356105
9.3590,0.356105
9.4017,0.356105
9.4444,0.356105
9.4872,0.356105
9.5299,0.356105
9.5726,0.356105
9.6154,0.356105
9.6581,0.356105
9.7009,0.356105
9.7436,0.356105
9.7863,0.356105
9.8291,0.356105
9.8718,0.356105
9.9145,0.356105
9.9573,0.356105
10.0000,0.356105
10.0427,0.356105
10.0855,0.356105
10.1282,0.356105
10.1709,0.356105
10.2137,0.356105
10.2564,0.356105
10.2991,0.356105
10.3419,0.356105
10.3846,0.356105
10.4274,0.356105
10.4701,0.360465
10.5128,0.360465
10.5556,0.360465
10.5983,0.360465
10.6410,0.360465
10.6838,0.360465
10.7265,0.356105
10.7692,0.356105
10.8120,0.356105
10.8547,0.356105
10.8974,0.356105
10.9402,0.356105
10.9829,0.356105
11.0256,0.356105
11.0684,0.356105
11.1111,0.356105
11.1538,0.356105
11.1966,0.356105
11.2393,0.356105
11.2821,0.356105
11.3248,0.356105
11.3675,0.351744
11.4103,0.351744
11.4530,0.351744
11.4957,0.356105
11.5385,0.356105
11.5812,0.356105
11.6239,0.351744
11.6667,0.351744
11.7094,0.351744
11.7521,0.356105
11.7949,0.356105
11.8376,0.356105
11.8803,0.356105
11.9231,0.356105
11.9658,0.356105
12.0085,0.360465
12.0513,0.360465
12.0940,0.360465
12.1368,0.360465
12.1795,0.360465
12.2222,0.360465
12.2650,0.356105
12.3077,0.356105
12.3504,0.356105
12.3932,0.356105
12.4359,0.356105
12.4786,0.356105
12.5214,0.356105
12.5641,0.356105
12.6068,0.356105
12.6496,0.360465
12.6923,0.360465
12.7350,0.360465
12.7778,0.356105
12.8205,0.356105
12.8632,0.356105
12.9060,0.351744
12.9487,0.351744
12.9915,0.351744
13.0342,0.351744
13.0769,0.351744
13.1197,0.351744
13.1624,0.351744
13.2051,0.351744
13.2479,0.351744
13.2906,0.351744
13.3333,0.351744
13.3761,0.351744
13.4188,0.351744
13.4615,0.351744
13.5043,0.351744
13.5470,0.351744
