# source: /Users/mac/Documents/MOF/img/anie.202305144/anie.202305144_f2c.png
# doi: 10.1002/anie.202305144  figure: Figure 2C
# legend: Pristine sample  (match: colour+geometry)
# x: 2θ (°)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
3.6752,0.211483
3.7179,0.211483
3.7607,0.211483
3.8034,0.211483
3.8462,0.211483
3.8889,0.211483
3.9316,0.212209
3.9744,0.209302
4.0171,0.212209
4.0598,0.212936
4.1026,0.209302
4.1453,0.204215
4.1880,0.205669
4.2308,0.204942
4.2735,0.204215
4.3162,0.203488
4.3590,0.203488
4.4017,0.204215
4.4444,0.204215
4.4872,0.204942
4.5299,0.205669
4.5726,0.206395
4.6154,0.234012
4.6581,0.236192
4.7009,0.260174
4.7436,0.227471
4.7863,0.260174
4.8291,0.241279
4.8718,0.264535
4.9145,0.231831
4.9573,0.262355
5.0000,0.202762
5.0427,0.264535
5.0855,0.201308
5.1282,0.200581
5.1709,0.199855
5.2137,0.199855
5.2564,0.199855
5.2991,0.199855
5.3419,0.199855
5.3846,0.199855
5.4274,0.199855
5.4701,0.199855
5.5128,0.199855
5.5556,0.199128
5.5983,0.197674
5.6410,0.197674
5.6838,0.197674
5.7265,0.197674
5.7692,0.197674
5.8120,0.197674
5.8547,0.197674
5.8974,0.198401
5.9402,0.199128
5.9829,0.225291
6.0256,0.197674
6.0684,0.225291
6.1111,0.303779
6.1538,0.303779
6.1966,0.238372
6.2393,0.338663
6.2821,0.338663
6.3248,0.338663
6.3675,0.238372
6.4103,0.338663
6.4530,0.338663
6.4957,0.201308
6.5385,0.199855
6.5812,0.199128
6.6239,0.199128
6.6667,0.197674
6.7094,0.196948
6.7521,0.198401
6.7949,0.197674
6.8376,0.196221
6.8803,0.195494
6.9231,0.195494
6.9658,0.195494
7.0085,0.195494
7.0513,0.195494
7.0940,0.195494
7.1368,0.195494
7.1795,0.195494
7.2222,0.195494
7.2650,0.195494
7.3077,0.195494
7.3504,0.195494
7.3932,0.195494
7.4359,0.195494
7.4786,0.195494
7.5214,0.195494
7.5641,0.195494
7.6068,0.195494
7.6496,0.195494
7.6923,0.195494
7.7350,0.195494
7.7778,0.195494
7.8205,0.195494
7.8632,0.195494
7.9060,0.195494
7.9487,0.196221
7.9915,0.196948
8.0342,0.203488
8.0769,0.201308
8.1197,0.203488
8.1624,0.205669
8.2051,0.216570
8.2479,0.216570
8.2906,0.242733
8.3333,0.209302
8.3761,0.242733
8.4188,0.207849
8.4615,0.242733
8.5043,0.216570
8.5470,0.223110
8.5897,0.212209
8.6325,0.212209
8.6752,0.204942
8.7179,0.216570
8.7607,0.218750
8.8034,0.216570
8.8462,0.213663
8.8889,0.216570
8.9316,0.218750
8.9744,0.216570
9.0171,0.197674
9.0598,0.205669
9.1026,0.194041
9.1453,0.203488
9.1880,0.195494
9.2308,0.195494
9.2735,0.195494
9.3162,0.195494
9.3590,0.196221
9.4017,0.196948
9.4444,0.197674
9.4872,0.197674
9.5299,0.197674
9.5726,0.197674
9.6154,0.197674
9.6581,0.197674
9.7009,0.199855
9.7436,0.199855
9.7863,0.199855
9.8291,0.203488
9.8718,0.199128
9.9145,0.197674
9.9573,0.195494
10.0000,0.195494
10.0427,0.194767
10.0855,0.193314
10.1282,0.193314
10.1709,0.193314
10.2137,0.194041
10.2564,0.194767
10.2991,0.195494
10.3419,0.195494
10.3846,0.196221
10.4274,0.196948
10.4701,0.198401
10.5128,0.199855
10.5556,0.199128
10.5983,0.197674
10.6410,0.197674
10.6838,0.197674
10.7265,0.196948
10.7692,0.196221
10.8120,0.195494
10.8547,0.195494
10.8974,0.195494
10.9402,0.195494
10.9829,0.195494
11.0256,0.195494
11.0684,0.195494
11.1111,0.195494
11.1538,0.195494
11.1966,0.195494
11.2393,0.194767
11.2821,0.194041
11.3248,0.193314
11.3675,0.193314
11.4103,0.193314
11.4530,0.193314
11.4957,0.193314
11.5385,0.192587
11.5812,0.192587
11.6239,0.194041
11.6667,0.194041
11.7094,0.193314
11.7521,0.193314
11.7949,0.194041
11.8376,0.194767
11.8803,0.203488
11.9231,0.197674
11.9658,0.203488
12.0085,0.201308
12.0513,0.203488
12.0940,0.203488
12.1368,0.201308
12.1795,0.199855
12.2222,0.199128
12.2650,0.199855
12.3077,0.199128
12.3504,0.198401
12.3932,0.195494
12.4359,0.195494
12.4786,0.195494
12.5214,0.194767
12.5641,0.194767
12.6068,0.195494
12.6496,0.197674
12.6923,0.197674
12.7350,0.197674
12.7778,0.197674
12.8205,0.199128
12.8632,0.199128
12.9060,0.194767
12.9487,0.194041
12.9915,0.193314
13.0342,0.194041
13.0769,0.193314
13.1197,0.192587
13.1624,0.191134
13.2051,0.191134
13.2479,0.191134
13.2906,0.191860
13.3333,0.191860
13.3761,0.191134
13.4188,0.191134
13.4615,0.191134
13.5043,0.191134
13.5470,0.191134
13.5897,0.191134
13.6325,0.191134
13.6752,0.191134
13.7179,0.191134
13.7607,0.191134
13.8034,0.191134
13.8462,0.191134
13.8889,0.191134
13.9316,0.191134
13.9744,0.191134
14.0171,0.191134
14.0598,0.191134
14.1026,0.191134
14.1453,0.191134
14.1880,0.191134
14.2308,0.191134
14.2735,0.191134
14.3162,0.191134
14.3590,0.191134
14.4017,0.191134
14.4444,0.191134
14.4872,0.191134
14.5299,0.191134
14.5726,0.191134
14.6154,0.191134
14.6581,0.191134
14.7009,0.191134
14.7436,0.191134
14.7863,0.191134
14.8291,0.191134
14.8718,0.191134
14.9145,0.191134
14.9573,0.191134
15.0000,0.191134
15.0427,0.191134
15.0855,0.191134
15.1282,0.191134
15.1709,0.191134
15.2137,0.191134
15.2564,0.191134
15.2991,0.191134
15.3419,0.191134
15.3846,0.191134
15.4274,0.191134
15.4701,0.191134
15.5128,0.191860
15.5556,0.191860
15.5983,0.191134
15.6410,0.191134
15.6838,0.191134
15.7265,0.191134
15.7692,0.191134
15.8120,0.191134
15.8547,0.191134
15.8974,0.191134
15.9402,0.191134
15.9829,0.190407
16.0256,0.189680
16.0684,0.190407
16.1111,0.191134
16.1538,0.191134
16.1966,0.191134
16.2393,0.191134
16.2821,0.191860
16.3248,0.191860
16.3675,0.191134
16.4103,0.191134
16.4530,0.191134
16.4957,0.191134
16.5385,0.191134
16.5812,0.191134
16.6239,0.191134
16.6667,0.191134
16.7094,0.191134
16.7521,0.191134
