# source: /Users/mac/Documents/MOF/img/anie.202305144/anie.202305144_s11a.png
# doi: 10.1002/anie.202305144  figure: Figure S11A
# legend: Pristine sample  (match: geometry)
# x: 2θ (°)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
3.5714,0.177130
3.6161,0.177130
3.6607,0.177130
3.7054,0.177130
3.7500,0.177130
3.7946,0.177130
3.8393,0.174141
3.8839,0.165172
3.9286,0.178625
3.9732,0.283259
4.0179,0.346039
4.0625,0.347534
4.1071,0.349028
4.1518,0.349028
4.1964,0.347534
4.2411,0.347534
4.2857,0.278774
4.3304,0.135277
4.3750,0.129297
4.4196,0.129297
4.4643,0.130792
4.5089,0.130792
4.5536,0.136771
4.5982,0.144245
4.6429,0.156203
4.6875,0.174141
4.7321,0.195067
4.7768,0.265321
4.8214,0.289238
4.8661,0.293722
4.9107,0.295217
4.9554,0.295217
5.0000,0.295217
5.0446,0.293722
5.0893,0.292227
5.1339,0.126308
5.1786,0.120329
5.2232,0.118834
5.2679,0.117339
5.3125,0.117339
5.3571,0.115845
5.4018,0.115845
5.4464,0.114350
5.4911,0.114350
5.5357,0.114350
5.5804,0.114350
5.6250,0.112855
5.6696,0.112855
5.7143,0.112855
5.7589,0.112855
5.8036,0.112855
5.8482,0.114350
5.8929,0.112855
5.9375,0.111360
5.9821,0.115845
6.0268,0.118834
6.0714,0.130792
6.1161,0.145740
6.1607,0.266816
6.2054,0.310164
6.2500,0.380419
6.2946,0.477578
6.3393,0.497010
6.3839,0.498505
6.4286,0.498505
6.4732,0.498505
6.5179,0.497010
6.5625,0.398356
6.6071,0.159193
6.6518,0.115845
6.6964,0.114350
6.7411,0.111360
6.7857,0.111360
6.8304,0.109865
6.8750,0.109865
6.9196,0.109865
6.9643,0.109865
7.0089,0.109865
7.0536,0.108371
7.0982,0.108371
7.1429,0.108371
7.1875,0.108371
7.2321,0.108371
7.2768,0.108371
7.3214,0.108371
7.3661,0.108371
7.4107,0.108371
7.4554,0.108371
7.5000,0.108371
7.5446,0.108371
7.5893,0.108371
7.6339,0.106876
7.6786,0.106876
7.7232,0.106876
7.7679,0.106876
7.8125,0.105381
7.8571,0.105381
7.9018,0.105381
7.9464,0.105381
7.9911,0.106876
8.0357,0.115845
8.0804,0.127803
8.1250,0.130792
8.1696,0.130792
8.2143,0.132287
8.2589,0.132287
8.3036,0.132287
8.3482,0.230942
8.3929,0.235426
8.4375,0.236921
8.4821,0.236921
8.5268,0.236921
8.5714,0.235426
8.6161,0.233931
8.6607,0.201046
8.7054,0.146487
8.7500,0.145740
8.7946,0.162182
8.8393,0.165172
8.8839,0.166667
8.9286,0.166667
8.9732,0.166667
9.0179,0.165172
9.0625,0.163677
9.1071,0.144245
9.1518,0.124813
9.1964,0.111360
9.2411,0.106876
9.2857,0.106876
9.3304,0.105381
9.3750,0.106876
9.4196,0.109865
9.4643,0.114350
9.5089,0.114350
9.5536,0.114350
9.5982,0.114350
9.6429,0.115845
9.6875,0.118834
9.7321,0.124813
9.7768,0.126308
9.8214,0.126308
9.8661,0.126308
9.9107,0.124813
9.9554,0.121824
10.0000,0.114350
10.0446,0.111360
10.0893,0.103886
10.1339,0.102392
10.1786,0.102392
10.2232,0.102392
10.2679,0.102392
10.3125,0.103886
10.3571,0.105381
10.4018,0.106876
10.4464,0.111360
10.4911,0.115845
10.5357,0.123318
10.5804,0.124813
10.6250,0.126308
10.6696,0.126308
10.7143,0.126308
10.7589,0.126308
10.8036,0.123318
10.8482,0.114350
10.8929,0.105381
10.9375,0.109865
10.9821,0.111360
11.0268,0.111360
11.0714,0.111360
11.1161,0.109865
11.1607,0.109865
11.2054,0.106876
11.2500,0.103886
11.2946,0.100897
11.3393,0.100897
11.3839,0.099402
11.4286,0.099402
11.4732,0.100897
11.5179,0.100897
11.5625,0.100897
11.6071,0.100897
11.6518,0.100897
11.6964,0.100897
11.7411,0.100897
11.7857,0.099402
11.8304,0.099402
11.8750,0.100897
11.9196,0.109865
11.9643,0.124813
12.0089,0.126308
12.0536,0.127803
12.0982,0.129297
12.1429,0.129297
12.1875,0.127803
12.2321,0.126308
12.2768,0.123318
12.3214,0.115845
12.3661,0.115845
12.4107,0.115845
12.4554,0.114350
12.5000,0.112855
12.5446,0.103886
12.5893,0.103886
12.6339,0.109865
12.6786,0.112855
12.7232,0.117339
12.7679,0.118834
12.8125,0.118834
12.8571,0.118834
12.9018,0.117339
12.9464,0.112855
12.9911,0.102392
13.0357,0.097907
13.0804,0.096413
13.1250,0.097907
13.1696,0.099402
13.2143,0.099402
13.2589,0.099402
13.3036,0.097907
13.3482,0.096413
13.3929,0.094918
13.4375,0.094918
13.4821,0.094918
13.5268,0.094918
13.5714,0.094918
13.6161,0.094918
13.6607,0.094918
13.7054,0.093423
13.7500,0.093423
13.7946,0.094918
13.8393,0.093423
13.8839,0.093423
13.9286,0.093423
13.9732,0.093423
14.0179,0.093423
14.0625,0.093423
14.1071,0.093423
14.1518,0.093423
14.1964,0.093423
14.2411,0.093423
14.2857,0.091928
14.3304,0.091928
14.3750,0.091928
14.4196,0.091928
14.4643,0.091928
14.5089,0.093423
14.5536,0.093423
14.5982,0.091928
14.6429,0.093423
14.6875,0.093423
14.7321,0.093423
14.7768,0.093423
14.8214,0.093423
14.8661,0.091928
14.9107,0.091928
14.9554,0.091928
15.0000,0.091928
15.0446,0.091928
15.0893,0.091928
15.1339,0.091928
15.1786,0.091928
15.2232,0.091928
15.2679,0.093423
15.3125,0.093423
15.3571,0.093423
15.4018,0.091928
15.4464,0.093423
15.4911,0.094918
15.5357,0.094918
15.5804,0.094918
15.6250,0.094918
15.6696,0.096413
15.7143,0.097907
15.7589,0.097907
15.8036,0.096413
15.8482,0.094918
15.8929,0.090433
15.9375,0.090433
15.9821,0.090433
16.0268,0.090433
16.0714,0.090433
16.1161,0.090433
16.1607,0.090433
16.2054,0.090433
16.2500,0.091928
16.2946,0.093423
16.3393,0.096413
16.3839,0.096413
16.4286,0.096413
16.4732,0.096413
16.5179,0.096413
16.5625,0.091928
16.6071,0.091928
16.6518,0.091928
16.6964,0.093423
16.7411,0.094918
16.7857,0.094918
16.8304,0.094918
16.8750,0.096413
16.9196,0.096413
16.9643,0.096413
17.0089,0.094918
17.0536,0.093423
17.0982,0.091928
17.1429,0.091928
17.1875,0.090433
17.2321,0.090433
17.2768,0.091928
17.3214,0.093423
17.3661,0.093423
17.4107,0.091928
17.4554,0.091928
17.5000,0.090433
17.5446,0.090433
17.5893,0.090433
17.6339,0.090433
17.6786,0.090433
17.7232,0.090433
17.7679,0.088939
17.8125,0.088939
17.8571,0.088939
17.9018,0.090433
17.9464,0.091928
17.9911,0.093423
18.0357,0.093423
18.0804,0.093423
18.1250,0.093423
18.1696,0.093423
18.2143,0.094918
18.2589,0.096413
18.3036,0.096413
18.3482,0.096413
18.3929,0.096413
18.4375,0.096413
18.4821,0.096413
18.5268,0.094918
18.5714,0.094918
18.6161,0.093423
18.6607,0.091928
18.7054,0.088939
18.7500,0.088939
18.7946,0.088939
18.8393,0.088939
18.8839,0.087444
18.9286,0.088939
18.9732,0.088939
19.0179,0.088939
19.0625,0.088939
19.1071,0.088939
19.1518,0.088939
19.1964,0.090433
19.2411,0.088939
19.2857,0.088939
19.3304,0.088939
19.3750,0.088939
19.4196,0.088939
19.4643,0.088939
19.5089,0.090433
19.5536,0.091928
19.5982,0.091928
19.6429,0.091928
19.6875,0.091928
19.7321,0.091928
19.7768,0.091928
19.8214,0.090433
19.8661,0.090433
19.9107,0.090433
19.9554,0.091928
20.0000,0.091928
20.0446,0.091928
20.0893,0.091928
20.1339,0.091928
20.1786,0.091928
20.2232,0.091928
20.2679,0.090433
20.3125,0.088939
20.3571,0.090433
20.4018,0.091928
20.4464,0.093423
20.4911,0.093423
20.5357,0.093423
20.5804,0.094918
20.6250,0.094918
20.6696,0.093423
20.7143,0.093423
20.7589,0.093423
20.8036,0.093423
20.8482,0.096413
20.8929,0.097907
20.9375,0.099402
20.9821,0.100897
21.0268,0.100897
