# source: /Users/mac/Documents/MOF/img/anie.202305144/anie.202305144_s1.png
# doi: 10.1002/anie.202305144  figure: Figure S1
# legend: Sim.  (match: colour)
# x: 2θ (°)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
2.1514,0.023878
2.1959,0.023878
2.2405,0.023878
2.2850,0.023878
2.3296,0.023878
2.3741,0.023878
2.4187,0.023878
2.4632,0.023878
2.5078,0.023878
2.5523,0.023878
2.5969,0.023878
2.6415,0.023878
2.6860,0.023878
2.7306,0.023878
2.7751,0.023878
2.8197,0.023878
2.8642,0.023878
2.9088,0.023878
2.9533,0.023878
2.9979,0.023878
3.0424,0.023878
3.0870,0.023878
3.1315,0.023878
3.1761,0.023878
3.2206,0.023878
3.2652,0.023878
3.3098,0.023878
3.3543,0.023878
3.3989,0.023878
3.4434,0.023878
3.4880,0.023878
3.5325,0.023878
3.5771,0.023878
3.6216,0.023878
3.6662,0.023878
3.7107,0.025326
3.7553,0.025326
3.7998,0.025326
3.8444,0.031114
3.8890,0.042692
3.9335,0.067294
3.9781,0.071635
4.0226,0.071635
4.0672,0.073082
4.1117,0.071635
4.1563,0.070188
4.2008,0.061505
4.2454,0.038350
4.2899,0.028220
4.3345,0.025326
4.3790,0.025326
4.4236,0.025326
4.4681,0.025326
4.5127,0.025326
4.5573,0.025326
4.6018,0.025326
4.6464,0.025326
4.6909,0.025326
4.7355,0.025326
4.7800,0.026773
4.8246,0.028220
4.8691,0.035456
4.9137,0.054269
4.9582,0.103473
5.0028,0.106368
5.0473,0.107815
5.0919,0.107815
5.1364,0.107815
5.1810,0.106368
5.2256,0.097685
5.2701,0.060058
5.3147,0.038350
5.3592,0.028220
5.4038,0.026773
5.4483,0.025326
5.4929,0.025326
5.5374,0.025326
5.5820,0.025326
5.6265,0.025326
5.6711,0.023878
5.7156,0.023878
5.7602,0.023878
5.8047,0.023878
5.8493,0.023878
5.8939,0.023878
5.9384,0.025326
5.9830,0.025326
6.0275,0.025326
6.0721,0.025326
6.1166,0.025326
6.1612,0.026773
6.2057,0.028220
6.2503,0.032562
6.2948,0.044139
6.3394,0.100579
6.3839,0.139653
6.4285,0.141100
6.4730,0.142547
6.5176,0.142547
6.5622,0.142547
6.6067,0.141100
6.6513,0.119392
6.6958,0.068741
6.7404,0.035456
6.7849,0.029667
6.8295,0.026773
6.8740,0.025326
6.9186,0.025326
6.9631,0.025326
7.0077,0.025326
7.0522,0.025326
7.0968,0.023878
7.1413,0.023878
7.1859,0.023878
7.2305,0.023878
7.2750,0.023878
7.3196,0.023878
7.3641,0.023878
7.4087,0.023878
7.4532,0.023878
7.4978,0.023878
7.5423,0.023878
7.5869,0.023878
7.6314,0.023878
7.6760,0.023878
7.7205,0.023878
7.7651,0.023878
7.8096,0.023878
7.8542,0.023878
7.8988,0.023878
7.9433,0.025326
7.9879,0.026773
8.0324,0.026773
8.0770,0.028220
8.1215,0.028220
8.1661,0.034009
8.2106,0.065847
8.2552,0.075977
8.2997,0.078871
8.3443,0.078871
8.3888,0.078871
8.4334,0.078871
8.4779,0.077424
8.5225,0.058611
8.5671,0.039797
8.6116,0.028220
8.6562,0.026773
8.7007,0.026773
8.7453,0.036903
8.7898,0.047033
8.8344,0.048480
8.8789,0.049928
8.9235,0.049928
8.9680,0.049928
9.0126,0.048480
9.0571,0.044139
9.1017,0.029667
9.1462,0.025326
9.1908,0.025326
9.2354,0.023878
9.2799,0.023878
9.3245,0.023878
9.3690,0.023878
9.4136,0.023878
9.4581,0.023878
9.5027,0.023878
9.5472,0.023878
9.5918,0.023878
9.6363,0.028220
9.6809,0.031114
9.7254,0.034009
9.7700,0.034009
9.8145,0.034009
9.8591,0.034009
9.9037,0.032562
9.9482,0.028220
9.9928,0.025326
10.0373,0.023878
10.0819,0.023878
10.1264,0.023878
10.1710,0.025326
10.2155,0.025326
10.2601,0.023878
10.3046,0.023878
10.3492,0.023878
10.3937,0.023878
10.4383,0.023878
10.4828,0.023878
10.5274,0.023878
10.5720,0.023878
10.6165,0.023878
10.6611,0.023878
10.7056,0.023878
10.7502,0.025326
10.7947,0.026773
10.8393,0.031114
10.8838,0.031114
10.9284,0.032562
10.9729,0.032562
11.0175,0.031114
11.0620,0.029667
11.1066,0.025326
11.1511,0.023878
11.1957,0.023878
11.2403,0.023878
11.2848,0.023878
11.3294,0.023878
11.3739,0.023878
11.4185,0.023878
11.4630,0.023878
11.5076,0.023878
11.5521,0.023878
11.5967,0.023878
11.6412,0.023878
11.6858,0.023878
11.7303,0.023878
11.7749,0.023878
11.8194,0.023878
11.8640,0.023878
11.9086,0.026773
11.9531,0.029667
11.9977,0.031114
12.0422,0.031114
12.0868,0.031114
12.1313,0.031114
12.1759,0.028220
12.2204,0.025326
12.2650,0.023878
12.3095,0.023878
12.3541,0.026773
12.3986,0.031114
12.4432,0.035456
12.4877,0.036903
12.5323,0.036903
12.5769,0.036903
12.6214,0.035456
12.6660,0.032562
12.7105,0.028220
12.7551,0.025326
12.7996,0.023878
12.8442,0.025326
12.8887,0.026773
12.9333,0.028220
12.9778,0.029667
13.0224,0.029667
13.0669,0.028220
13.1115,0.028220
13.1560,0.026773
13.2006,0.026773
13.2452,0.026773
13.2897,0.025326
13.3343,0.023878
13.3788,0.023878
13.4234,0.023878
13.4679,0.023878
13.5125,0.023878
13.5570,0.023878
13.6016,0.023878
13.6461,0.023878
13.6907,0.023878
13.7352,0.023878
13.7798,0.023878
13.8243,0.023878
13.8689,0.023878
13.9135,0.023878
13.9580,0.023878
14.0026,0.023878
14.0471,0.023878
14.0917,0.023878
14.1362,0.023878
14.1808,0.023878
14.2253,0.023878
14.2699,0.023878
14.3144,0.023878
14.3590,0.023878
14.4035,0.023878
14.4481,0.023878
14.4926,0.023878
14.5372,0.023878
14.5818,0.023878
14.6263,0.023878
14.6709,0.023878
14.7154,0.023878
14.7600,0.023878
14.8045,0.023878
14.8491,0.023878
14.8936,0.023878
14.9382,0.023878
14.9827,0.023878
15.0273,0.023878
15.0718,0.025326
15.1164,0.025326
15.1609,0.025326
15.2055,0.025326
15.2501,0.025326
15.2946,0.025326
15.3392,0.025326
15.3837,0.023878
15.4283,0.023878
15.4728,0.023878
15.5174,0.023878
15.5619,0.023878
15.6065,0.023878
15.6510,0.023878
15.6956,0.023878
15.7401,0.023878
15.7847,0.025326
15.8292,0.025326
15.8738,0.025326
15.9184,0.023878
15.9629,0.023878
16.0075,0.023878
16.0520,0.023878
16.0966,0.023878
16.1411,0.023878
16.1857,0.025326
16.2302,0.025326
16.2748,0.025326
16.3193,0.023878
16.3639,0.023878
16.4084,0.023878
16.4530,0.023878
16.4975,0.023878
16.5421,0.023878
16.5867,0.023878
16.6312,0.023878
16.6758,0.023878
16.7203,0.023878
16.7649,0.023878
16.8094,0.023878
16.8540,0.023878
16.8985,0.023878
16.9431,0.023878
16.9876,0.023878
17.0322,0.023878
17.0767,0.023878
17.1213,0.023878
17.1658,0.023878
17.2104,0.023878
17.2550,0.023878
17.2995,0.023878
17.3441,0.023878
17.3886,0.023878
17.4332,0.023878
17.4777,0.023878
17.5223,0.023878
17.5668,0.023878
17.6114,0.023878
17.6559,0.023878
17.7005,0.023878
17.7450,0.023878
17.7896,0.023878
17.8342,0.023878
17.8787,0.023878
17.9233,0.023878
17.9678,0.023878
18.0124,0.023878
18.0569,0.023878
18.1015,0.023878
18.1460,0.023878
18.1906,0.023878
18.2351,0.023878
18.2797,0.025326
18.3242,0.025326
18.3688,0.025326
18.4133,0.025326
18.4579,0.023878
18.5025,0.023878
18.5470,0.023878
18.5916,0.023878
18.6361,0.023878
18.6807,0.023878
18.7252,0.023878
18.7698,0.023878
18.8143,0.023878
18.8589,0.023878
18.9034,0.023878
18.9480,0.023878
18.9925,0.023878
19.0371,0.023878
19.0816,0.023878
19.1262,0.023878
19.1708,0.023878
19.2153,0.023878
19.2599,0.023878
19.3044,0.023878
19.3490,0.023878
19.3935,0.023878
19.4381,0.023878
19.4826,0.023878
19.5272,0.023878
19.5717,0.023878
19.6163,0.023878
19.6608,0.023878
19.7054,0.023878
19.7499,0.023878
19.7945,0.023878
19.8391,0.023878
19.8836,0.023878
19.9282,0.023878
19.9727,0.023878
20.0173,0.023878
20.0618,0.023878
20.1064,0.023878
20.1509,0.023878
20.1955,0.023878
20.2400,0.023878
20.2846,0.023878
20.3291,0.023878
20.3737,0.023878
20.4182,0.023878
20.4628,0.023878
20.5074,0.023878
20.5519,0.025326
20.5965,0.023878
20.6410,0.023878
20.6856,0.023878
20.7301,0.025326
20.7747,0.025326
20.8192,0.025326
20.8638,0.025326
20.9083,0.023878
20.9529,0.023878
20.9974,0.023878
21.0420,0.023878
21.0865,0.025326
21.1311,0.025326
21.1757,0.026773
21.2202,0.026773
21.2648,0.026773
21.3093,0.025326
21.3539,0.023878
21.3984,0.023878
21.4430,0.023878
21.4875,0.023878
21.5321,0.023878
21.5766,0.023878
21.6212,0.025326
21.6657,0.025326
21.7103,0.025326
21.7548,0.025326
21.7994,0.023878
21.8440,0.023878
21.8885,0.025326
21.9331,0.025326
21.9776,0.023878
22.0222,0.023878
22.0667,0.023878
22.1113,0.023878
22.1558,0.023878
22.2004,0.023878
22.2449,0.023878
22.2895,0.023878
22.3340,0.025326
22.3786,0.025326
22.4231,0.025326
22.4677,0.025326
22.5123,0.025326
22.5568,0.025326
22.6014,0.023878
22.6459,0.023878
22.6905,0.023878
22.7350,0.023878
22.7796,0.023878
22.8241,0.023878
22.8687,0.023878
22.9132,0.023878
22.9578,0.023878
23.0023,0.023878
23.0469,0.023878
23.0914,0.023878
23.1360,0.023878
23.1806,0.023878
23.2251,0.023878
23.2697,0.023878
23.3142,0.023878
23.3588,0.023878
23.4033,0.023878
23.4479,0.023878
23.4924,0.025326
23.5370,0.025326
23.5815,0.025326
23.6261,0.023878
23.6706,0.023878
23.7152,0.023878
23.7597,0.023878
23.8043,0.023878
23.8489,0.023878
23.8934,0.023878
23.9380,0.023878
23.9825,0.023878
24.0271,0.023878
24.0716,0.023878
24.1162,0.023878
24.1607,0.023878
24.2053,0.023878
24.2498,0.023878
24.2944,0.023878
24.3389,0.023878
24.3835,0.023878
24.4280,0.023878
24.4726,0.023878
24.5172,0.023878
24.5617,0.023878
24.6063,0.023878
24.6508,0.023878
24.6954,0.023878
24.7399,0.023878
24.7845,0.023878
24.8290,0.023878
24.8736,0.023878
24.9181,0.023878
24.9627,0.023878
25.0072,0.023878
25.0518,0.023878
25.0963,0.023878
25.1409,0.023878
25.1855,0.025326
25.2300,0.025326
25.2746,0.025326
25.3191,0.023878
25.3637,0.023878
25.4082,0.023878
25.4528,0.023878
25.4973,0.025326
25.5419,0.025326
25.5864,0.025326
25.6310,0.023878
25.6755,0.023878
25.7201,0.023878
25.7646,0.023878
25.8092,0.023878
25.8538,0.023878
25.8983,0.023878
25.9429,0.023878
25.9874,0.023878
26.0320,0.023878
26.0765,0.023878
26.1211,0.023878
26.1656,0.023878
26.2102,0.023878
26.2547,0.023878
26.2993,0.023878
26.3438,0.023878
26.3884,0.023878
26.4329,0.023878
26.4775,0.023878
26.5221,0.023878
26.5666,0.023878
26.6112,0.023878
26.6557,0.023878
26.7003,0.023878
26.7448,0.023878
26.7894,0.023878
26.8339,0.023878
26.8785,0.023878
26.9230,0.023878
26.9676,0.023878
27.0121,0.023878
27.0567,0.023878
27.1012,0.023878
27.1458,0.023878
27.1904,0.023878
27.2349,0.023878
27.2795,0.023878
27.3240,0.023878
27.3686,0.023878
27.4131,0.023878
27.4577,0.023878
27.5022,0.023878
27.5468,0.023878
27.5913,0.023878
27.6359,0.023878
27.6804,0.023878
27.7250,0.023878
27.7695,0.023878
27.8141,0.023878
27.8587,0.023878
27.9032,0.023878
27.9478,0.023878
27.9923,0.023878
28.0369,0.023878
28.0814,0.023878
28.1260,0.023878
28.1705,0.023878
28.2151,0.023878
28.2596,0.023878
28.3042,0.023878
28.3487,0.023878
28.3933,0.023878
28.4378,0.023878
28.4824,0.023878
28.5270,0.023878
28.5715,0.023878
28.6161,0.023878
28.6606,0.023878
28.7052,0.023878
28.7497,0.023878
28.7943,0.023878
28.8388,0.023878
28.8834,0.023878
28.9279,0.023878
28.9725,0.023878
29.0170,0.023878
29.0616,0.025326
29.1061,0.023878
29.1507,0.023878
29.1953,0.023878
29.2398,0.023878
29.2844,0.023878
29.3289,0.023878
29.3735,0.023878
29.4180,0.023878
29.4626,0.023878
29.5071,0.023878
29.5517,0.023878
29.5962,0.023878
29.6408,0.023878
29.6853,0.023878
29.7299,0.023878
29.7744,0.023878
29.8190,0.023878
29.8636,0.023878
29.9081,0.025326
29.9527,0.023878
29.9972,0.023878
30.0418,0.023878
30.0863,0.023878
30.1309,0.023878
30.1754,0.023878
30.2200,0.023878
30.2645,0.023878
30.3091,0.023878
30.3536,0.023878
30.3982,0.023878
30.4427,0.023878
30.4873,0.023878
30.5319,0.023878
30.5764,0.023878
30.6210,0.023878
30.6655,0.023878
30.7101,0.023878
30.7546,0.023878
30.7992,0.023878
30.8437,0.023878
30.8883,0.023878
30.9328,0.023878
30.9774,0.023878
31.0219,0.023878
31.0665,0.023878
31.1110,0.023878
31.1556,0.023878
31.2002,0.023878
31.2447,0.023878
31.2893,0.023878
31.3338,0.023878
31.3784,0.023878
31.4229,0.023878
31.4675,0.023878
31.5120,0.023878
31.5566,0.023878
31.6011,0.023878
31.6457,0.023878
31.6902,0.023878
31.7348,0.023878
31.7794,0.023878
31.8239,0.023878
31.8685,0.023878
31.9130,0.023878
31.9576,0.023878
32.0021,0.023878
32.0467,0.023878
32.0912,0.023878
32.1358,0.023878
32.1803,0.023878
32.2249,0.023878
32.2694,0.023878
32.3140,0.023878
32.3585,0.023878
32.4031,0.023878
32.4477,0.023878
32.4922,0.023878
32.5368,0.023878
32.5813,0.023878
32.6259,0.023878
32.6704,0.023878
32.7150,0.023878
32.7595,0.023878
32.8041,0.023878
32.8486,0.023878
32.8932,0.023878
32.9377,0.023878
32.9823,0.023878
33.0268,0.023878
33.0714,0.023878
33.1160,0.023878
33.1605,0.023878
33.2051,0.023878
33.2496,0.023878
33.2942,0.023878
33.3387,0.023878
33.3833,0.023878
33.4278,0.023878
33.4724,0.023878
33.5169,0.023878
33.5615,0.023878
33.6060,0.023878
33.6506,0.023878
33.6951,0.023878
33.7397,0.023878
33.7843,0.023878
33.8288,0.023878
33.8734,0.023878
33.9179,0.023878
33.9625,0.023878
34.0070,0.023878
34.0516,0.023878
34.0961,0.023878
34.1407,0.023878
34.1852,0.023878
34.2298,0.023878
34.2743,0.023878
34.3189,0.023878
34.3634,0.023878
34.4080,0.023878
34.4526,0.023878
34.4971,0.023878
34.5417,0.023878
34.5862,0.023878
34.6308,0.023878
34.6753,0.023878
34.7199,0.023878
34.7644,0.023878
34.8090,0.023878
34.8535,0.023878
34.8981,0.023878
34.9426,0.023878
34.9872,0.023878
35.0317,0.023878
35.0763,0.023878
35.1209,0.023878
35.1654,0.023878
35.2100,0.023878
35.2545,0.023878
35.2991,0.023878
35.3436,0.023878
35.3882,0.023878
35.4327,0.023878
35.4773,0.023878
35.5218,0.023878
35.5664,0.023878
35.6109,0.023878
35.6555,0.023878
35.7000,0.023878
35.7446,0.023878
35.7892,0.023878
35.8337,0.023878
35.8783,0.023878
35.9228,0.023878
35.9674,0.023878
36.0119,0.023878
36.0565,0.023878
36.1010,0.023878
36.1456,0.023878
36.1901,0.023878
36.2347,0.023878
36.2792,0.023878
36.3238,0.023878
36.3683,0.023878
36.4129,0.023878
36.4575,0.025326
36.5020,0.025326
36.5466,0.023878
36.5911,0.023878
36.6357,0.023878
36.6802,0.023878
36.7248,0.023878
36.7693,0.023878
36.8139,0.023878
36.8584,0.023878
36.9030,0.023878
36.9475,0.023878
36.9921,0.023878
37.0366,0.023878
37.0812,0.023878
37.1258,0.023878
37.1703,0.023878
37.2149,0.023878
37.2594,0.023878
37.3040,0.023878
37.3485,0.023878
37.3931,0.023878
37.4376,0.023878
37.4822,0.023878
37.5267,0.023878
37.5713,0.023878
37.6158,0.023878
37.6604,0.023878
37.7049,0.023878
37.7495,0.023878
37.7941,0.023878
37.8386,0.023878
37.8832,0.023878
37.9277,0.023878
37.9723,0.023878
38.0168,0.023878
38.0614,0.023878
38.1059,0.023878
38.1505,0.023878
38.1950,0.023878
38.2396,0.023878
38.2841,0.023878
38.3287,0.023878
