# source: /Users/mac/Documents/MOF/img/anie.202305144/anie.202305144_s5.png
# doi: 10.1002/anie.202305144  figure: Figure S5
# legend: 0.1 M NaOH  (match: colour+geometry)
# x: 2θ (°)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
2.2308,0.897819
2.2659,0.896670
2.3010,0.896096
2.3362,0.896096
2.3713,0.896096
2.4064,0.896096
2.4415,0.896096
2.4766,0.896096
2.5117,0.896096
2.5468,0.894948
2.5819,0.886912
2.6170,0.884615
2.6521,0.878875
2.6872,0.876579
2.7223,0.871986
2.7575,0.869690
2.7926,0.868542
2.8277,0.867394
2.8628,0.866246
2.8979,0.863949
2.9330,0.862801
2.9681,0.862801
3.0032,0.862801
3.0383,0.860505
3.0734,0.859357
3.1085,0.857061
3.1436,0.855913
3.1788,0.854765
3.2139,0.853617
3.2490,0.852468
3.2841,0.851320
3.3192,0.851320
3.3543,0.850172
3.3894,0.850172
3.4245,0.846728
3.4596,0.845580
3.4947,0.846728
3.5298,0.846728
3.5649,0.846728
3.6001,0.845580
3.6352,0.845580
3.6703,0.844432
3.7054,0.842135
3.7405,0.840987
3.7756,0.839839
3.8107,0.837543
3.8458,0.837543
3.8809,0.837543
3.9160,0.837543
3.9511,0.837543
3.9862,0.837543
4.0214,0.836395
4.0565,0.836395
4.0916,0.836395
4.1267,0.835247
4.1618,0.835247
4.1969,0.835247
4.2320,0.834099
4.2671,0.834099
4.3022,0.835247
4.3373,0.836395
4.3724,0.836395
4.4075,0.836395
4.4427,0.836395
4.4778,0.835247
4.5129,0.835247
4.5480,0.835247
4.5831,0.835247
4.6182,0.836395
4.6533,0.836395
4.6884,0.836395
4.7235,0.836395
4.7586,0.836395
4.7937,0.836395
4.8288,0.836395
4.8640,0.836395
4.8991,0.836395
4.9342,0.836395
4.9693,0.838691
5.0044,0.839839
5.0395,0.840987
5.0746,0.842135
5.1097,0.842135
5.1448,0.842135
5.1799,0.840987
5.2150,0.839839
5.2501,0.840987
5.2853,0.840987
5.3204,0.842135
5.3555,0.842135
5.3906,0.842135
5.4257,0.842135
5.4608,0.842135
5.4959,0.843284
5.5310,0.843284
5.5661,0.843284
5.6012,0.843284
5.6363,0.843284
5.6714,0.843284
5.7066,0.844432
5.7417,0.844432
5.7768,0.845580
5.8119,0.845580
5.8470,0.844432
5.8821,0.845580
5.9172,0.845580
5.9523,0.845580
5.9874,0.844432
6.0225,0.844432
6.0576,0.843284
6.0927,0.843284
6.1279,0.843284
6.1630,0.842135
6.1981,0.843284
6.2332,0.842135
6.2683,0.842135
6.3034,0.842135
6.3385,0.840987
6.3736,0.839839
6.4087,0.840987
6.4438,0.839839
6.4789,0.838691
6.5140,0.839839
6.5491,0.839839
6.5843,0.839839
6.6194,0.839839
6.6545,0.838691
6.6896,0.837543
6.7247,0.837543
6.7598,0.837543
6.7949,0.836395
6.8300,0.836395
6.8651,0.836395
6.9002,0.836395
6.9353,0.837543
6.9704,0.837543
7.0056,0.837543
7.0407,0.836395
7.0758,0.836395
7.1109,0.837543
7.1460,0.837543
7.1811,0.837543
7.2162,0.837543
7.2513,0.836395
7.2864,0.836395
7.3215,0.836395
7.3566,0.836395
7.3917,0.836395
7.4269,0.836395
7.4620,0.835247
7.4971,0.834099
7.5322,0.834099
7.5673,0.835247
7.6024,0.835247
7.6375,0.836395
7.6726,0.836395
7.7077,0.835247
7.7428,0.835247
7.7779,0.834099
7.8130,0.834099
7.8482,0.835247
7.8833,0.835247
7.9184,0.835247
7.9535,0.835247
7.9886,0.834099
8.0237,0.834099
8.0588,0.834099
8.0939,0.834099
8.1290,0.834099
8.1641,0.834099
8.1992,0.835247
8.2343,0.835247
8.2695,0.835247
8.3046,0.835247
8.3397,0.835247
8.3748,0.835247
8.4099,0.835247
8.4450,0.836395
8.4801,0.836395
8.5152,0.836395
8.5503,0.836395
8.5854,0.835247
8.6205,0.836395
8.6556,0.836395
8.6908,0.836395
8.7259,0.836395
8.7610,0.835247
8.7961,0.835247
8.8312,0.835247
8.8663,0.835247
8.9014,0.834099
8.9365,0.834099
8.9716,0.834099
9.0067,0.834099
9.0418,0.832951
9.0769,0.834099
9.1121,0.834099
9.1472,0.834099
9.1823,0.834099
9.2174,0.834099
9.2525,0.832951
9.2876,0.831803
9.3227,0.831803
9.3578,0.831803
9.3929,0.831803
9.4280,0.830654
9.4631,0.830654
9.4982,0.830654
9.5334,0.830654
9.5685,0.829506
9.6036,0.829506
9.6387,0.829506
9.6738,0.828358
9.7089,0.827210
9.7440,0.827210
9.7791,0.828358
9.8142,0.827210
9.8493,0.827210
9.8844,0.827210
9.9195,0.827210
9.9547,0.827210
9.9898,0.827210
10.0249,0.827210
10.0600,0.827210
10.0951,0.827210
10.1302,0.827210
10.1653,0.826062
10.2004,0.826062
10.2355,0.826062
10.2706,0.826062
10.3057,0.826062
10.3408,0.826062
10.3760,0.826062
10.4111,0.826062
10.4462,0.826062
10.4813,0.827210
10.5164,0.827210
10.5515,0.827210
10.5866,0.826062
10.6217,0.826062
10.6568,0.826062
10.6919,0.826062
10.7270,0.826062
10.7621,0.826062
10.7972,0.826062
10.8324,0.826062
10.8675,0.826062
10.9026,0.826062
10.9377,0.826062
10.9728,0.824914
11.0079,0.826062
11.0430,0.826062
11.0781,0.826062
11.1132,0.824914
11.1483,0.824914
11.1834,0.824914
11.2185,0.824914
11.2537,0.824914
11.2888,0.823766
11.3239,0.823766
11.3590,0.823766
11.3941,0.823766
11.4292,0.823766
11.4643,0.823766
11.4994,0.823766
11.5345,0.823766
11.5696,0.823766
11.6047,0.823766
11.6398,0.823766
11.6750,0.823766
11.7101,0.823766
11.7452,0.824914
11.7803,0.823766
11.8154,0.823766
11.8505,0.822618
11.8856,0.822618
11.9207,0.822618
11.9558,0.822618
11.9909,0.822618
12.0260,0.822618
12.0611,0.822618
12.0963,0.821470
12.1314,0.821470
12.1665,0.821470
12.2016,0.821470
12.2367,0.821470
12.2718,0.821470
12.3069,0.821470
12.3420,0.821470
12.3771,0.821470
12.4122,0.822618
12.4473,0.822618
12.4824,0.822618
12.5176,0.822618
12.5527,0.822618
12.5878,0.822618
12.6229,0.821470
12.6580,0.821470
12.6931,0.821470
12.7282,0.821470
12.7633,0.821470
12.7984,0.822618
12.8335,0.822618
12.8686,0.822618
12.9037,0.822618
12.9389,0.821470
12.9740,0.821470
13.0091,0.821470
13.0442,0.821470
13.0793,0.821470
13.1144,0.821470
13.1495,0.821470
13.1846,0.821470
13.2197,0.821470
13.2548,0.821470
13.2899,0.820321
13.3250,0.820321
13.3602,0.820321
13.3953,0.821470
13.4304,0.821470
13.4655,0.821470
13.5006,0.821470
13.5357,0.821470
13.5708,0.820321
13.6059,0.821470
13.6410,0.821470
13.6761,0.820321
13.7112,0.821470
13.7463,0.821470
13.7815,0.821470
13.8166,0.820321
13.8517,0.820321
13.8868,0.820321
13.9219,0.820321
13.9570,0.821470
13.9921,0.821470
14.0272,0.820321
14.0623,0.820321
14.0974,0.819173
14.1325,0.820321
14.1676,0.820321
14.2028,0.820321
14.2379,0.820321
14.2730,0.820321
14.3081,0.820321
14.3432,0.820321
14.3783,0.820321
14.4134,0.820321
14.4485,0.820321
14.4836,0.820321
14.5187,0.820321
14.5538,0.820321
14.5889,0.820321
14.6240,0.820321
14.6592,0.820321
14.6943,0.820321
14.7294,0.819173
14.7645,0.820321
14.7996,0.820321
14.8347,0.820321
14.8698,0.820321
14.9049,0.820321
14.9400,0.820321
14.9751,0.820321
15.0102,0.820321
15.0453,0.821470
15.0805,0.821470
15.1156,0.821470
15.1507,0.821470
15.1858,0.821470
15.2209,0.821470
15.2560,0.821470
15.2911,0.820321
15.3262,0.821470
15.3613,0.821470
15.3964,0.822618
15.4315,0.822618
15.4666,0.822618
15.5018,0.822618
15.5369,0.822618
15.5720,0.822618
15.6071,0.822618
15.6422,0.822618
15.6773,0.822618
15.7124,0.822618
15.7475,0.822618
15.7826,0.822618
15.8177,0.822618
15.8528,0.822618
15.8879,0.822618
15.9231,0.822618
15.9582,0.822618
15.9933,0.822618
16.0284,0.822618
16.0635,0.822618
16.0986,0.821470
16.1337,0.821470
16.1688,0.822618
16.2039,0.822618
16.2390,0.822618
16.2741,0.822618
16.3092,0.821470
16.3444,0.821470
16.3795,0.822618
16.4146,0.822618
16.4497,0.822618
16.4848,0.822618
16.5199,0.822618
16.5550,0.822618
16.5901,0.821470
16.6252,0.821470
16.6603,0.821470
16.6954,0.821470
16.7305,0.821470
16.7657,0.821470
16.8008,0.820321
16.8359,0.820321
16.8710,0.820321
16.9061,0.821470
16.9412,0.821470
16.9763,0.821470
17.0114,0.820321
17.0465,0.820321
17.0816,0.820321
17.1167,0.820321
17.1518,0.820321
17.1870,0.820321
17.2221,0.821470
17.2572,0.821470
17.2923,0.821470
17.3274,0.821470
17.3625,0.821470
17.3976,0.821470
17.4327,0.821470
17.4678,0.821470
17.5029,0.821470
17.5380,0.821470
17.5731,0.821470
17.6083,0.821470
17.6434,0.821470
17.6785,0.821470
17.7136,0.821470
17.7487,0.821470
17.7838,0.821470
17.8189,0.820321
17.8540,0.821470
17.8891,0.821470
17.9242,0.821470
17.9593,0.821470
17.9944,0.821470
18.0296,0.821470
18.0647,0.821470
18.0998,0.821470
18.1349,0.821470
18.1700,0.821470
18.2051,0.821470
18.2402,0.821470
18.2753,0.821470
18.3104,0.821470
18.3455,0.821470
18.3806,0.821470
18.4157,0.821470
18.4509,0.821470
18.4860,0.821470
18.5211,0.821470
18.5562,0.821470
18.5913,0.821470
18.6264,0.821470
18.6615,0.821470
18.6966,0.821470
18.7317,0.821470
18.7668,0.821470
18.8019,0.821470
18.8370,0.821470
18.8721,0.821470
18.9073,0.821470
18.9424,0.821470
18.9775,0.821470
19.0126,0.821470
19.0477,0.821470
19.0828,0.821470
19.1179,0.821470
19.1530,0.821470
19.1881,0.821470
19.2232,0.821470
19.2583,0.821470
19.2934,0.820321
19.3286,0.821470
19.3637,0.821470
19.3988,0.821470
19.4339,0.821470
19.4690,0.821470
19.5041,0.821470
19.5392,0.821470
19.5743,0.821470
19.6094,0.821470
19.6445,0.821470
19.6796,0.821470
19.7147,0.821470
19.7499,0.821470
19.7850,0.821470
19.8201,0.821470
19.8552,0.821470
19.8903,0.821470
19.9254,0.821470
19.9605,0.821470
19.9956,0.821470
20.0307,0.821470
20.0658,0.821470
20.1009,0.821470
20.1360,0.821470
20.1712,0.821470
20.2063,0.821470
20.2414,0.821470
20.2765,0.821470
20.3116,0.821470
20.3467,0.821470
20.3818,0.821470
20.4169,0.822618
20.4520,0.822618
20.4871,0.822618
20.5222,0.822618
20.5573,0.821470
20.5925,0.821470
20.6276,0.821470
20.6627,0.821470
20.6978,0.821470
20.7329,0.821470
20.7680,0.821470
20.8031,0.821470
20.8382,0.821470
20.8733,0.821470
20.9084,0.821470
20.9435,0.821470
20.9786,0.821470
21.0138,0.820321
21.0489,0.821470
21.0840,0.821470
21.1191,0.821470
21.1542,0.821470
21.1893,0.821470
21.2244,0.821470
21.2595,0.821470
21.2946,0.821470
21.3297,0.821470
21.3648,0.821470
21.3999,0.821470
21.4351,0.821470
21.4702,0.821470
21.5053,0.821470
21.5404,0.820321
21.5755,0.820321
21.6106,0.821470
21.6457,0.821470
21.6808,0.821470
21.7159,0.821470
21.7510,0.821470
21.7861,0.821470
21.8212,0.821470
21.8564,0.821470
21.8915,0.821470
21.9266,0.821470
21.9617,0.821470
21.9968,0.821470
22.0319,0.821470
22.0670,0.821470
22.1021,0.821470
22.1372,0.821470
22.1723,0.821470
22.2074,0.821470
22.2425,0.822618
22.2777,0.822618
22.3128,0.822618
22.3479,0.822618
22.3830,0.822618
22.4181,0.822618
22.4532,0.823766
22.4883,0.823766
22.5234,0.823766
22.5585,0.823766
22.5936,0.823766
22.6287,0.823766
22.6638,0.823766
22.6990,0.823766
22.7341,0.823766
22.7692,0.823766
22.8043,0.823766
22.8394,0.823766
22.8745,0.824914
22.9096,0.824914
22.9447,0.824914
22.9798,0.824914
23.0149,0.823766
23.0500,0.823766
23.0851,0.823766
23.1202,0.824914
23.1554,0.823766
23.1905,0.823766
23.2256,0.822618
23.2607,0.822618
23.2958,0.822618
23.3309,0.822618
23.3660,0.821470
23.4011,0.821470
23.4362,0.821470
23.4713,0.821470
23.5064,0.821470
23.5415,0.821470
23.5767,0.821470
23.6118,0.821470
23.6469,0.821470
23.6820,0.820321
23.7171,0.819173
23.7522,0.820321
23.7873,0.820321
23.8224,0.821470
23.8575,0.821470
23.8926,0.821470
23.9277,0.820321
23.9628,0.820321
23.9980,0.820321
24.0331,0.820321
24.0682,0.820321
24.1033,0.820321
24.1384,0.819173
24.1735,0.819173
24.2086,0.819173
24.2437,0.819173
24.2788,0.819173
24.3139,0.820321
24.3490,0.820321
24.3841,0.820321
24.4193,0.820321
24.4544,0.820321
24.4895,0.819173
24.5246,0.819173
24.5597,0.819173
24.5948,0.819173
24.6299,0.819173
24.6650,0.819173
24.7001,0.819173
24.7352,0.819173
24.7703,0.819173
24.8054,0.819173
24.8406,0.819173
24.8757,0.819173
24.9108,0.819173
24.9459,0.819173
24.9810,0.819173
25.0161,0.820321
25.0512,0.820321
25.0863,0.820321
25.1214,0.820321
25.1565,0.820321
25.1916,0.819173
25.2267,0.820321
25.2619,0.820321
25.2970,0.820321
25.3321,0.820321
25.3672,0.821470
25.4023,0.821470
25.4374,0.820321
25.4725,0.820321
25.5076,0.820321
25.5427,0.819173
25.5778,0.819173
25.6129,0.819173
25.6480,0.819173
25.6832,0.820321
25.7183,0.820321
25.7534,0.819173
25.7885,0.819173
25.8236,0.819173
25.8587,0.819173
25.8938,0.819173
25.9289,0.819173
