# source: /Users/mac/Documents/MOF/img/anie.202305144/anie.202305144_s5.png
# doi: 10.1002/anie.202305144  figure: Figure S5
# legend: Water  (match: colour+geometry)
# x: 2θ (°)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
2.2308,0.749713
2.2659,0.747991
2.3010,0.745695
2.3362,0.744546
2.3713,0.743398
2.4064,0.745695
2.4415,0.745695
2.4766,0.745695
2.5117,0.745695
2.5468,0.739954
2.5819,0.737658
2.6170,0.734214
2.6521,0.730769
2.6872,0.726177
2.7223,0.725029
2.7575,0.723307
2.7926,0.722158
2.8277,0.721010
2.8628,0.720436
2.8979,0.719288
2.9330,0.718714
2.9681,0.717566
3.0032,0.716418
3.0383,0.714696
3.0734,0.714696
3.1085,0.713548
3.1436,0.715270
3.1788,0.714696
3.2139,0.713548
3.2490,0.712400
3.2841,0.710103
3.3192,0.708955
3.3543,0.703215
3.3894,0.702067
3.4245,0.700918
3.4596,0.699770
3.4947,0.699196
3.5298,0.698048
3.5649,0.696900
3.6001,0.695752
3.6352,0.694030
3.6703,0.692882
3.7054,0.692882
3.7405,0.691734
3.7756,0.690586
3.8107,0.690586
3.8458,0.691160
3.8809,0.691160
3.9160,0.690011
3.9511,0.689437
3.9862,0.689437
4.0214,0.688289
4.0565,0.688289
4.0916,0.688289
4.1267,0.688863
4.1618,0.688289
4.1969,0.687715
4.2320,0.687715
4.2671,0.687715
4.3022,0.687715
4.3373,0.687715
4.3724,0.688289
4.4075,0.688863
4.4427,0.689437
4.4778,0.689437
4.5129,0.689437
4.5480,0.688863
4.5831,0.688863
4.6182,0.688863
4.6533,0.688863
4.6884,0.688863
4.7235,0.688863
4.7586,0.689437
4.7937,0.689437
4.8288,0.690011
4.8640,0.689437
4.8991,0.690011
4.9342,0.691160
4.9693,0.691160
5.0044,0.691160
5.0395,0.691734
5.0746,0.691734
5.1097,0.692308
5.1448,0.692308
5.1799,0.692308
5.2150,0.692308
5.2501,0.693456
5.2853,0.694604
5.3204,0.695178
5.3555,0.696326
5.3906,0.696900
5.4257,0.696900
5.4608,0.696900
5.4959,0.698048
5.5310,0.698622
5.5661,0.699770
5.6012,0.699770
5.6363,0.699770
5.6714,0.699770
5.7066,0.699770
5.7417,0.699196
5.7768,0.699196
5.8119,0.699770
5.8470,0.699770
5.8821,0.699770
5.9172,0.699196
5.9523,0.698622
5.9874,0.698622
6.0225,0.698622
6.0576,0.698048
6.0927,0.697474
6.1279,0.696900
6.1630,0.696326
6.1981,0.695752
6.2332,0.695752
6.2683,0.695752
6.3034,0.694604
6.3385,0.694030
6.3736,0.693456
6.4087,0.692882
6.4438,0.692308
6.4789,0.692308
6.5140,0.691734
6.5491,0.691160
6.5843,0.691734
6.6194,0.691734
6.6545,0.690586
6.6896,0.689437
6.7247,0.689437
6.7598,0.689437
6.7949,0.688863
6.8300,0.688863
6.8651,0.688863
6.9002,0.687715
6.9353,0.687715
6.9704,0.686567
7.0056,0.685993
7.0407,0.686567
7.0758,0.686567
7.1109,0.687141
7.1460,0.686567
7.1811,0.686567
7.2162,0.686567
7.2513,0.685993
7.2864,0.684845
7.3215,0.685419
7.3566,0.685419
7.3917,0.685993
7.4269,0.685993
7.4620,0.685419
7.4971,0.685419
7.5322,0.684845
7.5673,0.685419
7.6024,0.684845
7.6375,0.685419
7.6726,0.685419
7.7077,0.685419
7.7428,0.684845
7.7779,0.684845
7.8130,0.684271
7.8482,0.683697
7.8833,0.684271
7.9184,0.684271
7.9535,0.684271
7.9886,0.683697
8.0237,0.683697
8.0588,0.683123
8.0939,0.683123
8.1290,0.683123
8.1641,0.683697
8.1992,0.683697
8.2343,0.683697
8.2695,0.683123
8.3046,0.682549
8.3397,0.682549
8.3748,0.681975
8.4099,0.682549
8.4450,0.681975
8.4801,0.681401
8.5152,0.680827
8.5503,0.680827
8.5854,0.681975
8.6205,0.681975
8.6556,0.681975
8.6908,0.681401
8.7259,0.680827
8.7610,0.680253
8.7961,0.679679
8.8312,0.680253
8.8663,0.681401
8.9014,0.680827
8.9365,0.681401
8.9716,0.680827
9.0067,0.680253
9.0418,0.680253
9.0769,0.680253
9.1121,0.680253
9.1472,0.679679
9.1823,0.680253
9.2174,0.680827
9.2525,0.681401
9.2876,0.680827
9.3227,0.680253
9.3578,0.679104
9.3929,0.679104
9.4280,0.679104
9.4631,0.679104
9.4982,0.679679
9.5334,0.679104
9.5685,0.679679
9.6036,0.679104
9.6387,0.679679
9.6738,0.678530
9.7089,0.679104
9.7440,0.679679
9.7791,0.679104
9.8142,0.679104
9.8493,0.678530
9.8844,0.679104
9.9195,0.679104
9.9547,0.678530
9.9898,0.678530
10.0249,0.677956
10.0600,0.678530
10.0951,0.678530
10.1302,0.677956
10.1653,0.677956
10.2004,0.677382
10.2355,0.677382
10.2706,0.676808
10.3057,0.676808
10.3408,0.676808
10.3760,0.676808
10.4111,0.676808
10.4462,0.676808
10.4813,0.676234
10.5164,0.676234
10.5515,0.676234
10.5866,0.676808
10.6217,0.677382
10.6568,0.676234
10.6919,0.676234
10.7270,0.675660
10.7621,0.675660
10.7972,0.676234
10.8324,0.675660
10.8675,0.675660
10.9026,0.675086
10.9377,0.674512
10.9728,0.675086
11.0079,0.675086
11.0430,0.675660
11.0781,0.675086
11.1132,0.675086
11.1483,0.675086
11.1834,0.675086
11.2185,0.675086
11.2537,0.674512
11.2888,0.674512
11.3239,0.674512
11.3590,0.673938
11.3941,0.674512
11.4292,0.674512
11.4643,0.673938
11.4994,0.673938
11.5345,0.673938
11.5696,0.673364
11.6047,0.673364
11.6398,0.672790
11.6750,0.673364
11.7101,0.673364
11.7452,0.672216
11.7803,0.672216
11.8154,0.672216
11.8505,0.672790
11.8856,0.672790
11.9207,0.672216
11.9558,0.672216
11.9909,0.672216
12.0260,0.672216
12.0611,0.672216
12.0963,0.672216
12.1314,0.672790
12.1665,0.672216
12.2016,0.672216
12.2367,0.671642
12.2718,0.671642
12.3069,0.672216
12.3420,0.672216
12.3771,0.672216
12.4122,0.671642
12.4473,0.671068
12.4824,0.671068
12.5176,0.671068
12.5527,0.671068
12.5878,0.671068
12.6229,0.671068
12.6580,0.671068
12.6931,0.671642
12.7282,0.671642
12.7633,0.671642
12.7984,0.671068
12.8335,0.671068
12.8686,0.671068
12.9037,0.671068
12.9389,0.670494
12.9740,0.670494
13.0091,0.670494
13.0442,0.670494
13.0793,0.670494
13.1144,0.670494
13.1495,0.670494
13.1846,0.670494
13.2197,0.670494
13.2548,0.670494
13.2899,0.670494
13.3250,0.670494
13.3602,0.670494
13.3953,0.670494
13.4304,0.670494
13.4655,0.670494
13.5006,0.669920
13.5357,0.669920
13.5708,0.669346
