# source: /Users/mac/Documents/MOF/img/anie.202305144/anie.202305144_s5.png
# doi: 10.1002/anie.202305144  figure: Figure S5
# legend: 1 M HCI  (match: colour+geometry)
# x: 2θ (°)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
2.2308,0.598163
2.2659,0.594719
2.3010,0.594719
2.3362,0.594719
2.3713,0.594719
2.4064,0.594719
2.4415,0.594719
2.4766,0.594719
2.5117,0.594719
2.5468,0.588978
2.5819,0.587830
2.6170,0.586682
2.6521,0.582090
2.6872,0.580941
2.7223,0.577497
2.7575,0.574053
2.7926,0.572905
2.8277,0.570608
2.8628,0.569460
2.8979,0.569460
2.9330,0.568312
2.9681,0.567164
3.0032,0.567164
3.0383,0.567164
3.0734,0.566016
3.1085,0.566016
3.1436,0.563720
3.1788,0.560276
3.2139,0.560276
3.2490,0.559127
3.2841,0.556831
3.3192,0.554535
3.3543,0.554535
3.3894,0.553387
3.4245,0.551091
3.4596,0.548794
3.4947,0.547646
3.5298,0.546498
3.5649,0.545350
3.6001,0.544202
3.6352,0.544202
3.6703,0.544202
3.7054,0.544202
3.7405,0.541906
3.7756,0.539610
3.8107,0.539610
3.8458,0.539610
3.8809,0.539610
3.9160,0.539610
3.9511,0.539610
3.9862,0.538462
4.0214,0.537313
4.0565,0.537313
4.0916,0.536165
4.1267,0.536165
4.1618,0.536165
4.1969,0.535017
4.2320,0.535017
4.2671,0.536165
4.3022,0.536165
4.3373,0.536165
4.3724,0.536165
4.4075,0.537313
4.4427,0.537313
4.4778,0.537313
4.5129,0.537313
4.5480,0.537313
4.5831,0.536165
4.6182,0.536165
4.6533,0.536165
4.6884,0.537313
4.7235,0.537313
4.7586,0.537313
4.7937,0.537313
4.8288,0.537313
4.8640,0.538462
4.8991,0.539610
4.9342,0.539610
4.9693,0.539610
5.0044,0.539610
5.0395,0.538462
5.0746,0.538462
5.1097,0.540758
5.1448,0.543054
5.1799,0.544202
5.2150,0.544202
5.2501,0.544202
5.2853,0.544202
5.3204,0.544202
5.3555,0.544202
5.3906,0.544202
5.4257,0.545350
5.4608,0.545350
5.4959,0.545350
5.5310,0.546498
5.5661,0.546498
5.6012,0.546498
5.6363,0.546498
5.6714,0.547646
5.7066,0.548794
5.7417,0.547646
5.7768,0.547646
5.8119,0.546498
5.8470,0.546498
5.8821,0.546498
5.9172,0.546498
5.9523,0.546498
5.9874,0.546498
6.0225,0.545350
6.0576,0.544202
6.0927,0.543054
6.1279,0.543054
6.1630,0.543054
6.1981,0.543054
6.2332,0.543054
6.2683,0.541906
6.3034,0.540758
6.3385,0.539610
6.3736,0.538462
6.4087,0.538462
6.4438,0.537313
6.4789,0.537313
6.5140,0.537313
6.5491,0.537313
6.5843,0.537313
6.6194,0.537313
6.6545,0.537313
6.6896,0.537313
6.7247,0.537313
6.7598,0.536165
6.7949,0.535017
6.8300,0.535017
6.8651,0.535017
6.9002,0.535017
6.9353,0.535017
6.9704,0.533869
7.0056,0.531573
7.0407,0.532721
7.0758,0.532721
7.1109,0.532721
7.1460,0.531573
7.1811,0.532721
7.2162,0.532721
7.2513,0.531573
7.2864,0.531573
7.3215,0.530425
7.3566,0.529277
7.3917,0.529277
7.4269,0.529277
7.4620,0.529277
7.4971,0.529277
7.5322,0.529277
7.5673,0.529277
7.6024,0.529277
7.6375,0.529277
7.6726,0.529277
7.7077,0.529277
7.7428,0.529277
7.7779,0.530425
7.8130,0.529277
7.8482,0.528129
7.8833,0.528129
7.9184,0.528129
7.9535,0.528129
7.9886,0.528129
8.0237,0.528129
8.0588,0.528129
8.0939,0.526980
8.1290,0.526980
8.1641,0.526980
8.1992,0.526980
8.2343,0.526980
8.2695,0.526980
8.3046,0.526980
8.3397,0.526980
8.3748,0.525832
8.4099,0.525832
8.4450,0.525832
8.4801,0.525832
8.5152,0.525832
8.5503,0.525832
8.5854,0.525832
8.6205,0.525832
8.6556,0.525832
8.6908,0.524684
8.7259,0.525832
8.7610,0.525832
8.7961,0.525832
8.8312,0.525832
8.8663,0.525832
8.9014,0.524684
