# source: /Users/mac/Documents/MOF/img/anie.202305144/anie.202305144_s8.png
# doi: 10.1002/anie.202305144  figure: Figure S8
# legend: After 298 K  (match: geometry)
# x: 2θ (°)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
3.6452,0.438462
3.6774,0.436264
3.7097,0.435714
3.7419,0.435714
3.7742,0.435714
3.8065,0.435714
3.8387,0.435714
3.8710,0.435714
3.9032,0.435714
3.9355,0.435714
3.9677,0.435714
4.0000,0.435714
4.0323,0.435714
4.0645,0.435714
4.0968,0.435714
4.1290,0.435714
4.1613,0.435714
4.1935,0.435714
4.2258,0.435714
4.2581,0.435714
4.2903,0.431319
4.3226,0.429121
4.3548,0.429121
4.3871,0.429121
4.4194,0.430220
4.4516,0.430220
4.4839,0.431319
4.5161,0.432418
4.5484,0.437912
4.5806,0.448901
4.6129,0.450000
4.6452,0.470879
4.6774,0.500549
4.7097,0.519231
4.7419,0.521429
4.7742,0.521429
4.8065,0.521429
4.8387,0.521429
4.8710,0.521429
4.9032,0.520330
4.9355,0.508242
4.9677,0.506044
5.0000,0.429121
5.0323,0.428022
5.0645,0.426923
5.0968,0.425824
5.1290,0.425824
5.1613,0.424725
5.1935,0.424725
5.2258,0.424725
5.2581,0.423626
5.2903,0.424725
5.3226,0.424725
5.3548,0.423626
5.3871,0.423626
5.4194,0.423626
5.4516,0.423626
5.4839,0.423626
5.5161,0.423626
5.5484,0.422527
5.5806,0.422527
5.6129,0.423626
5.6452,0.423626
5.6774,0.423626
5.7097,0.423626
5.7419,0.423626
5.7742,0.422527
5.8065,0.422527
5.8387,0.422527
5.8710,0.422527
5.9032,0.422527
5.9355,0.422527
5.9677,0.423626
6.0000,0.424725
6.0323,0.426923
6.0645,0.434615
6.0968,0.436813
6.1290,0.452198
6.1613,0.481868
6.1935,0.533516
6.2258,0.590659
6.2581,0.591758
6.2903,0.591758
6.3226,0.592857
6.3548,0.592857
6.3871,0.592857
6.4194,0.590659
6.4516,0.589560
6.4839,0.567582
6.5161,0.441209
6.5484,0.423626
6.5806,0.422527
6.6129,0.422527
6.6452,0.422527
6.6774,0.422527
6.7097,0.422527
6.7419,0.422527
6.7742,0.422527
6.8065,0.422527
6.8387,0.422527
6.8710,0.422527
6.9032,0.421429
6.9355,0.421429
6.9677,0.421429
7.0000,0.421429
7.0323,0.421429
7.0645,0.421429
7.0968,0.421429
7.1290,0.421429
7.1613,0.423626
7.1935,0.423626
7.2258,0.423626
7.2581,0.424725
7.2903,0.424725
7.3226,0.423626
7.3548,0.423626
7.3871,0.422527
7.4194,0.421429
7.4516,0.421429
7.4839,0.421429
7.5161,0.421429
7.5484,0.421429
7.5806,0.421429
7.6129,0.421429
7.6452,0.421429
7.6774,0.421429
7.7097,0.421429
7.7419,0.421429
7.7742,0.421429
7.8065,0.421429
