# source: /Users/mac/Documents/MOF/img/anie.202305144/anie.202305144_s8.png
# doi: 10.1002/anie.202305144  figure: Figure S8
# legend: Pristine sample  (match: colour+geometry)
# x: 2θ (°)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
3.6452,0.073626
3.6774,0.073626
3.7097,0.073626
3.7419,0.073626
3.7742,0.070330
3.8065,0.069231
3.8387,0.069231
3.8710,0.078022
3.9032,0.095604
3.9355,0.141758
3.9677,0.149451
4.0000,0.149451
4.0323,0.150549
4.0645,0.150549
4.0968,0.150549
4.1290,0.149451
4.1613,0.149451
4.1935,0.148352
4.2258,0.082418
4.2581,0.054945
4.2903,0.054945
4.3226,0.054945
4.3548,0.054945
4.3871,0.054945
4.4194,0.054945
4.4516,0.054945
4.4839,0.056044
4.5161,0.057143
4.5484,0.061538
4.5806,0.065934
4.6129,0.067033
4.6452,0.075824
4.6774,0.086813
4.7097,0.096703
4.7419,0.118681
4.7742,0.124176
4.8065,0.125275
4.8387,0.126374
4.8710,0.127473
4.9032,0.127473
4.9355,0.127473
4.9677,0.126374
5.0000,0.125275
5.0323,0.124176
5.0645,0.078022
5.0968,0.052747
5.1290,0.051648
5.1613,0.050549
5.1935,0.050549
5.2258,0.050549
5.2581,0.050549
5.2903,0.050549
5.3226,0.049451
5.3548,0.049451
5.3871,0.049451
5.4194,0.049451
5.4516,0.049451
5.4839,0.049451
5.5161,0.048352
5.5484,0.047253
5.5806,0.048352
5.6129,0.048352
5.6452,0.048352
5.6774,0.048352
5.7097,0.047253
5.7419,0.048352
5.7742,0.049451
5.8065,0.049451
5.8387,0.048352
5.8710,0.047253
5.9032,0.047253
5.9355,0.048352
5.9677,0.050549
6.0000,0.053846
6.0323,0.060440
6.0645,0.076923
6.0968,0.078022
6.1290,0.116484
6.1613,0.132967
6.1935,0.167033
6.2258,0.208791
6.2581,0.213187
6.2903,0.214286
6.3226,0.215385
6.3548,0.215385
6.3871,0.215385
6.4194,0.215385
6.4516,0.214286
6.4839,0.213187
6.5161,0.161538
6.5484,0.065934
6.5806,0.050549
6.6129,0.048352
6.6452,0.047253
6.6774,0.048352
6.7097,0.048352
6.7419,0.047253
6.7742,0.046154
6.8065,0.046154
6.8387,0.046154
6.8710,0.046154
6.9032,0.046154
6.9355,0.046154
6.9677,0.046154
7.0000,0.046154
7.0323,0.046154
7.0645,0.046154
7.0968,0.046154
7.1290,0.045055
7.1613,0.045055
7.1935,0.045055
7.2258,0.046154
7.2581,0.046154
7.2903,0.046154
7.3226,0.046154
7.3548,0.046154
7.3871,0.046154
7.4194,0.046154
7.4516,0.046154
7.4839,0.046154
7.5161,0.046154
7.5484,0.046154
7.5806,0.045055
7.6129,0.045055
7.6452,0.045055
7.6774,0.045055
7.7097,0.045055
7.7419,0.045055
7.7742,0.045055
7.8065,0.045055
7.8387,0.045055
7.8710,0.043956
7.9032,0.045055
7.9355,0.045055
7.9677,0.046154
8.0000,0.050549
8.0323,0.053846
8.0645,0.054945
8.0968,0.056044
8.1290,0.056044
8.1613,0.056044
8.1935,0.056044
8.2258,0.054945
8.2581,0.068132
8.2903,0.095604
8.3226,0.100000
8.3548,0.102198
8.3871,0.102198
8.4194,0.102198
8.4516,0.102198
8.4839,0.102198
8.5161,0.102198
8.5484,0.101099
8.5806,0.090110
8.6129,0.072527
8.6452,0.070330
8.6774,0.058242
8.7097,0.060440
8.7419,0.065934
8.7742,0.070330
8.8065,0.070330
8.8387,0.071429
8.8710,0.071429
8.9032,0.071429
8.9355,0.070330
8.9677,0.069231
9.0000,0.068132
9.0323,0.064835
9.0645,0.060440
9.0968,0.053846
9.1290,0.047253
9.1613,0.045055
9.1935,0.045055
9.2258,0.045055
9.2581,0.045055
9.2903,0.043956
9.3226,0.043956
9.3548,0.045055
9.3871,0.046154
9.4194,0.047253
9.4516,0.048352
9.4839,0.049451
9.5161,0.049451
9.5484,0.049451
9.5806,0.048352
9.6129,0.049451
9.6452,0.051648
9.6774,0.052747
9.7097,0.053846
9.7419,0.053846
9.7742,0.053846
9.8065,0.053846
9.8387,0.053846
9.8710,0.052747
9.9032,0.051648
9.9355,0.047253
9.9677,0.046154
10.0000,0.043956
10.0323,0.043956
10.0645,0.043956
10.0968,0.043956
10.1290,0.043956
10.1613,0.043956
10.1935,0.042857
10.2258,0.043956
10.2581,0.043956
10.2903,0.043956
10.3226,0.045055
10.3548,0.045055
10.3871,0.046154
10.4194,0.048352
10.4516,0.049451
10.4839,0.051648
10.5161,0.052747
10.5484,0.053846
10.5806,0.053846
10.6129,0.053846
