# source: /Users/mac/Documents/MOF/img/anie.202305246/anie.202305246_f1b.png
# doi: 10.1002/anie.202305246  figure: Figure 1B
# legend: Fe-MOF  (match: colour+geometry)
# x: 2θ / degree   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
3.7178,0.252070
3.7544,0.251553
3.7911,0.252070
3.8278,0.238613
3.8645,0.240166
3.9012,0.226708
3.9378,0.227226
3.9745,0.226708
4.0112,0.226708
4.0479,0.222050
4.0845,0.222050
4.1212,0.222050
4.1579,0.222567
4.1946,0.223085
4.2313,0.239130
4.2679,0.245342
4.3046,0.246377
4.3413,0.331263
4.3780,0.331263
4.4147,0.330228
4.4513,0.331263
4.4880,0.406832
4.5247,0.407867
4.5614,0.406832
4.5981,0.300207
4.6347,0.299172
4.6714,0.300207
4.7081,0.275362
4.7448,0.274327
4.7815,0.273292
4.8181,0.247412
4.8548,0.246377
4.8915,0.198758
4.9282,0.198758
4.9649,0.198758
5.0015,0.198240
5.0382,0.196687
5.0749,0.196170
5.1116,0.196687
5.1483,0.196687
5.1849,0.197723
5.2216,0.299172
5.2583,0.298137
5.2950,0.299172
5.3317,0.300207
5.3683,0.310559
5.4050,0.311594
5.4417,0.310559
5.4784,0.253623
5.5151,0.252588
5.5517,0.252588
5.5884,0.186335
5.6251,0.185300
5.6618,0.186335
5.6985,0.182195
5.7351,0.181159
5.7718,0.174431
5.8085,0.174948
5.8452,0.173913
5.8819,0.173395
5.9185,0.173913
5.9552,0.172360
5.9919,0.195652
6.0286,0.211180
6.0653,0.174431
6.1019,0.249482
6.1386,0.259834
6.1753,0.258799
6.2120,0.312629
6.2487,0.313665
6.2853,0.267081
6.3220,0.315735
6.3587,0.267598
6.3954,0.267598
6.4321,0.267598
6.4687,0.235507
6.5054,0.234472
6.5421,0.234472
6.5788,0.228778
6.6155,0.227743
6.6521,0.161491
6.6888,0.161491
6.7255,0.159938
6.7622,0.159938
6.7989,0.159420
6.8355,0.159420
6.8722,0.159420
6.9089,0.159420
6.9456,0.158385
6.9823,0.157350
7.0189,0.156832
7.0556,0.156315
7.0923,0.156315
7.1290,0.157867
7.1657,0.158385
7.2023,0.160455
7.2390,0.157350
7.2757,0.163561
7.3124,0.154244
7.3491,0.154762
7.3857,0.153727
7.4224,0.153209
7.4591,0.152174
7.4958,0.154244
7.5325,0.152174
7.5691,0.151656
7.6058,0.150621
7.6425,0.150621
7.6792,0.150621
7.7159,0.150621
7.7525,0.150621
7.7892,0.149586
7.8259,0.150621
7.8626,0.151139
7.8993,0.150621
7.9359,0.156315
7.9726,0.206004
8.0093,0.208075
8.0460,0.209110
8.0827,0.210145
8.1193,0.216356
8.1560,0.215321
8.1927,0.148033
8.2294,0.150104
8.2661,0.149586
8.3027,0.147516
8.3394,0.147516
8.3761,0.147516
8.4128,0.147516
8.4495,0.147516
8.4861,0.147516
8.5228,0.147516
8.5595,0.147516
8.5962,0.147516
8.6329,0.147516
8.6695,0.146998
8.7062,0.146998
8.7429,0.147516
8.7796,0.149586
8.8163,0.150104
8.8529,0.158385
8.8896,0.190476
8.9263,0.190476
8.9630,0.190994
8.9997,0.167184
9.0363,0.212215
9.0730,0.167184
9.1097,0.210663
9.1464,0.209110
9.1831,0.209110
9.2197,0.148033
9.2564,0.156315
9.2931,0.144928
9.3298,0.144928
9.3665,0.144410
9.4031,0.144410
9.4398,0.144410
9.4765,0.144410
9.5132,0.144410
9.5499,0.143892
9.5865,0.143892
9.6232,0.143892
9.6599,0.143892
9.6966,0.143892
9.7333,0.143892
9.7699,0.144928
9.8066,0.144928
9.8433,0.145963
9.8800,0.144410
9.9167,0.165631
9.9533,0.167184
9.9900,0.168737
10.0267,0.168737
10.0634,0.168737
10.1001,0.164596
10.1367,0.162526
10.1734,0.142857
10.2101,0.143892
10.2468,0.143375
10.2835,0.143892
10.3201,0.144410
10.3568,0.144928
10.3935,0.145445
10.4302,0.153209
10.4669,0.148033
10.5035,0.153209
10.5402,0.146480
10.5769,0.153209
10.6136,0.153209
10.6503,0.149068
10.6869,0.139752
10.7236,0.146998
10.7603,0.141822
10.7970,0.141822
10.8337,0.141304
10.8703,0.153209
10.9070,0.139752
10.9437,0.151656
10.9804,0.144928
11.0171,0.156315
11.0537,0.156315
11.0904,0.159420
11.1271,0.144928
11.1638,0.159420
11.2005,0.148551
11.2371,0.146998
11.2738,0.146998
11.3105,0.141822
11.3472,0.141822
11.3839,0.141304
11.4205,0.141304
11.4572,0.141304
11.4939,0.141304
11.5306,0.141304
11.5673,0.141304
11.6039,0.141304
11.6406,0.141304
11.6773,0.141304
11.7140,0.141304
11.7507,0.140787
11.7873,0.140269
11.8240,0.139752
11.8607,0.140269
11.8974,0.140269
11.9341,0.140787
11.9707,0.140787
12.0074,0.140787
12.0441,0.141304
12.0808,0.140269
12.1175,0.139752
12.1541,0.139234
12.1908,0.146998
12.2275,0.146998
12.2642,0.149068
12.3009,0.153209
12.3375,0.153209
12.3742,0.141822
12.4109,0.150104
12.4476,0.141822
12.4843,0.150104
12.5209,0.140269
12.5576,0.139752
12.5943,0.139234
12.6310,0.139752
12.6677,0.139752
12.7043,0.139234
12.7410,0.139752
12.7777,0.139752
12.8144,0.140269
12.8511,0.140269
12.8877,0.140269
12.9244,0.140269
12.9611,0.139752
12.9978,0.139752
13.0345,0.139752
13.0711,0.141304
13.1078,0.141304
13.1445,0.141304
13.1812,0.140787
13.2179,0.139752
13.2545,0.138716
13.2912,0.138199
13.3279,0.137681
13.3646,0.138199
13.4013,0.143892
13.4379,0.143892
13.4746,0.143892
13.5113,0.150104
13.5480,0.150104
13.5847,0.148551
13.6213,0.149068
13.6580,0.149068
13.6947,0.153209
13.7314,0.151656
13.7681,0.150104
13.8047,0.150104
13.8414,0.140787
13.8781,0.139752
13.9148,0.138716
13.9515,0.138199
13.9881,0.137681
14.0248,0.137681
14.0615,0.137681
14.0982,0.137681
14.1349,0.137681
14.1715,0.138199
14.2082,0.138199
14.2449,0.138199
14.2816,0.138199
14.3183,0.138199
14.3549,0.138716
14.3916,0.139234
14.4283,0.139752
14.4650,0.139752
14.5017,0.139752
14.5383,0.139234
14.5750,0.138716
14.6117,0.138199
14.6484,0.138199
14.6851,0.138199
14.7217,0.137681
14.7584,0.137164
14.7951,0.137164
14.8318,0.136128
14.8685,0.136128
14.9051,0.136128
14.9418,0.138716
14.9785,0.138716
15.0152,0.138716
15.0519,0.138199
15.0885,0.138199
15.1252,0.138199
15.1619,0.138716
15.1986,0.138716
15.2353,0.138199
15.2719,0.138199
15.3086,0.138199
15.3453,0.138199
15.3820,0.138716
15.4187,0.138716
15.4553,0.138716
15.4920,0.139234
15.5287,0.139752
15.5654,0.139752
15.6021,0.139752
15.6387,0.139234
15.6754,0.139234
15.7121,0.141304
15.7488,0.141304
15.7855,0.141304
15.8221,0.140269
15.8588,0.143892
15.8955,0.143892
15.9322,0.139752
15.9689,0.139752
16.0055,0.139752
16.0422,0.140269
16.0789,0.140269
16.1156,0.140787
16.1523,0.141304
16.1889,0.141822
16.2256,0.141822
16.2623,0.141304
16.2990,0.141304
16.3357,0.141304
16.3723,0.141304
16.4090,0.141822
16.4457,0.141822
16.4824,0.146998
16.5191,0.146998
16.5557,0.146998
16.5924,0.146998
16.6291,0.146998
16.6658,0.146998
16.7025,0.141822
16.7391,0.141822
16.7758,0.142340
16.8125,0.143375
16.8492,0.143892
16.8859,0.143375
16.9225,0.146998
16.9592,0.146998
16.9959,0.142857
17.0326,0.141822
17.0693,0.141304
17.1059,0.140787
17.1426,0.141304
17.1793,0.141304
17.2160,0.141304
17.2527,0.141822
17.2893,0.141822
17.3260,0.142340
17.3627,0.143375
17.3994,0.143892
17.4361,0.143892
17.4727,0.144410
17.5094,0.144410
17.5461,0.144410
17.5828,0.143892
17.6195,0.143892
17.6561,0.144410
17.6928,0.153209
17.7295,0.153209
17.7662,0.154762
17.8029,0.159420
17.8395,0.159420
17.8762,0.159420
17.9129,0.181159
17.9496,0.181159
17.9863,0.182712
18.0229,0.171843
18.0596,0.184265
18.0963,0.184265
18.1330,0.184265
18.1697,0.184265
18.2063,0.184265
18.2430,0.171843
18.2797,0.174948
18.3164,0.174948
18.3531,0.161491
18.3897,0.159420
18.4264,0.159420
18.4631,0.146480
18.4998,0.145963
18.5365,0.145963
18.5731,0.144928
18.6098,0.144410
18.6465,0.143892
18.6832,0.143892
18.7199,0.143892
18.7565,0.144410
18.7932,0.144928
18.8299,0.144410
18.8666,0.144410
18.9033,0.144410
18.9399,0.144410
18.9766,0.144410
19.0133,0.143375
19.0500,0.142340
19.0867,0.142340
19.1233,0.143375
19.1600,0.142857
19.1967,0.143375
19.2334,0.144410
19.2701,0.144410
19.3067,0.144410
19.3434,0.143892
19.3801,0.143892
19.4168,0.144410
19.4535,0.150621
19.4901,0.151139
19.5268,0.152174
19.5635,0.151656
19.6002,0.159420
19.6369,0.151656
19.6735,0.156315
19.7102,0.144928
19.7469,0.156315
19.7836,0.144928
19.8203,0.144410
19.8569,0.144410
19.8936,0.144410
19.9303,0.144928
19.9670,0.144928
20.0037,0.144410
20.0403,0.144410
20.0770,0.144410
20.1137,0.159420
20.1504,0.145963
20.1871,0.159938
20.2237,0.168737
20.2604,0.168737
20.2971,0.168737
20.3338,0.168737
20.3705,0.168737
20.4071,0.168737
20.4438,0.163043
20.4805,0.162526
20.5172,0.142340
20.5539,0.144410
20.5905,0.144410
20.6272,0.144410
20.6639,0.144410
20.7006,0.144410
20.7373,0.144410
20.7739,0.144928
20.8106,0.144410
20.8473,0.144410
20.8840,0.144410
20.9207,0.144410
20.9573,0.144410
20.9940,0.143892
21.0307,0.143892
21.0674,0.144410
21.1041,0.144928
21.1407,0.145445
21.1774,0.144928
21.2141,0.144928
21.2508,0.144410
21.2875,0.144410
21.3241,0.144410
21.3608,0.144410
21.3975,0.144410
21.4342,0.143892
21.4709,0.143892
21.5075,0.143892
21.5442,0.143892
21.5809,0.142857
21.6176,0.141822
21.6543,0.141304
21.6909,0.141822
21.7276,0.142857
21.7643,0.144410
21.8010,0.144410
21.8377,0.144410
21.8743,0.143892
21.9110,0.143892
21.9477,0.144410
21.9844,0.144410
22.0211,0.144928
22.0577,0.145445
22.0944,0.146480
22.1311,0.147516
22.1678,0.146998
22.2045,0.145963
22.2411,0.146998
22.2778,0.144928
22.3145,0.145445
22.3512,0.144410
22.3879,0.143892
22.4245,0.143892
22.4612,0.143375
22.4979,0.142340
22.5346,0.141822
22.5713,0.141822
22.6079,0.141822
22.6446,0.141822
22.6813,0.142340
22.7180,0.143375
22.7547,0.156315
22.7913,0.142857
22.8280,0.157867
22.8647,0.168737
22.9014,0.168737
22.9381,0.168737
22.9747,0.168737
23.0114,0.168737
23.0481,0.168737
23.0848,0.158385
23.1215,0.156315
23.1581,0.144928
23.1948,0.143892
23.2315,0.143375
23.2682,0.143892
23.3049,0.143892
23.3415,0.143892
23.3782,0.143892
23.4149,0.143892
23.4516,0.142857
23.4883,0.141822
23.5249,0.141822
23.5616,0.141822
23.5983,0.141304
23.6350,0.140787
23.6717,0.141304
23.7083,0.142340
23.7450,0.143375
23.7817,0.143892
23.8184,0.143892
23.8551,0.143375
23.8917,0.142857
23.9284,0.142857
23.9651,0.141822
24.0018,0.141304
24.0385,0.141304
24.0751,0.140787
24.1118,0.140787
24.1485,0.140787
24.1852,0.141304
24.2219,0.141304
24.2585,0.141304
24.2952,0.141304
24.3319,0.141822
24.3686,0.141822
24.4053,0.140787
24.4419,0.141304
24.4786,0.142340
24.5153,0.142857
24.5520,0.142857
24.5887,0.142857
24.6253,0.142340
24.6620,0.141822
24.6987,0.141304
24.7354,0.141304
24.7721,0.141304
24.8087,0.141304
24.8454,0.140787
24.8821,0.141304
24.9188,0.141304
24.9555,0.140787
24.9921,0.140269
25.0288,0.139752
25.0655,0.139752
25.1022,0.139752
25.1389,0.139752
25.1755,0.139234
25.2122,0.139234
25.2489,0.139234
25.2856,0.139752
25.3223,0.139752
25.3589,0.139752
25.3956,0.139752
25.4323,0.139752
25.4690,0.139752
25.5057,0.140269
25.5423,0.142857
25.5790,0.143375
25.6157,0.143892
25.6524,0.143892
25.6891,0.143375
25.7257,0.142340
25.7624,0.141822
25.7991,0.141304
25.8358,0.141304
25.8725,0.141304
25.9091,0.141304
25.9458,0.140787
25.9825,0.140269
26.0192,0.139752
26.0559,0.139234
26.0925,0.139234
26.1292,0.140269
26.1659,0.141822
26.2026,0.142340
26.2393,0.141822
26.2759,0.141304
26.3126,0.140787
26.3493,0.140787
26.3860,0.140269
26.4226,0.139752
26.4593,0.140269
26.4960,0.141304
26.5327,0.141304
26.5694,0.141304
26.6060,0.141304
26.6427,0.140787
26.6794,0.139752
26.7161,0.138716
26.7528,0.138199
26.7894,0.138716
26.8261,0.139752
26.8628,0.140787
26.8995,0.140787
26.9362,0.140787
26.9728,0.140269
27.0095,0.139752
27.0462,0.139234
27.0829,0.139234
27.1196,0.138716
27.1562,0.138199
27.1929,0.138199
27.2296,0.138199
27.2663,0.138716
27.3030,0.138716
27.3396,0.138199
27.3763,0.138199
27.4130,0.138199
27.4497,0.138199
27.4864,0.138199
27.5230,0.138199
27.5597,0.138199
27.5964,0.138199
27.6331,0.138199
27.6698,0.138199
27.7064,0.138716
27.7431,0.138716
27.7798,0.138199
27.8165,0.137681
27.8532,0.138199
27.8898,0.138199
27.9265,0.138199
27.9632,0.138716
27.9999,0.139234
28.0366,0.139752
28.0732,0.139752
28.1099,0.139752
28.1466,0.139234
28.1833,0.138716
28.2200,0.138199
28.2566,0.137681
28.2933,0.137681
28.3300,0.138199
28.3667,0.139234
28.4034,0.139752
28.4400,0.139752
28.4767,0.140269
28.5134,0.139752
28.5501,0.139234
28.5868,0.138716
28.6234,0.138716
28.6601,0.138716
28.6968,0.138199
28.7335,0.137681
28.7702,0.137681
28.8068,0.137164
28.8435,0.136646
28.8802,0.137164
28.9169,0.138199
28.9536,0.138199
28.9902,0.138199
29.0269,0.138199
29.0636,0.138199
29.1003,0.138199
29.1370,0.138199
29.1736,0.138199
29.2103,0.139234
29.2470,0.140269
29.2837,0.140787
29.3204,0.141304
29.3570,0.140787
29.3937,0.140269
29.4304,0.139234
29.4671,0.138716
29.5038,0.138199
29.5404,0.137681
29.5771,0.137164
29.6138,0.137164
29.6505,0.137681
29.6872,0.138199
29.7238,0.137681
29.7605,0.137681
29.7972,0.137681
29.8339,0.137164
29.8706,0.136646
29.9072,0.137681
29.9439,0.138199
29.9806,0.138199
30.0173,0.137164
30.0540,0.136646
30.0906,0.136128
30.1273,0.136646
30.1640,0.136128
30.2007,0.135611
30.2374,0.135093
30.2740,0.135611
30.3107,0.135611
30.3474,0.135611
30.3841,0.136128
30.4208,0.136646
30.4574,0.136646
30.4941,0.136646
30.5308,0.136646
30.5675,0.136128
30.6042,0.136646
30.6408,0.137164
30.6775,0.136646
30.7142,0.136646
30.7509,0.136646
30.7876,0.136646
30.8242,0.137164
30.8609,0.137681
30.8976,0.138199
30.9343,0.138199
30.9710,0.138199
31.0076,0.137681
31.0443,0.136646
31.0810,0.136128
31.1177,0.137164
31.1544,0.137164
31.1910,0.137164
31.2277,0.136646
31.2644,0.136646
31.3011,0.136128
31.3378,0.136128
31.3744,0.135611
31.4111,0.135093
31.4478,0.135093
31.4845,0.135093
31.5212,0.135093
31.5578,0.135093
31.5945,0.135093
31.6312,0.135093
31.6679,0.135611
31.7046,0.135611
31.7412,0.135611
31.7779,0.135093
31.8146,0.135093
31.8513,0.135611
31.8880,0.137164
31.9246,0.137164
31.9613,0.136646
31.9980,0.136128
32.0347,0.135611
32.0714,0.135093
32.1080,0.135611
32.1447,0.135611
32.1814,0.135611
32.2181,0.135093
32.2548,0.135093
32.2914,0.135611
32.3281,0.135611
32.3648,0.136128
32.4015,0.136128
32.4382,0.136128
32.4748,0.135611
32.5115,0.135611
32.5482,0.135611
32.5849,0.135611
32.6216,0.135093
32.6582,0.134576
32.6949,0.134058
32.7316,0.134576
32.7683,0.134576
32.8050,0.134576
32.8416,0.134576
32.8783,0.135093
32.9150,0.135093
32.9517,0.136128
32.9884,0.133540
33.0250,0.133540
33.0617,0.133540
33.0984,0.133540
33.1351,0.134058
33.1718,0.134576
33.2084,0.135093
33.2451,0.135093
33.2818,0.135093
33.3185,0.135611
33.3552,0.135611
33.3918,0.135093
33.4285,0.134058
33.4652,0.133540
33.5019,0.133023
33.5386,0.133023
33.5752,0.133023
33.6119,0.133540
33.6486,0.134058
33.6853,0.134576
33.7220,0.134576
33.7586,0.135611
33.7953,0.135611
33.8320,0.135611
33.8687,0.134576
33.9054,0.134576
33.9420,0.134576
33.9787,0.135093
