# source: /Users/mac/Documents/MOF/img/anie.202305246/anie.202305246_f1b.png
# doi: 10.1002/anie.202305246  figure: Figure 1B
# legend: Sim  (match: colour+geometry)
# x: 2θ / degree   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
3.7178,0.076605
3.7544,0.076605
3.7911,0.077640
3.8278,0.077640
3.8645,0.077640
3.9012,0.077640
3.9378,0.069358
3.9745,0.068323
4.0112,0.068841
4.0479,0.069876
4.0845,0.069876
4.1212,0.069876
4.1579,0.070393
4.1946,0.076605
4.2313,0.084886
4.2679,0.114907
4.3046,0.115942
4.3413,0.133540
4.3780,0.243271
4.4147,0.243271
4.4513,0.253623
4.4880,0.341615
4.5247,0.233954
4.5614,0.341615
4.5981,0.238095
4.6347,0.280538
4.6714,0.237060
4.7081,0.187371
4.7448,0.187371
4.7815,0.186335
4.8181,0.089545
4.8548,0.087992
4.8915,0.087992
4.9282,0.086957
4.9649,0.086957
5.0015,0.111801
5.0382,0.090062
5.0749,0.115942
5.1116,0.115942
5.1483,0.174948
5.1849,0.193582
5.2216,0.191511
5.2583,0.196687
5.2950,0.196687
5.3317,0.195652
5.3683,0.240166
5.4050,0.240166
5.4417,0.183230
5.4784,0.183230
5.5151,0.184265
5.5517,0.133023
5.5884,0.177536
5.6251,0.178054
5.6618,0.169772
5.6985,0.118012
5.7351,0.168737
5.7718,0.167702
5.8085,0.166667
5.8452,0.140269
5.8819,0.165631
5.9185,0.122153
5.9552,0.132505
5.9919,0.092133
6.0286,0.093168
6.0653,0.092133
6.1019,0.102484
6.1386,0.224638
6.1753,0.223602
6.2120,0.223085
6.2487,0.229814
6.2853,0.230849
6.3220,0.231884
6.3587,0.313665
6.3954,0.314700
6.4321,0.218427
6.4687,0.228778
6.5054,0.227743
6.5421,0.173913
6.5788,0.156315
6.6155,0.156315
6.6521,0.155280
6.6888,0.086957
6.7255,0.085921
6.7622,0.084886
6.7989,0.074534
6.8355,0.072981
6.8722,0.071946
6.9089,0.069876
6.9456,0.069876
6.9823,0.069876
7.0189,0.069876
7.0556,0.069876
7.0923,0.069876
7.1290,0.084886
7.1657,0.071429
7.2023,0.085921
7.2390,0.078675
7.2757,0.085921
7.3124,0.073499
7.3491,0.081781
7.3857,0.076605
7.4224,0.097308
7.4591,0.082298
7.4958,0.120083
7.5325,0.233954
7.5691,0.249482
7.6058,0.249482
7.6425,0.249482
7.6792,0.131988
7.7159,0.249482
7.7525,0.249482
7.7892,0.224638
7.8259,0.115424
7.8626,0.224638
7.8993,0.131470
7.9359,0.224638
7.9726,0.141304
8.0093,0.227743
8.0460,0.227743
8.0827,0.227743
8.1193,0.124741
8.1560,0.227743
8.1927,0.079193
8.2294,0.206004
8.2661,0.075052
8.3027,0.206004
8.3394,0.078675
8.3761,0.146998
8.4128,0.071429
8.4495,0.146998
8.4861,0.146998
8.5228,0.146998
8.5595,0.073499
8.5962,0.146998
8.6329,0.146998
8.6695,0.146998
8.7062,0.103520
8.7429,0.146998
8.7796,0.156315
8.8163,0.156315
8.8529,0.156315
8.8896,0.122153
8.9263,0.098861
8.9630,0.122153
8.9997,0.105072
9.0363,0.109731
9.0730,0.109731
9.1097,0.099896
9.1464,0.096791
9.1831,0.100414
9.2197,0.095238
9.2564,0.106625
9.2931,0.099379
9.3298,0.106625
9.3665,0.090580
9.4031,0.106625
9.4398,0.079193
9.4765,0.094203
9.5132,0.092133
9.5499,0.094203
9.5865,0.080745
9.6232,0.094203
9.6599,0.071429
9.6966,0.084886
9.7333,0.071429
9.7699,0.119048
9.8066,0.075052
9.8433,0.119048
9.8800,0.098861
9.9167,0.122153
9.9533,0.122153
9.9900,0.109731
10.0267,0.096791
10.0634,0.109731
10.1001,0.092650
10.1367,0.115942
10.1734,0.101449
10.2101,0.115942
10.2468,0.096791
10.2835,0.115942
10.3201,0.094203
10.3568,0.094203
10.3935,0.093168
10.4302,0.080745
10.4669,0.096273
10.5035,0.097308
10.5402,0.097308
10.5769,0.103520
10.6136,0.086439
10.6503,0.106625
10.6869,0.096791
10.7236,0.106625
10.7603,0.096273
10.7970,0.095238
10.8337,0.075052
10.8703,0.097308
10.9070,0.075052
10.9437,0.097308
10.9804,0.080228
11.0171,0.100414
11.0537,0.085404
