# source: /Users/mac/Documents/MOF/img/anie.202305246/anie.202305246_f1c.png
# doi: 10.1002/anie.202305246  figure: Figure 1C
# legend: Fe,C0-MOF  (match: colour+geometry)
# x: 2θ / degree   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
3.6440,0.374741
3.6806,0.375259
3.7173,0.377329
3.7539,0.384576
3.7906,0.384576
3.8272,0.366460
3.8639,0.363354
3.9005,0.365942
3.9372,0.364907
3.9738,0.359731
4.0105,0.356625
4.0471,0.355590
4.0838,0.346273
4.1204,0.345238
4.1571,0.344203
4.1937,0.336957
4.2304,0.336439
4.2670,0.337992
4.3037,0.330745
4.3403,0.329193
4.3770,0.328157
4.4136,0.385611
4.4503,0.384576
4.4869,0.324017
4.5236,0.322464
4.5602,0.421843
4.5969,0.334369
4.6335,0.333333
4.6702,0.329710
4.7068,0.325569
4.7435,0.329710
4.7801,0.324017
4.8168,0.322464
4.8534,0.319358
4.8901,0.318841
4.9267,0.319358
4.9634,0.322464
5.0000,0.322464
5.0366,0.322464
5.0733,0.321429
5.1099,0.318841
5.1466,0.321429
5.1832,0.262422
5.2199,0.263458
5.2565,0.265010
5.2932,0.267081
5.3298,0.267081
5.3665,0.267081
5.4031,0.267598
5.4398,0.269669
5.4764,0.270704
5.5131,0.335404
5.5497,0.335404
5.5864,0.335404
5.6230,0.342133
5.6597,0.341097
5.6963,0.341097
5.7330,0.296584
5.7696,0.295549
5.8063,0.294513
5.8429,0.279503
5.8796,0.280538
5.9162,0.285197
5.9529,0.282091
5.9895,0.281056
6.0262,0.275362
6.0628,0.277950
6.0995,0.271222
6.1361,0.274327
6.1728,0.272774
6.2094,0.280021
6.2461,0.288302
6.2827,0.309006
6.3194,0.310041
6.3560,0.310041
6.3927,0.310041
6.4293,0.275880
6.4660,0.269151
6.5026,0.283126
6.5393,0.282091
6.5759,0.281056
6.6126,0.262422
6.6492,0.259317
6.6859,0.258282
6.7225,0.257246
6.7592,0.256729
6.7958,0.256211
6.8325,0.256211
6.8691,0.255694
6.9058,0.255176
6.9424,0.251553
6.9791,0.251035
7.0157,0.250518
7.0524,0.247930
7.0890,0.247412
7.1257,0.247930
7.1623,0.245342
7.1990,0.248965
7.2356,0.254141
7.2723,0.249482
7.3089,0.248965
7.3455,0.248965
