# source: /Users/mac/Documents/MOF/img/anie.202305246/anie.202305246_s3.png
# doi: 10.1002/anie.202305246  figure: Figure S3
# legend: 6 Hd  (match: colour+geometry)
# x: 2θ / degree   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
3.1206,0.680254
3.1560,0.676630
3.1915,0.674819
3.2270,0.673007
3.2624,0.669384
3.2979,0.665761
3.3333,0.662138
3.3688,0.660326
3.4043,0.658514
3.4397,0.654891
3.4752,0.651268
3.5106,0.649457
3.5461,0.647645
3.5816,0.645833
3.6170,0.644022
3.6525,0.642210
3.6879,0.640399
3.7234,0.640399
3.7589,0.636775
3.7943,0.634964
3.8298,0.633152
3.8652,0.631341
3.9007,0.631341
3.9362,0.629529
3.9716,0.629529
4.0071,0.627717
4.0426,0.627717
4.0780,0.627717
4.1135,0.627717
4.1489,0.625906
4.1844,0.624094
4.2199,0.625906
4.2553,0.627717
4.2908,0.627717
4.3262,0.629529
4.3617,0.633152
4.3972,0.651268
4.4326,0.653080
4.4681,0.678442
4.5035,0.703804
4.5390,0.738225
4.5745,0.781703
4.6099,0.796196
4.6454,0.798007
4.6809,0.765399
4.7163,0.747283
4.7518,0.705616
4.7872,0.660326
4.8227,0.658514
4.8582,0.640399
4.8936,0.627717
4.9291,0.624094
4.9645,0.622283
5.0000,0.622283
5.0355,0.624094
5.0709,0.624094
5.1064,0.622283
5.1418,0.624094
5.1773,0.624094
5.2128,0.624094
5.2482,0.625906
5.2837,0.627717
5.3191,0.636775
5.3546,0.647645
5.3901,0.685688
5.4255,0.687500
5.4610,0.703804
5.4965,0.703804
5.5319,0.701993
5.5674,0.687500
5.6028,0.645833
5.6383,0.645833
5.6738,0.636775
5.7092,0.627717
5.7447,0.624094
5.7801,0.624094
5.8156,0.620471
5.8511,0.618659
5.8865,0.618659
5.9220,0.615036
5.9574,0.615036
5.9929,0.615036
6.0284,0.613225
6.0638,0.613225
6.0993,0.613225
6.1348,0.613225
6.1702,0.613225
6.2057,0.613225
6.2411,0.615036
6.2766,0.618659
6.3121,0.622283
6.3475,0.631341
6.3830,0.631341
6.4184,0.644022
6.4539,0.644022
6.4894,0.644022
6.5248,0.636775
6.5603,0.615036
6.5957,0.615036
6.6312,0.611413
6.6667,0.611413
6.7021,0.611413
6.7376,0.611413
6.7730,0.611413
6.8085,0.611413
6.8440,0.611413
6.8794,0.611413
6.9149,0.611413
6.9504,0.609601
6.9858,0.609601
7.0213,0.609601
7.0567,0.609601
7.0922,0.609601
7.1277,0.609601
7.1631,0.609601
7.1986,0.611413
7.2340,0.611413
7.2695,0.609601
7.3050,0.609601
7.3404,0.611413
7.3759,0.609601
7.4113,0.611413
7.4468,0.611413
7.4823,0.609601
7.5177,0.609601
7.5532,0.609601
7.5887,0.609601
7.6241,0.609601
7.6596,0.609601
7.6950,0.609601
7.7305,0.611413
7.7660,0.611413
7.8014,0.609601
7.8369,0.609601
7.8723,0.609601
7.9078,0.609601
7.9433,0.609601
7.9787,0.609601
8.0142,0.609601
8.0496,0.611413
8.0851,0.615036
8.1206,0.616848
8.1560,0.618659
8.1915,0.615036
8.2270,0.615036
8.2624,0.609601
8.2979,0.609601
8.3333,0.609601
8.3688,0.609601
8.4043,0.609601
8.4397,0.609601
8.4752,0.609601
8.5106,0.609601
8.5461,0.609601
8.5816,0.609601
8.6170,0.609601
8.6525,0.607790
8.6879,0.605978
8.7234,0.605978
8.7589,0.605978
8.7943,0.605978
8.8298,0.605978
8.8652,0.605978
8.9007,0.605978
8.9362,0.605978
8.9716,0.605978
9.0071,0.605978
9.0426,0.605978
9.0780,0.605978
9.1135,0.605978
9.1489,0.605978
9.1844,0.605978
9.2199,0.605978
9.2553,0.605978
9.2908,0.605978
9.3262,0.605978
9.3617,0.605978
9.3972,0.605978
9.4326,0.605978
9.4681,0.605978
9.5035,0.605978
9.5390,0.605978
