# source: /Users/mac/Documents/MOF/img/anie.202305246/anie.202305246_s3.png
# doi: 10.1002/anie.202305246  figure: Figure S3
# legend: Sim  (match: colour+geometry)
# x: 2θ / degree   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
3.4752,0.103261
3.5106,0.103261
3.5461,0.103261
3.5816,0.103261
3.6170,0.103261
3.6525,0.103261
3.6879,0.105072
3.7234,0.105072
3.7589,0.110507
3.7943,0.111413
3.8298,0.109601
3.8652,0.105072
3.9007,0.102355
3.9362,0.101449
3.9716,0.101449
4.0071,0.101449
4.0426,0.101449
4.0780,0.101449
4.1135,0.101449
4.1489,0.101449
4.1844,0.101449
4.2199,0.102355
4.2553,0.103261
4.2908,0.103261
4.3262,0.105072
4.3617,0.105072
4.3972,0.120471
4.4326,0.122283
4.4681,0.125906
4.5035,0.158514
4.5390,0.236413
4.5745,0.201087
4.6099,0.246377
4.6454,0.269022
4.6809,0.212862
4.7163,0.167572
4.7518,0.169384
4.7872,0.125906
4.8227,0.124094
4.8582,0.108696
4.8936,0.107790
4.9291,0.105978
4.9645,0.105978
5.0000,0.105978
5.0355,0.105978
5.0709,0.112319
5.1064,0.114130
5.1418,0.117754
5.1773,0.114130
5.2128,0.115942
5.2482,0.124094
5.2837,0.118659
5.3191,0.203804
5.3546,0.261775
5.3901,0.220109
5.4255,0.235507
5.4610,0.341486
5.4965,0.222826
5.5319,0.137681
5.5674,0.119565
5.6028,0.137681
5.6383,0.116848
5.6738,0.116848
5.7092,0.127717
5.7447,0.126812
5.7801,0.118659
5.8156,0.144022
5.8511,0.126812
5.8865,0.159420
5.9220,0.143116
5.9574,0.126812
5.9929,0.109601
6.0284,0.106884
6.0638,0.107790
6.0993,0.107790
6.1348,0.107790
6.1702,0.106884
6.2057,0.111413
6.2411,0.118659
6.2766,0.112319
6.3121,0.201993
6.3475,0.204710
6.3830,0.269022
6.4184,0.279891
6.4539,0.269022
6.4894,0.207428
6.5248,0.207428
6.5603,0.168478
6.5957,0.165761
6.6312,0.160326
6.6667,0.127717
6.7021,0.111413
6.7376,0.105978
6.7730,0.104167
6.8085,0.103261
6.8440,0.103261
6.8794,0.103261
6.9149,0.101449
6.9504,0.101449
6.9858,0.101449
7.0213,0.101449
7.0567,0.101449
7.0922,0.101449
7.1277,0.101449
7.1631,0.102355
7.1986,0.103261
7.2340,0.105072
7.2695,0.107790
7.3050,0.105072
7.3404,0.104167
7.3759,0.103261
7.4113,0.103261
7.4468,0.104167
7.4823,0.105072
7.5177,0.112319
7.5532,0.115036
7.5887,0.112319
7.6241,0.135870
7.6596,0.147645
7.6950,0.158514
7.7305,0.147645
7.7660,0.135870
7.8014,0.119565
7.8369,0.116848
7.8723,0.117754
7.9078,0.115942
7.9433,0.116848
7.9787,0.112319
8.0142,0.122283
8.0496,0.140399
8.0851,0.123188
8.1206,0.128623
8.1560,0.125000
8.1915,0.123188
8.2270,0.107790
8.2624,0.107790
8.2979,0.103261
8.3333,0.103261
8.3688,0.103261
8.4043,0.103261
8.4397,0.103261
8.4752,0.102355
8.5106,0.101449
8.5461,0.101449
8.5816,0.101449
8.6170,0.102355
