# source: /Users/mac/Documents/MOF/img/anie.202305390/anie.202305390_s6.png
# doi: 10.1002/anie.202305390  figure: Figure S6
# legend: 认人  (match: geometry)
# x: 2θ /degree   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.1475,0.083212
5.1957,0.083212
5.2438,0.083212
5.2920,0.083212
5.3401,0.083212
5.3883,0.083212
5.4365,0.083212
5.4846,0.083212
5.5328,0.083212
5.5810,0.083212
5.6291,0.083212
5.6773,0.083212
5.7255,0.083212
5.7736,0.083212
5.8218,0.083212
5.8699,0.083212
5.9181,0.083212
5.9663,0.083212
6.0144,0.083212
6.0626,0.083212
6.1108,0.083212
6.1589,0.083212
6.2071,0.084672
6.2553,0.084672
6.3034,0.087591
6.3516,0.093431
6.3998,0.128467
6.4479,0.135766
6.4961,0.137226
6.5442,0.137226
6.5924,0.138686
6.6406,0.137226
6.6887,0.137226
6.7369,0.135766
6.7851,0.132847
6.8332,0.121168
6.8814,0.094891
6.9296,0.087591
6.9777,0.087591
7.0259,0.087591
7.0740,0.087591
7.1222,0.090511
7.1704,0.091971
7.2185,0.099270
7.2667,0.106569
7.3149,0.131387
7.3630,0.223358
7.4112,0.413139
7.4594,0.635036
7.5075,0.640876
7.5557,0.642336
7.6038,0.642336
7.6520,0.643796
7.7002,0.642336
7.7483,0.642336
7.7965,0.640876
7.8447,0.582482
7.8928,0.240876
7.9410,0.153285
7.9892,0.118248
8.0373,0.100730
8.0855,0.093431
8.1336,0.090511
8.1818,0.089051
8.2300,0.087591
8.2781,0.086131
8.3263,0.084672
8.3745,0.084672
8.4226,0.084672
8.4708,0.084672
8.5190,0.084672
8.5671,0.084672
8.6153,0.083212
8.6634,0.083212
8.7116,0.083212
8.7598,0.083212
8.8079,0.083212
8.8561,0.083212
8.9043,0.083212
8.9524,0.083212
9.0006,0.083212
9.0488,0.083212
9.0969,0.083212
9.1451,0.083212
9.1932,0.083212
9.2414,0.081752
9.2896,0.081752
9.3377,0.081752
9.3859,0.083212
9.4341,0.083212
9.4822,0.083212
9.5304,0.083212
9.5786,0.083212
9.6267,0.083212
9.6749,0.083212
9.7231,0.083212
9.7712,0.083212
9.8194,0.083212
9.8675,0.083212
9.9157,0.083212
9.9639,0.083212
10.0120,0.083212
10.0602,0.083212
10.1084,0.083212
10.1565,0.083212
10.2047,0.083212
10.2529,0.083212
10.3010,0.083212
10.3492,0.083212
10.3973,0.083212
10.4455,0.083212
10.4937,0.084672
10.5418,0.086131
10.5900,0.094891
10.6382,0.118248
10.6863,0.121168
10.7345,0.122628
10.7827,0.122628
10.8308,0.122628
10.8790,0.122628
10.9271,0.122628
10.9753,0.121168
11.0235,0.113869
11.0716,0.094891
11.1198,0.084672
11.1680,0.083212
11.2161,0.083212
11.2643,0.083212
11.3125,0.083212
11.3606,0.083212
11.4088,0.083212
11.4569,0.083212
11.5051,0.083212
11.5533,0.083212
11.6014,0.083212
11.6496,0.083212
11.6978,0.083212
11.7459,0.083212
11.7941,0.083212
11.8423,0.083212
11.8904,0.083212
11.9386,0.083212
11.9867,0.083212
12.0349,0.083212
12.0831,0.084672
12.1312,0.084672
12.1794,0.084672
12.2276,0.084672
12.2757,0.084672
12.3239,0.084672
12.3721,0.086131
12.4202,0.086131
12.4684,0.091971
12.5165,0.096350
12.5647,0.099270
12.6129,0.100730
12.6610,0.100730
12.7092,0.100730
12.7574,0.100730
12.8055,0.102190
12.8537,0.108029
12.9019,0.125547
12.9500,0.189781
12.9982,0.280292
13.0464,0.751825
13.0945,0.909489
13.1427,0.913869
13.1908,0.913869
13.2390,0.915328
13.2872,0.915328
13.3353,0.913869
13.3835,0.913869
13.4317,0.910949
13.4798,0.646715
13.5280,0.328467
13.5762,0.191241
13.6243,0.129927
13.6725,0.112409
13.7206,0.099270
13.7688,0.094891
13.8170,0.091971
13.8651,0.089051
13.9133,0.087591
13.9615,0.087591
14.0096,0.086131
14.0578,0.086131
14.1060,0.084672
14.1541,0.084672
14.2023,0.084672
14.2504,0.084672
14.2986,0.084672
14.3468,0.084672
14.3949,0.084672
14.4431,0.083212
14.4913,0.083212
14.5394,0.083212
14.5876,0.083212
14.6358,0.083212
14.6839,0.083212
14.7321,0.083212
14.7802,0.083212
14.8284,0.083212
14.8766,0.081752
14.9247,0.081752
14.9729,0.081752
15.0211,0.081752
15.0692,0.081752
15.1174,0.083212
15.1656,0.083212
15.2137,0.083212
15.2619,0.083212
15.3100,0.083212
15.3582,0.083212
15.4064,0.083212
15.4545,0.083212
15.5027,0.083212
15.5509,0.083212
15.5990,0.083212
15.6472,0.083212
15.6954,0.083212
15.7435,0.083212
15.7917,0.083212
15.8399,0.083212
15.8880,0.083212
15.9362,0.083212
15.9843,0.083212
16.0325,0.083212
16.0807,0.083212
16.1288,0.083212
16.1770,0.083212
16.2252,0.083212
16.2733,0.083212
16.3215,0.083212
16.3697,0.083212
16.4178,0.083212
16.4660,0.083212
16.5141,0.083212
16.5623,0.084672
16.6105,0.084672
16.6586,0.084672
16.7068,0.086131
16.7550,0.087591
16.8031,0.090511
16.8513,0.109489
16.8995,0.124088
16.9476,0.229197
16.9958,0.293431
17.0439,0.296350
17.0921,0.296350
17.1403,0.297810
17.1884,0.297810
17.2366,0.296350
17.2848,0.296350
17.3329,0.293431
17.3811,0.243796
17.4293,0.127007
17.4774,0.100730
17.5256,0.089051
17.5737,0.087591
17.6219,0.084672
17.6701,0.084672
17.7182,0.084672
17.7664,0.083212
17.8146,0.083212
17.8627,0.083212
17.9109,0.083212
17.9591,0.083212
18.0072,0.083212
18.0554,0.083212
18.1035,0.083212
18.1517,0.083212
18.1999,0.083212
18.2480,0.083212
18.2962,0.083212
18.3444,0.083212
18.3925,0.083212
18.4407,0.083212
18.4889,0.083212
18.5370,0.083212
18.5852,0.083212
18.6333,0.083212
18.6815,0.083212
18.7297,0.083212
18.7778,0.083212
18.8260,0.083212
18.8742,0.083212
18.9223,0.083212
18.9705,0.083212
19.0187,0.083212
19.0668,0.081752
19.1150,0.081752
19.1632,0.081752
19.2113,0.081752
19.2595,0.081752
19.3076,0.081752
19.3558,0.081752
19.4040,0.081752
19.4521,0.081752
19.5003,0.081752
19.5485,0.081752
19.5966,0.081752
19.6448,0.081752
19.6930,0.081752
19.7411,0.081752
19.7893,0.081752
19.8374,0.081752
19.8856,0.081752
19.9338,0.081752
19.9819,0.081752
20.0301,0.081752
20.0783,0.081752
20.1264,0.081752
20.1746,0.081752
20.2228,0.081752
20.2709,0.081752
20.3191,0.081752
20.3672,0.081752
20.4154,0.081752
20.4636,0.081752
20.5117,0.081752
20.5599,0.081752
20.6081,0.081752
20.6562,0.081752
20.7044,0.081752
20.7526,0.083212
20.8007,0.083212
20.8489,0.083212
20.8970,0.083212
20.9452,0.083212
20.9934,0.083212
21.0415,0.083212
21.0897,0.083212
21.1379,0.083212
21.1860,0.083212
21.2342,0.083212
21.2824,0.083212
21.3305,0.083212
21.3787,0.083212
21.4268,0.083212
21.4750,0.083212
21.5232,0.087591
21.5713,0.097810
21.6195,0.100730
21.6677,0.102190
21.7158,0.102190
21.7640,0.103650
21.8122,0.102190
21.8603,0.102190
21.9085,0.099270
21.9566,0.094891
22.0048,0.087591
22.0530,0.084672
22.1011,0.083212
22.1493,0.083212
22.1975,0.083212
22.2456,0.083212
22.2938,0.083212
22.3420,0.083212
22.3901,0.083212
22.4383,0.083212
22.4865,0.084672
22.5346,0.087591
22.5828,0.097810
22.6309,0.100730
22.6791,0.102190
22.7273,0.102190
22.7754,0.103650
22.8236,0.105109
22.8718,0.116788
22.9199,0.218978
22.9681,0.220438
23.0163,0.221898
23.0644,0.221898
23.1126,0.221898
23.1607,0.220438
23.2089,0.220438
23.2571,0.217518
23.3052,0.208759
