# source: /Users/mac/Documents/MOF/img/anie.202305390/anie.202305390_s7.png
# doi: 10.1002/anie.202305390  figure: Figure S7
# legend: DMF  (match: colour+geometry)
# x: 2θ /degree   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.1504,0.537500
5.1995,0.535937
5.2486,0.535937
5.2977,0.532812
5.3468,0.539062
5.3959,0.551562
5.4450,0.515625
5.4942,0.512500
5.5433,0.539062
5.5924,0.542188
5.6415,0.542188
5.6906,0.545313
5.7397,0.535937
5.7888,0.535937
5.8379,0.535937
5.8870,0.534375
5.9361,0.528125
5.9853,0.553125
6.0344,0.550000
6.0835,0.539062
6.1326,0.539062
6.1817,0.539062
6.2308,0.535937
6.2799,0.528125
6.3290,0.526563
6.3781,0.525000
6.4272,0.525000
6.4764,0.526563
6.5255,0.539062
6.5746,0.554688
6.6237,0.604688
6.6728,0.607813
6.7219,0.550000
6.7710,0.610937
6.8201,0.610937
6.8692,0.607813
6.9183,0.601562
6.9675,0.589063
7.0166,0.526563
7.0657,0.528125
7.1148,0.531250
7.1639,0.532812
7.2130,0.531250
7.2621,0.531250
7.3112,0.531250
7.3603,0.539062
7.4094,0.529688
7.4586,0.528125
7.5077,0.528125
7.5568,0.528125
7.6059,0.529688
7.6550,0.529688
7.7041,0.529688
7.7532,0.531250
7.8023,0.532812
7.8514,0.542188
7.9005,0.545313
7.9497,0.545313
7.9988,0.545313
8.0479,0.545313
8.0970,0.542188
8.1461,0.542188
8.1952,0.539062
8.2443,0.520312
8.2934,0.520312
8.3425,0.521875
8.3916,0.523438
8.4408,0.523438
8.4899,0.525000
8.5390,0.528125
8.5881,0.528125
8.6372,0.528125
8.6863,0.528125
8.7354,0.528125
8.7845,0.526563
8.8336,0.525000
8.8827,0.532812
8.9319,0.521875
8.9810,0.521875
9.0301,0.521875
9.0792,0.521875
9.1283,0.523438
9.1774,0.523438
9.2265,0.525000
9.2756,0.525000
9.3247,0.526563
9.3738,0.525000
9.4230,0.525000
9.4721,0.521875
9.5212,0.521875
9.5703,0.520312
9.6194,0.521875
9.6685,0.523438
9.7176,0.525000
9.7667,0.532812
9.8158,0.532812
9.8649,0.532812
9.9141,0.523438
9.9632,0.521875
10.0123,0.520312
10.0614,0.521875
10.1105,0.526563
10.1596,0.526563
10.2087,0.528125
10.2578,0.528125
10.3069,0.525000
10.3560,0.525000
10.4051,0.521875
10.4543,0.525000
10.5034,0.525000
10.5525,0.525000
10.6016,0.525000
10.6507,0.521875
10.6998,0.521875
10.7489,0.521875
10.7980,0.521875
10.8471,0.521875
10.8962,0.521875
10.9454,0.517187
10.9945,0.517187
11.0436,0.515625
11.0927,0.515625
11.1418,0.515625
11.1909,0.517187
11.2400,0.518750
11.2891,0.520312
11.3382,0.521875
11.3873,0.523438
11.4365,0.523438
11.4856,0.523438
11.5347,0.521875
11.5838,0.521875
11.6329,0.521875
11.6820,0.521875
11.7311,0.520312
11.7802,0.520312
11.8293,0.518750
11.8784,0.517187
