# source: /Users/mac/Documents/MOF/img/anie.202305390/anie.202305390_s7.png
# doi: 10.1002/anie.202305390  figure: Figure S7
# legend: HOH  (match: colour+geometry)
# x: 2θ /degree   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.1504,0.325000
5.1995,0.328125
5.2486,0.331250
5.2977,0.331250
5.3468,0.331250
5.3959,0.328125
5.4450,0.321875
5.4942,0.303125
5.5433,0.303125
5.5924,0.303125
5.6415,0.303125
5.6906,0.303125
5.7397,0.303125
5.7888,0.300000
5.8379,0.296875
5.8870,0.296875
5.9361,0.296875
5.9853,0.293750
6.0344,0.290625
6.0835,0.287500
6.1326,0.287500
6.1817,0.287500
6.2308,0.287500
6.2799,0.296875
6.3290,0.331250
6.3781,0.346875
6.4272,0.350000
6.4764,0.350000
6.5255,0.350000
6.5746,0.350000
6.6237,0.346875
6.6728,0.321875
6.7219,0.318750
6.7710,0.315625
6.8201,0.315625
6.8692,0.315625
6.9183,0.306250
6.9675,0.293750
7.0166,0.290625
7.0657,0.290625
7.1148,0.290625
7.1639,0.290625
7.2130,0.290625
7.2621,0.293750
7.3112,0.300000
7.3603,0.296875
7.4094,0.293750
7.4586,0.290625
7.5077,0.287500
7.5568,0.284375
7.6059,0.284375
7.6550,0.287500
7.7041,0.287500
7.7532,0.290625
7.8023,0.290625
7.8514,0.293750
7.9005,0.296875
7.9497,0.300000
7.9988,0.300000
8.0479,0.300000
8.0970,0.296875
8.1461,0.293750
8.1952,0.293750
8.2443,0.290625
8.2934,0.287500
8.3425,0.287500
8.3916,0.284375
8.4408,0.284375
8.4899,0.284375
8.5390,0.284375
8.5881,0.287500
8.6372,0.287500
8.6863,0.287500
8.7354,0.287500
8.7845,0.290625
8.8336,0.290625
8.8827,0.290625
8.9319,0.287500
8.9810,0.281250
9.0301,0.281250
9.0792,0.281250
9.1283,0.281250
9.1774,0.281250
9.2265,0.281250
9.2756,0.284375
9.3247,0.287500
9.3738,0.287500
9.4230,0.287500
9.4721,0.287500
9.5212,0.287500
9.5703,0.284375
9.6194,0.284375
9.6685,0.284375
9.7176,0.284375
9.7667,0.284375
9.8158,0.284375
9.8649,0.284375
9.9141,0.284375
9.9632,0.284375
10.0123,0.284375
10.0614,0.284375
10.1105,0.284375
10.1596,0.284375
10.2087,0.284375
10.2578,0.290625
10.3069,0.293750
10.3560,0.300000
10.4051,0.309375
10.4543,0.318750
10.5034,0.321875
10.5525,0.325000
10.6016,0.325000
10.6507,0.325000
10.6998,0.321875
10.7489,0.318750
10.7980,0.303125
10.8471,0.300000
10.8962,0.284375
10.9454,0.281250
10.9945,0.281250
11.0436,0.281250
11.0927,0.278125
11.1418,0.278125
11.1909,0.278125
11.2400,0.281250
11.2891,0.281250
11.3382,0.281250
11.3873,0.281250
11.4365,0.281250
11.4856,0.278125
11.5347,0.278125
11.5838,0.278125
11.6329,0.275000
11.6820,0.278125
11.7311,0.278125
11.7802,0.278125
11.8293,0.278125
11.8784,0.275000
11.9276,0.275000
11.9767,0.275000
12.0258,0.278125
12.0749,0.275000
12.1240,0.275000
12.1731,0.278125
12.2222,0.278125
12.2713,0.278125
12.3204,0.278125
12.3695,0.281250
12.4187,0.281250
12.4678,0.281250
12.5169,0.281250
12.5660,0.281250
12.6151,0.281250
12.6642,0.284375
12.7133,0.287500
12.7624,0.293750
12.8115,0.306250
12.8606,0.312500
12.9098,0.362500
12.9589,0.375000
13.0080,0.378125
13.0571,0.381250
13.1062,0.381250
13.1553,0.378125
13.2044,0.365625
13.2535,0.365625
13.3026,0.362500
13.3517,0.300000
13.4009,0.296875
13.4500,0.293750
13.4991,0.290625
13.5482,0.271875
13.5973,0.265625
13.6464,0.265625
13.6955,0.265625
13.7446,0.268750
13.7937,0.268750
13.8428,0.268750
13.8920,0.268750
13.9411,0.268750
13.9902,0.268750
14.0393,0.268750
14.0884,0.268750
14.1375,0.268750
14.1866,0.271875
14.2357,0.271875
14.2848,0.271875
14.3339,0.271875
14.3831,0.271875
14.4322,0.275000
14.4813,0.275000
14.5304,0.275000
14.5795,0.271875
14.6286,0.271875
14.6777,0.268750
14.7268,0.268750
14.7759,0.265625
14.8250,0.268750
14.8742,0.268750
14.9233,0.268750
14.9724,0.268750
15.0215,0.268750
15.0706,0.265625
15.1197,0.265625
15.1688,0.265625
15.2179,0.268750
15.2670,0.271875
15.3161,0.271875
15.3652,0.271875
15.4144,0.268750
15.4635,0.268750
15.5126,0.265625
15.5617,0.268750
15.6108,0.268750
15.6599,0.268750
15.7090,0.265625
15.7581,0.265625
15.8072,0.265625
15.8563,0.265625
15.9055,0.268750
15.9546,0.268750
16.0037,0.271875
16.0528,0.271875
16.1019,0.268750
16.1510,0.268750
16.2001,0.265625
16.2492,0.262500
16.2983,0.262500
16.3474,0.262500
16.3966,0.262500
16.4457,0.262500
16.4948,0.265625
16.5439,0.268750
16.5930,0.271875
16.6421,0.271875
16.6912,0.271875
16.7403,0.271875
16.7894,0.275000
16.8385,0.287500
16.8877,0.300000
16.9368,0.300000
16.9859,0.296875
17.0350,0.296875
17.0841,0.293750
17.1332,0.271875
17.1823,0.262500
17.2314,0.259375
17.2805,0.259375
17.3296,0.259375
17.3788,0.262500
17.4279,0.262500
17.4770,0.259375
17.5261,0.259375
17.5752,0.262500
17.6243,0.265625
17.6734,0.265625
17.7225,0.265625
17.7716,0.265625
17.8207,0.265625
17.8699,0.265625
17.9190,0.265625
17.9681,0.265625
18.0172,0.265625
18.0663,0.265625
18.1154,0.265625
