# source: /Users/mac/Documents/MOF/img/anie.202305390/anie.202305390_s8.png
# doi: 10.1002/anie.202305390  figure: Figure S8
# legend: Simulated  (match: colour+geometry)
# x: 2θ /degree   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.1707,0.022255
5.2195,0.022255
5.2683,0.022255
5.3171,0.022997
5.3659,0.022997
5.4146,0.022997
5.4634,0.022997
5.5122,0.022997
5.5610,0.022997
5.6098,0.022997
5.6585,0.022997
5.7073,0.022997
5.7561,0.022997
5.8049,0.022997
5.8537,0.022997
5.9024,0.022997
5.9512,0.022997
6.0000,0.022997
6.0488,0.022997
6.0976,0.022997
6.1463,0.022997
6.1951,0.023739
6.2439,0.023739
6.2927,0.024481
6.3415,0.025223
6.3902,0.021513
6.4390,0.028190
6.4878,0.029674
6.5366,0.033383
6.5854,0.068991
6.6341,0.026706
6.6829,0.068991
6.7317,0.033383
6.7805,0.022255
6.8293,0.040801
6.8780,0.028932
6.9268,0.024481
6.9756,0.024481
7.0244,0.024481
7.0732,0.025223
7.1220,0.025964
7.1707,0.027448
7.2195,0.026706
7.2683,0.028932
7.3171,0.060089
7.3659,0.063056
7.4146,0.063056
7.4634,0.063798
7.5122,0.112760
7.5610,0.061573
7.6098,0.061573
7.6585,0.064540
7.7073,0.181009
7.7561,0.115727
7.8049,0.063798
7.8537,0.063056
7.9024,0.063056
7.9512,0.063056
8.0000,0.048220
8.0488,0.026706
8.0976,0.033383
8.1463,0.025964
8.1951,0.025223
8.2439,0.023739
8.2927,0.022997
8.3415,0.022255
8.3902,0.022255
8.4390,0.021513
8.4878,0.021513
8.5366,0.021513
8.5854,0.021513
8.6341,0.021513
8.6829,0.021513
8.7317,0.020772
8.7805,0.020772
8.8293,0.020772
8.8780,0.020772
8.9268,0.020772
8.9756,0.020772
9.0244,0.020030
9.0732,0.020030
9.1220,0.020030
9.1707,0.020030
9.2195,0.020030
9.2683,0.020030
9.3171,0.020030
9.3659,0.020030
9.4146,0.020030
9.4634,0.020030
9.5122,0.020030
9.5610,0.020030
9.6098,0.020030
9.6585,0.020030
9.7073,0.020030
9.7561,0.020030
9.8049,0.020030
9.8537,0.020030
9.9024,0.020030
9.9512,0.020030
10.0000,0.020030
10.0488,0.020030
10.0976,0.020030
10.1463,0.020030
10.1951,0.020030
10.2439,0.020030
10.2927,0.020772
10.3415,0.020772
10.3902,0.020772
10.4390,0.020772
10.4878,0.021513
10.5366,0.021513
10.5854,0.033383
10.6341,0.026706
10.6829,0.060089
10.7317,0.033383
10.7805,0.060089
10.8293,0.060089
10.8780,0.060089
10.9268,0.033383
10.9756,0.026706
11.0244,0.045252
11.0732,0.033383
11.1220,0.021513
11.1707,0.020772
11.2195,0.020772
11.2683,0.020772
11.3171,0.020772
11.3659,0.020772
11.4146,0.020772
11.4634,0.020030
11.5122,0.020030
11.5610,0.020030
11.6098,0.020030
11.6585,0.020030
11.7073,0.020030
11.7561,0.020030
11.8049,0.020030
11.8537,0.020030
11.9024,0.020772
11.9512,0.020772
12.0000,0.021513
12.0488,0.021513
12.0976,0.021513
12.1463,0.021513
12.1951,0.021513
12.2439,0.021513
12.2927,0.022255
12.3415,0.022255
12.3902,0.022997
12.4390,0.023739
12.4878,0.024481
12.5366,0.028190
12.5854,0.029674
12.6341,0.031157
12.6829,0.037092
12.7317,0.044510
12.7805,0.028190
12.8293,0.029674
12.8780,0.032641
12.9268,0.099407
12.9756,0.041543
13.0244,0.119436
13.0732,0.119436
13.1220,0.119436
13.1707,0.233680
13.2195,0.119436
13.2683,0.117211
13.3171,0.065282
13.3659,0.233680
13.4146,0.068991
13.4634,0.068991
13.5122,0.067507
13.5610,0.064540
13.6098,0.061573
13.6585,0.029674
13.7073,0.028190
13.7561,0.026706
13.8049,0.027448
13.8537,0.025964
13.9024,0.024481
13.9512,0.024481
14.0000,0.023739
14.0488,0.022997
14.0976,0.022255
14.1463,0.022255
14.1951,0.022255
14.2439,0.021513
14.2927,0.021513
14.3415,0.021513
14.3902,0.021513
14.4390,0.021513
14.4878,0.021513
14.5366,0.020772
14.5854,0.020772
14.6341,0.020772
14.6829,0.020030
14.7317,0.020030
14.7805,0.020030
14.8293,0.020030
14.8780,0.020030
14.9268,0.020030
14.9756,0.020030
15.0244,0.020030
15.0732,0.020030
15.1220,0.020030
15.1707,0.020030
15.2195,0.020030
15.2683,0.020030
15.3171,0.020030
15.3659,0.020030
15.4146,0.020030
15.4634,0.020030
15.5122,0.020030
15.5610,0.020030
15.6098,0.020030
15.6585,0.020030
15.7073,0.020030
15.7561,0.020030
15.8049,0.020772
15.8537,0.020772
15.9024,0.020772
15.9512,0.020772
16.0000,0.020772
16.0488,0.020772
16.0976,0.020772
16.1463,0.020772
16.1951,0.020772
16.2439,0.020772
16.2927,0.020772
16.3415,0.020772
16.3902,0.020772
16.4390,0.020772
16.4878,0.021513
16.5366,0.021513
16.5854,0.021513
16.6341,0.021513
16.6829,0.022255
16.7317,0.023739
16.7805,0.025223
16.8293,0.030415
16.8780,0.026706
16.9268,0.052671
16.9756,0.054154
17.0244,0.047478
17.0732,0.054154
17.1220,0.052671
17.1707,0.052671
17.2195,0.052671
17.2683,0.054154
17.3171,0.043027
17.3659,0.054154
17.4146,0.026706
17.4634,0.043769
17.5122,0.025223
17.5610,0.023739
17.6098,0.022997
17.6585,0.021513
17.7073,0.021513
17.7561,0.021513
17.8049,0.020772
17.8537,0.020772
17.9024,0.020772
17.9512,0.020772
18.0000,0.020772
18.0488,0.020772
18.0976,0.020772
18.1463,0.020772
18.1951,0.020772
18.2439,0.020772
18.2927,0.020772
18.3415,0.020772
18.3902,0.020772
18.4390,0.020772
18.4878,0.020772
18.5366,0.020030
18.5854,0.020030
18.6341,0.020030
18.6829,0.020030
18.7317,0.020030
18.7805,0.020030
18.8293,0.020030
18.8780,0.020030
18.9268,0.020030
18.9756,0.020030
19.0244,0.020030
19.0732,0.020030
19.1220,0.020030
19.1707,0.020030
19.2195,0.020030
19.2683,0.020030
19.3171,0.020030
19.3659,0.020030
19.4146,0.020030
19.4634,0.020030
19.5122,0.020030
19.5610,0.020030
19.6098,0.020030
19.6585,0.020030
19.7073,0.020030
19.7561,0.020030
19.8049,0.020030
19.8537,0.020030
19.9024,0.020030
19.9512,0.020030
20.0000,0.020030
20.0488,0.020030
20.0976,0.020030
20.1463,0.020030
20.1951,0.020030
20.2439,0.020030
20.2927,0.020030
20.3415,0.020030
20.3902,0.020030
20.4390,0.020030
20.4878,0.020030
20.5366,0.020030
20.5854,0.020030
20.6341,0.020030
20.6829,0.020030
20.7317,0.020030
20.7805,0.020030
20.8293,0.020030
20.8780,0.020030
20.9268,0.020030
20.9756,0.020030
21.0244,0.020030
21.0732,0.020030
21.1220,0.020030
21.1707,0.020030
21.2195,0.020030
21.2683,0.020030
21.3171,0.020030
21.3659,0.020772
21.4146,0.020772
21.4634,0.020772
21.5122,0.021513
21.5610,0.034866
21.6098,0.040801
21.6585,0.026706
21.7073,0.042285
21.7561,0.043769
21.8049,0.042285
21.8537,0.026706
21.9024,0.039318
21.9512,0.017804
22.0000,0.021513
22.0488,0.020772
22.0976,0.020772
22.1463,0.020772
22.1951,0.020772
22.2439,0.020772
22.2927,0.020772
22.3415,0.020772
22.3902,0.020772
22.4390,0.021513
22.4878,0.021513
22.5366,0.031899
22.5854,0.026706
22.6341,0.042285
22.6829,0.032641
22.7317,0.040801
22.7805,0.045994
22.8293,0.048961
22.8780,0.027448
22.9268,0.156528
22.9756,0.034125
23.0244,0.156528
23.0732,0.156528
23.1220,0.156528
23.1707,0.048220
23.2195,0.037834
23.2683,0.029674
23.3171,0.054154
23.3659,0.039318
23.4146,0.022997
23.4634,0.021513
23.5122,0.021513
23.5610,0.021513
23.6098,0.020772
23.6585,0.020772
23.7073,0.020772
23.7561,0.020772
23.8049,0.020772
23.8537,0.020772
23.9024,0.020772
23.9512,0.020772
24.0000,0.020772
24.0488,0.020772
24.0976,0.021513
24.1463,0.022997
24.1951,0.034866
24.2439,0.026706
24.2927,0.037834
24.3415,0.037834
24.3902,0.037834
24.4390,0.026706
24.4878,0.036350
24.5366,0.027448
24.5854,0.022255
24.6341,0.020772
24.6829,0.020772
24.7317,0.020772
24.7805,0.020772
24.8293,0.020772
24.8780,0.020772
24.9268,0.020772
24.9756,0.021513
25.0244,0.021513
25.0732,0.039318
25.1220,0.026706
25.1707,0.045252
25.2195,0.028932
25.2683,0.046736
25.3171,0.046736
25.3659,0.045252
25.4146,0.043769
25.4634,0.023739
25.5122,0.023739
25.5610,0.022997
25.6098,0.022997
25.6585,0.022255
25.7073,0.021513
25.7561,0.020772
25.8049,0.020772
25.8537,0.020772
25.9024,0.020772
25.9512,0.020772
26.0000,0.020772
26.0488,0.020772
26.0976,0.020772
26.1463,0.020772
26.1951,0.020772
26.2439,0.020772
26.2927,0.021513
26.3415,0.021513
26.3902,0.022255
26.4390,0.023739
26.4878,0.049703
26.5366,0.028190
26.5854,0.030415
26.6341,0.037834
26.6829,0.026706
26.7317,0.140208
26.7805,0.134273
26.8293,0.036350
26.8780,0.028190
26.9268,0.054154
26.9756,0.022997
27.0244,0.022255
27.0732,0.021513
27.1220,0.021513
27.1707,0.020772
27.2195,0.020772
27.2683,0.020772
27.3171,0.020772
27.3659,0.021513
27.4146,0.022255
27.4634,0.022997
27.5122,0.024481
27.5610,0.024481
27.6098,0.024481
27.6585,0.031157
27.7073,0.083828
27.7561,0.085312
27.8049,0.088279
27.8537,0.092730
27.9024,0.030415
27.9512,0.028190
28.0000,0.022997
28.0488,0.094214
28.0976,0.017804
28.1463,0.085312
28.1951,0.016320
28.2439,0.080861
28.2927,0.079377
28.3415,0.019288
28.3902,0.079377
28.4390,0.079377
28.4878,0.016320
28.5366,0.079377
28.5854,0.017804
28.6341,0.022997
28.6829,0.079377
28.7317,0.095697
28.7805,0.031157
28.8293,0.036350
28.8780,0.104599
28.9268,0.026706
28.9756,0.104599
29.0244,0.102374
29.0732,0.092730
29.1220,0.055638
29.1707,0.026706
29.2195,0.021513
29.2683,0.021513
29.3171,0.021513
29.3659,0.020772
29.4146,0.021513
29.4634,0.022255
29.5122,0.037834
29.5610,0.026706
29.6098,0.042285
29.6585,0.042285
29.7073,0.043769
29.7561,0.026706
29.8049,0.040801
29.8537,0.037834
29.9024,0.023739
29.9512,0.020772
30.0000,0.020772
30.0488,0.020772
30.0976,0.020772
30.1463,0.020772
30.1951,0.020030
30.2439,0.020030
30.2927,0.020030
30.3415,0.020030
30.3902,0.020030
30.4390,0.020030
30.4878,0.020030
30.5366,0.020030
30.5854,0.020030
30.6341,0.020030
30.6829,0.020030
30.7317,0.020030
30.7805,0.020030
30.8293,0.020030
30.8780,0.020030
30.9268,0.020030
30.9756,0.020772
31.0244,0.020772
31.0732,0.020772
31.1220,0.020772
31.1707,0.020772
31.2195,0.020772
31.2683,0.020772
31.3171,0.020772
31.3659,0.020772
31.4146,0.020772
31.4634,0.021513
31.5122,0.022255
31.5610,0.023739
31.6098,0.026706
31.6585,0.028190
31.7073,0.030415
31.7561,0.032641
31.8049,0.034125
31.8537,0.026706
31.9024,0.086795
31.9512,0.086795
32.0000,0.031899
32.0488,0.028190
32.0976,0.020772
32.1463,0.022997
32.1951,0.017804
32.2439,0.082344
32.2927,0.016320
32.3415,0.020772
32.3902,0.079377
32.4390,0.079377
32.4878,0.016320
32.5366,0.079377
32.5854,0.017804
32.6341,0.020030
32.6829,0.079377
32.7317,0.028190
32.7805,0.034866
32.8293,0.088279
32.8780,0.089763
32.9268,0.089763
32.9756,0.034866
33.0244,0.028190
33.0732,0.020772
33.1220,0.019288
33.1707,0.017804
33.2195,0.076409
33.2683,0.076409
33.3171,0.074926
33.3659,0.076409
33.4146,0.017804
33.4634,0.019288
33.5122,0.020772
33.5610,0.028190
33.6098,0.029674
33.6585,0.031157
33.7073,0.032641
33.7561,0.083828
33.8049,0.083828
33.8537,0.083828
33.9024,0.031899
33.9512,0.028932
34.0000,0.080861
34.0488,0.019288
34.0976,0.022997
34.1463,0.021513
34.1951,0.020772
34.2439,0.020772
34.2927,0.020772
34.3415,0.020772
34.3902,0.020772
34.4390,0.020772
34.4878,0.020772
34.5366,0.021513
34.5854,0.022255
34.6341,0.022997
34.6829,0.022997
34.7317,0.022997
34.7805,0.022997
34.8293,0.022997
34.8780,0.021513
34.9268,0.020772
34.9756,0.020772
35.0244,0.020772
35.0732,0.020772
35.1220,0.021513
35.1707,0.018546
35.2195,0.042285
35.2683,0.026706
35.3171,0.032641
35.3659,0.039318
35.4146,0.046736
35.4634,0.046736
35.5122,0.043769
35.5610,0.039318
35.6098,0.034866
35.6585,0.028932
35.7073,0.034866
35.7561,0.031899
35.8049,0.023739
35.8537,0.020772
35.9024,0.020772
35.9512,0.020772
36.0000,0.020772
36.0488,0.020772
36.0976,0.020772
36.1463,0.020772
36.1951,0.020772
36.2439,0.020772
36.2927,0.022255
36.3415,0.023739
36.3902,0.023739
36.4390,0.027448
36.4878,0.027448
36.5366,0.023739
36.5854,0.022997
36.6341,0.022255
36.6829,0.020772
36.7317,0.020772
36.7805,0.020772
36.8293,0.020772
36.8780,0.020772
36.9268,0.020772
36.9756,0.022255
37.0244,0.022997
37.0732,0.022997
37.1220,0.022997
37.1707,0.022997
37.2195,0.022255
37.2683,0.020772
37.3171,0.020030
37.3659,0.020030
37.4146,0.020030
37.4634,0.020030
37.5122,0.020030
37.5610,0.020030
37.6098,0.020030
37.6585,0.020030
37.7073,0.020030
37.7561,0.020030
37.8049,0.020030
37.8537,0.020030
37.9024,0.020030
37.9512,0.020030
38.0000,0.020030
38.0488,0.020030
38.0976,0.020030
38.1463,0.020772
38.1951,0.020772
38.2439,0.020772
38.2927,0.020772
38.3415,0.020772
38.3902,0.020772
38.4390,0.020772
38.4878,0.020772
38.5366,0.021513
38.5854,0.023739
38.6341,0.028932
38.6829,0.026706
38.7317,0.029674
38.7805,0.033383
38.8293,0.083828
38.8780,0.086795
38.9268,0.088279
38.9756,0.089763
39.0244,0.031899
39.0732,0.028190
39.1220,0.026706
39.1707,0.042285
39.2195,0.022255
39.2683,0.021513
39.3171,0.020772
39.3659,0.020772
39.4146,0.020772
39.4634,0.020772
39.5122,0.022255
39.5610,0.028932
39.6098,0.048220
39.6585,0.027448
39.7073,0.071958
39.7561,0.071958
39.8049,0.071958
39.8537,0.027448
39.9024,0.071958
39.9512,0.039318
40.0000,0.030415
40.0488,0.020772
40.0976,0.020772
40.1463,0.020772
40.1951,0.021513
40.2439,0.022255
40.2927,0.022255
40.3415,0.022997
40.3902,0.022997
40.4390,0.022997
40.4878,0.022997
40.5366,0.022997
40.5854,0.022997
40.6341,0.022997
40.6829,0.022255
40.7317,0.021513
40.7805,0.020772
