# source: /Users/mac/Documents/MOF/img/anie.202305942/anie.202305942_f3d.png
# doi: 10.1002/anie.202305942  figure: Figure 3D
# legend: Simulated  (match: colour+geometry)
# x:    y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.1030,0.116552
5.1417,0.116552
5.1803,0.115862
5.2189,0.115862
5.2576,0.115862
5.2962,0.115862
5.3348,0.115862
5.3735,0.115862
5.4121,0.115862
5.4507,0.115862
5.4894,0.115862
5.5280,0.115862
5.5666,0.115862
5.6053,0.115862
5.6439,0.115862
5.6825,0.115862
5.7212,0.115862
5.7598,0.115862
5.7984,0.115862
5.8371,0.115862
5.8757,0.115862
5.9144,0.115862
5.9530,0.115862
5.9916,0.115862
6.0303,0.116552
6.0689,0.116552
6.1075,0.117241
6.1462,0.117931
6.1848,0.117931
6.2234,0.117931
6.2621,0.117931
6.3007,0.117931
6.3393,0.117931
6.3780,0.177931
6.4166,0.179310
6.4552,0.182069
6.4939,0.122759
6.5325,0.183448
6.5711,0.124138
6.6098,0.132414
6.6484,0.115862
6.6870,0.120000
6.7257,0.117931
6.7643,0.117931
6.8030,0.117931
6.8416,0.117241
6.8802,0.116552
6.9189,0.116552
6.9575,0.116552
6.9961,0.116552
7.0348,0.117241
7.0734,0.117931
7.1120,0.117931
7.1507,0.117931
7.1893,0.260000
7.2279,0.261379
7.2666,0.261379
7.3052,0.251034
7.3438,0.251034
7.3825,0.246207
7.4211,0.127586
7.4597,0.245517
7.4984,0.127586
7.5370,0.179310
7.5757,0.120690
7.6143,0.128276
7.6529,0.117931
7.6916,0.117931
7.7302,0.117931
7.7688,0.117931
7.8075,0.117931
7.8461,0.117931
7.8847,0.117241
7.9234,0.116552
7.9620,0.116552
8.0006,0.116552
8.0393,0.116552
8.0779,0.116552
8.1165,0.116552
8.1552,0.116552
8.1938,0.116552
8.2324,0.115862
8.2711,0.115862
8.3097,0.115862
8.3484,0.115862
8.3870,0.115862
8.4256,0.115862
8.4643,0.115862
8.5029,0.116552
8.5415,0.116552
8.5802,0.116552
8.6188,0.116552
8.6574,0.117931
8.6961,0.129655
8.7347,0.120690
8.7733,0.129655
8.8120,0.123448
8.8506,0.133793
8.8892,0.123448
8.9279,0.133793
8.9665,0.133793
9.0051,0.133793
9.0438,0.117931
9.0824,0.117931
9.1210,0.117931
9.1597,0.117241
9.1983,0.116552
9.2370,0.117241
9.2756,0.117931
9.3142,0.117931
9.3529,0.117931
9.3915,0.142069
9.4301,0.142069
9.4688,0.142069
9.5074,0.142069
9.5460,0.142069
9.5847,0.121379
9.6233,0.119310
9.6619,0.118621
9.7006,0.117931
9.7392,0.117241
9.7778,0.116552
9.8165,0.116552
9.8551,0.115862
9.8937,0.115862
9.9324,0.115862
9.9710,0.115862
10.0097,0.115862
10.0483,0.115862
10.0869,0.115862
10.1256,0.115862
10.1642,0.115862
10.2028,0.115862
10.2415,0.115862
10.2801,0.115862
10.3187,0.115862
10.3574,0.115862
10.3960,0.115862
10.4346,0.115862
10.4733,0.115862
10.5119,0.115862
10.5505,0.115862
10.5892,0.116552
10.6278,0.116552
10.6664,0.116552
10.7051,0.116552
10.7437,0.117931
10.7824,0.120000
10.8210,0.120000
10.8596,0.120000
10.8983,0.120000
10.9369,0.120000
10.9755,0.120000
11.0142,0.117241
11.0528,0.116552
11.0914,0.116552
11.1301,0.116552
11.1687,0.116552
11.2073,0.117241
11.2460,0.117931
11.2846,0.117931
11.3232,0.117931
11.3619,0.150345
11.4005,0.150345
11.4391,0.129655
11.4778,0.154483
11.5164,0.154483
11.5550,0.154483
11.5937,0.152414
11.6323,0.150345
11.6710,0.122759
11.7096,0.125517
11.7482,0.125517
11.7869,0.125517
11.8255,0.117931
11.8641,0.117931
11.9028,0.117931
11.9414,0.120000
11.9800,0.125517
12.0187,0.125517
12.0573,0.124138
12.0959,0.129655
12.1346,0.124138
12.1732,0.125517
12.2118,0.125517
12.2505,0.120000
12.2891,0.117931
12.3277,0.117931
12.3664,0.117931
12.4050,0.129655
12.4437,0.129655
12.4823,0.129655
12.5209,0.133793
12.5596,0.133793
12.5982,0.133793
12.6368,0.120000
12.6755,0.118621
12.7141,0.117931
12.7527,0.117241
