# source: /Users/mac/Documents/MOF/img/anie.202305942/anie.202305942_s21.png
# doi: 10.1002/anie.202305942  figure: Figure S21
# legend: rec-Mn3  (match: geometry)
# x: 2θ (°)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.1482,0.745318
5.2291,0.745318
5.3100,0.744382
5.3908,0.744382
5.4717,0.744382
5.5526,0.744382
5.6334,0.744382
5.7143,0.744382
5.7951,0.746255
5.8760,0.745318
5.9569,0.745318
6.0377,0.745318
6.1186,0.744382
6.1995,0.745318
6.2803,0.744382
6.3612,0.744382
6.4420,0.744382
6.5229,0.746255
6.6038,0.746255
6.6846,0.748127
6.7655,0.746255
6.8464,0.746255
6.9272,0.750000
7.0081,0.749064
7.0889,0.796816
7.1698,0.791199
7.2507,0.838951
7.3315,0.894195
7.4124,0.839888
7.4933,0.792135
7.5741,0.798689
7.6550,0.755618
7.7358,0.746255
7.8167,0.746255
7.8976,0.746255
7.9784,0.746255
8.0593,0.746255
8.1402,0.746255
8.2210,0.746255
8.3019,0.746255
8.3827,0.746255
8.4636,0.746255
8.5445,0.743446
8.6253,0.750936
8.7062,0.748127
8.7871,0.748127
8.8679,0.751873
8.9488,0.750936
9.0296,0.774345
9.1105,0.787453
9.1914,0.789326
9.2722,0.794944
9.3531,0.804307
9.4340,0.824906
9.5148,0.798689
9.5957,0.819288
9.6765,0.750936
9.7574,0.751873
9.8383,0.751873
9.9191,0.751873
10.0000,0.751873
10.0809,0.751873
10.1617,0.751873
10.2426,0.752809
10.3235,0.750936
10.4043,0.756554
10.4852,0.758427
10.5660,0.764981
10.6469,0.756554
10.7278,0.764045
10.8086,0.755618
10.8895,0.755618
10.9704,0.757491
11.0512,0.755618
11.1321,0.758427
11.2129,0.775281
11.2938,0.811798
11.3747,0.783708
11.4555,0.773408
11.5364,0.758427
11.6173,0.765918
11.6981,0.756554
11.7790,0.764045
11.8598,0.755618
11.9407,0.762172
12.0216,0.769663
12.1024,0.774345
12.1833,0.767790
12.2642,0.771536
12.3450,0.769663
12.4259,0.764045
12.5067,0.758427
12.5876,0.759363
12.6685,0.758427
12.7493,0.761236
12.8302,0.774345
12.9111,0.785581
12.9919,0.794944
13.0728,0.783708
13.1536,0.766854
13.2345,0.770599
13.3154,0.765918
13.3962,0.760300
13.4771,0.774345
13.5580,0.765918
13.6388,0.757491
13.7197,0.752809
