# source: /Users/mac/Documents/MOF/img/anie.202305942/anie.202305942_s21.png
# doi: 10.1002/anie.202305942  figure: Figure S21
# legend: dc-Mn3  (match: geometry)
# x: 2θ (°)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.1482,0.486891
5.2291,0.486891
5.3100,0.486891
5.3908,0.486891
5.4717,0.485955
5.5526,0.485955
5.6334,0.485955
5.7143,0.485955
5.7951,0.485955
5.8760,0.485955
5.9569,0.485955
6.0377,0.485955
6.1186,0.485955
6.1995,0.485955
6.2803,0.485955
6.3612,0.485955
6.4420,0.485955
6.5229,0.486891
6.6038,0.487828
6.6846,0.489700
6.7655,0.489700
6.8464,0.487828
6.9272,0.486891
7.0081,0.487828
7.0889,0.490637
7.1698,0.505618
7.2507,0.547753
7.3315,0.490637
7.4124,0.539326
7.4933,0.496255
7.5741,0.499064
7.6550,0.486891
7.7358,0.485955
7.8167,0.485955
7.8976,0.486891
7.9784,0.486891
8.0593,0.486891
8.1402,0.486891
8.2210,0.487828
8.3019,0.486891
8.3827,0.487828
8.4636,0.487828
8.5445,0.487828
8.6253,0.487828
8.7062,0.487828
8.7871,0.488764
8.8679,0.488764
8.9488,0.489700
9.0296,0.497191
9.1105,0.490637
9.1914,0.514981
9.2722,0.554307
9.3531,0.587079
9.4340,0.587079
9.5148,0.558052
9.5957,0.520599
9.6765,0.488764
9.7574,0.491573
9.8383,0.491573
9.9191,0.491573
10.0000,0.491573
10.0809,0.491573
10.1617,0.491573
10.2426,0.491573
10.3235,0.491573
10.4043,0.493446
10.4852,0.492509
10.5660,0.497191
10.6469,0.499064
10.7278,0.496255
10.8086,0.495318
10.8895,0.491573
10.9704,0.493446
11.0512,0.493446
11.1321,0.495318
11.2129,0.498127
11.2938,0.504682
11.3747,0.515918
11.4555,0.498127
11.5364,0.503745
11.6173,0.509363
11.6981,0.502809
11.7790,0.492509
11.8598,0.493446
11.9407,0.495318
12.0216,0.495318
12.1024,0.502809
12.1833,0.512172
12.2642,0.498127
12.3450,0.502809
12.4259,0.504682
12.5067,0.500936
12.5876,0.492509
12.6685,0.493446
12.7493,0.493446
12.8302,0.493446
12.9111,0.504682
12.9919,0.515918
13.0728,0.538390
13.1536,0.508427
13.2345,0.515918
13.3154,0.495318
13.3962,0.498127
13.4771,0.502809
13.5580,0.512172
13.6388,0.501873
13.7197,0.490637
13.8005,0.491573
13.8814,0.492509
13.9623,0.492509
14.0431,0.492509
14.1240,0.493446
14.2049,0.496255
14.2857,0.498127
