# source: /Users/mac/Documents/MOF/img/anie.202305942/anie.202305942_s21.png
# doi: 10.1002/anie.202305942  figure: Figure S21
# legend: C-Mn3  (match: colour+geometry)
# x: 2θ (°)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.1482,0.229401
5.2291,0.229401
5.3100,0.229401
5.3908,0.229401
5.4717,0.229401
5.5526,0.229401
5.6334,0.229401
5.7143,0.229401
5.7951,0.229401
5.8760,0.229401
5.9569,0.229401
6.0377,0.229401
6.1186,0.229401
6.1995,0.229401
6.2803,0.229401
6.3612,0.229401
6.4420,0.229401
6.5229,0.229401
6.6038,0.229401
6.6846,0.229401
6.7655,0.231273
6.8464,0.231273
6.9272,0.229401
7.0081,0.229401
7.0889,0.229401
7.1698,0.231273
7.2507,0.250000
7.3315,0.450375
7.4124,0.452247
7.4933,0.452247
7.5741,0.442884
7.6550,0.233146
7.7358,0.231273
7.8167,0.229401
7.8976,0.229401
7.9784,0.229401
8.0593,0.229401
8.1402,0.229401
8.2210,0.231273
8.3019,0.231273
8.3827,0.231273
8.4636,0.229401
8.5445,0.229401
8.6253,0.229401
8.7062,0.229401
8.7871,0.229401
8.8679,0.229401
8.9488,0.229401
9.0296,0.229401
9.1105,0.229401
9.1914,0.236891
9.2722,0.281835
9.3531,0.283708
9.4340,0.294944
9.5148,0.296816
9.5957,0.296816
9.6765,0.293071
9.7574,0.231273
9.8383,0.229401
9.9191,0.229401
10.0000,0.229401
10.0809,0.229401
10.1617,0.229401
10.2426,0.229401
10.3235,0.229401
10.4043,0.229401
10.4852,0.229401
10.5660,0.231273
10.6469,0.246255
10.7278,0.248127
10.8086,0.248127
10.8895,0.240637
10.9704,0.229401
11.0512,0.231273
11.1321,0.231273
11.2129,0.231273
11.2938,0.261236
11.3747,0.263109
11.4555,0.263109
11.5364,0.261236
11.6173,0.236891
11.6981,0.238764
11.7790,0.238764
11.8598,0.235019
11.9407,0.229401
12.0216,0.229401
12.1024,0.240637
12.1833,0.242509
12.2642,0.242509
12.3450,0.238764
12.4259,0.238764
12.5067,0.238764
12.5876,0.236891
12.6685,0.229401
12.7493,0.229401
12.8302,0.229401
12.9111,0.231273
12.9919,0.272472
13.0728,0.274345
13.1536,0.274345
13.2345,0.272472
13.3154,0.231273
13.3962,0.229401
13.4771,0.240637
13.5580,0.242509
13.6388,0.242509
13.7197,0.240637
13.8005,0.229401
13.8814,0.229401
13.9623,0.229401
14.0431,0.229401
14.1240,0.229401
14.2049,0.229401
14.2857,0.236891
14.3666,0.240637
14.4474,0.240637
14.5283,0.238764
14.6092,0.231273
14.6900,0.229401
14.7709,0.231273
14.8518,0.231273
14.9326,0.236891
15.0135,0.242509
15.0943,0.242509
15.1752,0.242509
15.2561,0.233146
15.3369,0.235019
15.4178,0.235019
15.4987,0.235019
15.5795,0.231273
15.6604,0.233146
15.7412,0.334270
15.8221,0.338015
15.9030,0.338015
15.9838,0.336142
16.0647,0.248127
16.1456,0.235019
16.2264,0.233146
16.3073,0.244382
16.3881,0.246255
16.4690,0.246255
16.5499,0.244382
16.6307,0.231273
16.7116,0.233146
16.7925,0.235019
16.8733,0.235019
16.9542,0.233146
17.0350,0.229401
17.1159,0.235019
17.1968,0.236891
17.2776,0.235019
17.3585,0.233146
17.4394,0.229401
17.5202,0.229401
17.6011,0.229401
17.6819,0.253745
17.7628,0.255618
17.8437,0.255618
17.9245,0.253745
18.0054,0.235019
18.0863,0.231273
18.1671,0.229401
18.2480,0.233146
18.3288,0.235019
18.4097,0.233146
18.4906,0.231273
18.5714,0.229401
18.6523,0.229401
18.7332,0.229401
18.8140,0.229401
18.8949,0.229401
18.9757,0.229401
19.0566,0.229401
19.1375,0.229401
19.2183,0.229401
19.2992,0.229401
19.3801,0.229401
19.4609,0.229401
19.5418,0.231273
19.6226,0.233146
19.7035,0.244382
19.7844,0.244382
19.8652,0.244382
19.9461,0.238764
20.0270,0.231273
20.1078,0.229401
20.1887,0.236891
20.2695,0.238764
20.3504,0.238764
20.4313,0.236891
20.5121,0.236891
20.5930,0.235019
20.6739,0.248127
20.7547,0.251873
20.8356,0.251873
20.9164,0.250000
20.9973,0.236891
21.0782,0.235019
21.1590,0.233146
21.2399,0.229401
21.3208,0.229401
21.4016,0.231273
21.4825,0.231273
21.5633,0.233146
21.6442,0.235019
21.7251,0.233146
21.8059,0.231273
21.8868,0.231273
21.9677,0.229401
22.0485,0.235019
22.1294,0.236891
22.2102,0.236891
22.2911,0.235019
22.3720,0.236891
22.4528,0.236891
22.5337,0.235019
22.6146,0.242509
22.6954,0.244382
22.7763,0.244382
22.8571,0.242509
22.9380,0.233146
23.0189,0.229401
23.0997,0.229401
23.1806,0.231273
23.2615,0.233146
23.3423,0.231273
23.4232,0.233146
23.5040,0.235019
23.5849,0.235019
23.6658,0.233146
23.7466,0.231273
23.8275,0.229401
23.9084,0.229401
23.9892,0.229401
24.0701,0.229401
24.1509,0.229401
24.2318,0.231273
24.3127,0.231273
24.3935,0.272472
24.4744,0.276217
24.5553,0.276217
24.6361,0.274345
24.7170,0.255618
24.7978,0.238764
24.8787,0.238764
24.9596,0.238764
25.0404,0.238764
25.1213,0.238764
25.2022,0.236891
25.2830,0.229401
25.3639,0.229401
25.4447,0.229401
25.5256,0.229401
25.6065,0.229401
25.6873,0.229401
25.7682,0.231273
25.8491,0.231273
25.9299,0.231273
26.0108,0.229401
26.0916,0.229401
26.1725,0.229401
26.2534,0.233146
26.3342,0.235019
26.4151,0.235019
26.4960,0.233146
26.5768,0.231273
26.6577,0.231273
26.7385,0.229401
26.8194,0.229401
26.9003,0.233146
26.9811,0.233146
27.0620,0.233146
27.1429,0.231273
27.2237,0.231273
27.3046,0.231273
27.3854,0.233146
27.4663,0.231273
27.5472,0.231273
27.6280,0.231273
27.7089,0.231273
27.7898,0.231273
27.8706,0.231273
27.9515,0.229401
28.0323,0.229401
28.1132,0.229401
28.1941,0.229401
28.2749,0.233146
28.3558,0.235019
28.4367,0.235019
28.5175,0.235019
28.5984,0.231273
28.6792,0.233146
28.7601,0.235019
28.8410,0.233146
28.9218,0.231273
29.0027,0.231273
29.0836,0.231273
29.1644,0.233146
29.2453,0.231273
29.3261,0.233146
29.4070,0.235019
29.4879,0.235019
29.5687,0.233146
29.6496,0.233146
29.7305,0.233146
29.8113,0.231273
29.8922,0.233146
29.9730,0.235019
30.0539,0.235019
30.1348,0.235019
30.2156,0.233146
30.2965,0.231273
30.3774,0.229401
30.4582,0.229401
30.5391,0.233146
30.6199,0.235019
30.7008,0.235019
30.7817,0.233146
30.8625,0.231273
30.9434,0.231273
31.0243,0.231273
31.1051,0.231273
31.1860,0.231273
31.2668,0.231273
31.3477,0.231273
31.4286,0.231273
31.5094,0.231273
31.5903,0.231273
31.6712,0.233146
31.7520,0.231273
31.8329,0.229401
31.9137,0.231273
31.9946,0.233146
32.0755,0.233146
32.1563,0.231273
32.2372,0.229401
32.3181,0.229401
32.3989,0.229401
32.4798,0.229401
32.5606,0.231273
32.6415,0.231273
32.7224,0.231273
32.8032,0.231273
32.8841,0.229401
32.9650,0.231273
33.0458,0.231273
33.1267,0.231273
33.2075,0.231273
33.2884,0.231273
33.3693,0.229401
33.4501,0.229401
33.5310,0.229401
33.6119,0.229401
33.6927,0.229401
33.7736,0.231273
33.8544,0.231273
33.9353,0.231273
34.0162,0.231273
34.0970,0.231273
34.1779,0.231273
34.2588,0.231273
34.3396,0.231273
34.4205,0.231273
34.5013,0.231273
34.5822,0.231273
34.6631,0.229401
34.7439,0.231273
34.8248,0.231273
34.9057,0.231273
34.9865,0.231273
35.0674,0.233146
35.1482,0.231273
35.2291,0.231273
35.3100,0.231273
35.3908,0.231273
35.4717,0.231273
35.5526,0.231273
35.6334,0.231273
35.7143,0.231273
35.7951,0.231273
35.8760,0.229401
35.9569,0.229401
36.0377,0.231273
36.1186,0.229401
36.1995,0.229401
36.2803,0.231273
36.3612,0.231273
36.4420,0.231273
36.5229,0.229401
36.6038,0.231273
36.6846,0.231273
36.7655,0.231273
36.8464,0.229401
36.9272,0.229401
37.0081,0.229401
37.0889,0.231273
37.1698,0.231273
37.2507,0.231273
37.3315,0.231273
37.4124,0.231273
37.4933,0.231273
37.5741,0.231273
37.6550,0.229401
37.7358,0.229401
37.8167,0.229401
37.8976,0.229401
37.9784,0.231273
38.0593,0.231273
38.1402,0.231273
38.2210,0.229401
38.3019,0.229401
38.3827,0.229401
38.4636,0.229401
38.5445,0.229401
38.6253,0.229401
38.7062,0.229401
38.7871,0.229401
38.8679,0.229401
38.9488,0.229401
39.0296,0.229401
39.1105,0.231273
39.1914,0.231273
39.2722,0.231273
39.3531,0.231273
39.4340,0.231273
39.5148,0.231273
39.5957,0.231273
39.6765,0.231273
39.7574,0.231273
39.8383,0.231273
39.9191,0.231273
40.0000,0.229401
40.0809,0.231273
40.1617,0.231273
40.2426,0.231273
40.3235,0.231273
40.4043,0.231273
40.4852,0.231273
40.5660,0.231273
40.6469,0.229401
40.7278,0.229401
40.8086,0.231273
40.8895,0.231273
40.9704,0.233146
41.0512,0.233146
41.1321,0.233146
41.2129,0.233146
41.2938,0.233146
41.3747,0.231273
41.4555,0.231273
41.5364,0.229401
41.6173,0.229401
41.6981,0.231273
41.7790,0.231273
41.8598,0.231273
41.9407,0.231273
42.0216,0.231273
42.1024,0.231273
42.1833,0.229401
42.2642,0.231273
42.3450,0.231273
42.4259,0.231273
42.5067,0.229401
42.5876,0.231273
42.6685,0.231273
42.7493,0.231273
42.8302,0.231273
42.9111,0.231273
42.9919,0.231273
43.0728,0.229401
43.1536,0.229401
43.2345,0.229401
43.3154,0.231273
43.3962,0.231273
43.4771,0.231273
43.5580,0.231273
43.6388,0.231273
43.7197,0.231273
43.8005,0.231273
43.8814,0.231273
43.9623,0.231273
44.0431,0.231273
44.1240,0.231273
44.2049,0.231273
44.2857,0.231273
44.3666,0.229401
44.4474,0.229401
44.5283,0.229401
44.6092,0.229401
44.6900,0.229401
44.7709,0.229401
44.8518,0.231273
44.9326,0.231273
45.0135,0.231273
45.0943,0.231273
45.1752,0.231273
45.2561,0.231273
45.3369,0.231273
45.4178,0.229401
45.4987,0.231273
45.5795,0.231273
45.6604,0.231273
45.7412,0.231273
45.8221,0.231273
45.9030,0.231273
45.9838,0.231273
46.0647,0.231273
46.1456,0.231273
46.2264,0.231273
46.3073,0.231273
46.3881,0.231273
46.4690,0.231273
46.5499,0.229401
46.6307,0.229401
46.7116,0.229401
46.7925,0.229401
46.8733,0.231273
46.9542,0.231273
47.0350,0.229401
47.1159,0.229401
47.1968,0.231273
47.2776,0.229401
47.3585,0.229401
47.4394,0.229401
47.5202,0.229401
47.6011,0.231273
47.6819,0.231273
47.7628,0.231273
47.8437,0.231273
47.9245,0.229401
48.0054,0.229401
48.0863,0.229401
48.1671,0.229401
48.2480,0.229401
48.3288,0.229401
48.4097,0.229401
48.4906,0.231273
48.5714,0.231273
48.6523,0.231273
48.7332,0.231273
48.8140,0.231273
48.8949,0.231273
48.9757,0.231273
49.0566,0.231273
49.1375,0.231273
49.2183,0.231273
49.2992,0.231273
49.3801,0.231273
49.4609,0.231273
49.5418,0.231273
49.6226,0.231273
49.7035,0.231273
49.7844,0.231273
49.8652,0.231273
49.9461,0.231273
50.0270,0.231273
50.1078,0.231273
50.1887,0.229401
50.2695,0.231273
50.3504,0.231273
50.4313,0.231273
50.5121,0.229401
50.5930,0.231273
50.6739,0.229401
50.7547,0.229401
50.8356,0.229401
50.9164,0.229401
50.9973,0.229401
51.0782,0.229401
51.1590,0.229401
51.2399,0.229401
51.3208,0.229401
51.4016,0.229401
51.4825,0.229401
51.5633,0.229401
51.6442,0.229401
51.7251,0.229401
51.8059,0.229401
51.8868,0.229401
51.9677,0.229401
52.0485,0.229401
52.1294,0.231273
52.2102,0.229401
52.2911,0.229401
52.3720,0.229401
52.4528,0.229401
52.5337,0.229401
52.6146,0.229401
52.6954,0.229401
52.7763,0.229401
52.8571,0.229401
52.9380,0.229401
53.0189,0.229401
53.0997,0.229401
53.1806,0.229401
53.2615,0.229401
53.3423,0.229401
53.4232,0.229401
53.5040,0.229401
53.5849,0.229401
53.6658,0.229401
53.7466,0.229401
53.8275,0.231273
53.9084,0.229401
53.9892,0.229401
54.0701,0.229401
54.1509,0.229401
54.2318,0.229401
54.3127,0.229401
54.3935,0.229401
54.4744,0.229401
54.5553,0.231273
54.6361,0.231273
54.7170,0.231273
54.7978,0.231273
54.8787,0.229401
54.9596,0.229401
55.0404,0.229401
55.1213,0.229401
55.2022,0.229401
55.2830,0.231273
55.3639,0.229401
55.4447,0.229401
55.5256,0.229401
55.6065,0.229401
55.6873,0.229401
55.7682,0.229401
55.8491,0.229401
55.9299,0.229401
56.0108,0.229401
56.0916,0.229401
56.1725,0.229401
56.2534,0.229401
56.3342,0.229401
56.4151,0.229401
56.4960,0.229401
56.5768,0.231273
56.6577,0.229401
56.7385,0.229401
56.8194,0.229401
56.9003,0.229401
56.9811,0.229401
57.0620,0.229401
57.1429,0.229401
57.2237,0.229401
57.3046,0.229401
57.3854,0.229401
57.4663,0.229401
57.5472,0.229401
57.6280,0.229401
57.7089,0.229401
57.7898,0.229401
57.8706,0.229401
57.9515,0.229401
58.0323,0.229401
58.1132,0.229401
58.1941,0.229401
58.2749,0.229401
58.3558,0.229401
58.4367,0.229401
58.5175,0.229401
58.5984,0.229401
58.6792,0.229401
58.7601,0.229401
58.8410,0.229401
58.9218,0.229401
59.0027,0.229401
59.0836,0.229401
59.1644,0.229401
59.2453,0.229401
59.3261,0.229401
59.4070,0.229401
59.4879,0.229401
59.5687,0.229401
59.6496,0.229401
59.7305,0.229401
59.8113,0.229401
59.8922,0.229401
