# source: /Users/mac/Documents/MOF/img/anie.202305942/anie.202305942_s8.png
# doi: 10.1002/anie.202305942  figure: Figure S8
# legend: h-Mn3  (match: geometry)
# x: (°   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.1408,0.045116
5.1761,0.045116
5.2113,0.045116
5.2465,0.045116
5.2817,0.044186
5.3169,0.044186
5.3521,0.048837
5.3873,0.048837
5.4225,0.046977
5.4577,0.054419
5.4930,0.070698
5.5282,0.070698
5.5634,0.082326
5.5986,0.063721
5.6338,0.067907
5.6690,0.084186
5.7042,0.084186
5.7394,0.084186
5.7746,0.065581
5.8099,0.082326
5.8451,0.056744
5.8803,0.067442
5.9155,0.054419
5.9507,0.054419
5.9859,0.046977
6.0211,0.046977
6.0563,0.046047
6.0915,0.046047
6.1268,0.045116
6.1620,0.045116
6.1972,0.045116
6.2324,0.045116
6.2676,0.045116
6.3028,0.045116
6.3380,0.044186
6.3732,0.044186
6.4085,0.044186
6.4437,0.044186
6.4789,0.044186
6.5141,0.044186
6.5493,0.045116
6.5845,0.045116
6.6197,0.044186
6.6549,0.044186
6.6901,0.044186
6.7254,0.044186
6.7606,0.044186
6.7958,0.044186
6.8310,0.045116
6.8662,0.045116
6.9014,0.045116
6.9366,0.045116
6.9718,0.045116
7.0070,0.045116
7.0423,0.044186
7.0775,0.044186
7.1127,0.045116
7.1479,0.045116
7.1831,0.045116
7.2183,0.045116
7.2535,0.044186
7.2887,0.044186
7.3239,0.045116
7.3592,0.045116
7.3944,0.045116
7.4296,0.045116
7.4648,0.045116
7.5000,0.045116
7.5352,0.045116
7.5704,0.045116
7.6056,0.045116
7.6408,0.045116
7.6761,0.046047
7.7113,0.046047
7.7465,0.044186
7.7817,0.044186
7.8169,0.044186
7.8521,0.044186
7.8873,0.044186
7.9225,0.044186
7.9577,0.044186
7.9930,0.044186
8.0282,0.045116
8.0634,0.045116
8.0986,0.045116
8.1338,0.045116
8.1690,0.045116
8.2042,0.045116
8.2394,0.046047
8.2746,0.046047
8.3099,0.046047
8.3451,0.046047
8.3803,0.047907
8.4155,0.047907
8.4507,0.048837
8.4859,0.048837
8.5211,0.047907
8.5563,0.047907
8.5915,0.047907
8.6268,0.047907
8.6620,0.046977
8.6972,0.046977
8.7324,0.047907
8.7676,0.047907
8.8028,0.048837
8.8380,0.048837
8.8732,0.046977
8.9085,0.046977
8.9437,0.047907
8.9789,0.047907
9.0141,0.048837
9.0493,0.048837
9.0845,0.047907
9.1197,0.047907
9.1549,0.048837
9.1901,0.048837
9.2254,0.048837
9.2606,0.048837
9.2958,0.048837
9.3310,0.048837
9.3662,0.048837
9.4014,0.048837
9.4366,0.048837
9.4718,0.048837
9.5070,0.048837
9.5423,0.048837
9.5775,0.048837
9.6127,0.048837
9.6479,0.048837
9.6831,0.048837
9.7183,0.049767
9.7535,0.049767
9.7887,0.049767
9.8239,0.049767
9.8592,0.048837
9.8944,0.048837
9.9296,0.048837
9.9648,0.048837
10.0000,0.048837
10.0352,0.048837
10.0704,0.050698
10.1056,0.050698
10.1408,0.050698
10.1761,0.050698
10.2113,0.048837
10.2465,0.048837
10.2817,0.050698
10.3169,0.050698
10.3521,0.050698
10.3873,0.050698
10.4225,0.049767
10.4577,0.049767
10.4930,0.051628
10.5282,0.051163
10.5634,0.050233
10.5986,0.049767
10.6338,0.049767
10.6690,0.050233
10.7042,0.049767
10.7394,0.049767
10.7746,0.049767
10.8099,0.049767
10.8451,0.049767
10.8803,0.049767
10.9155,0.050698
10.9507,0.050698
10.9859,0.051628
11.0211,0.051628
11.0563,0.051628
11.0915,0.051628
11.1268,0.052558
11.1620,0.052558
11.1972,0.051628
11.2324,0.051628
11.2676,0.052558
11.3028,0.052558
11.3380,0.052558
11.3732,0.052558
11.4085,0.053488
11.4437,0.053488
11.4789,0.052558
11.5141,0.052558
11.5493,0.050698
11.5845,0.050698
11.6197,0.050698
11.6549,0.050698
11.6901,0.049767
11.7254,0.049767
11.7606,0.050698
11.7958,0.050698
11.8310,0.051628
11.8662,0.051628
11.9014,0.051628
11.9366,0.051628
11.9718,0.050698
12.0070,0.050698
12.0423,0.051628
12.0775,0.051628
12.1127,0.051628
12.1479,0.051628
12.1831,0.051628
12.2183,0.051628
12.2535,0.050698
12.2887,0.050698
12.3239,0.050698
12.3592,0.050698
12.3944,0.049767
12.4296,0.049767
12.4648,0.052558
12.5000,0.052558
12.5352,0.051628
12.5704,0.051628
12.6056,0.051628
12.6408,0.051628
12.6761,0.054419
12.7113,0.054419
12.7465,0.055349
12.7817,0.055349
12.8169,0.056279
12.8521,0.056279
12.8873,0.055349
12.9225,0.055349
12.9577,0.056279
12.9930,0.051628
13.0282,0.054419
13.0634,0.054419
13.0986,0.054419
13.1338,0.054419
13.1690,0.054419
13.2042,0.054419
13.2394,0.055349
13.2746,0.055349
13.3099,0.055349
13.3451,0.055349
13.3803,0.057209
13.4155,0.056279
13.4507,0.053488
13.4859,0.053488
13.5211,0.052558
13.5563,0.052558
13.5915,0.052558
13.6268,0.052558
13.6620,0.053488
13.6972,0.053488
13.7324,0.051628
13.7676,0.061860
13.8028,0.078605
13.8380,0.078140
13.8732,0.089767
13.9085,0.081860
13.9437,0.080000
13.9789,0.085116
14.0141,0.091628
14.0493,0.091628
14.0845,0.091628
14.1197,0.091628
14.1549,0.088837
14.1901,0.086047
14.2254,0.084186
14.2606,0.077209
14.2958,0.079070
14.3310,0.084186
14.3662,0.078140
14.4014,0.059070
14.4366,0.060000
14.4718,0.053488
14.5070,0.056279
14.5423,0.056279
14.5775,0.055349
14.6127,0.055349
14.6479,0.055349
14.6831,0.055349
14.7183,0.055349
14.7535,0.055349
14.7887,0.054419
14.8239,0.054419
14.8592,0.053488
14.8944,0.053488
14.9296,0.053488
14.9648,0.053488
15.0000,0.053488
15.0352,0.053488
15.0704,0.057209
15.1056,0.057209
15.1408,0.060000
15.1761,0.060000
15.2113,0.059535
15.2465,0.059070
15.2817,0.059070
15.3169,0.059070
15.3521,0.060930
15.3873,0.060000
15.4225,0.059070
15.4577,0.058140
15.4930,0.056279
15.5282,0.051628
15.5634,0.053488
15.5986,0.053488
15.6338,0.051628
15.6690,0.051628
15.7042,0.051628
15.7394,0.051628
15.7746,0.053488
15.8099,0.053488
15.8451,0.051628
15.8803,0.057209
15.9155,0.055349
15.9507,0.055349
15.9859,0.057209
16.0211,0.057209
16.0563,0.058140
16.0915,0.058140
16.1268,0.057209
16.1620,0.051628
16.1972,0.054419
16.2324,0.054419
16.2676,0.051628
16.3028,0.051628
16.3380,0.053488
16.3732,0.053488
16.4085,0.055349
16.4437,0.055349
16.4789,0.055349
16.5141,0.055349
16.5493,0.057209
16.5845,0.057209
16.6197,0.055349
16.6549,0.055349
16.6901,0.053488
16.7254,0.053488
16.7606,0.052558
16.7958,0.052558
16.8310,0.052558
16.8662,0.052558
16.9014,0.051628
16.9366,0.051628
16.9718,0.051628
17.0070,0.051628
17.0423,0.052558
17.0775,0.052558
17.1127,0.054419
17.1479,0.054419
17.1831,0.053488
17.2183,0.053488
17.2535,0.053488
17.2887,0.053488
17.3239,0.053488
17.3592,0.053488
17.3944,0.052558
17.4296,0.052558
17.4648,0.052558
17.5000,0.052558
17.5352,0.051628
17.5704,0.051628
17.6056,0.053488
17.6408,0.053488
17.6761,0.053488
17.7113,0.053488
17.7465,0.053488
17.7817,0.053488
17.8169,0.053488
17.8521,0.053488
17.8873,0.053488
17.9225,0.053488
17.9577,0.053488
17.9930,0.053488
18.0282,0.054419
18.0634,0.054419
18.0986,0.055349
18.1338,0.055349
18.1690,0.058140
18.2042,0.058140
18.2394,0.057209
18.2746,0.058140
18.3099,0.056279
18.3451,0.056279
18.3803,0.052558
18.4155,0.052558
18.4507,0.052558
18.4859,0.052558
18.5211,0.050698
18.5563,0.050698
18.5915,0.050698
18.6268,0.050698
18.6620,0.050698
18.6972,0.050698
18.7324,0.050698
18.7676,0.050698
18.8028,0.050698
18.8380,0.050698
18.8732,0.051628
18.9085,0.051628
18.9437,0.051628
18.9789,0.051628
19.0141,0.052558
19.0493,0.052558
19.0845,0.054419
19.1197,0.054419
19.1549,0.054419
19.1901,0.054419
19.2254,0.055349
19.2606,0.058140
19.2958,0.067442
19.3310,0.067442
19.3662,0.087907
19.4014,0.087442
19.4366,0.119535
19.4718,0.119070
19.5070,0.177209
19.5423,0.176744
19.5775,0.329767
19.6127,0.329767
19.6479,0.355814
19.6831,0.202326
19.7183,0.357674
19.7535,0.357674
19.7887,0.357674
19.8239,0.357674
19.8592,0.204186
19.8944,0.192558
19.9296,0.275814
19.9648,0.275814
20.0000,0.191628
20.0352,0.192093
20.0704,0.158140
20.1056,0.156744
20.1408,0.128372
20.1761,0.128837
20.2113,0.106047
20.2465,0.106512
20.2817,0.082326
20.3169,0.082326
20.3521,0.069302
20.3873,0.069302
20.4225,0.060000
20.4577,0.060000
20.4930,0.054419
20.5282,0.049767
20.5634,0.051628
20.5986,0.051628
20.6338,0.049767
20.6690,0.049767
20.7042,0.048837
20.7394,0.048837
20.7746,0.047907
20.8099,0.047907
20.8451,0.046977
20.8803,0.046977
20.9155,0.046047
20.9507,0.046047
20.9859,0.045116
21.0211,0.045116
21.0563,0.045116
21.0915,0.045116
21.1268,0.045116
21.1620,0.045116
21.1972,0.046977
21.2324,0.046977
21.2676,0.045116
21.3028,0.045116
21.3380,0.045116
21.3732,0.045116
21.4085,0.045116
21.4437,0.045116
21.4789,0.045116
21.5141,0.045116
21.5493,0.045116
21.5845,0.045116
21.6197,0.045116
21.6549,0.045116
21.6901,0.045116
21.7254,0.045116
21.7606,0.045116
21.7958,0.045116
21.8310,0.045116
21.8662,0.045116
21.9014,0.045116
21.9366,0.045116
21.9718,0.045116
22.0070,0.045116
22.0423,0.046047
22.0775,0.046047
22.1127,0.050698
22.1479,0.050698
22.1831,0.052558
22.2183,0.051628
22.2535,0.051628
22.2887,0.051628
22.3239,0.051628
22.3592,0.051628
22.3944,0.049767
22.4296,0.049767
22.4648,0.048837
22.5000,0.048837
22.5352,0.047907
22.5704,0.047907
22.6056,0.047907
22.6408,0.047907
22.6761,0.046977
22.7113,0.046977
22.7465,0.046977
22.7817,0.046977
22.8169,0.046977
22.8521,0.046977
22.8873,0.048837
22.9225,0.048837
22.9577,0.048837
22.9930,0.048837
23.0282,0.046047
23.0634,0.046047
23.0986,0.046047
23.1338,0.046047
23.1690,0.044186
23.2042,0.044186
23.2394,0.042326
23.2746,0.042326
23.3099,0.042326
23.3451,0.042326
23.3803,0.043256
23.4155,0.043256
23.4507,0.043256
23.4859,0.043256
23.5211,0.043256
23.5563,0.043256
23.5915,0.044186
23.6268,0.044186
23.6620,0.043256
23.6972,0.047907
23.7324,0.046047
23.7676,0.049767
23.8028,0.048837
23.8380,0.048837
23.8732,0.048837
23.9085,0.048837
23.9437,0.047907
23.9789,0.047907
24.0141,0.046977
24.0493,0.046977
24.0845,0.044186
24.1197,0.044186
24.1549,0.044186
24.1901,0.044186
24.2254,0.043256
24.2606,0.043256
24.2958,0.043256
24.3310,0.043256
24.3662,0.042326
24.4014,0.042326
24.4366,0.043256
24.4718,0.043256
24.5070,0.043256
24.5423,0.042791
24.5775,0.044186
24.6127,0.044186
24.6479,0.043256
24.6831,0.048837
24.7183,0.046047
24.7535,0.052558
24.7887,0.058140
24.8239,0.055349
24.8592,0.060000
24.8944,0.059070
24.9296,0.059070
24.9648,0.059070
25.0000,0.060000
25.0352,0.060000
25.0704,0.055349
25.1056,0.061860
25.1408,0.060000
25.1761,0.078605
25.2113,0.102791
25.2465,0.102326
25.2817,0.130698
25.3169,0.130233
