# source: /Users/mac/Documents/MOF/img/anie.202306048/anie.202306048_s13.png
# doi: 10.1002/anie.202306048  figure: Figure S13
# legend: uWu sdewd  (match: colour+geometry)
# x: 2-Theat (°)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.7425,0.995536
5.7989,0.995536
5.8553,0.995536
5.9117,0.505952
5.9680,0.450893
6.0244,0.424107
6.0808,0.407738
6.1372,0.400298
6.1936,0.394345
6.2500,0.391369
6.3064,0.389881
6.3628,0.388393
6.4192,0.388393
6.4756,0.388393
6.5320,0.388393
6.5883,0.386905
6.6447,0.386905
6.7011,0.386905
6.7575,0.386905
6.8139,0.386905
6.8703,0.386905
6.9267,0.386905
6.9831,0.386905
7.0395,0.386905
7.0959,0.386905
7.1523,0.386905
7.2086,0.386905
7.2650,0.391369
7.3214,0.421131
7.3778,0.453869
7.4342,0.455357
7.4906,0.456845
7.5470,0.456845
7.6034,0.456845
7.6598,0.455357
7.7162,0.447917
7.7726,0.392857
7.8289,0.388393
7.8853,0.388393
7.9417,0.386905
7.9981,0.386905
8.0545,0.386905
8.1109,0.388393
8.1673,0.388393
8.2237,0.388393
8.2801,0.388393
8.3365,0.389881
8.3929,0.392857
8.4492,0.394345
8.5056,0.398810
8.5620,0.401786
8.6184,0.421131
8.6748,0.453869
8.7312,0.566964
8.7876,0.812500
8.8440,0.995536
8.9004,0.995536
8.9568,0.995536
9.0132,0.995536
9.0695,0.995536
9.1259,0.995536
9.1823,0.995536
9.2387,0.843750
9.2951,0.842262
9.3515,0.449405
9.4079,0.433036
9.4643,0.431548
9.5207,0.431548
9.5771,0.428571
9.6335,0.401786
9.6898,0.392857
9.7462,0.389881
9.8026,0.388393
9.8590,0.388393
9.9154,0.388393
9.9718,0.386905
10.0282,0.386905
10.0846,0.386905
10.1410,0.386905
10.1974,0.386905
10.2538,0.386905
10.3102,0.386905
10.3665,0.386905
10.4229,0.389881
10.4793,0.392857
10.5357,0.392857
10.5921,0.392857
10.6485,0.392857
10.7049,0.391369
10.7613,0.388393
10.8177,0.391369
10.8741,0.395833
10.9305,0.397321
10.9868,0.397321
11.0432,0.406250
11.0996,0.428571
11.1560,0.529762
11.2124,0.601190
11.2688,0.602679
11.3252,0.604167
11.3816,0.604167
11.4380,0.602679
11.4944,0.601190
11.5508,0.691964
11.6071,0.858631
11.6635,0.860119
11.7199,0.860119
11.7763,0.860119
11.8327,0.860119
11.8891,0.857143
11.9455,0.686012
12.0019,0.529762
12.0583,0.419643
12.1147,0.406250
12.1711,0.398810
12.2274,0.392857
12.2838,0.392857
12.3402,0.395833
12.3966,0.424107
12.4530,0.477679
12.5094,0.572917
12.5658,0.575893
12.6222,0.575893
12.6786,0.575893
12.7350,0.575893
12.7914,0.572917
12.8477,0.495536
12.9041,0.436012
12.9605,0.403274
13.0169,0.394345
13.0733,0.391369
13.1297,0.407738
13.1861,0.413690
13.2425,0.415179
13.2989,0.415179
13.3553,0.415179
13.4117,0.413690
13.4680,0.410714
13.5244,0.395833
13.5808,0.388393
13.6372,0.388393
13.6936,0.394345
13.7500,0.419643
13.8064,0.455357
13.8628,0.465774
13.9192,0.467262
13.9756,0.467262
14.0320,0.467262
14.0883,0.465774
14.1447,0.452381
14.2011,0.416667
14.2575,0.398810
14.3139,0.409226
14.3703,0.421131
14.4267,0.424107
14.4831,0.425595
14.5395,0.425595
14.5959,0.425595
14.6523,0.424107
14.7086,0.438988
14.7650,0.522321
14.8214,0.758929
14.8778,0.886905
14.9342,0.995536
14.9906,0.995536
15.0470,0.995536
15.1034,0.995536
15.1598,0.995536
15.2162,0.995536
15.2726,0.995536
15.3289,0.730655
15.3853,0.538690
15.4417,0.450893
15.4981,0.431548
15.5545,0.653274
15.6109,0.822917
15.6673,0.825893
15.7237,0.827381
15.7801,0.827381
15.8365,0.827381
15.8929,0.825893
15.9492,0.778274
16.0056,0.604167
16.0620,0.465774
16.1184,0.492560
16.1748,0.494048
16.2312,0.495536
16.2876,0.494048
16.3440,0.494048
16.4004,0.491071
16.4568,0.464286
16.5132,0.436012
16.5695,0.436012
16.6259,0.436012
16.6823,0.434524
16.7387,0.419643
16.7951,0.394345
16.8515,0.389881
16.9079,0.404762
16.9643,0.409226
17.0207,0.410714
17.0771,0.412202
17.1335,0.470238
17.1898,0.473214
17.2462,0.474702
17.3026,0.474702
17.3590,0.474702
17.4154,0.473214
17.4718,0.468750
17.5282,0.434524
17.5846,0.421131
17.6410,0.421131
17.6974,0.419643
17.7538,0.462798
17.8102,0.565476
17.8665,0.568452
17.9229,0.569940
17.9793,0.569940
18.0357,0.569940
18.0921,0.569940
18.1485,0.549107
18.2049,0.453869
18.2613,0.421131
18.3177,0.403274
18.3741,0.403274
18.4305,0.404762
18.4868,0.403274
18.5432,0.409226
18.5996,0.431548
18.6560,0.467262
18.7124,0.562500
18.7688,0.967262
18.8252,0.983631
18.8816,0.985119
18.9380,0.985119
18.9944,0.985119
19.0508,0.983631
19.1071,0.982143
19.1635,0.680060
19.2199,0.544643
19.2763,0.543155
19.3327,0.526786
19.3891,0.416667
19.4455,0.403274
19.5019,0.392857
19.5583,0.389881
19.6147,0.389881
19.6711,0.388393
19.7274,0.388393
19.7838,0.389881
19.8402,0.394345
19.8966,0.407738
19.9530,0.437500
20.0094,0.453869
20.0658,0.455357
20.1222,0.455357
20.1786,0.455357
20.2350,0.453869
20.2914,0.446429
20.3477,0.444940
20.4041,0.444940
20.4605,0.443452
20.5169,0.416667
20.5733,0.392857
20.6297,0.388393
20.6861,0.388393
20.7425,0.388393
20.7989,0.388393
20.8553,0.389881
20.9117,0.397321
20.9680,0.409226
21.0244,0.431548
21.0808,0.497024
21.1372,0.569940
21.1936,0.572917
21.2500,0.574405
21.3064,0.574405
21.3628,0.574405
21.4192,0.572917
21.4756,0.561012
21.5320,0.434524
21.5883,0.456845
21.6447,0.458333
21.7011,0.459821
21.7575,0.459821
21.8139,0.462798
21.8703,0.486607
21.9267,0.488095
21.9831,0.489583
22.0395,0.489583
22.0959,0.488095
22.1523,0.479167
22.2086,0.438988
22.2650,0.437500
22.3214,0.494048
22.3778,0.608631
22.4342,0.653274
22.4906,0.654762
22.5470,0.654762
22.6034,0.654762
22.6598,0.653274
22.7162,0.563988
22.7726,0.550595
22.8289,0.563988
22.8853,0.565476
22.9417,0.565476
22.9981,0.565476
23.0545,0.565476
23.1109,0.562500
23.1673,0.516369
23.2237,0.450893
23.2801,0.449405
23.3365,0.421131
23.3929,0.421131
23.4492,0.437500
23.5056,0.462798
23.5620,0.464286
23.6184,0.464286
23.6748,0.489583
23.7312,0.494048
23.7876,0.495536
23.8440,0.495536
23.9004,0.495536
23.9568,0.494048
24.0132,0.461310
24.0695,0.431548
24.1259,0.430060
24.1823,0.413690
24.2387,0.392857
24.2951,0.389881
24.3515,0.389881
24.4079,0.389881
24.4643,0.391369
24.5207,0.394345
24.5771,0.400298
24.6335,0.409226
24.6898,0.437500
24.7462,0.483631
24.8026,0.678571
24.8590,0.782738
24.9154,0.784226
24.9718,0.785714
25.0282,0.785714
25.0846,0.784226
25.1410,0.757440
25.1974,0.604167
25.2538,0.598214
25.3102,0.784226
25.3665,0.910714
25.4229,0.913690
25.4793,0.913690
25.5357,0.913690
25.5921,0.912202
25.6485,0.875000
25.7049,0.799107
25.7613,0.799107
25.8177,0.799107
25.8741,0.721726
25.9305,0.401786
25.9868,0.397321
26.0432,0.397321
26.0996,0.397321
26.1560,0.397321
26.2124,0.397321
26.2688,0.412202
26.3252,0.459821
26.3816,0.462798
26.4380,0.462798
26.4944,0.462798
26.5508,0.462798
26.6071,0.464286
26.6635,0.502976
26.7199,0.507440
26.7763,0.508929
26.8327,0.508929
26.8891,0.508929
26.9455,0.507440
27.0019,0.492560
27.0583,0.464286
27.1147,0.431548
27.1711,0.395833
27.2274,0.389881
27.2838,0.389881
27.3402,0.400298
27.3966,0.410714
27.4530,0.412202
27.5094,0.413690
27.5658,0.413690
27.6222,0.412202
27.6786,0.410714
27.7350,0.400298
27.7914,0.389881
27.8477,0.388393
27.9041,0.392857
27.9605,0.409226
28.0169,0.418155
28.0733,0.427083
28.1297,0.428571
28.1861,0.428571
28.2425,0.428571
28.2989,0.428571
28.3553,0.425595
28.4117,0.421131
28.4680,0.412202
28.5244,0.427083
28.5808,0.437500
28.6372,0.438988
28.6936,0.440476
28.7500,0.438988
28.8064,0.438988
28.8628,0.436012
28.9192,0.424107
28.9756,0.413690
29.0320,0.416667
29.0883,0.430060
29.1447,0.488095
29.2011,0.491071
29.2575,0.492560
29.3139,0.596726
29.3703,0.607143
29.4267,0.607143
29.4831,0.607143
29.5395,0.607143
29.5959,0.604167
29.6523,0.541667
29.7086,0.462798
29.7650,0.413690
29.8214,0.400298
29.8778,0.406250
29.9342,0.424107
29.9906,0.437500
30.0470,0.438988
30.1034,0.440476
30.1598,0.440476
30.2162,0.440476
30.2726,0.438988
30.3289,0.433036
30.3853,0.400298
30.4417,0.394345
30.4981,0.394345
30.5545,0.394345
30.6109,0.394345
30.6673,0.391369
30.7237,0.388393
30.7801,0.386905
30.8365,0.386905
30.8929,0.386905
30.9492,0.388393
31.0056,0.388393
31.0620,0.389881
31.1184,0.391369
31.1748,0.392857
31.2312,0.392857
31.2876,0.400298
31.3440,0.409226
31.4004,0.410714
31.4568,0.410714
31.5132,0.410714
31.5695,0.410714
31.6259,0.409226
31.6823,0.401786
31.7387,0.394345
31.7951,0.407738
31.8515,0.410714
31.9079,0.415179
31.9643,0.436012
32.0207,0.443452
32.0771,0.443452
32.1335,0.443452
32.1898,0.443452
32.2462,0.441964
32.3026,0.434524
32.3590,0.421131
32.4154,0.401786
32.4718,0.398810
32.5282,0.398810
32.5846,0.397321
32.6410,0.400298
32.6974,0.403274
32.7538,0.404762
32.8102,0.404762
32.8665,0.406250
32.9229,0.404762
32.9793,0.404762
33.0357,0.400298
33.0921,0.389881
33.1485,0.389881
33.2049,0.389881
33.2613,0.389881
33.3177,0.394345
33.3741,0.406250
33.4305,0.410714
33.4868,0.412202
33.5432,0.413690
33.5996,0.412202
33.6560,0.412202
33.7124,0.410714
33.7688,0.404762
33.8252,0.391369
33.8816,0.388393
33.9380,0.391369
33.9944,0.392857
34.0508,0.404762
34.1071,0.409226
34.1635,0.410714
34.2199,0.410714
34.2763,0.410714
34.3327,0.410714
34.3891,0.409226
34.4455,0.409226
34.5019,0.409226
34.5583,0.409226
34.6147,0.407738
34.6711,0.403274
34.7274,0.398810
34.7838,0.398810
34.8402,0.397321
34.8966,0.398810
34.9530,0.400298
35.0094,0.400298
35.0658,0.400298
35.1222,0.400298
35.1786,0.398810
35.2350,0.392857
35.2914,0.389881
35.3477,0.388393
35.4041,0.391369
35.4605,0.400298
35.5169,0.404762
35.5733,0.416667
35.6297,0.431548
35.6861,0.433036
35.7425,0.434524
35.7989,0.434524
35.8553,0.434524
35.9117,0.433036
35.9680,0.418155
36.0244,0.404762
36.0808,0.392857
36.1372,0.392857
36.1936,0.394345
36.2500,0.394345
36.3064,0.394345
36.3628,0.401786
36.4192,0.406250
36.4756,0.407738
36.5320,0.407738
36.5883,0.407738
36.6447,0.406250
36.7011,0.406250
36.7575,0.404762
36.8139,0.403274
36.8703,0.400298
36.9267,0.389881
36.9831,0.394345
37.0395,0.395833
37.0959,0.397321
37.1523,0.397321
37.2086,0.397321
37.2650,0.395833
37.3214,0.394345
37.3778,0.392857
37.4342,0.392857
37.4906,0.392857
37.5470,0.392857
37.6034,0.392857
37.6598,0.389881
37.7162,0.388393
37.7726,0.389881
37.8289,0.394345
37.8853,0.395833
37.9417,0.397321
37.9981,0.400298
38.0545,0.401786
38.1109,0.401786
38.1673,0.401786
38.2237,0.401786
38.2801,0.398810
38.3365,0.395833
38.3929,0.395833
38.4492,0.397321
38.5056,0.397321
38.5620,0.395833
38.6184,0.392857
38.6748,0.392857
38.7312,0.391369
38.7876,0.389881
38.8440,0.389881
38.9004,0.407738
38.9568,0.416667
39.0132,0.418155
39.0695,0.418155
39.1259,0.418155
39.1823,0.416667
39.2387,0.413690
39.2951,0.406250
39.3515,0.406250
39.4079,0.406250
39.4643,0.404762
39.5207,0.400298
39.5771,0.400298
39.6335,0.401786
39.6898,0.400298
39.7462,0.400298
39.8026,0.398810
39.8590,0.394345
39.9154,0.397321
39.9718,0.397321
40.0282,0.397321
40.0846,0.397321
40.1410,0.397321
40.1974,0.394345
40.2538,0.388393
40.3102,0.398810
40.3665,0.407738
40.4229,0.409226
40.4793,0.410714
40.5357,0.410714
40.5921,0.410714
40.6485,0.409226
40.7049,0.407738
40.7613,0.403274
40.8177,0.401786
40.8741,0.395833
40.9305,0.415179
40.9868,0.421131
41.0432,0.422619
41.0996,0.422619
