# source: /Users/mac/Documents/MOF/img/anie.202306048/anie.202306048_s25.png
# doi: 10.1002/anie.202306048  figure: Figure S25
# legend: 1-PVA  (match: colour)
# x: 2θ ()   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
3.0435,0.802579
3.0891,0.806548
3.1347,0.806548
3.1802,0.804563
3.2258,0.788690
3.2714,0.782738
3.3169,0.772817
3.3625,0.749008
3.4081,0.717262
3.4536,0.689484
3.4992,0.655754
3.5448,0.641865
3.5903,0.616071
3.6359,0.604167
3.6814,0.588294
3.7270,0.576389
3.7726,0.552579
3.8181,0.546627
3.8637,0.508929
3.9093,0.495040
3.9548,0.479167
4.0004,0.465278
4.0460,0.463294
4.0915,0.447421
4.1371,0.441468
4.1827,0.425595
4.2282,0.421627
4.2738,0.409722
4.3194,0.409722
4.3649,0.409722
4.4105,0.407738
4.4561,0.397817
4.5016,0.387897
4.5472,0.379960
4.5928,0.377976
4.6383,0.362103
4.6839,0.339286
4.7295,0.335317
4.7750,0.333333
4.8206,0.335317
4.8662,0.342262
4.9117,0.334325
4.9573,0.329365
5.0028,0.332341
5.0484,0.335317
5.0940,0.385913
5.1395,0.401786
5.1851,0.387897
5.2307,0.395833
5.2762,0.419643
5.3218,0.419643
5.3674,0.391865
5.4129,0.409722
5.4585,0.393849
5.5041,0.362103
5.5496,0.336310
5.5952,0.320437
5.6408,0.263889
5.6863,0.257937
5.7319,0.252976
5.7775,0.261905
5.8230,0.258929
5.8686,0.254960
5.9142,0.250000
5.9597,0.245040
6.0053,0.239087
6.0509,0.235119
6.0964,0.241071
6.1420,0.241071
6.1876,0.245040
6.2331,0.237103
6.2787,0.241071
6.3242,0.245040
6.3698,0.244048
6.4154,0.245040
6.4609,0.245040
6.5065,0.237103
6.5521,0.237103
6.5976,0.237103
6.6432,0.235119
6.6888,0.237103
6.7343,0.238095
6.7799,0.244048
6.8255,0.249008
6.8710,0.248016
6.9166,0.247024
6.9622,0.249008
7.0077,0.242063
7.0533,0.237103
7.0989,0.237103
7.1444,0.237103
7.1900,0.241071
7.2356,0.241071
7.2811,0.240079
7.3267,0.239087
7.3723,0.252976
7.4178,0.252976
7.4634,0.250992
7.5089,0.246032
7.5545,0.258929
7.6001,0.260913
7.6456,0.260913
7.6912,0.257937
7.7368,0.244048
7.7823,0.246032
7.8279,0.250992
7.8735,0.254960
7.9190,0.256944
7.9646,0.257937
8.0102,0.246032
8.0557,0.254960
8.1013,0.252976
8.1469,0.254960
8.1924,0.254960
8.2380,0.257937
8.2836,0.254960
8.3291,0.252976
8.3747,0.249008
8.4203,0.258929
8.4658,0.272817
8.5114,0.276786
8.5570,0.277778
8.6025,0.280754
8.6481,0.284722
8.6937,0.277778
8.7392,0.318452
8.7848,0.362103
8.8303,0.383929
8.8759,0.427579
8.9215,0.467262
8.9670,0.479167
9.0126,0.468254
9.0582,0.504960
9.1037,0.506944
9.1493,0.472222
9.1949,0.467262
9.2404,0.489087
9.2860,0.465278
9.3316,0.431548
9.3771,0.393849
9.4227,0.366071
9.4683,0.328373
9.5138,0.308532
