# source: /Users/mac/Documents/MOF/img/anie.202306048/anie.202306048_s25.png
# doi: 10.1002/anie.202306048  figure: Figure S25
# legend: 1-experimental  (match: colour)
# x: 2θ ()   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
3.0435,0.171627
3.0891,0.170635
3.1347,0.167659
3.1802,0.171627
3.2258,0.169643
3.2714,0.163690
3.3169,0.157738
3.3625,0.149802
3.4081,0.149802
3.4536,0.147817
3.4992,0.139881
3.5448,0.139881
3.5903,0.135913
3.6359,0.131944
3.6814,0.125000
3.7270,0.131944
3.7726,0.125992
3.8181,0.124008
3.8637,0.122024
3.9093,0.119048
3.9548,0.118056
4.0004,0.116071
4.0460,0.114087
4.0915,0.111111
4.1371,0.110119
4.1827,0.109127
4.2282,0.109127
4.2738,0.108135
4.3194,0.108135
4.3649,0.106151
4.4105,0.104167
4.4561,0.104167
4.5016,0.103175
4.5472,0.103175
4.5928,0.102183
4.6383,0.103175
4.6839,0.102183
4.7295,0.104167
4.7750,0.106151
4.8206,0.114087
4.8662,0.118056
4.9117,0.122024
4.9573,0.129960
5.0028,0.137897
5.0484,0.155754
5.0940,0.181548
5.1395,0.232143
5.1851,0.254960
5.2307,0.227183
5.2762,0.243056
5.3218,0.348214
5.3674,0.344246
5.4129,0.180556
5.4585,0.177579
5.5041,0.179563
5.5496,0.177579
5.5952,0.155754
5.6408,0.086310
5.6863,0.087302
5.7319,0.085317
5.7775,0.084325
5.8230,0.083333
5.8686,0.082341
5.9142,0.079365
5.9597,0.078373
6.0053,0.075397
6.0509,0.074405
6.0964,0.074405
6.1420,0.073413
6.1876,0.073413
6.2331,0.073413
6.2787,0.074405
6.3242,0.074405
6.3698,0.073413
6.4154,0.072421
6.4609,0.071429
6.5065,0.070437
6.5521,0.070437
6.5976,0.072421
6.6432,0.072421
6.6888,0.072421
6.7343,0.069444
6.7799,0.067460
6.8255,0.065476
6.8710,0.065476
6.9166,0.066468
6.9622,0.066468
7.0077,0.065476
7.0533,0.066468
7.0989,0.065476
7.1444,0.066468
7.1900,0.069444
7.2356,0.071429
7.2811,0.072421
7.3267,0.071429
7.3723,0.071429
7.4178,0.072421
7.4634,0.072421
7.5089,0.072421
7.5545,0.069444
7.6001,0.068452
7.6456,0.067460
7.6912,0.067460
7.7368,0.067460
7.7823,0.065476
7.8279,0.063492
7.8735,0.063492
7.9190,0.063492
7.9646,0.063492
8.0102,0.063492
8.0557,0.063492
8.1013,0.063492
8.1469,0.064484
8.1924,0.066468
8.2380,0.067460
8.2836,0.068452
8.3291,0.069444
8.3747,0.070437
8.4203,0.070437
8.4658,0.070437
8.5114,0.071429
8.5570,0.070437
8.6025,0.072421
8.6481,0.076389
8.6937,0.078373
8.7392,0.076389
8.7848,0.094246
8.8303,0.102183
8.8759,0.122024
8.9215,0.145833
8.9670,0.195437
9.0126,0.233135
9.0582,0.254960
9.1037,0.218254
9.1493,0.262897
9.1949,0.262897
9.2404,0.218254
9.2860,0.258929
9.3316,0.229167
9.3771,0.195437
9.4227,0.157738
9.4683,0.125992
9.5138,0.096230
9.5594,0.071429
9.6050,0.069444
9.6505,0.067460
9.6961,0.066468
9.7417,0.066468
9.7872,0.066468
9.8328,0.066468
9.8784,0.067460
9.9239,0.067460
9.9695,0.066468
10.0151,0.066468
10.0606,0.065476
10.1062,0.064484
10.1517,0.064484
10.1973,0.064484
10.2429,0.065476
10.2884,0.065476
10.3340,0.067460
10.3796,0.069444
10.4251,0.072421
10.4707,0.084325
10.5163,0.088294
10.5618,0.087302
10.6074,0.100198
10.6530,0.100198
10.6985,0.100198
10.7441,0.089286
10.7897,0.085317
10.8352,0.083333
10.8808,0.080357
10.9264,0.078373
10.9719,0.078373
11.0175,0.078373
11.0631,0.077381
11.1086,0.073413
11.1542,0.073413
11.1998,0.072421
11.2453,0.071429
11.2909,0.070437
11.3365,0.071429
11.3820,0.074405
11.4276,0.075397
11.4731,0.094246
11.5187,0.116071
11.5643,0.145833
11.6098,0.159722
11.6554,0.147817
11.7010,0.153770
11.7465,0.163690
11.7921,0.163690
11.8377,0.153770
11.8832,0.149802
11.9288,0.145833
11.9744,0.145833
12.0199,0.141865
12.0655,0.122024
12.1111,0.100198
12.1566,0.084325
12.2022,0.074405
12.2478,0.065476
12.2933,0.065476
12.3389,0.063492
12.3845,0.064484
12.4300,0.065476
12.4756,0.066468
12.5212,0.065476
12.5667,0.063492
12.6123,0.061508
12.6579,0.060516
12.7034,0.060516
12.7490,0.061508
12.7945,0.060516
12.8401,0.059524
12.8857,0.059524
12.9312,0.058532
12.9768,0.059524
13.0224,0.060516
13.0679,0.062500
13.1135,0.063492
13.1591,0.064484
13.2046,0.063492
13.2502,0.064484
13.2958,0.063492
13.3413,0.062500
13.3869,0.060516
13.4325,0.058532
13.4780,0.058532
13.5236,0.058532
13.5692,0.058532
13.6147,0.059524
13.6603,0.059524
13.7059,0.061508
13.7514,0.062500
13.7970,0.066468
13.8426,0.068452
13.8881,0.072421
13.9337,0.070437
13.9793,0.070437
14.0248,0.067460
14.0704,0.065476
14.1159,0.062500
14.1615,0.060516
14.2071,0.059524
14.2526,0.059524
14.2982,0.059524
14.3438,0.059524
14.3893,0.061508
14.4349,0.064484
14.4805,0.066468
14.5260,0.076389
14.5716,0.086310
14.6172,0.104167
14.6627,0.131944
14.7083,0.185516
14.7539,0.211310
14.7994,0.235119
14.8450,0.201389
14.8906,0.239087
14.9361,0.237103
14.9817,0.202381
15.0273,0.219246
15.0728,0.218254
15.1184,0.191468
15.1640,0.165675
15.2095,0.145833
15.2551,0.120040
15.3007,0.081349
15.3462,0.084325
15.3918,0.075397
15.4373,0.086310
15.4829,0.081349
15.5285,0.106151
15.5740,0.139881
15.6196,0.153770
15.6652,0.169643
15.7107,0.156746
15.7563,0.175595
15.8019,0.177579
15.8474,0.177579
15.8930,0.156746
15.9386,0.169643
15.9841,0.153770
16.0297,0.145833
16.0753,0.125992
16.1208,0.108135
16.1664,0.098214
16.2120,0.078373
16.2575,0.070437
16.3031,0.066468
16.3487,0.064484
16.3942,0.063492
16.4398,0.060516
16.4854,0.059524
16.5309,0.059524
16.5765,0.057540
16.6221,0.057540
16.6676,0.058532
16.7132,0.058532
16.7587,0.057540
16.8043,0.057540
16.8499,0.056548
16.8954,0.055556
16.9410,0.055556
16.9866,0.054563
17.0321,0.054563
17.0777,0.054563
17.1233,0.056548
17.1688,0.057540
17.2144,0.057540
17.2600,0.058532
17.3055,0.057540
17.3511,0.057540
17.3967,0.058532
17.4422,0.058532
17.4878,0.058532
17.5334,0.060516
17.5789,0.061508
17.6245,0.062500
17.6701,0.063492
17.7156,0.066468
17.7612,0.066468
17.8068,0.065476
17.8523,0.065476
17.8979,0.064484
17.9434,0.065476
17.9890,0.066468
18.0346,0.066468
18.0801,0.068452
18.1257,0.071429
18.1713,0.077381
18.2168,0.078373
18.2624,0.079365
18.3080,0.081349
18.3535,0.080357
18.3991,0.078373
18.4447,0.076389
18.4902,0.076389
18.5358,0.075397
18.5814,0.075397
18.6269,0.078373
18.6725,0.081349
18.7181,0.108135
18.7636,0.137897
18.8092,0.145833
18.8548,0.138889
18.9003,0.155754
18.9459,0.155754
18.9915,0.140873
19.0370,0.135913
19.0826,0.137897
19.1282,0.131944
19.1737,0.120040
19.2193,0.114087
19.2648,0.098214
19.3104,0.094246
19.3560,0.084325
19.4015,0.063492
19.4471,0.064484
19.4927,0.061508
19.5382,0.060516
19.5838,0.059524
19.6294,0.060516
19.6749,0.059524
19.7205,0.060516
19.7661,0.061508
19.8116,0.063492
19.8572,0.072421
19.9028,0.075397
19.9483,0.077381
19.9939,0.079365
20.0395,0.080357
20.0850,0.078373
20.1306,0.077381
20.1762,0.076389
20.2217,0.074405
20.2673,0.072421
20.3129,0.070437
20.3584,0.067460
20.4040,0.065476
20.4496,0.064484
20.4951,0.063492
20.5407,0.062500
20.5862,0.061508
20.6318,0.061508
20.6774,0.060516
20.7229,0.060516
20.7685,0.062500
20.8141,0.063492
20.8596,0.065476
20.9052,0.078373
20.9508,0.080357
20.9963,0.081349
21.0419,0.085317
21.0875,0.085317
21.1330,0.084325
21.1786,0.083333
21.2242,0.080357
21.2697,0.077381
21.3153,0.075397
21.3609,0.074405
21.4064,0.069444
21.4520,0.067460
21.4976,0.066468
21.5431,0.068452
21.5887,0.068452
21.6343,0.070437
21.6798,0.080357
21.7254,0.084325
21.7710,0.082341
21.8165,0.083333
21.8621,0.082341
21.9076,0.083333
21.9532,0.085317
21.9988,0.086310
22.0443,0.088294
22.0899,0.092262
22.1355,0.108135
22.1810,0.118056
22.2266,0.120040
22.2722,0.119048
22.3177,0.122024
22.3633,0.123016
22.4089,0.120040
22.4544,0.117063
22.5000,0.116071
22.5456,0.112103
22.5911,0.102183
22.6367,0.084325
22.6823,0.088294
22.7278,0.081349
22.7734,0.082341
22.8190,0.086310
22.8645,0.100198
22.9101,0.104167
22.9557,0.102183
23.0012,0.104167
23.0468,0.104167
23.0924,0.103175
23.1379,0.099206
23.1835,0.094246
23.2290,0.090278
23.2746,0.089286
23.3202,0.090278
23.3657,0.093254
23.4113,0.094246
23.4569,0.096230
23.5024,0.098214
23.5480,0.102183
23.5936,0.098214
23.6391,0.098214
23.6847,0.093254
23.7303,0.089286
23.7758,0.090278
23.8214,0.086310
23.8670,0.082341
23.9125,0.074405
23.9581,0.071429
24.0037,0.069444
24.0492,0.068452
24.0948,0.066468
24.1404,0.067460
24.1859,0.068452
24.2315,0.069444
24.2771,0.071429
24.3226,0.069444
24.3682,0.069444
24.4138,0.066468
24.4593,0.069444
24.5049,0.072421
24.5504,0.075397
24.5960,0.092262
24.6416,0.094246
24.6871,0.092262
24.7327,0.108135
24.7783,0.116071
24.8238,0.125992
24.8694,0.149802
24.9150,0.171627
24.9605,0.189484
25.0061,0.199405
25.0517,0.205357
25.0972,0.213294
25.1428,0.208333
25.1884,0.223214
25.2339,0.223214
25.2795,0.221230
25.3251,0.208333
25.3706,0.215278
25.4162,0.205357
25.4618,0.179563
25.5073,0.168651
25.5529,0.145833
25.5985,0.139881
25.6440,0.125992
25.6896,0.108135
25.7352,0.102183
25.7807,0.079365
25.8263,0.079365
25.8718,0.077381
25.9174,0.076389
25.9630,0.076389
26.0085,0.074405
26.0541,0.075397
26.0997,0.077381
26.1452,0.078373
26.1908,0.077381
26.2364,0.076389
26.2819,0.076389
26.3275,0.076389
26.3731,0.075397
26.4186,0.074405
26.4642,0.073413
26.5098,0.073413
26.5553,0.073413
26.6009,0.073413
26.6465,0.072421
26.6920,0.074405
26.7376,0.074405
26.7832,0.078373
26.8287,0.081349
26.8743,0.084325
26.9199,0.087302
26.9654,0.090278
27.0110,0.080357
27.0566,0.085317
27.1021,0.084325
27.1477,0.082341
27.1932,0.079365
27.2388,0.078373
27.2844,0.074405
27.3299,0.072421
27.3755,0.071429
27.4211,0.072421
27.4666,0.073413
27.5122,0.074405
27.5578,0.074405
27.6033,0.071429
27.6489,0.074405
27.6945,0.070437
27.7400,0.069444
27.7856,0.069444
27.8312,0.068452
27.8767,0.069444
27.9223,0.071429
27.9679,0.069444
