# source: /Users/mac/Documents/MOF/img/anie.202306360/anie.202306360_f2a.png
# doi: 10.1002/anie.202306360  figure: Figure 2A
# legend: SCU-16-U as synthesized  (match: colour+geometry)
# x: (Degree)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
3.3066,0.822045
3.3524,0.822045
3.3982,0.822045
3.4439,0.822045
3.4897,0.822045
3.5355,0.822045
3.5812,0.822045
3.6270,0.822045
3.6728,0.822045
3.7185,0.820053
3.7643,0.820053
3.8101,0.820053
3.8558,0.820053
3.9016,0.820053
3.9474,0.820053
3.9931,0.820053
4.0389,0.820053
4.0847,0.820053
4.1304,0.820053
4.1762,0.820053
4.2220,0.820053
4.2677,0.818061
4.3135,0.818061
4.3593,0.818061
4.4050,0.818061
4.4508,0.818061
4.4966,0.818061
4.5423,0.831341
4.5881,0.832005
4.6339,0.831341
4.6796,0.835325
4.7254,0.835325
4.7712,0.835325
4.8169,0.839309
4.8627,0.839309
4.9085,0.839309
4.9542,0.835325
5.0000,0.835325
5.0458,0.835325
5.0915,0.831341
5.1373,0.831341
5.1831,0.831341
5.2288,0.818061
5.2746,0.818061
5.3204,0.818061
5.3661,0.818061
5.4119,0.818061
5.4577,0.818061
5.5034,0.818061
5.5492,0.818061
5.5950,0.818061
5.6407,0.827357
5.6865,0.827357
5.7323,0.827357
5.7780,0.822045
5.8238,0.822045
5.8696,0.822045
5.9153,0.887118
5.9611,0.887118
6.0069,0.887118
6.0526,0.837981
6.0984,0.958831
6.1442,0.958831
6.1899,0.962815
6.2357,0.962815
6.2815,0.962815
6.3272,0.962815
6.3730,0.962815
6.4188,0.833997
6.4645,0.962815
6.5103,0.962815
6.5561,0.962815
6.6018,0.958831
6.6476,0.958831
6.6934,0.958831
6.7391,0.855246
6.7849,0.855246
6.8307,0.855246
6.8764,0.812085
6.9222,0.812085
6.9680,0.812085
7.0137,0.812085
7.0595,0.812085
7.1053,0.812085
7.1510,0.812085
7.1968,0.812085
7.2426,0.812085
7.2883,0.823373
7.3341,0.823373
7.3799,0.823373
7.4256,0.827357
7.4714,0.827357
7.5172,0.827357
7.5629,0.827357
7.6087,0.827357
7.6545,0.827357
7.7002,0.827357
7.7460,0.827357
7.7918,0.827357
7.8375,0.823373
7.8833,0.823373
7.9291,0.823373
7.9748,0.819389
8.0206,0.819389
8.0664,0.819389
8.1121,0.819389
8.1579,0.819389
8.2037,0.819389
8.2494,0.819389
8.2952,0.819389
8.3410,0.819389
8.3867,0.808101
8.4325,0.808101
8.4783,0.808101
8.5240,0.804117
8.5698,0.804117
8.6156,0.804117
8.6613,0.804117
8.7071,0.804117
8.7529,0.804117
8.7986,0.806109
8.8444,0.806109
8.8902,0.806109
8.9359,0.815405
8.9817,0.815405
9.0275,0.815405
9.0732,0.815405
9.1190,0.815405
9.1648,0.815405
9.2105,0.806109
9.2563,0.806109
9.3021,0.806109
9.3478,0.802125
9.3936,0.802125
9.4394,0.802125
9.4851,0.800133
9.5309,0.800133
9.5767,0.800133
9.6224,0.800133
9.6682,0.800133
9.7140,0.800133
9.7597,0.798141
9.8055,0.798141
9.8513,0.798141
9.8970,0.800133
9.9428,0.800133
9.9886,0.800133
10.0343,0.843293
10.0801,0.843293
10.1259,0.843293
10.1716,0.851262
10.2174,0.851262
10.2632,0.851262
10.3089,0.851262
10.3547,0.851262
10.4005,0.851262
10.4462,0.851262
10.4920,0.851262
10.5378,0.851262
10.5835,0.847278
10.6293,0.847278
10.6751,0.847278
10.7208,0.823373
10.7666,0.823373
10.8124,0.823373
10.8581,0.800133
10.9039,0.800133
10.9497,0.800133
10.9954,0.798141
11.0412,0.798141
11.0870,0.798141
11.1327,0.798141
11.1785,0.798141
11.2243,0.798141
11.2700,0.796149
11.3158,0.796149
11.3616,0.796149
11.4073,0.794157
11.4531,0.794157
11.4989,0.794157
11.5446,0.794157
11.5904,0.794157
11.6362,0.794157
11.6819,0.790173
11.7277,0.790173
11.7735,0.790173
11.8192,0.790173
11.8650,0.790173
11.9108,0.790173
11.9565,0.792165
12.0023,0.792165
12.0481,0.792165
12.0938,0.792165
12.1396,0.792165
12.1854,0.792165
12.2311,0.790173
12.2769,0.790173
12.3227,0.790173
12.3684,0.790173
12.4142,0.790173
12.4600,0.790173
12.5057,0.790173
12.5515,0.790173
12.5973,0.790173
12.6430,0.790173
12.6888,0.790173
12.7346,0.790173
12.7803,0.790173
12.8261,0.790173
12.8719,0.790173
12.9176,0.786189
12.9634,0.786189
13.0092,0.786189
13.0549,0.786189
13.1007,0.786189
13.1465,0.786189
13.1922,0.788181
13.2380,0.788181
13.2838,0.788181
13.3295,0.790173
13.3753,0.790173
13.4211,0.790173
13.4668,0.786189
13.5126,0.786189
13.5584,0.786189
13.6041,0.786189
13.6499,0.786189
13.6957,0.786189
13.7414,0.786189
13.7872,0.786189
13.8330,0.786189
13.8787,0.786189
13.9245,0.786189
13.9703,0.786189
14.0160,0.784197
14.0618,0.784197
14.1076,0.784197
14.1533,0.784197
14.1991,0.784197
14.2449,0.784197
14.2906,0.784197
14.3364,0.784197
14.3822,0.784197
14.4279,0.782205
14.4737,0.782205
14.5195,0.782205
14.5652,0.782205
14.6110,0.782205
14.6568,0.782205
14.7025,0.782205
14.7483,0.782205
14.7941,0.782205
14.8398,0.782205
14.8856,0.782205
14.9314,0.782205
14.9771,0.782205
15.0229,0.782205
15.0686,0.782205
15.1144,0.782205
15.1602,0.782205
15.2059,0.782205
15.2517,0.780212
15.2975,0.780212
15.3432,0.780212
15.3890,0.780212
15.4348,0.780212
15.4805,0.780212
15.5263,0.780212
15.5721,0.780212
15.6178,0.780212
15.6636,0.780212
15.7094,0.780212
15.7551,0.780212
15.8009,0.778220
15.8467,0.778220
15.8924,0.778220
15.9382,0.778220
15.9840,0.778220
16.0297,0.778220
16.0755,0.778220
16.1213,0.778220
16.1670,0.778220
16.2128,0.778220
16.2586,0.778220
16.3043,0.778220
16.3501,0.778220
16.3959,0.778220
16.4416,0.778220
16.4874,0.778220
16.5332,0.778220
16.5789,0.778220
16.6247,0.778220
16.6705,0.778220
16.7162,0.778220
16.7620,0.780212
16.8078,0.780212
16.8535,0.780212
16.8993,0.780212
16.9451,0.780212
16.9908,0.780212
17.0366,0.780212
17.0824,0.780212
17.1281,0.780212
17.1739,0.778220
17.2197,0.778220
17.2654,0.778220
17.3112,0.776228
17.3570,0.776228
17.4027,0.776228
17.4485,0.778220
17.4943,0.778220
17.5400,0.778220
17.5858,0.780212
17.6316,0.780212
17.6773,0.780212
17.7231,0.780212
17.7689,0.780212
17.8146,0.780212
17.8604,0.778220
17.9062,0.778220
17.9519,0.778220
17.9977,0.778220
18.0435,0.778220
18.0892,0.778220
18.1350,0.778220
18.1808,0.778220
18.2265,0.778220
18.2723,0.776228
18.3181,0.776228
18.3638,0.776228
18.4096,0.778220
18.4554,0.778220
18.5011,0.778220
18.5469,0.780212
18.5927,0.780212
18.6384,0.780212
18.6842,0.780212
18.7300,0.780212
18.7757,0.780212
18.8215,0.780212
18.8673,0.780212
18.9130,0.780212
18.9588,0.780212
19.0046,0.780212
19.0503,0.780212
19.0961,0.778220
19.1419,0.778220
19.1876,0.778220
19.2334,0.780212
19.2792,0.780212
19.3249,0.780212
19.3707,0.782205
19.4165,0.782205
19.4622,0.782205
19.5080,0.784197
19.5538,0.784197
19.5995,0.784197
19.6453,0.784197
19.6911,0.784197
19.7368,0.784197
19.7826,0.780212
19.8284,0.780212
19.8741,0.780212
19.9199,0.780212
19.9657,0.780212
20.0114,0.780212
20.0572,0.778220
20.1030,0.778220
20.1487,0.778220
20.1945,0.780212
20.2403,0.780212
20.2860,0.780212
20.3318,0.780212
20.3776,0.780212
20.4233,0.780212
20.4691,0.780212
20.5149,0.780212
20.5606,0.780212
20.6064,0.782205
20.6522,0.782205
20.6979,0.782205
20.7437,0.782205
20.7895,0.782205
20.8352,0.782205
20.8810,0.782205
20.9268,0.782205
20.9725,0.782205
21.0183,0.784197
21.0641,0.784197
21.1098,0.784197
21.1556,0.784197
21.2014,0.784197
21.2471,0.784197
21.2929,0.782205
21.3387,0.782205
21.3844,0.782205
21.4302,0.782205
21.4760,0.782205
21.5217,0.782205
21.5675,0.782205
21.6133,0.782205
21.6590,0.782205
21.7048,0.782205
21.7506,0.782205
21.7963,0.782205
21.8421,0.786189
21.8879,0.786189
21.9336,0.786189
21.9794,0.782205
22.0252,0.782205
22.0709,0.782205
22.1167,0.782205
22.1625,0.782205
22.2082,0.782205
22.2540,0.782205
22.2998,0.782205
22.3455,0.782205
22.3913,0.782205
22.4371,0.782205
22.4828,0.782205
22.5286,0.782205
22.5744,0.782205
22.6201,0.782205
22.6659,0.782205
22.7117,0.782205
22.7574,0.782205
22.8032,0.784197
22.8490,0.784197
22.8947,0.784197
22.9405,0.782205
22.9863,0.782205
23.0320,0.782205
23.0778,0.782205
23.1236,0.782205
23.1693,0.782205
23.2151,0.782205
23.2609,0.782205
23.3066,0.782205
23.3524,0.782205
23.3982,0.782205
23.4439,0.782205
23.4897,0.780212
23.5355,0.780212
23.5812,0.780212
23.6270,0.782205
23.6728,0.782205
23.7185,0.782205
23.7643,0.784197
23.8101,0.784197
23.8558,0.784197
23.9016,0.784197
23.9474,0.784197
23.9931,0.784197
24.0389,0.786189
24.0847,0.786189
24.1304,0.786189
24.1762,0.784197
24.2220,0.784197
24.2677,0.784197
24.3135,0.782205
24.3593,0.782205
24.4050,0.782205
24.4508,0.784197
24.4966,0.784197
24.5423,0.784197
24.5881,0.786189
24.6339,0.786189
24.6796,0.786189
24.7254,0.788181
24.7712,0.788181
24.8169,0.788181
24.8627,0.790173
24.9085,0.790173
24.9542,0.790173
25.0000,0.792165
25.0458,0.792165
25.0915,0.792165
25.1373,0.792165
25.1831,0.792165
25.2288,0.792165
25.2746,0.792165
25.3204,0.792165
25.3661,0.792165
25.4119,0.790173
25.4577,0.790173
25.5034,0.790173
25.5492,0.788181
25.5950,0.788181
25.6407,0.788181
25.6865,0.786189
25.7323,0.786189
25.7780,0.786189
25.8238,0.786189
25.8696,0.786189
25.9153,0.786189
25.9611,0.786189
26.0069,0.786189
26.0526,0.786189
26.0984,0.786189
26.1442,0.786189
26.1899,0.786189
26.2357,0.786189
26.2815,0.786189
26.3272,0.786189
26.3730,0.786189
26.4188,0.786189
26.4645,0.786189
26.5103,0.786189
26.5561,0.786189
26.6018,0.786189
26.6476,0.788181
26.6934,0.788181
26.7391,0.788181
26.7849,0.786189
26.8307,0.786189
26.8764,0.786189
26.9222,0.788181
26.9680,0.788181
27.0137,0.788181
27.0595,0.786189
27.1053,0.786189
27.1510,0.786189
27.1968,0.786189
27.2426,0.786189
27.2883,0.786189
27.3341,0.788181
27.3799,0.788181
27.4256,0.788181
27.4714,0.788181
27.5172,0.788181
27.5629,0.788181
27.6087,0.788181
27.6545,0.788181
27.7002,0.788181
27.7460,0.786189
27.7918,0.786189
27.8375,0.786189
27.8833,0.788181
27.9291,0.788181
27.9748,0.788181
28.0206,0.790173
28.0664,0.790173
28.1121,0.790173
28.1579,0.790173
28.2037,0.790173
28.2494,0.790173
28.2952,0.790173
28.3410,0.790173
28.3867,0.790173
28.4325,0.786189
28.4783,0.786189
28.5240,0.786189
28.5698,0.786189
28.6156,0.786189
28.6613,0.786189
28.7071,0.786189
28.7529,0.786189
28.7986,0.786189
28.8444,0.786189
28.8902,0.786189
28.9359,0.786189
28.9817,0.784197
29.0275,0.784197
29.0732,0.784197
29.1190,0.782205
29.1648,0.782205
29.2105,0.782205
29.2563,0.782205
29.3021,0.782205
29.3478,0.782205
29.3936,0.782205
29.4394,0.782205
29.4851,0.782205
29.5309,0.784197
29.5767,0.784197
29.6224,0.784197
29.6682,0.786189
29.7140,0.786189
29.7597,0.786189
29.8055,0.784197
29.8513,0.784197
29.8970,0.784197
29.9428,0.786189
29.9886,0.786189
30.0343,0.786189
30.0801,0.786189
30.1259,0.786189
30.1716,0.786189
30.2174,0.786189
30.2632,0.786189
30.3089,0.786189
30.3547,0.784197
30.4005,0.784197
30.4462,0.784197
30.4920,0.784197
30.5378,0.784197
30.5835,0.784197
30.6293,0.784197
30.6751,0.784197
30.7208,0.784197
30.7666,0.784197
30.8124,0.784197
30.8581,0.784197
30.9039,0.784197
30.9497,0.784197
30.9954,0.784197
31.0412,0.784197
31.0870,0.784197
31.1327,0.784197
