# source: /Users/mac/Documents/MOF/img/anie.202306360/anie.202306360_f2a.png
# doi: 10.1002/anie.202306360  figure: Figure 2A
# legend: SCU-16 as synthesized  (match: colour+geometry)
# x: (Degree)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
3.3066,0.266268
3.3524,0.266268
3.3982,0.266268
3.4439,0.266268
3.4897,0.266268
3.5355,0.266268
3.5812,0.302125
3.6270,0.302125
3.6728,0.302125
3.7185,0.310093
3.7643,0.310093
3.8101,0.310093
3.8558,0.310093
3.9016,0.310093
3.9474,0.310093
3.9931,0.310093
4.0389,0.310093
4.0847,0.310093
4.1304,0.310093
4.1762,0.310093
4.2220,0.310093
4.2677,0.306109
4.3135,0.306109
4.3593,0.306109
4.4050,0.270252
4.4508,0.270252
4.4966,0.270252
4.5423,0.274236
4.5881,0.274236
4.6339,0.274236
4.6796,0.278220
4.7254,0.278220
4.7712,0.278220
4.8169,0.278220
4.8627,0.278220
4.9085,0.278220
4.9542,0.278220
5.0000,0.278220
5.0458,0.278220
5.0915,0.270252
5.1373,0.270252
5.1831,0.270252
5.2288,0.262284
5.2746,0.262284
5.3204,0.262284
5.3661,0.262284
5.4119,0.262284
5.4577,0.262284
5.5034,0.262284
5.5492,0.262284
5.5950,0.262284
5.6407,0.266268
5.6865,0.266268
5.7323,0.266268
5.7780,0.278220
5.8238,0.278220
5.8696,0.278220
5.9153,0.417663
5.9611,0.417663
6.0069,0.417663
6.0526,0.433599
6.0984,0.433599
6.1442,0.433599
6.1899,0.433599
6.2357,0.433599
6.2815,0.433599
6.3272,0.433599
6.3730,0.433599
6.4188,0.433599
6.4645,0.433599
6.5103,0.433599
6.5561,0.433599
6.6018,0.393758
6.6476,0.393758
6.6934,0.393758
6.7391,0.266268
6.7849,0.266268
6.8307,0.266268
6.8764,0.262284
6.9222,0.262284
6.9680,0.262284
7.0137,0.262284
7.0595,0.262284
7.1053,0.262284
7.1510,0.270252
7.1968,0.270252
7.2426,0.270252
7.2883,0.274236
7.3341,0.274236
7.3799,0.274236
7.4256,0.278220
7.4714,0.278220
7.5172,0.278220
7.5629,0.274236
7.6087,0.274236
7.6545,0.274236
7.7002,0.274236
7.7460,0.274236
7.7918,0.274236
7.8375,0.278220
7.8833,0.278220
7.9291,0.278220
7.9748,0.278220
8.0206,0.278220
8.0664,0.278220
8.1121,0.278220
8.1579,0.278220
8.2037,0.278220
8.2494,0.274236
8.2952,0.274236
8.3410,0.274236
8.3867,0.274236
8.4325,0.274236
8.4783,0.274236
8.5240,0.274236
8.5698,0.274236
8.6156,0.274236
8.6613,0.274236
8.7071,0.274236
8.7529,0.274236
8.7986,0.278220
8.8444,0.278220
8.8902,0.278220
8.9359,0.278220
8.9817,0.278220
9.0275,0.278220
9.0732,0.278220
9.1190,0.278220
9.1648,0.278220
9.2105,0.274236
9.2563,0.274236
9.3021,0.274236
9.3478,0.266268
9.3936,0.266268
9.4394,0.266268
9.4851,0.262284
9.5309,0.262284
9.5767,0.262284
9.6224,0.262284
9.6682,0.262284
9.7140,0.262284
9.7597,0.258300
9.8055,0.258300
9.8513,0.258300
9.8970,0.302125
9.9428,0.302125
9.9886,0.302125
10.0343,0.341965
10.0801,0.341965
10.1259,0.341965
10.1716,0.341965
10.2174,0.341965
10.2632,0.341965
10.3089,0.341965
10.3547,0.341965
10.4005,0.341965
10.4462,0.341965
10.4920,0.341965
10.5378,0.341965
10.5835,0.286189
10.6293,0.286189
10.6751,0.286189
10.7208,0.250332
10.7666,0.250332
10.8124,0.250332
10.8581,0.246348
10.9039,0.246348
10.9497,0.246348
10.9954,0.250332
11.0412,0.250332
11.0870,0.250332
11.1327,0.250332
11.1785,0.250332
11.2243,0.250332
11.2700,0.246348
11.3158,0.246348
11.3616,0.246348
11.4073,0.246348
11.4531,0.246348
11.4989,0.246348
11.5446,0.246348
11.5904,0.246348
11.6362,0.246348
11.6819,0.246348
11.7277,0.246348
11.7735,0.246348
11.8192,0.246348
11.8650,0.246348
11.9108,0.246348
11.9565,0.246348
12.0023,0.246348
12.0481,0.246348
12.0938,0.246348
12.1396,0.246348
12.1854,0.246348
12.2311,0.246348
12.2769,0.246348
12.3227,0.246348
12.3684,0.246348
12.4142,0.246348
12.4600,0.246348
12.5057,0.246348
12.5515,0.246348
12.5973,0.246348
12.6430,0.242364
12.6888,0.242364
12.7346,0.242364
12.7803,0.242364
12.8261,0.242364
12.8719,0.242364
12.9176,0.246348
12.9634,0.246348
13.0092,0.246348
13.0549,0.246348
13.1007,0.246348
13.1465,0.246348
13.1922,0.246348
13.2380,0.246348
13.2838,0.246348
13.3295,0.246348
13.3753,0.246348
13.4211,0.246348
13.4668,0.242364
13.5126,0.242364
13.5584,0.242364
13.6041,0.242364
13.6499,0.242364
13.6957,0.242364
13.7414,0.242364
13.7872,0.242364
13.8330,0.242364
13.8787,0.242364
13.9245,0.242364
13.9703,0.242364
14.0160,0.238380
14.0618,0.238380
14.1076,0.238380
14.1533,0.238380
14.1991,0.238380
14.2449,0.238380
14.2906,0.242364
14.3364,0.242364
14.3822,0.242364
14.4279,0.242364
14.4737,0.242364
14.5195,0.242364
14.5652,0.238380
14.6110,0.238380
14.6568,0.238380
14.7025,0.238380
14.7483,0.238380
14.7941,0.238380
14.8398,0.238380
14.8856,0.238380
14.9314,0.238380
14.9771,0.238380
15.0229,0.238380
15.0686,0.238380
15.1144,0.238380
15.1602,0.238380
15.2059,0.238380
15.2517,0.238380
15.2975,0.238380
15.3432,0.238380
15.3890,0.242364
15.4348,0.242364
15.4805,0.242364
15.5263,0.242364
15.5721,0.242364
15.6178,0.242364
15.6636,0.238380
15.7094,0.238380
15.7551,0.238380
15.8009,0.238380
15.8467,0.238380
15.8924,0.238380
15.9382,0.238380
15.9840,0.238380
16.0297,0.238380
16.0755,0.234396
16.1213,0.234396
16.1670,0.234396
16.2128,0.238380
16.2586,0.238380
16.3043,0.238380
16.3501,0.242364
16.3959,0.242364
16.4416,0.242364
16.4874,0.242364
16.5332,0.242364
16.5789,0.242364
16.6247,0.242364
16.6705,0.242364
16.7162,0.242364
16.7620,0.238380
16.8078,0.238380
16.8535,0.238380
16.8993,0.238380
16.9451,0.238380
16.9908,0.238380
17.0366,0.238380
17.0824,0.238380
17.1281,0.238380
17.1739,0.234396
17.2197,0.234396
17.2654,0.234396
17.3112,0.238380
17.3570,0.238380
17.4027,0.238380
17.4485,0.238380
17.4943,0.238380
17.5400,0.238380
17.5858,0.238380
17.6316,0.238380
17.6773,0.238380
17.7231,0.238380
17.7689,0.238380
17.8146,0.238380
17.8604,0.242364
17.9062,0.242364
17.9519,0.242364
17.9977,0.242364
18.0435,0.242364
18.0892,0.242364
18.1350,0.238380
18.1808,0.238380
18.2265,0.238380
18.2723,0.238380
18.3181,0.238380
18.3638,0.238380
18.4096,0.242364
18.4554,0.242364
18.5011,0.242364
18.5469,0.242364
18.5927,0.242364
18.6384,0.242364
18.6842,0.238380
18.7300,0.238380
18.7757,0.238380
18.8215,0.242364
18.8673,0.242364
18.9130,0.242364
18.9588,0.242364
19.0046,0.242364
19.0503,0.242364
19.0961,0.246348
19.1419,0.246348
19.1876,0.246348
19.2334,0.250332
19.2792,0.250332
19.3249,0.250332
19.3707,0.250332
19.4165,0.250332
19.4622,0.250332
19.5080,0.246348
19.5538,0.246348
19.5995,0.246348
19.6453,0.242364
19.6911,0.242364
19.7368,0.242364
19.7826,0.238380
19.8284,0.238380
19.8741,0.238380
19.9199,0.238380
19.9657,0.238380
20.0114,0.238380
20.0572,0.242364
20.1030,0.242364
