# source: /Users/mac/Documents/MOF/img/anie.202306360/anie.202306360_f2a.png
# doi: 10.1002/anie.202306360  figure: Figure 2A
# legend: SCU-16 simulated  (match: colour+geometry)
# x: (Degree)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.1373,0.017264
5.1831,0.017264
5.2288,0.017264
5.2746,0.016600
5.3204,0.016600
5.3661,0.026560
5.4119,0.018592
5.4577,0.026560
5.5034,0.023240
5.5492,0.023240
5.5950,0.023240
5.6407,0.024568
5.6865,0.025232
5.7323,0.025232
5.7780,0.025896
5.8238,0.025896
5.8696,0.024568
5.9153,0.102258
5.9611,0.017928
6.0069,0.102258
6.0526,0.020584
6.0984,0.209827
6.1442,0.213811
6.1899,0.213811
6.2357,0.025232
6.2815,0.213811
6.3272,0.213811
6.3730,0.213811
6.4188,0.030544
6.4645,0.213811
6.5103,0.032537
6.5561,0.213811
6.6018,0.209827
6.6476,0.209827
6.6934,0.025232
6.7391,0.058433
6.7849,0.025232
6.8307,0.058433
6.8764,0.021912
6.9222,0.021912
6.9680,0.021248
7.0137,0.018592
7.0595,0.017264
7.1053,0.017928
7.1510,0.017928
7.1968,0.017928
7.2426,0.018592
7.2883,0.019920
7.3341,0.019256
7.3799,0.020584
7.4256,0.024568
7.4714,0.025896
7.5172,0.025232
7.5629,0.024568
7.6087,0.023904
7.6545,0.023240
7.7002,0.019920
7.7460,0.019256
7.7918,0.019920
7.8375,0.019256
7.8833,0.019256
7.9291,0.019256
7.9748,0.019920
8.0206,0.019256
8.0664,0.019920
8.1121,0.019920
8.1579,0.019256
8.2037,0.019256
8.2494,0.019256
8.2952,0.019256
8.3410,0.020584
8.3867,0.023240
8.4325,0.023240
8.4783,0.022576
8.5240,0.022576
8.5698,0.023240
8.6156,0.022576
8.6613,0.021912
8.7071,0.021248
8.7529,0.021912
8.7986,0.021912
8.8444,0.021912
8.8902,0.022576
8.9359,0.023240
8.9817,0.023240
9.0275,0.022576
9.0732,0.021912
9.1190,0.021248
9.1648,0.020584
9.2105,0.019920
9.2563,0.019256
9.3021,0.019920
9.3478,0.019920
9.3936,0.019256
9.4394,0.019256
9.4851,0.019256
9.5309,0.019256
9.5767,0.018592
9.6224,0.017264
9.6682,0.016600
9.7140,0.016600
9.7597,0.016600
9.8055,0.016600
9.8513,0.017928
9.8970,0.042497
9.9428,0.042497
9.9886,0.043161
10.0343,0.050465
10.0801,0.023904
10.1259,0.050465
10.1716,0.054449
10.2174,0.054449
10.2632,0.054449
10.3089,0.054449
10.3547,0.023904
10.4005,0.054449
10.4462,0.051129
10.4920,0.050465
10.5378,0.050465
10.5835,0.017928
10.6293,0.017264
10.6751,0.016600
10.7208,0.017264
10.7666,0.017264
10.8124,0.017264
10.8581,0.017264
10.9039,0.017264
10.9497,0.017264
10.9954,0.017264
11.0412,0.017264
11.0870,0.017264
11.1327,0.017264
11.1785,0.017264
11.2243,0.017264
11.2700,0.017264
11.3158,0.017264
11.3616,0.017264
11.4073,0.017264
11.4531,0.017264
11.4989,0.017264
11.5446,0.017264
11.5904,0.017264
11.6362,0.017264
11.6819,0.017264
11.7277,0.017264
11.7735,0.017264
11.8192,0.017264
11.8650,0.017264
11.9108,0.017264
11.9565,0.017264
12.0023,0.017264
12.0481,0.017264
12.0938,0.017264
12.1396,0.017264
12.1854,0.017264
12.2311,0.017928
12.2769,0.017928
12.3227,0.017928
12.3684,0.017264
12.4142,0.017264
12.4600,0.017264
12.5057,0.017264
12.5515,0.017264
12.5973,0.017264
12.6430,0.017264
12.6888,0.017264
12.7346,0.017264
12.7803,0.017264
12.8261,0.016600
12.8719,0.016600
12.9176,0.016600
12.9634,0.016600
13.0092,0.016600
13.0549,0.016600
13.1007,0.016600
13.1465,0.016600
13.1922,0.016600
13.2380,0.016600
13.2838,0.017264
13.3295,0.017264
13.3753,0.017264
13.4211,0.017264
13.4668,0.017264
13.5126,0.017264
13.5584,0.017264
13.6041,0.017264
13.6499,0.017264
13.6957,0.017264
13.7414,0.017264
13.7872,0.017264
13.8330,0.017264
13.8787,0.017264
13.9245,0.017264
13.9703,0.017264
14.0160,0.017264
14.0618,0.017264
14.1076,0.017264
14.1533,0.016600
14.1991,0.016600
14.2449,0.016600
14.2906,0.017264
14.3364,0.017264
14.3822,0.017264
14.4279,0.017264
14.4737,0.017264
14.5195,0.017264
14.5652,0.017264
14.6110,0.017264
14.6568,0.017264
14.7025,0.017264
14.7483,0.017264
14.7941,0.017264
14.8398,0.017264
14.8856,0.017264
14.9314,0.017264
14.9771,0.017264
15.0229,0.017264
15.0686,0.017264
15.1144,0.017264
15.1602,0.017264
15.2059,0.017264
15.2517,0.017264
15.2975,0.017264
15.3432,0.017264
15.3890,0.017264
15.4348,0.017264
15.4805,0.017264
15.5263,0.017264
15.5721,0.017264
15.6178,0.017264
15.6636,0.017264
15.7094,0.017264
15.7551,0.017264
15.8009,0.017264
15.8467,0.017264
15.8924,0.017264
15.9382,0.017928
15.9840,0.017928
16.0297,0.017928
16.0755,0.017264
16.1213,0.017264
16.1670,0.017264
16.2128,0.017264
16.2586,0.017264
16.3043,0.017264
16.3501,0.017928
16.3959,0.017928
16.4416,0.017928
16.4874,0.017264
16.5332,0.017264
16.5789,0.017264
16.6247,0.017264
16.6705,0.017264
16.7162,0.017264
16.7620,0.017264
16.8078,0.017264
16.8535,0.017264
16.8993,0.017264
16.9451,0.017264
16.9908,0.017264
17.0366,0.017264
17.0824,0.017264
17.1281,0.017264
17.1739,0.016600
17.2197,0.016600
17.2654,0.016600
17.3112,0.017264
17.3570,0.017264
17.4027,0.017264
17.4485,0.017264
17.4943,0.017264
17.5400,0.017264
17.5858,0.017264
17.6316,0.017264
17.6773,0.017264
17.7231,0.017264
17.7689,0.017264
17.8146,0.017264
17.8604,0.017264
17.9062,0.017264
17.9519,0.017264
17.9977,0.017264
18.0435,0.017264
18.0892,0.017264
18.1350,0.017264
18.1808,0.017264
18.2265,0.017264
18.2723,0.017264
18.3181,0.017264
18.3638,0.017264
18.4096,0.016600
18.4554,0.016600
18.5011,0.016600
18.5469,0.016600
18.5927,0.016600
18.6384,0.016600
18.6842,0.016600
18.7300,0.016600
18.7757,0.016600
18.8215,0.016600
18.8673,0.016600
18.9130,0.017264
18.9588,0.016600
19.0046,0.016600
19.0503,0.016600
19.0961,0.016600
19.1419,0.016600
19.1876,0.016600
19.2334,0.016600
19.2792,0.016600
19.3249,0.017264
19.3707,0.017264
19.4165,0.017264
19.4622,0.017264
19.5080,0.017264
19.5538,0.017264
19.5995,0.017264
19.6453,0.017264
19.6911,0.017264
19.7368,0.017264
19.7826,0.016600
19.8284,0.016600
19.8741,0.016600
19.9199,0.017264
19.9657,0.017264
20.0114,0.017264
20.0572,0.017264
20.1030,0.017264
20.1487,0.017264
20.1945,0.016600
20.2403,0.016600
20.2860,0.016600
20.3318,0.017264
20.3776,0.017264
20.4233,0.017264
20.4691,0.017264
20.5149,0.017264
20.5606,0.017264
20.6064,0.016600
20.6522,0.016600
20.6979,0.016600
20.7437,0.016600
20.7895,0.016600
20.8352,0.016600
20.8810,0.016600
20.9268,0.016600
20.9725,0.016600
21.0183,0.016600
21.0641,0.016600
21.1098,0.017264
21.1556,0.017928
21.2014,0.019256
21.2471,0.019256
21.2929,0.019256
21.3387,0.019256
21.3844,0.019256
21.4302,0.019920
21.4760,0.019256
21.5217,0.019256
21.5675,0.019256
21.6133,0.019256
21.6590,0.018592
21.7048,0.017264
21.7506,0.016600
21.7963,0.016600
21.8421,0.016600
21.8879,0.016600
21.9336,0.017264
21.9794,0.017264
22.0252,0.017264
22.0709,0.017264
22.1167,0.017264
22.1625,0.016600
22.2082,0.016600
22.2540,0.016600
22.2998,0.016600
22.3455,0.016600
22.3913,0.016600
22.4371,0.016600
22.4828,0.017264
22.5286,0.016600
22.5744,0.016600
22.6201,0.016600
22.6659,0.016600
22.7117,0.016600
22.7574,0.016600
22.8032,0.017264
22.8490,0.016600
22.8947,0.016600
22.9405,0.016600
22.9863,0.016600
23.0320,0.016600
23.0778,0.017264
23.1236,0.017264
23.1693,0.017264
23.2151,0.017264
23.2609,0.017264
23.3066,0.017264
23.3524,0.017264
23.3982,0.017264
23.4439,0.017264
23.4897,0.016600
23.5355,0.016600
23.5812,0.016600
23.6270,0.017264
23.6728,0.017264
23.7185,0.017264
23.7643,0.017264
23.8101,0.017264
23.8558,0.017264
