# source: /Users/mac/Documents/MOF/img/anie.202306360/anie.202306360_s18.png
# doi: 10.1002/anie.202306360  figure: Figure S18
# legend: SCU-16-U after catalysis  (match: colour+geometry)
# x: (Degree)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
3.9820,0.779083
4.0266,0.776146
4.0711,0.776146
4.1157,0.776146
4.1603,0.776146
4.2049,0.776146
4.2495,0.776146
4.2941,0.776146
4.3387,0.776146
4.3832,0.771445
4.4278,0.771445
4.4724,0.772620
4.5170,0.772620
4.5616,0.772620
4.6062,0.773796
4.6508,0.773796
4.6953,0.773796
4.7399,0.778496
4.7845,0.779671
4.8291,0.779671
4.8737,0.779671
4.9183,0.779671
4.9628,0.777321
5.0074,0.773796
5.0520,0.772620
5.0966,0.770270
5.1412,0.769095
5.1858,0.769095
5.2304,0.769095
5.2749,0.769095
5.3195,0.769095
5.3641,0.770270
5.4087,0.771445
5.4533,0.773796
5.4979,0.776146
5.5424,0.776146
5.5870,0.777321
5.6316,0.776146
5.6762,0.776146
5.7208,0.773796
5.7654,0.773796
5.8100,0.785546
5.8545,0.787897
5.8991,0.789072
5.9437,0.796122
5.9883,0.806698
6.0329,0.814924
6.0775,0.982961
6.1220,0.985311
6.1666,0.986486
6.2112,0.986486
6.2558,0.986486
6.3004,0.985311
6.3450,0.984136
6.3896,0.873678
6.4341,0.872503
6.4787,0.857227
6.5233,0.805523
6.5679,0.789072
6.6125,0.782021
6.6571,0.776146
6.7017,0.774971
6.7462,0.770270
6.7908,0.769095
6.8354,0.769095
6.8800,0.769095
6.9246,0.769095
6.9692,0.767920
7.0137,0.766745
7.0583,0.766745
7.1029,0.766745
7.1475,0.767920
7.1921,0.771445
7.2367,0.773796
7.2813,0.777321
7.3258,0.778496
7.3704,0.782021
7.4150,0.782021
7.4596,0.783196
7.5042,0.783196
7.5488,0.782021
7.5933,0.780846
7.6379,0.778496
7.6825,0.780846
7.7271,0.782021
7.7717,0.783196
7.8163,0.783196
7.8609,0.782021
7.9054,0.780846
7.9500,0.773796
7.9946,0.772620
8.0392,0.772620
8.0838,0.771445
8.1284,0.770270
8.1730,0.770270
8.2175,0.771445
8.2621,0.771445
