# source: /Users/mac/Documents/MOF/img/anie.202306360/anie.202306360_s18.png
# doi: 10.1002/anie.202306360  figure: Figure S18
# legend: SCU-16-U simulated  (match: geometry)
# x: (Degree)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
3.7145,0.506463
3.7591,0.507638
3.8036,0.511163
3.8482,0.542891
3.8928,0.511751
3.9374,0.564042
3.9820,0.527027
4.0266,0.564042
4.0711,0.526439
4.1157,0.562867
4.1603,0.510576
4.2049,0.533490
4.2495,0.511163
4.2941,0.503525
4.3387,0.501763
4.3832,0.501763
4.4278,0.501175
4.4724,0.501175
4.5170,0.501175
4.5616,0.501175
4.6062,0.501175
4.6508,0.501175
4.6953,0.501175
4.7399,0.501763
4.7845,0.499412
4.8291,0.507638
4.8737,0.505288
4.9183,0.507638
4.9628,0.505288
5.0074,0.506463
5.0520,0.499412
5.0966,0.501763
5.1412,0.501175
5.1858,0.501175
5.2304,0.501175
5.2749,0.501175
5.3195,0.501175
5.3641,0.501175
5.4087,0.501175
5.4533,0.501763
5.4979,0.502350
5.5424,0.506463
5.5870,0.505875
5.6316,0.508813
5.6762,0.508813
5.7208,0.508813
5.7654,0.507638
5.8100,0.505288
5.8545,0.502938
5.8991,0.503525
5.9437,0.504113
5.9883,0.507638
6.0329,0.505875
6.0775,0.526439
6.1220,0.552291
6.1666,0.628672
6.2112,0.539365
6.2558,0.748531
6.3004,0.594595
6.3450,0.749706
6.3896,0.603995
6.4341,0.748531
6.4787,0.548766
6.5233,0.647474
6.5679,0.507638
6.6125,0.527615
6.6571,0.506463
6.7017,0.507638
6.7462,0.504700
6.7908,0.504113
6.8354,0.504700
6.8800,0.504700
6.9246,0.505288
6.9692,0.505288
7.0137,0.506463
7.0583,0.504113
7.1029,0.502938
7.1475,0.502350
7.1921,0.501763
7.2367,0.501763
7.2813,0.501763
7.3258,0.506463
7.3704,0.500588
7.4150,0.513514
7.4596,0.508226
7.5042,0.514689
7.5488,0.508226
7.5933,0.514689
7.6379,0.500588
7.6825,0.508813
7.7271,0.501763
7.7717,0.501175
7.8163,0.501175
7.8609,0.501763
7.9054,0.500588
7.9500,0.504113
7.9946,0.499412
8.0392,0.506463
8.0838,0.500588
8.1284,0.505288
8.1730,0.502350
8.2175,0.501763
8.2621,0.501763
8.3067,0.502938
8.3513,0.500588
8.3959,0.521739
8.4405,0.509401
8.4850,0.524089
8.5296,0.524089
8.5742,0.522914
8.6188,0.509401
8.6634,0.519389
8.7080,0.508813
8.7526,0.502350
8.7971,0.506463
8.8417,0.509988
8.8863,0.506463
8.9309,0.512338
8.9755,0.512338
9.0201,0.512338
9.0646,0.506463
9.1092,0.508813
9.1538,0.502350
9.1984,0.501175
9.2430,0.501763
9.2876,0.502938
9.3322,0.505288
9.3767,0.506463
9.4213,0.499412
9.4659,0.506463
9.5105,0.505288
9.5551,0.502350
9.5997,0.501175
9.6442,0.501175
9.6888,0.501175
9.7334,0.501175
9.7780,0.501175
9.8226,0.501175
9.8672,0.501175
9.9118,0.501175
9.9563,0.501763
10.0009,0.504113
10.0455,0.505288
10.0901,0.535840
10.1347,0.513514
10.1793,0.539365
10.2239,0.539365
10.2684,0.539365
10.3130,0.513514
10.3576,0.537015
10.4022,0.505288
10.4468,0.507638
10.4914,0.501763
10.5359,0.501175
10.5805,0.501175
10.6251,0.501175
10.6697,0.501175
10.7143,0.501175
10.7589,0.501175
10.8035,0.501175
10.8480,0.501175
10.8926,0.501175
10.9372,0.501763
10.9818,0.501763
11.0264,0.501763
11.0710,0.501175
11.1155,0.501175
11.1601,0.501175
11.2047,0.501175
11.2493,0.501175
11.2939,0.501175
11.3385,0.501763
11.3831,0.501763
11.4276,0.501175
11.4722,0.501175
11.5168,0.501175
11.5614,0.501175
11.6060,0.501175
11.6506,0.501175
11.6952,0.501175
11.7397,0.501175
11.7843,0.501175
11.8289,0.500588
11.8735,0.500000
11.9181,0.500588
11.9627,0.501175
12.0072,0.501175
12.0518,0.501175
12.0964,0.501175
12.1410,0.501175
12.1856,0.501175
12.2302,0.501175
12.2748,0.501763
12.3193,0.502350
12.3639,0.502938
12.4085,0.502350
12.4531,0.501763
12.4977,0.501175
12.5423,0.501175
12.5868,0.501175
12.6314,0.501175
12.6760,0.501763
12.7206,0.501763
12.7652,0.501175
12.8098,0.501175
12.8544,0.501175
12.8989,0.501763
12.9435,0.501763
12.9881,0.502350
13.0327,0.502350
13.0773,0.501763
13.1219,0.501175
13.1664,0.501175
13.2110,0.501175
13.2556,0.501175
13.3002,0.501175
13.3448,0.500588
13.3894,0.500588
