# source: /Users/mac/Documents/MOF/img/anie.202306360/anie.202306360_s18.png
# doi: 10.1002/anie.202306360  figure: Figure S18
# legend: SCU-16 after catalysis  (match: colour+geometry)
# x: (Degree)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
3.1349,0.350176
3.1795,0.349001
3.2240,0.341951
3.2686,0.340776
3.3132,0.338425
3.3578,0.338425
3.4024,0.338425
3.4470,0.338425
3.4915,0.338425
3.5361,0.338425
3.5807,0.338425
3.6253,0.338425
3.6699,0.350176
3.7145,0.354877
3.7591,0.378378
3.8036,0.407756
3.8482,0.427732
3.8928,0.428907
3.9374,0.428907
3.9820,0.430082
4.0266,0.428907
4.0711,0.427732
4.1157,0.405405
4.1603,0.347826
4.2049,0.325499
4.2495,0.323149
4.2941,0.323149
4.3387,0.323149
4.3832,0.323149
4.4278,0.321974
4.4724,0.323149
4.5170,0.323149
4.5616,0.321974
4.6062,0.321974
4.6508,0.317274
4.6953,0.316099
4.7399,0.323149
4.7845,0.325499
4.8291,0.325499
4.8737,0.325499
4.9183,0.325499
4.9628,0.324324
5.0074,0.314924
5.0520,0.314924
5.0966,0.314924
5.1412,0.314924
5.1858,0.313749
5.2304,0.310223
5.2749,0.310223
5.3195,0.310223
5.3641,0.310223
5.4087,0.309048
5.4533,0.306698
5.4979,0.305523
5.5424,0.305523
5.5870,0.305523
5.6316,0.305523
5.6762,0.305523
5.7208,0.304348
5.7654,0.306698
5.8100,0.312573
5.8545,0.321974
5.8991,0.327850
5.9437,0.330200
5.9883,0.336075
6.0329,0.361927
6.0775,0.399530
6.1220,0.437133
6.1666,0.478261
6.2112,0.479436
6.2558,0.480611
6.3004,0.479436
6.3450,0.479436
6.3896,0.478261
6.4341,0.452409
6.4787,0.426557
6.5233,0.351351
6.5679,0.324324
6.6125,0.310223
6.6571,0.310223
6.7017,0.310223
6.7462,0.309048
6.7908,0.296122
6.8354,0.293772
6.8800,0.291422
6.9246,0.290247
6.9692,0.291422
7.0137,0.293772
7.0583,0.293772
7.1029,0.299647
7.1475,0.301998
7.1921,0.303173
7.2367,0.303173
7.2813,0.310223
7.3258,0.317274
7.3704,0.318449
7.4150,0.319624
7.4596,0.319624
7.5042,0.319624
7.5488,0.318449
7.5933,0.317274
7.6379,0.301998
7.6825,0.299647
7.7271,0.300823
7.7717,0.301998
7.8163,0.304348
7.8609,0.304348
7.9054,0.305523
7.9500,0.304348
7.9946,0.304348
8.0392,0.300823
8.0838,0.300823
8.1284,0.300823
8.1730,0.298472
8.2175,0.299647
8.2621,0.301998
8.3067,0.314924
8.3513,0.316099
8.3959,0.317274
8.4405,0.317274
8.4850,0.317274
8.5296,0.316099
8.5742,0.311398
