# source: /Users/mac/Documents/MOF/img/anie.202306360/anie.202306360_s18.png
# doi: 10.1002/anie.202306360  figure: Figure S18
# legend: SCU-16 simulated  (match: geometry)
# x: (Degree)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
3.1349,0.028202
3.1795,0.028202
3.2240,0.028202
3.2686,0.028202
3.3132,0.028202
3.3578,0.028202
3.4024,0.028202
3.4470,0.028202
3.4915,0.028202
3.5361,0.028202
3.5807,0.028202
3.6253,0.028202
3.6699,0.028202
3.7145,0.028202
3.7591,0.028202
3.8036,0.028202
3.8482,0.028202
3.8928,0.028202
3.9374,0.028202
3.9820,0.028202
4.0266,0.028202
4.0711,0.027027
4.1157,0.025264
4.1603,0.025264
4.2049,0.025264
4.2495,0.025264
4.2941,0.025264
4.3387,0.025264
4.3832,0.025264
4.4278,0.025264
4.4724,0.025264
4.5170,0.025264
4.5616,0.025264
4.6062,0.025264
4.6508,0.025264
4.6953,0.025264
4.7399,0.025264
4.7845,0.025264
4.8291,0.026439
4.8737,0.027615
4.9183,0.027615
4.9628,0.027615
5.0074,0.026439
5.0520,0.025264
5.0966,0.025264
5.1412,0.025264
5.1858,0.025264
5.2304,0.025264
5.2749,0.025264
5.3195,0.025264
5.3641,0.025264
5.4087,0.026439
5.4533,0.026439
5.4979,0.031140
5.5424,0.038190
5.5870,0.039365
5.6316,0.040541
5.6762,0.040541
5.7208,0.040541
5.7654,0.040541
5.8100,0.039365
5.8545,0.033490
5.8991,0.028790
5.9437,0.028790
5.9883,0.031140
6.0329,0.034665
6.0775,0.039365
6.1220,0.060517
6.1666,0.113396
6.2112,0.240306
6.2558,0.267333
6.3004,0.268508
6.3450,0.268508
6.3896,0.268508
6.4341,0.267333
6.4787,0.266157
6.5233,0.193302
6.5679,0.086369
6.6125,0.053467
6.6571,0.039365
6.7017,0.033490
6.7462,0.029965
6.7908,0.028790
6.8354,0.027615
6.8800,0.028790
6.9246,0.029965
6.9692,0.029965
7.0137,0.028790
7.0583,0.028790
7.1029,0.026439
7.1475,0.026439
7.1921,0.026439
7.2367,0.026439
7.2813,0.026439
7.3258,0.028790
7.3704,0.035840
7.4150,0.039365
7.4596,0.040541
7.5042,0.040541
7.5488,0.040541
7.5933,0.040541
7.6379,0.039365
7.6825,0.033490
7.7271,0.027615
7.7717,0.026439
7.8163,0.025264
7.8609,0.026439
7.9054,0.031140
7.9500,0.032315
7.9946,0.033490
8.0392,0.033490
8.0838,0.033490
8.1284,0.032315
8.1730,0.031140
8.2175,0.026439
8.2621,0.025264
8.3067,0.025264
8.3513,0.028790
8.3959,0.035840
8.4405,0.037015
8.4850,0.038190
8.5296,0.038190
8.5742,0.038190
8.6188,0.038190
8.6634,0.035840
8.7080,0.031140
8.7526,0.026439
8.7971,0.028790
8.8417,0.034665
8.8863,0.037015
8.9309,0.038190
8.9755,0.038190
9.0201,0.038190
9.0646,0.038190
9.1092,0.035840
9.1538,0.031140
9.1984,0.026439
9.2430,0.026439
9.2876,0.029965
9.3322,0.031140
9.3767,0.032315
9.4213,0.032315
9.4659,0.032315
9.5105,0.032315
9.5551,0.029965
9.5997,0.027615
9.6442,0.025264
9.6888,0.025264
