# source: /Users/mac/Documents/MOF/img/anie.202306360/anie.202306360_s8a.png
# doi: 10.1002/anie.202306360  figure: Figure S8A
# legend: SCU-16 as synthesized  (match: colour+geometry)
# x: 2θ (Degree)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
3.1736,0.434711
3.2309,0.434711
3.2883,0.434711
3.3457,0.434711
3.4031,0.434711
3.4604,0.434711
3.5178,0.435537
3.5752,0.434711
3.6326,0.434711
3.6899,0.435537
3.7473,0.445455
3.8047,0.490083
3.8621,0.491736
3.9194,0.493388
3.9768,0.491736
4.0342,0.491736
4.0916,0.491736
4.1489,0.490083
4.2063,0.471901
4.2637,0.428926
4.3211,0.428926
4.3784,0.428926
4.4358,0.428926
4.4932,0.428926
4.5506,0.430579
4.6079,0.432231
4.6653,0.433884
4.7227,0.448760
4.7801,0.450413
4.8374,0.450413
4.8948,0.448760
4.9522,0.445455
5.0096,0.430579
5.0669,0.425620
5.1243,0.425620
5.1817,0.427273
5.2391,0.428926
5.2964,0.428926
5.3538,0.427273
5.4112,0.427273
5.4686,0.425620
5.5259,0.425620
5.5833,0.427273
5.6407,0.427273
5.6981,0.427273
5.7554,0.427273
5.8128,0.433884
5.8702,0.445455
5.9276,0.447107
5.9849,0.448760
6.0423,0.465289
6.0997,0.561157
6.1571,0.648760
6.2144,0.661983
6.2718,0.663636
6.3292,0.661983
6.3866,0.661983
6.4439,0.605785
6.5013,0.440496
6.5587,0.437190
6.6161,0.428926
6.6734,0.428926
6.7308,0.428926
6.7882,0.427273
6.8456,0.427273
6.9029,0.427273
6.9603,0.427273
7.0177,0.427273
7.0751,0.427273
7.1324,0.427273
7.1898,0.427273
7.2472,0.427273
7.3046,0.437190
7.3619,0.445455
7.4193,0.447107
7.4767,0.447107
7.5341,0.447107
7.5914,0.445455
7.6488,0.438843
7.7062,0.425620
7.7636,0.423967
7.8209,0.427273
7.8783,0.445455
7.9357,0.447107
7.9931,0.448760
8.0504,0.448760
8.1078,0.447107
8.1652,0.437190
8.2226,0.428926
8.2799,0.422314
8.3373,0.423967
8.3947,0.440496
8.4521,0.442149
8.5094,0.442149
8.5668,0.442149
8.6242,0.438843
8.6816,0.423967
8.7389,0.423967
8.7963,0.425620
8.8537,0.447107
8.9111,0.448760
8.9684,0.450413
9.0258,0.448760
9.0832,0.447107
9.1406,0.425620
9.1979,0.420661
9.2553,0.420661
9.3127,0.427273
9.3701,0.428926
9.4274,0.428926
9.4848,0.428926
9.5422,0.427273
9.5996,0.417355
9.6569,0.415702
9.7143,0.419008
9.7717,0.420661
9.8291,0.420661
9.8864,0.419008
9.9438,0.415702
10.0012,0.415702
10.0586,0.455372
10.1159,0.498347
10.1733,0.536364
10.2307,0.538017
10.2881,0.538017
10.3454,0.536364
10.4028,0.529752
10.4602,0.423967
10.5176,0.414050
10.5749,0.414050
10.6323,0.412397
10.6897,0.407438
10.7471,0.405785
10.8044,0.405785
10.8618,0.405785
10.9192,0.405785
10.9766,0.409091
11.0339,0.410744
11.0913,0.410744
11.1487,0.409091
11.2061,0.405785
11.2634,0.404132
11.3208,0.405785
11.3782,0.405785
11.4356,0.405785
11.4929,0.405785
11.5503,0.405785
11.6077,0.404132
11.6651,0.404132
11.7224,0.404132
11.7798,0.404132
