# source: /Users/mac/Documents/MOF/img/anie.202307646/anie.202307646_s3c.png
# doi: 10.1002/anie.202307646  figure: Figure S3C
# legend:   (match: )
# x: 2θ (°)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.1685,0.565647
5.2060,0.565647
5.2434,0.565647
5.2809,0.565647
5.3184,0.565647
5.3558,0.565647
5.3933,0.562050
5.4307,0.562050
5.4682,0.562050
5.5056,0.562050
5.5431,0.560252
5.5805,0.560252
5.6180,0.560252
5.6554,0.560252
5.6929,0.558453
5.7303,0.558453
5.7678,0.558453
5.8052,0.558453
5.8427,0.558453
5.8801,0.558453
5.9176,0.558453
5.9551,0.558453
5.9925,0.558453
6.0300,0.558453
6.0674,0.556655
6.1049,0.556655
6.1423,0.558453
6.1798,0.558453
6.2172,0.560252
6.2547,0.560252
6.2921,0.558453
6.3296,0.558453
6.3670,0.558453
6.4045,0.558453
6.4419,0.558453
6.4794,0.558453
6.5169,0.556655
6.5543,0.556655
6.5918,0.556655
6.6292,0.556655
6.6667,0.556655
6.7041,0.556655
6.7416,0.554856
6.7790,0.554856
6.8165,0.554856
6.8539,0.554856
6.8914,0.554856
6.9288,0.554856
6.9663,0.556655
7.0037,0.556655
7.0412,0.558453
7.0787,0.558453
7.1161,0.560252
7.1536,0.560252
7.1910,0.560252
7.2285,0.560252
7.2659,0.560252
7.3034,0.560252
7.3408,0.558453
7.3783,0.558453
7.4157,0.556655
7.4532,0.556655
7.4906,0.556655
7.5281,0.556655
7.5655,0.558453
7.6030,0.558453
7.6404,0.560252
7.6779,0.560252
7.7154,0.560252
7.7528,0.560252
7.7903,0.558453
7.8277,0.558453
7.8652,0.556655
7.9026,0.556655
7.9401,0.556655
7.9775,0.556655
8.0150,0.556655
8.0524,0.556655
8.0899,0.558453
8.1273,0.558453
8.1648,0.562050
8.2022,0.562050
8.2397,0.562050
8.2772,0.562050
8.3146,0.562050
8.3521,0.562050
8.3895,0.562050
8.4270,0.562050
8.4644,0.563849
8.5019,0.563849
8.5393,0.563849
8.5768,0.563849
8.6142,0.563849
8.6517,0.563849
8.6891,0.562050
8.7266,0.562050
8.7640,0.563849
8.8015,0.563849
8.8390,0.565647
8.8764,0.565647
8.9139,0.569245
8.9513,0.569245
8.9888,0.572842
