# source: /Users/mac/Documents/MOF/img/anie.202307646/anie.202307646_s4c.png
# doi: 10.1002/anie.202307646  figure: Figure S4C
# legend: (MEMOR),RbBil-cal  (match: colour)
# x:    y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.2013,0.060832
5.2454,0.060832
5.2895,0.060832
5.3336,0.060832
5.3778,0.060832
5.4219,0.060832
5.4660,0.060832
5.5101,0.060832
5.5543,0.060832
5.5984,0.060832
5.6425,0.060832
5.6866,0.060832
5.7308,0.060832
5.7749,0.060832
5.8190,0.060832
5.8631,0.060832
5.9073,0.060832
5.9514,0.060832
5.9955,0.060832
6.0396,0.060832
6.0838,0.060832
6.1279,0.060832
6.1720,0.060832
6.2162,0.060832
6.2603,0.060832
6.3044,0.060832
6.3485,0.060832
6.3927,0.060832
6.4368,0.060832
6.4809,0.060832
6.5250,0.060832
6.5692,0.060832
6.6133,0.060832
6.6574,0.060832
6.7015,0.060832
6.7457,0.060832
6.7898,0.060832
6.8339,0.060832
6.8780,0.060832
6.9222,0.060832
6.9663,0.065101
7.0104,0.065101
7.0545,0.067236
7.0987,0.067236
7.1428,0.067236
7.1869,0.067236
7.2310,0.067236
7.2752,0.067236
7.3193,0.062967
7.3634,0.062967
7.4075,0.060832
7.4517,0.060832
7.4958,0.060832
7.5399,0.060832
7.5841,0.060832
7.6282,0.060832
7.6723,0.060832
7.7164,0.060832
7.7606,0.060832
7.8047,0.060832
7.8488,0.060832
7.8929,0.060832
7.9371,0.060832
7.9812,0.060832
8.0253,0.060832
8.0694,0.060832
8.1136,0.060832
8.1577,0.060832
8.2018,0.060832
8.2459,0.060832
8.2901,0.060832
8.3342,0.060832
8.3783,0.060832
8.4224,0.060832
8.4666,0.060832
8.5107,0.060832
8.5548,0.060832
8.5989,0.060832
8.6431,0.060832
8.6872,0.060832
8.7313,0.060832
8.7755,0.060832
8.8196,0.060832
8.8637,0.060832
8.9078,0.060832
8.9520,0.060832
8.9961,0.060832
9.0402,0.060832
9.0843,0.060832
9.1285,0.060832
9.1726,0.060832
9.2167,0.060832
9.2608,0.060832
9.3050,0.060832
9.3491,0.060832
9.3932,0.060832
9.4373,0.060832
9.4815,0.060832
9.5256,0.062967
9.5697,0.062967
9.6138,0.062967
9.6580,0.062967
9.7021,0.062967
9.7462,0.062967
9.7903,0.062967
9.8345,0.062967
9.8786,0.062967
9.9227,0.062967
9.9669,0.062967
10.0110,0.062967
10.0551,0.067236
10.0992,0.067236
10.1434,0.069370
10.1875,0.069370
10.2316,0.080043
10.2757,0.080043
10.3199,0.099253
10.3640,0.099253
10.4081,0.284952
10.4522,0.284952
10.4964,0.432231
10.5405,0.434365
10.5846,0.437567
10.6287,0.437567
10.6729,0.437567
10.7170,0.436499
10.7611,0.436499
10.8052,0.437567
10.8494,0.448239
10.8935,0.452508
10.9376,0.452508
10.9817,0.453575
11.0259,0.453575
11.0700,0.452508
11.1141,0.448239
11.1582,0.446105
11.2024,0.433298
11.2465,0.433298
11.2906,0.430096
11.3348,0.427962
11.3789,0.208111
11.4230,0.208111
11.4671,0.090715
11.5113,0.090715
11.5554,0.077908
11.5995,0.077908
11.6436,0.073639
11.6878,0.073639
11.7319,0.071505
11.7760,0.071505
11.8201,0.069370
11.8643,0.069370
11.9084,0.067236
11.9525,0.067236
11.9966,0.071505
12.0408,0.071505
12.0849,0.073639
12.1290,0.073639
12.1731,0.071505
12.2173,0.071505
12.2614,0.071505
12.3055,0.071505
12.3496,0.062967
12.3938,0.062967
12.4379,0.060832
12.4820,0.060832
12.5262,0.060832
12.5703,0.060832
12.6144,0.060832
12.6585,0.060832
12.7027,0.060832
12.7468,0.060832
12.7909,0.060832
12.8350,0.060832
12.8792,0.060832
12.9233,0.060832
12.9674,0.060832
13.0115,0.060832
13.0557,0.060832
13.0998,0.060832
13.1439,0.060832
13.1880,0.060832
13.2322,0.062967
13.2763,0.062967
13.3204,0.067236
13.3645,0.067236
13.4087,0.077908
13.4528,0.077908
13.4969,0.246531
13.5410,0.246531
13.5852,0.261473
13.6293,0.261473
13.6734,0.263607
13.7176,0.263607
13.7617,0.263607
13.8058,0.263607
13.8499,0.252935
13.8941,0.252935
13.9382,0.129136
13.9823,0.129136
14.0264,0.069370
14.0706,0.069370
14.1147,0.065101
14.1588,0.065101
14.2029,0.062967
14.2471,0.062967
14.2912,0.062967
14.3353,0.062967
14.3794,0.062967
14.4236,0.062967
14.4677,0.069370
14.5118,0.069370
14.5559,0.105656
14.6001,0.105656
14.6442,0.107791
14.6883,0.107791
14.7324,0.107791
14.7766,0.107791
14.8207,0.107791
14.8648,0.107791
14.9089,0.077908
14.9531,0.077908
14.9972,0.067236
15.0413,0.067236
15.0855,0.073639
15.1296,0.073639
15.1737,0.077908
15.2178,0.077908
15.2620,0.077908
15.3061,0.077908
15.3502,0.077908
15.3943,0.077908
15.4385,0.073639
15.4826,0.073639
15.5267,0.060832
15.5708,0.060832
15.6150,0.060832
15.6591,0.060832
15.7032,0.060832
15.7473,0.060832
15.7915,0.060832
15.8356,0.060832
15.8797,0.060832
15.9238,0.060832
15.9680,0.060832
16.0121,0.060832
16.0562,0.060832
16.1003,0.060832
16.1445,0.060832
16.1886,0.060832
16.2327,0.060832
16.2769,0.060832
16.3210,0.060832
16.3651,0.060832
16.4092,0.060832
16.4534,0.060832
16.4975,0.060832
16.5416,0.060832
16.5857,0.060832
16.6299,0.060832
16.6740,0.060832
16.7181,0.060832
16.7622,0.060832
16.8064,0.060832
16.8505,0.060832
16.8946,0.060832
16.9387,0.060832
16.9829,0.060832
17.0270,0.062967
17.0711,0.062967
17.1152,0.069370
17.1594,0.069370
