# source: /Users/mac/Documents/MOF/img/anie.202307646/anie.202307646_s5c.png
# doi: 10.1002/anie.202307646  figure: Figure S5C
# legend: (MEA)RbBiBr-cal  (match: colour)
# x: 2θ (°)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.2453,0.057325
5.2830,0.057325
5.3208,0.058235
5.3585,0.056415
5.3962,0.056415
5.4340,0.056415
5.4717,0.056415
5.5094,0.056415
5.5472,0.056415
5.5849,0.056415
5.6226,0.056415
5.6604,0.056415
5.6981,0.056415
5.7358,0.056415
5.7736,0.056415
5.8113,0.056415
5.8491,0.056415
5.8868,0.056415
5.9245,0.056415
5.9623,0.056415
6.0000,0.056415
6.0377,0.056415
6.0755,0.056415
6.1132,0.056415
6.1509,0.056415
6.1887,0.056415
6.2264,0.056415
6.2642,0.056415
6.3019,0.056415
6.3396,0.056415
6.3774,0.056415
6.4151,0.056415
6.4528,0.056415
6.4906,0.056415
6.5283,0.056415
6.5660,0.056415
6.6038,0.056415
6.6415,0.056415
6.6792,0.056415
6.7170,0.056415
6.7547,0.056415
6.7925,0.056415
6.8302,0.056415
6.8679,0.056415
6.9057,0.056415
6.9434,0.056415
6.9811,0.056415
7.0189,0.056415
7.0566,0.056415
7.0943,0.056415
7.1321,0.056415
7.1698,0.056415
7.2075,0.056415
7.2453,0.056415
7.2830,0.056415
7.3208,0.056415
7.3585,0.056415
7.3962,0.056415
7.4340,0.056415
7.4717,0.056415
7.5094,0.056415
7.5472,0.056415
7.5849,0.056415
7.6226,0.056415
7.6604,0.056415
7.6981,0.056415
7.7358,0.056415
7.7736,0.056415
7.8113,0.056415
7.8491,0.056415
7.8868,0.056415
7.9245,0.056415
7.9623,0.056415
8.0000,0.056415
8.0377,0.056415
8.0755,0.056415
8.1132,0.056415
8.1509,0.056415
8.1887,0.056415
8.2264,0.056415
8.2642,0.056415
8.3019,0.056415
8.3396,0.056415
8.3774,0.056415
8.4151,0.056415
8.4528,0.056415
8.4906,0.056415
8.5283,0.056415
8.5660,0.056415
8.6038,0.056415
8.6415,0.056415
8.6792,0.056415
8.7170,0.056415
8.7547,0.056415
8.7925,0.056415
8.8302,0.056415
8.8679,0.056415
8.9057,0.056415
8.9434,0.056415
8.9811,0.056415
9.0189,0.056415
9.0566,0.056415
9.0943,0.056415
9.1321,0.056415
9.1698,0.056415
9.2075,0.056415
9.2453,0.056415
9.2830,0.056415
9.3208,0.056415
9.3585,0.056415
9.3962,0.056415
9.4340,0.056415
9.4717,0.056415
9.5094,0.056415
9.5472,0.056415
9.5849,0.056415
9.6226,0.056415
9.6604,0.056415
9.6981,0.056415
9.7358,0.056415
9.7736,0.056415
9.8113,0.058235
9.8491,0.058235
9.8868,0.058235
9.9245,0.058235
9.9623,0.058235
10.0000,0.058235
10.0377,0.058235
10.0755,0.058235
10.1132,0.058235
10.1509,0.058235
10.1887,0.058235
10.2264,0.058235
10.2642,0.058235
10.3019,0.058235
10.3396,0.058235
10.3774,0.058235
10.4151,0.058235
10.4528,0.058235
10.4906,0.058235
10.5283,0.058235
10.5660,0.058235
10.6038,0.058235
10.6415,0.058235
10.6792,0.058235
10.7170,0.058235
10.7547,0.058235
10.7925,0.057325
10.8302,0.058235
10.8679,0.057325
10.9057,0.057325
10.9434,0.057325
10.9811,0.057325
11.0189,0.060055
11.0566,0.060055
11.0943,0.059145
11.1321,0.059145
11.1698,0.058235
11.2075,0.059145
11.2453,0.060965
11.2830,0.061874
11.3208,0.061874
11.3585,0.065514
11.3962,0.066424
11.4340,0.075523
11.4717,0.074613
11.5094,0.075523
11.5472,0.075523
11.5849,0.099181
11.6226,0.099181
11.6604,0.272066
11.6981,0.409463
11.7358,0.419472
11.7736,0.419472
11.8113,0.417652
11.8491,0.417652
11.8868,0.363057
11.9245,0.363057
11.9623,0.248408
12.0000,0.248408
12.0377,0.248408
12.0755,0.248408
12.1132,0.419472
12.1509,0.419472
12.1887,0.423112
12.2264,0.422202
12.2642,0.410373
12.3019,0.408553
12.3396,0.408553
12.3774,0.407643
12.4151,0.407643
12.4528,0.407643
12.4906,0.353958
12.5283,0.353958
12.5660,0.227480
12.6038,0.227480
12.6415,0.140127
12.6792,0.140127
12.7170,0.087352
12.7547,0.087352
12.7925,0.074613
