# source: /Users/mac/Documents/MOF/img/anie.202307646/anie.202307646_s6d.png
# doi: 10.1002/anie.202307646  figure: Figure S6D
# legend: 山  (match: colour+geometry)
# x: 2θ (°)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.2064,0.054945
5.2444,0.054945
5.2824,0.054945
5.3204,0.054945
5.3583,0.054945
5.3963,0.054945
5.4343,0.054945
5.4722,0.054945
5.5102,0.054945
5.5482,0.054945
5.5861,0.054945
5.6241,0.054945
5.6621,0.054945
5.7000,0.054945
5.7380,0.054945
5.7760,0.054945
5.8139,0.054945
5.8519,0.054945
5.8899,0.054945
5.9279,0.054945
5.9658,0.054945
6.0038,0.054945
6.0418,0.054945
6.0797,0.054945
6.1177,0.054945
6.1557,0.054945
6.1936,0.054945
6.2316,0.054945
6.2696,0.054945
6.3075,0.054945
6.3455,0.054945
6.3835,0.054945
6.4214,0.054945
6.4594,0.054945
6.4974,0.054945
6.5354,0.054945
6.5733,0.054945
6.6113,0.054945
6.6493,0.054945
6.6872,0.054945
6.7252,0.054945
6.7632,0.054945
6.8011,0.054945
6.8391,0.054945
6.8771,0.054945
6.9150,0.054945
6.9530,0.054945
6.9910,0.054945
7.0289,0.054945
7.0669,0.054945
7.1049,0.054945
7.1429,0.054945
7.1808,0.054945
7.2188,0.054945
7.2568,0.054945
7.2947,0.054945
7.3327,0.054945
7.3707,0.054945
7.4086,0.054945
7.4466,0.054945
7.4846,0.054945
7.5225,0.054945
7.5605,0.054945
7.5985,0.054945
7.6364,0.054945
7.6744,0.054945
7.7124,0.054945
7.7504,0.054945
7.7883,0.054945
7.8263,0.054945
7.8643,0.054945
7.9022,0.054945
7.9402,0.054945
7.9782,0.054945
8.0161,0.054945
8.0541,0.054945
8.0921,0.054945
8.1300,0.054945
8.1680,0.054945
8.2060,0.054945
8.2439,0.054945
8.2819,0.054945
8.3199,0.054945
8.3578,0.054945
8.3958,0.054945
8.4338,0.054945
8.4718,0.054945
8.5097,0.054945
8.5477,0.054945
8.5857,0.054945
8.6236,0.054945
8.6616,0.054945
8.6996,0.054945
8.7375,0.054945
8.7755,0.054945
8.8135,0.054945
8.8514,0.054945
8.8894,0.054945
8.9274,0.054945
8.9653,0.054945
9.0033,0.054945
9.0413,0.054945
9.0793,0.054945
9.1172,0.054945
9.1552,0.054945
9.1932,0.054945
9.2311,0.054945
9.2691,0.054945
9.3071,0.054945
9.3450,0.054945
9.3830,0.054945
9.4210,0.054945
9.4589,0.054945
9.4969,0.054945
9.5349,0.056777
9.5728,0.056777
9.6108,0.056777
9.6488,0.056777
9.6868,0.056777
9.7247,0.056777
9.7627,0.056777
9.8007,0.056777
9.8386,0.056777
9.8766,0.056777
9.9146,0.058608
9.9525,0.058608
9.9905,0.060440
10.0285,0.060440
10.0664,0.064103
10.1044,0.064103
10.1424,0.076923
10.1803,0.076923
10.2183,0.100733
10.2563,0.100733
10.2943,0.333333
10.3322,0.333333
10.3702,0.673993
10.4082,0.673993
10.4461,0.842491
10.4841,0.842491
10.5221,0.844322
10.5600,0.844322
10.5980,0.844322
10.6360,0.844322
10.6739,0.842491
10.7119,0.842491
10.7499,0.752747
10.7878,0.752747
10.8258,0.608059
10.8638,0.608059
10.9018,0.606227
10.9397,0.606227
10.9777,0.184982
11.0157,0.184982
11.0536,0.111722
11.0916,0.111722
11.1296,0.076923
11.1675,0.076923
11.2055,0.065934
11.2435,0.065934
11.2814,0.060440
11.3194,0.060440
11.3574,0.058608
11.3953,0.058608
11.4333,0.056777
11.4713,0.056777
11.5093,0.056777
11.5472,0.056777
11.5852,0.056777
11.6232,0.056777
11.6611,0.056777
11.6991,0.056777
11.7371,0.056777
