# source: /Users/mac/Documents/MOF/img/anie.202308034/anie.202308034_s17.png
# doi: 10.1002/anie.202308034  figure: Figure S17
# legend: Bragg positions  (match: colour)
# x: 2θ (Degree)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.3061,0.246241
5.3741,0.248120
5.4422,0.250000
5.5102,0.250000
5.5782,0.248120
5.6463,0.248120
5.7143,0.248120
5.7823,0.248120
5.8503,0.248120
5.9184,0.250000
5.9864,0.250000
6.0544,0.250000
6.1224,0.250000
6.1905,0.250000
6.2585,0.250000
6.3265,0.251880
6.3946,0.251880
6.4626,0.251880
6.5306,0.251880
6.5986,0.251880
6.6667,0.251880
6.7347,0.251880
6.8027,0.251880
6.8707,0.253759
6.9388,0.253759
7.0068,0.253759
7.0748,0.253759
7.1429,0.253759
7.2109,0.253759
7.2789,0.255639
7.3469,0.255639
7.4150,0.255639
7.4830,0.255639
7.5510,0.255639
7.6190,0.255639
7.6871,0.255639
7.7551,0.255639
7.8231,0.255639
7.8912,0.257519
7.9592,0.257519
8.0272,0.257519
8.0952,0.257519
8.1633,0.257519
8.2313,0.257519
8.2993,0.257519
8.3673,0.257519
8.4354,0.257519
8.5034,0.257519
8.5714,0.257519
8.6395,0.257519
8.7075,0.265977
8.7755,0.282895
8.8435,0.284774
8.9116,0.284774
8.9796,0.259398
9.0476,0.257519
9.1156,0.255639
9.1837,0.255639
9.2517,0.255639
9.3197,0.255639
9.3878,0.257519
9.4558,0.257519
9.5238,0.259398
9.5918,0.325188
9.6599,0.321429
9.7279,0.335526
9.7959,0.335526
9.8639,0.335526
9.9320,0.290414
10.0000,0.261278
10.0680,0.259398
10.1361,0.259398
10.2041,0.259398
10.2721,0.259398
10.3401,0.259398
10.4082,0.259398
10.4762,0.259398
10.5442,0.259398
10.6122,0.259398
10.6803,0.259398
10.7483,0.261278
10.8163,0.261278
10.8844,0.259398
10.9524,0.259398
11.0204,0.257519
11.0884,0.257519
11.1565,0.257519
11.2245,0.257519
11.2925,0.257519
11.3605,0.257519
11.4286,0.257519
11.4966,0.259398
11.5646,0.259398
11.6327,0.259398
11.7007,0.257519
11.7687,0.257519
11.8367,0.257519
11.9048,0.257519
11.9728,0.257519
12.0408,0.257519
12.1088,0.257519
12.1769,0.257519
12.2449,0.257519
12.3129,0.257519
12.3810,0.257519
12.4490,0.257519
12.5170,0.257519
12.5850,0.255639
12.6531,0.255639
12.7211,0.255639
12.7891,0.255639
12.8571,0.255639
12.9252,0.255639
12.9932,0.255639
13.0612,0.253759
13.1293,0.253759
13.1973,0.253759
13.2653,0.253759
13.3333,0.253759
13.4014,0.251880
13.4694,0.251880
13.5374,0.251880
13.6054,0.251880
13.6735,0.250000
13.7415,0.250000
13.8095,0.250000
13.8776,0.250000
13.9456,0.250000
14.0136,0.248120
14.0816,0.248120
14.1497,0.250000
14.2177,0.250000
14.2857,0.250000
14.3537,0.250000
14.4218,0.250000
14.4898,0.250000
14.5578,0.261278
14.6259,0.289474
14.6939,0.362782
14.7619,0.558271
14.8299,0.791353
14.8980,0.787594
14.9660,0.831767
15.0340,0.831767
15.1020,0.677632
15.1701,0.307331
15.2381,0.255639
15.3061,0.262218
15.3741,0.262218
15.4422,0.260338
15.5102,0.256579
15.5782,0.250940
15.6463,0.250940
15.7143,0.252820
15.7823,0.254699
15.8503,0.256579
15.9184,0.258459
15.9864,0.258459
16.0544,0.260338
16.1224,0.260338
16.1905,0.258459
16.2585,0.260338
16.3265,0.260338
16.3946,0.260338
16.4626,0.260338
16.5306,0.264098
16.5986,0.267857
16.6667,0.269737
16.7347,0.269737
16.8027,0.269737
16.8707,0.271617
16.9388,0.271617
17.0068,0.271617
17.0748,0.273496
17.1429,0.275376
17.2109,0.277256
17.2789,0.279135
17.3469,0.281015
17.4150,0.281015
17.4830,0.281015
17.5510,0.281015
17.6190,0.279135
17.6871,0.279135
17.7551,0.277256
17.8231,0.275376
17.8912,0.271617
17.9592,0.282895
18.0272,0.299812
18.0952,0.322368
18.1633,0.324248
18.2313,0.326128
18.2993,0.328008
18.3673,0.328008
18.4354,0.328008
18.5034,0.328008
18.5714,0.328008
18.6395,0.328008
18.7075,0.326128
18.7755,0.264098
18.8435,0.262218
18.9116,0.260338
18.9796,0.260338
19.0476,0.262218
19.1156,0.262218
19.1837,0.264098
19.2517,0.264098
19.3197,0.264098
19.3878,0.264098
19.4558,0.264098
19.5238,0.264098
19.5918,0.262218
19.6599,0.262218
19.7279,0.258459
19.7959,0.252820
19.8639,0.249060
19.9320,0.249060
20.0000,0.247180
20.0680,0.247180
20.1361,0.245301
20.2041,0.243421
20.2721,0.243421
20.3401,0.243421
20.4082,0.245301
20.4762,0.245301
20.5442,0.245301
20.6122,0.245301
20.6803,0.245301
20.7483,0.245301
20.8163,0.243421
20.8844,0.250940
20.9524,0.271617
21.0204,0.294173
21.0884,0.297932
21.1565,0.299812
21.2245,0.301692
21.2925,0.301692
21.3605,0.301692
21.4286,0.301692
21.4966,0.301692
21.5646,0.301692
21.6327,0.299812
21.7007,0.297932
21.7687,0.296053
21.8367,0.273496
21.9048,0.250940
21.9728,0.260338
22.0408,0.279135
22.1088,0.307331
22.1769,0.333647
22.2449,0.335526
22.3129,0.335526
22.3810,0.335526
22.4490,0.337406
22.5170,0.337406
22.5850,0.335526
22.6531,0.335526
22.7211,0.333647
22.7891,0.333647
22.8571,0.329887
22.9252,0.260338
22.9932,0.258459
23.0612,0.250940
23.1293,0.252820
23.1973,0.254699
23.2653,0.254699
23.3333,0.254699
23.4014,0.254699
23.4694,0.254699
23.5374,0.254699
23.6054,0.254699
23.6735,0.256579
23.7415,0.256579
23.8095,0.256579
23.8776,0.256579
23.9456,0.256579
24.0136,0.258459
24.0816,0.258459
24.1497,0.258459
24.2177,0.258459
24.2857,0.277256
24.3537,0.279135
24.4218,0.279135
24.4898,0.281015
24.5578,0.344925
24.6259,0.429511
24.6939,0.429511
24.7619,0.429511
24.8299,0.429511
24.8980,0.279135
24.9660,0.277256
25.0340,0.275376
25.1020,0.275376
25.1701,0.271617
25.2381,0.269737
25.3061,0.250940
25.3741,0.247180
25.4422,0.245301
25.5102,0.245301
25.5782,0.247180
25.6463,0.249060
25.7143,0.249060
25.7823,0.249060
25.8503,0.250940
25.9184,0.252820
25.9864,0.254699
26.0544,0.254699
26.1224,0.256579
26.1905,0.256579
26.2585,0.256579
26.3265,0.256579
26.3946,0.264098
26.4626,0.265977
26.5306,0.271617
26.5986,0.275376
26.6667,0.277256
26.7347,0.277256
26.8027,0.279135
26.8707,0.279135
26.9388,0.279135
27.0068,0.279135
27.0748,0.279135
27.1429,0.279135
27.2109,0.279135
