# source: /Users/mac/Documents/MOF/img/anie.202308034/anie.202308034_s17.png
# doi: 10.1002/anie.202308034  figure: Figure S17
# legend:   (match: )
# x: 2θ (Degree)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.3061,0.073308
5.3741,0.073308
5.4422,0.073308
5.5102,0.077068
5.5782,0.078947
5.6463,0.078947
5.7143,0.077068
5.7823,0.075188
5.8503,0.075188
5.9184,0.077068
5.9864,0.075188
6.0544,0.077068
6.1224,0.077068
6.1905,0.077068
6.2585,0.075188
6.3265,0.075188
6.3946,0.075188
6.4626,0.075188
6.5306,0.075188
6.5986,0.075188
6.6667,0.075188
6.7347,0.075188
6.8027,0.077068
6.8707,0.077068
6.9388,0.075188
7.0068,0.075188
7.0748,0.075188
7.1429,0.075188
7.2109,0.075188
7.2789,0.075188
7.3469,0.077068
7.4150,0.075188
7.4830,0.077068
7.5510,0.075188
7.6190,0.075188
7.6871,0.075188
7.7551,0.075188
7.8231,0.073308
7.8912,0.073308
7.9592,0.073308
8.0272,0.073308
8.0952,0.073308
8.1633,0.075188
8.2313,0.075188
8.2993,0.075188
8.3673,0.077068
8.4354,0.080827
8.5034,0.088346
8.5714,0.088346
8.6395,0.088346
8.7075,0.086466
8.7755,0.075188
8.8435,0.075188
8.9116,0.077068
8.9796,0.077068
9.0476,0.077068
9.1156,0.075188
9.1837,0.077068
9.2517,0.078947
9.3197,0.078947
9.3878,0.080827
9.4558,0.077068
9.5238,0.075188
9.5918,0.073308
9.6599,0.075188
9.7279,0.099624
9.7959,0.101504
9.8639,0.101504
9.9320,0.099624
10.0000,0.093985
10.0680,0.093985
10.1361,0.092105
10.2041,0.078947
10.2721,0.073308
10.3401,0.073308
10.4082,0.073308
10.4762,0.073308
10.5442,0.073308
10.6122,0.075188
10.6803,0.077068
10.7483,0.078947
10.8163,0.078947
10.8844,0.078947
10.9524,0.077068
11.0204,0.075188
11.0884,0.075188
11.1565,0.075188
11.2245,0.077068
11.2925,0.075188
11.3605,0.077068
11.4286,0.077068
11.4966,0.077068
11.5646,0.078947
11.6327,0.077068
11.7007,0.075188
11.7687,0.075188
11.8367,0.075188
11.9048,0.075188
11.9728,0.075188
12.0408,0.075188
12.1088,0.077068
12.1769,0.075188
12.2449,0.077068
12.3129,0.078947
12.3810,0.078947
12.4490,0.078947
12.5170,0.077068
12.5850,0.078947
12.6531,0.077068
12.7211,0.075188
12.7891,0.075188
12.8571,0.073308
12.9252,0.075188
12.9932,0.073308
13.0612,0.075188
13.1293,0.075188
13.1973,0.075188
13.2653,0.073308
13.3333,0.075188
13.4014,0.075188
13.4694,0.075188
13.5374,0.075188
13.6054,0.075188
13.6735,0.077068
13.7415,0.075188
13.8095,0.075188
13.8776,0.075188
13.9456,0.075188
14.0136,0.075188
14.0816,0.077068
14.1497,0.077068
14.2177,0.075188
14.2857,0.075188
14.3537,0.075188
14.4218,0.077068
14.4898,0.077068
14.5578,0.078947
14.6259,0.078947
14.6939,0.077068
14.7619,0.086466
14.8299,0.090226
14.8980,0.137218
14.9660,0.144737
15.0340,0.142857
15.1020,0.142857
15.1701,0.109023
15.2381,0.075188
15.3061,0.075188
15.3741,0.077068
15.4422,0.075188
15.5102,0.075188
15.5782,0.075188
15.6463,0.075188
15.7143,0.077068
15.7823,0.078947
15.8503,0.077068
15.9184,0.077068
15.9864,0.075188
16.0544,0.077068
16.1224,0.078947
16.1905,0.077068
16.2585,0.077068
16.3265,0.082707
16.3946,0.082707
16.4626,0.080827
16.5306,0.077068
16.5986,0.075188
16.6667,0.075188
16.7347,0.077068
16.8027,0.077068
16.8707,0.077068
16.9388,0.078947
17.0068,0.078947
17.0748,0.077068
17.1429,0.075188
17.2109,0.077068
17.2789,0.082707
17.3469,0.082707
17.4150,0.082707
17.4830,0.082707
17.5510,0.082707
17.6190,0.080827
17.6871,0.073308
17.7551,0.073308
17.8231,0.075188
17.8912,0.075188
17.9592,0.075188
18.0272,0.075188
18.0952,0.075188
18.1633,0.075188
18.2313,0.077068
18.2993,0.078947
18.3673,0.090226
18.4354,0.090226
18.5034,0.090226
18.5714,0.088346
18.6395,0.078947
18.7075,0.080827
18.7755,0.078947
18.8435,0.078947
18.9116,0.077068
18.9796,0.075188
19.0476,0.077068
19.1156,0.077068
19.1837,0.075188
19.2517,0.078947
19.3197,0.078947
19.3878,0.078947
19.4558,0.077068
19.5238,0.075188
19.5918,0.077068
19.6599,0.075188
19.7279,0.077068
19.7959,0.078947
19.8639,0.078947
19.9320,0.077068
20.0000,0.075188
20.0680,0.075188
20.1361,0.075188
20.2041,0.075188
20.2721,0.075188
20.3401,0.075188
20.4082,0.075188
20.4762,0.075188
20.5442,0.075188
20.6122,0.077068
20.6803,0.077068
20.7483,0.075188
20.8163,0.075188
20.8844,0.075188
20.9524,0.075188
21.0204,0.075188
21.0884,0.075188
21.1565,0.077068
21.2245,0.077068
21.2925,0.080827
21.3605,0.082707
21.4286,0.082707
21.4966,0.082707
21.5646,0.078947
21.6327,0.078947
21.7007,0.075188
21.7687,0.075188
21.8367,0.075188
21.9048,0.075188
21.9728,0.075188
22.0408,0.075188
22.1088,0.077068
22.1769,0.077068
22.2449,0.075188
22.3129,0.077068
22.3810,0.086466
22.4490,0.088346
22.5170,0.088346
22.5850,0.077068
22.6531,0.075188
22.7211,0.075188
22.7891,0.075188
22.8571,0.075188
22.9252,0.075188
22.9932,0.073308
23.0612,0.075188
23.1293,0.075188
23.1973,0.075188
23.2653,0.077068
23.3333,0.078947
23.4014,0.078947
23.4694,0.078947
23.5374,0.077068
23.6054,0.077068
23.6735,0.077068
23.7415,0.077068
23.8095,0.078947
23.8776,0.080827
23.9456,0.080827
24.0136,0.078947
24.0816,0.077068
24.1497,0.080827
24.2177,0.078947
24.2857,0.078947
24.3537,0.077068
24.4218,0.075188
24.4898,0.077068
24.5578,0.078947
24.6259,0.086466
24.6939,0.088346
24.7619,0.088346
24.8299,0.086466
24.8980,0.077068
24.9660,0.077068
25.0340,0.075188
25.1020,0.075188
25.1701,0.075188
25.2381,0.075188
25.3061,0.075188
25.3741,0.075188
25.4422,0.075188
25.5102,0.075188
25.5782,0.075188
25.6463,0.075188
25.7143,0.077068
25.7823,0.078947
25.8503,0.078947
25.9184,0.077068
25.9864,0.075188
26.0544,0.075188
26.1224,0.077068
26.1905,0.077068
26.2585,0.078947
26.3265,0.080827
26.3946,0.078947
26.4626,0.075188
26.5306,0.073308
26.5986,0.073308
26.6667,0.084586
26.7347,0.086466
26.8027,0.086466
26.8707,0.086466
26.9388,0.084586
27.0068,0.078947
27.0748,0.080827
27.1429,0.078947
27.2109,0.075188
27.2789,0.075188
27.3469,0.075188
27.4150,0.075188
27.4830,0.075188
27.5510,0.075188
27.6190,0.075188
27.6871,0.077068
27.7551,0.075188
27.8231,0.077068
27.8912,0.077068
27.9592,0.075188
28.0272,0.075188
28.0952,0.075188
28.1633,0.075188
28.2313,0.075188
28.2993,0.075188
28.3673,0.075188
28.4354,0.077068
