# source: /Users/mac/Documents/MOF/img/anie.202308034/anie.202308034_s24.png
# doi: 10.1002/anie.202308034  figure: Figure S24
# legend: 220 °℃  (match: geometry)
# x: 2θ (Degree)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.2027,0.818773
5.2703,0.818773
5.3378,0.817844
5.4054,0.819703
5.4730,0.821561
5.5405,0.814126
5.6081,0.818773
5.6757,0.819703
5.7432,0.830855
5.8108,0.830855
5.8784,0.832714
5.9459,0.825279
6.0135,0.827138
6.0811,0.820632
6.1486,0.818773
6.2162,0.816914
6.2838,0.815985
6.3514,0.815985
6.4189,0.815985
6.4865,0.816914
6.5541,0.816914
6.6216,0.818773
6.6892,0.821561
6.7568,0.821561
6.8243,0.821561
6.8919,0.822491
6.9595,0.822491
7.0270,0.822491
7.0946,0.820632
7.1622,0.820632
7.2297,0.818773
7.2973,0.818773
7.3649,0.818773
7.4324,0.823420
7.5000,0.827138
7.5676,0.818773
7.6351,0.814126
7.7027,0.825279
7.7703,0.819703
7.8378,0.819703
7.9054,0.819703
7.9730,0.818773
8.0405,0.818773
8.1081,0.819703
8.1757,0.821561
8.2432,0.817844
8.3108,0.817844
8.3784,0.818773
8.4459,0.818773
8.5135,0.820632
8.5811,0.820632
8.6486,0.823420
8.7162,0.827138
8.7838,0.829926
8.8514,0.838290
8.9189,0.838290
8.9865,0.840149
9.0541,0.828067
9.1216,0.838290
9.1892,0.817844
9.2568,0.816914
9.3243,0.815985
9.3919,0.817844
9.4595,0.818773
9.5270,0.882900
9.5946,0.831784
9.6622,0.901487
9.7297,0.901487
9.7973,0.901487
9.8649,0.831784
9.9324,0.894052
10.0000,0.822491
10.0676,0.821561
10.1351,0.817844
10.2027,0.832714
10.2703,0.834572
10.3378,0.836431
10.4054,0.828996
10.4730,0.834572
10.5405,0.822491
10.6081,0.843866
10.6757,0.831784
10.7432,0.866171
10.8108,0.869888
10.8784,0.873606
10.9459,0.874535
11.0135,0.912639
11.0811,0.916357
11.1486,0.916357
11.2162,0.873606
11.2838,0.914498
11.3514,0.838290
11.4189,0.842007
11.4865,0.824349
11.5541,0.875465
11.6216,0.892193
11.6892,0.892193
11.7568,0.838290
11.8243,0.823420
11.8919,0.825279
11.9595,0.881041
12.0270,0.821561
12.0946,0.819703
12.1622,0.818773
12.2297,0.816914
12.2973,0.817844
12.3649,0.817844
12.4324,0.819703
12.5000,0.817844
12.5676,0.816914
12.6351,0.816914
12.7027,0.816914
12.7703,0.816914
12.8378,0.816914
12.9054,0.815056
12.9730,0.815985
13.0405,0.815985
13.1081,0.816914
13.1757,0.815985
13.2432,0.815985
13.3108,0.815056
13.3784,0.815056
13.4459,0.815985
13.5135,0.816914
13.5811,0.817844
13.6486,0.816914
13.7162,0.816914
13.7838,0.816914
13.8514,0.816914
13.9189,0.825279
13.9865,0.827138
