# source: /Users/mac/Documents/MOF/img/anie.202308034/anie.202308034_s24.png
# doi: 10.1002/anie.202308034  figure: Figure S24
# legend: 1. .  (match: colour+geometry)
# x: 2θ (Degree)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.2027,0.158922
5.2703,0.158922
5.3378,0.159851
5.4054,0.161710
5.4730,0.160781
5.5405,0.161710
5.6081,0.162639
5.6757,0.162639
5.7432,0.163569
5.8108,0.158922
5.8784,0.157993
5.9459,0.157993
6.0135,0.157993
6.0811,0.161710
6.1486,0.163569
6.2162,0.165428
6.2838,0.165428
6.3514,0.166357
6.4189,0.164498
6.4865,0.164498
6.5541,0.164498
6.6216,0.165428
6.6892,0.165428
6.7568,0.166357
6.8243,0.166357
6.8919,0.171004
6.9595,0.166357
7.0270,0.166357
7.0946,0.157993
7.1622,0.164498
7.2297,0.162639
7.2973,0.164498
7.3649,0.166357
7.4324,0.165428
7.5000,0.165428
7.5676,0.164498
7.6351,0.163569
7.7027,0.162639
7.7703,0.161710
7.8378,0.161710
7.9054,0.163569
7.9730,0.163569
8.0405,0.163569
8.1081,0.163569
8.1757,0.162639
8.2432,0.163569
8.3108,0.165428
8.3784,0.170074
8.4459,0.167286
8.5135,0.168216
8.5811,0.166357
8.6486,0.169145
8.7162,0.183086
8.7838,0.184944
8.8514,0.171004
8.9189,0.184944
8.9865,0.184944
9.0541,0.183086
9.1216,0.166357
9.1892,0.166357
9.2568,0.166357
9.3243,0.166357
9.3919,0.166357
9.4595,0.164498
9.5270,0.161710
9.5946,0.160781
9.6622,0.170074
9.7297,0.170074
9.7973,0.170074
9.8649,0.172862
9.9324,0.216543
10.0000,0.276022
10.0676,0.296468
10.1351,0.298327
10.2027,0.298327
10.2703,0.296468
10.3378,0.266729
10.4054,0.212825
10.4730,0.172862
10.5405,0.173792
10.6081,0.165428
10.6757,0.164498
10.7432,0.162639
10.8108,0.162639
10.8784,0.162639
10.9459,0.163569
11.0135,0.166357
11.0811,0.163569
11.1486,0.163569
11.2162,0.162639
11.2838,0.165428
11.3514,0.199814
11.4189,0.201673
11.4865,0.174721
11.5541,0.163569
11.6216,0.201673
11.6892,0.201673
11.7568,0.203532
11.8243,0.203532
11.8919,0.203532
11.9595,0.176580
12.0270,0.167286
12.0946,0.169145
12.1622,0.168216
12.2297,0.167286
12.2973,0.168216
12.3649,0.164498
12.4324,0.165428
12.5000,0.170074
12.5676,0.160781
12.6351,0.167286
12.7027,0.166357
12.7703,0.166357
12.8378,0.167286
12.9054,0.166357
12.9730,0.166357
13.0405,0.165428
13.1081,0.164498
13.1757,0.165428
13.2432,0.166357
13.3108,0.170074
13.3784,0.170074
13.4459,0.165428
13.5135,0.163569
13.5811,0.162639
13.6486,0.175651
13.7162,0.179368
13.7838,0.179368
13.8514,0.179368
13.9189,0.179368
13.9865,0.175651
14.0541,0.162639
14.1216,0.162639
14.1892,0.184944
14.2568,0.225836
14.3243,0.303903
14.3919,0.305762
14.4595,0.305762
14.5270,0.305762
14.5946,0.305762
14.6622,0.303903
14.7297,0.171933
14.7973,0.162639
14.8649,0.160781
14.9324,0.160781
15.0000,0.168216
15.0676,0.168216
15.1351,0.168216
15.2027,0.163569
15.2703,0.160781
15.3378,0.160781
15.4054,0.161710
15.4730,0.161710
15.5405,0.162639
15.6081,0.166357
15.6757,0.167286
15.7432,0.167286
15.8108,0.166357
15.8784,0.163569
15.9459,0.161710
16.0135,0.161710
16.0811,0.161710
16.1486,0.162639
16.2162,0.163569
16.2838,0.161710
16.3514,0.161710
16.4189,0.164498
16.4865,0.161710
16.5541,0.161710
16.6216,0.161710
16.6892,0.161710
16.7568,0.170074
16.8243,0.171933
16.8919,0.173792
16.9595,0.175651
17.0270,0.175651
17.0946,0.173792
17.1622,0.157993
17.2297,0.167286
17.2973,0.164498
17.3649,0.163569
17.4324,0.164498
17.5000,0.164498
17.5676,0.164498
17.6351,0.163569
17.7027,0.172862
17.7703,0.173792
17.8378,0.175651
17.9054,0.166357
17.9730,0.175651
18.0405,0.166357
18.1081,0.183086
18.1757,0.172862
18.2432,0.311338
18.3108,0.313197
18.3784,0.324349
18.4459,0.324349
18.5135,0.174721
18.5811,0.307621
18.6486,0.172862
18.7162,0.168216
18.7838,0.164498
18.8514,0.164498
18.9189,0.162639
18.9865,0.165428
19.0541,0.170074
19.1216,0.170074
19.1892,0.171933
19.2568,0.171933
19.3243,0.161710
19.3919,0.163569
19.4595,0.163569
19.5270,0.163569
19.5946,0.163569
19.6622,0.166357
19.7297,0.168216
19.7973,0.168216
19.8649,0.164498
19.9324,0.164498
20.0000,0.163569
20.0676,0.165428
20.1351,0.170074
20.2027,0.168216
20.2703,0.166357
20.3378,0.164498
20.4054,0.160781
20.4730,0.209108
20.5405,0.220260
20.6081,0.176580
20.6757,0.223978
20.7432,0.223978
20.8108,0.222119
20.8784,0.212825
20.9459,0.173792
21.0135,0.175651
21.0811,0.178439
21.1486,0.227695
21.2162,0.231413
21.2838,0.233271
21.3514,0.231413
21.4189,0.180297
21.4865,0.178439
21.5541,0.184944
21.6216,0.167286
21.6892,0.161710
21.7568,0.164498
21.8243,0.164498
21.8919,0.163569
21.9595,0.164498
22.0270,0.164498
22.0946,0.165428
22.1622,0.169145
22.2297,0.188662
22.2973,0.192379
22.3649,0.194238
22.4324,0.196097
22.5000,0.194238
22.5676,0.194238
22.6351,0.212825
22.7027,0.242565
22.7703,0.253717
22.8378,0.255576
22.9054,0.270446
22.9730,0.283457
23.0405,0.285316
23.1081,0.285316
23.1757,0.283457
23.2432,0.274164
23.3108,0.214684
23.3784,0.170074
23.4459,0.162639
23.5135,0.173792
23.5811,0.177509
23.6486,0.179368
23.7162,0.179368
23.7838,0.170074
23.8514,0.177509
23.9189,0.170074
23.9865,0.161710
24.0541,0.160781
24.1216,0.161710
24.1892,0.163569
24.2568,0.164498
24.3243,0.164498
24.3919,0.163569
24.4595,0.161710
24.5270,0.158922
24.5946,0.159851
24.6622,0.160781
24.7297,0.162639
24.7973,0.170074
24.8649,0.170074
24.9324,0.163569
25.0000,0.173792
25.0676,0.156134
25.1351,0.170074
25.2027,0.170074
25.2703,0.170074
25.3378,0.167286
25.4054,0.167286
25.4730,0.166357
25.5405,0.207249
25.6081,0.236989
25.6757,0.261152
25.7432,0.263011
25.8108,0.264870
25.8784,0.173792
25.9459,0.257435
26.0135,0.197955
26.0811,0.163569
26.1486,0.161710
26.2162,0.161710
26.2838,0.161710
26.3514,0.163569
26.4189,0.170074
26.4865,0.163569
26.5541,0.171933
26.6216,0.168216
26.6892,0.167286
26.7568,0.167286
26.8243,0.171933
26.8919,0.163569
26.9595,0.175651
27.0270,0.177509
27.0946,0.174721
27.1622,0.176580
27.2297,0.170074
27.2973,0.162639
27.3649,0.171933
27.4324,0.177509
27.5000,0.174721
27.5676,0.181227
27.6351,0.181227
27.7027,0.176580
27.7703,0.177509
27.8378,0.171933
27.9054,0.161710
27.9730,0.165428
28.0405,0.167286
28.1081,0.166357
28.1757,0.165428
28.2432,0.163569
28.3108,0.163569
28.3784,0.165428
28.4459,0.164498
28.5135,0.162639
28.5811,0.163569
28.6486,0.164498
28.7162,0.164498
28.7838,0.164498
28.8514,0.167286
28.9189,0.163569
28.9865,0.223978
29.0541,0.242565
29.1216,0.242565
29.1892,0.242565
29.2568,0.172862
29.3243,0.238848
29.3919,0.171004
29.4595,0.166357
29.5270,0.164498
29.5946,0.163569
29.6622,0.161710
29.7297,0.162639
29.7973,0.162639
29.8649,0.163569
29.9324,0.162639
30.0000,0.162639
30.0676,0.162639
30.1351,0.162639
30.2027,0.164498
30.2703,0.163569
30.3378,0.171933
30.4054,0.173792
30.4730,0.171004
30.5405,0.172862
30.6081,0.168216
30.6757,0.168216
30.7432,0.169145
30.8108,0.171933
30.8784,0.170074
30.9459,0.165428
31.0135,0.170074
31.0811,0.173792
31.1486,0.171933
31.2162,0.172862
31.2838,0.171933
31.3514,0.171004
31.4189,0.170074
31.4865,0.172862
31.5541,0.174721
31.6216,0.175651
31.6892,0.173792
31.7568,0.171004
31.8243,0.170074
31.8919,0.165428
31.9595,0.162639
32.0270,0.161710
32.0946,0.161710
32.1622,0.161710
32.2297,0.161710
32.2973,0.177509
32.3649,0.179368
32.4324,0.181227
32.5000,0.172862
32.5676,0.181227
32.6351,0.181227
32.7027,0.177509
32.7703,0.167286
32.8378,0.166357
32.9054,0.165428
32.9730,0.171004
33.0405,0.170074
33.1081,0.164498
33.1757,0.163569
33.2432,0.163569
33.3108,0.163569
33.3784,0.163569
33.4459,0.163569
33.5135,0.163569
33.5811,0.163569
33.6486,0.164498
33.7162,0.162639
33.7838,0.161710
33.8514,0.162639
33.9189,0.164498
33.9865,0.165428
34.0541,0.166357
34.1216,0.167286
34.1892,0.166357
34.2568,0.163569
34.3243,0.162639
34.3919,0.161710
34.4595,0.161710
34.5270,0.162639
34.5946,0.162639
34.6622,0.164498
34.7297,0.164498
34.7973,0.164498
34.8649,0.164498
34.9324,0.164498
35.0000,0.168216
35.0676,0.167286
35.1351,0.167286
35.2027,0.165428
35.2703,0.165428
35.3378,0.164498
35.4054,0.163569
35.4730,0.163569
35.5405,0.164498
35.6081,0.166357
35.6757,0.164498
35.7432,0.164498
35.8108,0.154275
35.8784,0.163569
35.9459,0.163569
36.0135,0.166357
36.0811,0.166357
36.1486,0.161710
36.2162,0.160781
36.2838,0.160781
36.3514,0.159851
36.4189,0.159851
36.4865,0.160781
36.5541,0.161710
36.6216,0.161710
36.6892,0.162639
36.7568,0.163569
36.8243,0.163569
36.8919,0.161710
36.9595,0.160781
37.0270,0.160781
37.0946,0.166357
37.1622,0.169145
37.2297,0.173792
37.2973,0.175651
37.3649,0.181227
37.4324,0.181227
37.5000,0.181227
37.5676,0.179368
37.6351,0.169145
37.7027,0.161710
