# source: /Users/mac/Documents/MOF/img/anie.202308034/anie.202308034_s40b.png
# doi: 10.1002/anie.202308034  figure: Figure S40B
# legend: 二  (match: colour)
# x: 2θ (Degree)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.1515,0.527315
5.1852,0.527315
5.2189,0.527315
5.2525,0.527315
5.2862,0.525463
5.3199,0.525463
5.3535,0.527315
5.3872,0.527315
5.4209,0.527315
5.4545,0.527315
5.4882,0.531019
5.5219,0.531019
5.5556,0.540278
5.5892,0.540278
5.6229,0.542130
5.6566,0.542130
5.6902,0.543981
5.7239,0.543981
5.7576,0.543981
5.7912,0.543981
5.8249,0.542130
5.8586,0.542130
5.8923,0.540278
5.9259,0.540278
5.9596,0.525463
5.9933,0.525463
6.0269,0.523611
6.0606,0.523611
6.0943,0.531019
6.1279,0.531019
6.1616,0.532870
6.1953,0.532870
6.2290,0.532870
6.2626,0.532870
6.2963,0.532870
6.3300,0.532870
6.3636,0.531019
6.3973,0.531019
6.4310,0.527315
6.4646,0.527315
6.4983,0.525463
6.5320,0.525463
6.5657,0.525463
6.5993,0.525463
6.6330,0.525463
6.6667,0.525463
6.7003,0.527315
6.7340,0.527315
6.7677,0.525463
6.8013,0.525463
6.8350,0.525463
6.8687,0.525463
6.9024,0.527315
6.9360,0.527315
6.9697,0.527315
7.0034,0.527315
7.0370,0.527315
7.0707,0.527315
7.1044,0.525463
7.1380,0.525463
7.1717,0.525463
7.2054,0.525463
7.2391,0.525463
7.2727,0.525463
7.3064,0.527315
7.3401,0.527315
7.3737,0.529167
7.4074,0.529167
7.4411,0.529167
7.4747,0.529167
7.5084,0.531019
7.5421,0.531019
7.5758,0.531019
7.6094,0.531019
7.6431,0.531019
7.6768,0.531019
7.7104,0.531019
7.7441,0.531019
7.7778,0.531019
7.8114,0.531019
7.8451,0.531019
7.8788,0.531019
7.9125,0.529167
7.9461,0.529167
7.9798,0.527315
8.0135,0.527315
8.0471,0.527315
8.0808,0.527315
8.1145,0.527315
8.1481,0.527315
8.1818,0.531019
8.2155,0.531019
8.2492,0.531019
8.2828,0.531019
8.3165,0.538426
8.3502,0.538426
8.3838,0.538426
8.4175,0.538426
8.4512,0.540278
8.4848,0.540278
8.5185,0.540278
8.5522,0.540278
8.5859,0.536574
8.6195,0.536574
8.6532,0.549537
8.6869,0.549537
8.7205,0.562500
8.7542,0.562500
8.7879,0.562500
8.8215,0.562500
8.8552,0.562500
8.8889,0.562500
8.9226,0.562500
8.9562,0.562500
8.9899,0.560648
9.0236,0.560648
9.0572,0.545833
9.0909,0.545833
9.1246,0.529167
9.1582,0.529167
9.1919,0.529167
9.2256,0.529167
9.2593,0.529167
9.2929,0.529167
9.3266,0.525463
9.3603,0.525463
9.3939,0.525463
9.4276,0.525463
9.4613,0.525463
9.4949,0.525463
9.5286,0.525463
9.5623,0.525463
9.5960,0.527315
9.6296,0.527315
9.6633,0.527315
9.6970,0.527315
9.7306,0.543981
9.7643,0.543981
9.7980,0.603241
9.8316,0.603241
9.8653,0.729167
9.8990,0.729167
9.9327,0.753241
9.9663,0.753241
10.0000,0.755093
10.0337,0.755093
10.0673,0.755093
10.1010,0.755093
10.1347,0.755093
10.1684,0.755093
10.2020,0.753241
10.2357,0.753241
10.2694,0.668056
10.3030,0.668056
10.3367,0.664352
10.3704,0.664352
10.4040,0.662500
10.4377,0.662500
10.4714,0.655093
10.5051,0.655093
10.5387,0.555093
10.5724,0.555093
10.6061,0.531019
10.6397,0.531019
10.6734,0.531019
10.7071,0.531019
10.7407,0.531019
10.7744,0.531019
10.8081,0.531019
10.8418,0.531019
10.8754,0.529167
10.9091,0.529167
10.9428,0.534722
10.9764,0.534722
11.0101,0.536574
11.0438,0.536574
11.0774,0.545833
11.1111,0.545833
11.1448,0.547685
11.1785,0.547685
11.2121,0.562500
11.2458,0.562500
11.2795,0.588426
11.3131,0.588426
11.3468,0.590278
11.3805,0.590278
11.4141,0.590278
11.4478,0.590278
11.4815,0.590278
11.5152,0.590278
11.5488,0.590278
11.5825,0.590278
11.6162,0.597685
11.6498,0.597685
11.6835,0.599537
11.7172,0.599537
11.7508,0.601389
11.7845,0.601389
11.8182,0.599537
11.8519,0.599537
11.8855,0.599537
11.9192,0.599537
11.9529,0.597685
11.9865,0.597685
12.0202,0.542130
12.0539,0.542130
12.0875,0.532870
12.1212,0.532870
12.1549,0.532870
12.1886,0.532870
12.2222,0.532870
12.2559,0.532870
12.2896,0.531019
12.3232,0.531019
12.3569,0.531019
12.3906,0.531019
12.4242,0.531019
12.4579,0.531019
12.4916,0.531019
12.5253,0.531019
12.5589,0.531019
12.5926,0.531019
12.6263,0.529167
12.6599,0.529167
12.6936,0.529167
12.7273,0.529167
12.7609,0.531019
12.7946,0.531019
12.8283,0.531019
12.8620,0.531019
12.8956,0.532870
12.9293,0.532870
12.9630,0.532870
12.9966,0.532870
13.0303,0.531019
13.0640,0.531019
13.0976,0.529167
13.1313,0.529167
13.1650,0.527315
13.1987,0.527315
13.2323,0.527315
13.2660,0.527315
13.2997,0.529167
13.3333,0.529167
13.3670,0.529167
13.4007,0.529167
13.4343,0.527315
13.4680,0.527315
13.5017,0.525463
13.5354,0.525463
13.5690,0.536574
13.6027,0.536574
13.6364,0.543981
13.6700,0.543981
13.7037,0.545833
13.7374,0.545833
13.7710,0.545833
13.8047,0.545833
13.8384,0.545833
13.8721,0.545833
13.9057,0.543981
13.9394,0.543981
13.9731,0.536574
14.0067,0.536574
14.0404,0.527315
14.0741,0.527315
14.1077,0.551389
14.1414,0.551389
14.1751,0.616204
14.2088,0.616204
14.2424,0.834722
14.2761,0.834722
14.3098,0.836574
14.3434,0.836574
14.3771,0.838426
14.4108,0.838426
14.4444,0.838426
14.4781,0.838426
14.5118,0.838426
14.5455,0.838426
14.5791,0.831019
14.6128,0.831019
14.6465,0.601389
14.6801,0.601389
14.7138,0.532870
14.7475,0.532870
14.7811,0.525463
14.8148,0.525463
14.8485,0.523611
14.8822,0.523611
14.9158,0.525463
14.9495,0.525463
14.9832,0.525463
15.0168,0.525463
15.0505,0.525463
15.0842,0.525463
15.1178,0.527315
15.1515,0.527315
15.1852,0.527315
15.2189,0.527315
15.2525,0.527315
15.2862,0.527315
15.3199,0.529167
15.3535,0.529167
15.3872,0.529167
15.4209,0.529167
15.4545,0.536574
15.4882,0.536574
15.5219,0.542130
15.5556,0.542130
15.5892,0.543981
15.6229,0.543981
15.6566,0.543981
15.6902,0.543981
15.7239,0.543981
15.7576,0.543981
15.7912,0.542130
15.8249,0.542130
15.8586,0.531019
15.8923,0.531019
15.9259,0.531019
15.9596,0.531019
15.9933,0.531019
16.0269,0.531019
16.0606,0.531019
16.0943,0.531019
16.1279,0.527315
16.1616,0.527315
16.1953,0.527315
16.2290,0.527315
16.2626,0.527315
16.2963,0.527315
16.3300,0.529167
16.3636,0.529167
16.3973,0.531019
16.4310,0.531019
16.4646,0.531019
16.4983,0.531019
16.5320,0.532870
16.5657,0.532870
16.5993,0.536574
16.6330,0.536574
16.6667,0.542130
16.7003,0.542130
16.7340,0.547685
16.7677,0.547685
16.8013,0.547685
16.8350,0.547685
16.8687,0.547685
16.9024,0.547685
16.9360,0.547685
16.9697,0.547685
17.0034,0.545833
17.0370,0.545833
17.0707,0.532870
17.1044,0.532870
17.1380,0.532870
17.1717,0.532870
17.2054,0.531019
17.2391,0.531019
17.2727,0.531019
17.3064,0.531019
17.3401,0.527315
17.3737,0.527315
17.4074,0.527315
17.4411,0.527315
17.4747,0.529167
17.5084,0.529167
17.5421,0.529167
17.5758,0.529167
17.6094,0.532870
17.6431,0.532870
17.6768,0.532870
17.7104,0.532870
17.7441,0.532870
17.7778,0.532870
17.8114,0.532870
17.8451,0.532870
17.8788,0.543981
17.9125,0.543981
17.9461,0.547685
17.9798,0.547685
18.0135,0.571759
18.0471,0.571759
18.0808,0.679167
18.1145,0.679167
18.1481,0.858796
18.1818,0.858796
