# source: /Users/mac/Documents/MOF/img/anie.202308034/anie.202308034_s40b.png
# doi: 10.1002/anie.202308034  figure: Figure S40B
# legend: Pristine MOF 2  (match: colour)
# x: 2θ (Degree)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
5.1515,0.104167
5.1852,0.104167
5.2189,0.102315
5.2525,0.102315
5.2862,0.100463
5.3199,0.100463
5.3535,0.100463
5.3872,0.100463
5.4209,0.100463
5.4545,0.100463
5.4882,0.100463
5.5219,0.100463
5.5556,0.106019
5.5892,0.106019
5.6229,0.122685
5.6566,0.122685
5.6902,0.126389
5.7239,0.126389
5.7576,0.126389
5.7912,0.126389
5.8249,0.126389
5.8586,0.126389
5.8923,0.126389
5.9259,0.126389
5.9596,0.120833
5.9933,0.120833
6.0269,0.098611
6.0606,0.098611
6.0943,0.096759
6.1279,0.096759
6.1616,0.098611
6.1953,0.098611
6.2290,0.098611
6.2626,0.098611
6.2963,0.096759
6.3300,0.096759
6.3636,0.096759
6.3973,0.096759
6.4310,0.098611
6.4646,0.098611
6.4983,0.098611
6.5320,0.098611
6.5657,0.098611
6.5993,0.098611
6.6330,0.100463
6.6667,0.100463
6.7003,0.100463
6.7340,0.100463
6.7677,0.102315
6.8013,0.102315
6.8350,0.102315
6.8687,0.102315
6.9024,0.100463
6.9360,0.100463
6.9697,0.102315
7.0034,0.102315
7.0370,0.102315
7.0707,0.102315
7.1044,0.102315
7.1380,0.102315
7.1717,0.100463
7.2054,0.100463
7.2391,0.100463
7.2727,0.100463
7.3064,0.102315
7.3401,0.102315
7.3737,0.102315
7.4074,0.102315
7.4411,0.102315
7.4747,0.102315
7.5084,0.102315
7.5421,0.102315
7.5758,0.104167
7.6094,0.104167
7.6431,0.104167
7.6768,0.104167
7.7104,0.102315
7.7441,0.102315
7.7778,0.102315
7.8114,0.102315
7.8451,0.102315
7.8788,0.102315
7.9125,0.102315
7.9461,0.102315
7.9798,0.102315
8.0135,0.102315
8.0471,0.104167
8.0808,0.104167
8.1145,0.106019
8.1481,0.106019
8.1818,0.106019
8.2155,0.106019
8.2492,0.104167
8.2828,0.104167
8.3165,0.102315
8.3502,0.102315
8.3838,0.102315
8.4175,0.102315
8.4512,0.102315
8.4848,0.102315
8.5185,0.102315
8.5522,0.102315
8.5859,0.102315
8.6195,0.102315
8.6532,0.109722
8.6869,0.109722
8.7205,0.144907
8.7542,0.144907
8.7879,0.146759
8.8215,0.146759
8.8552,0.146759
8.8889,0.146759
8.9226,0.146759
8.9562,0.146759
8.9899,0.146759
9.0236,0.146759
9.0572,0.144907
9.0909,0.144907
9.1246,0.104167
9.1582,0.104167
9.1919,0.102315
9.2256,0.102315
9.2593,0.102315
9.2929,0.102315
9.3266,0.102315
9.3603,0.102315
9.3939,0.100463
9.4276,0.100463
9.4613,0.100463
9.4949,0.100463
9.5286,0.098611
9.5623,0.098611
9.5960,0.100463
9.6296,0.100463
9.6633,0.100463
9.6970,0.100463
9.7306,0.106019
9.7643,0.106019
9.7980,0.120833
9.8316,0.120833
9.8653,0.204167
9.8990,0.204167
9.9327,0.337500
9.9663,0.337500
10.0000,0.346759
10.0337,0.346759
10.0673,0.348611
10.1010,0.348611
10.1347,0.348611
10.1684,0.348611
10.2020,0.346759
10.2357,0.346759
10.2694,0.344907
10.3030,0.344907
10.3367,0.257870
10.3704,0.257870
10.4040,0.217130
10.4377,0.217130
10.4714,0.215278
10.5051,0.215278
10.5387,0.196759
10.5724,0.196759
10.6061,0.102315
10.6397,0.102315
10.6734,0.102315
10.7071,0.102315
10.7407,0.102315
10.7744,0.102315
10.8081,0.102315
10.8418,0.102315
10.8754,0.102315
10.9091,0.102315
10.9428,0.102315
10.9764,0.102315
11.0101,0.104167
11.0438,0.104167
11.0774,0.104167
11.1111,0.104167
11.1448,0.104167
11.1785,0.104167
11.2121,0.118981
11.2458,0.118981
11.2795,0.161574
11.3131,0.161574
11.3468,0.189352
11.3805,0.189352
11.4141,0.191204
11.4478,0.191204
11.4815,0.191204
11.5152,0.191204
11.5488,0.191204
11.5825,0.191204
11.6162,0.189352
11.6498,0.189352
11.6835,0.176389
11.7172,0.176389
11.7508,0.178241
11.7845,0.178241
11.8182,0.178241
11.8519,0.178241
11.8855,0.178241
11.9192,0.178241
11.9529,0.178241
11.9865,0.178241
12.0202,0.172685
12.0539,0.172685
12.0875,0.104167
12.1212,0.104167
12.1549,0.102315
12.1886,0.102315
12.2222,0.102315
12.2559,0.102315
12.2896,0.106019
12.3232,0.106019
12.3569,0.107870
12.3906,0.107870
12.4242,0.107870
12.4579,0.107870
12.4916,0.107870
12.5253,0.107870
12.5589,0.107870
12.5926,0.107870
12.6263,0.104167
12.6599,0.104167
12.6936,0.102315
12.7273,0.102315
12.7609,0.096759
12.7946,0.096759
12.8283,0.096759
12.8620,0.096759
12.8956,0.098611
12.9293,0.098611
12.9630,0.098611
12.9966,0.098611
13.0303,0.096759
13.0640,0.096759
13.0976,0.096759
13.1313,0.096759
13.1650,0.096759
13.1987,0.096759
13.2323,0.096759
13.2660,0.096759
13.2997,0.096759
13.3333,0.096759
13.3670,0.096759
13.4007,0.096759
13.4343,0.096759
13.4680,0.096759
13.5017,0.096759
13.5354,0.096759
13.5690,0.100463
13.6027,0.100463
13.6364,0.111574
13.6700,0.111574
13.7037,0.124537
13.7374,0.124537
13.7710,0.126389
13.8047,0.126389
13.8384,0.128241
13.8721,0.128241
13.9057,0.126389
13.9394,0.126389
13.9731,0.126389
14.0067,0.126389
14.0404,0.120833
14.0741,0.120833
14.1077,0.104167
14.1414,0.104167
14.1751,0.117130
14.2088,0.117130
14.2424,0.381944
14.2761,0.381944
14.3098,0.493056
14.3434,0.493056
14.3771,0.494907
14.4108,0.494907
14.4444,0.496759
14.4781,0.496759
14.5118,0.496759
14.5455,0.496759
14.5791,0.494907
14.6128,0.494907
14.6465,0.448611
14.6801,0.448611
14.7138,0.180093
14.7475,0.180093
14.7811,0.115278
14.8148,0.115278
14.8485,0.100463
14.8822,0.100463
14.9158,0.096759
14.9495,0.096759
14.9832,0.098611
15.0168,0.098611
15.0505,0.098611
15.0842,0.098611
15.1178,0.098611
15.1515,0.098611
15.1852,0.098611
15.2189,0.098611
15.2525,0.098611
15.2862,0.098611
15.3199,0.098611
15.3535,0.098611
15.3872,0.100463
15.4209,0.100463
15.4545,0.100463
15.4882,0.100463
