# source: /Users/mac/Documents/MOF/img/anie.202308506/anie.202308506_f5i.png
# doi: 10.1002/anie.202308506  figure: Figure 5I
# legend: Simulated HIAM-4022  (match: colour+geometry)
# x: 2θ / degree   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
1.9677,0.014034
2.0061,0.014034
2.0446,0.014034
2.0830,0.117081
2.1214,0.117883
2.1598,0.118685
2.1982,0.141941
2.2366,0.142342
2.2750,0.141139
2.3134,0.114675
2.3518,0.115076
2.3902,0.115878
2.4286,0.098236
2.4670,0.098236
2.5054,0.098236
2.5438,0.107057
2.5823,0.107859
2.6207,0.107859
2.6591,0.014034
2.6975,0.014034
2.7359,0.014034
2.7743,0.014034
2.8127,0.014034
2.8511,0.014034
2.8895,0.014034
2.9279,0.014034
2.9663,0.014034
3.0047,0.014034
3.0431,0.014034
3.0816,0.014034
3.1200,0.014034
3.1584,0.014034
3.1968,0.014034
3.2352,0.014034
3.2736,0.014034
3.3120,0.014034
3.3504,0.014034
3.3888,0.014034
3.4272,0.014034
3.4656,0.014034
3.5040,0.014034
3.5424,0.014034
3.5808,0.014034
3.6193,0.014034
3.6577,0.014034
3.6961,0.014034
3.7345,0.014034
3.7729,0.014034
3.8113,0.014034
3.8497,0.014034
3.8881,0.014034
3.9265,0.014034
3.9649,0.014034
4.0033,0.014034
4.0417,0.014034
4.0801,0.014034
4.1186,0.014034
4.1570,0.014034
4.1954,0.014034
4.2338,0.014034
4.2722,0.028468
4.3106,0.028468
4.3490,0.028468
4.3874,0.030874
4.4258,0.030874
4.4642,0.030874
4.5026,0.030874
4.5410,0.030874
4.5794,0.030874
4.6178,0.023657
4.6563,0.023657
4.6947,0.023657
4.7331,0.014034
4.7715,0.014034
4.8099,0.014034
4.8483,0.033280
4.8867,0.033280
4.9251,0.033280
4.9635,0.033280
5.0019,0.033280
5.0403,0.033280
5.0787,0.033280
5.1171,0.033280
5.1555,0.033280
5.1940,0.021251
5.2324,0.021251
5.2708,0.021251
5.3092,0.014034
5.3476,0.014034
5.3860,0.014034
5.4244,0.014034
5.4628,0.014034
5.5012,0.014034
5.5396,0.014034
5.5780,0.014034
5.6164,0.014034
5.6548,0.014034
5.6933,0.014034
5.7317,0.014034
5.7701,0.014034
5.8085,0.014034
5.8469,0.014034
5.8853,0.014034
5.9237,0.014034
5.9621,0.014034
6.0005,0.014034
6.0389,0.014034
6.0773,0.014034
6.1157,0.014034
6.1541,0.014034
6.1925,0.014034
6.2310,0.016439
6.2694,0.016439
6.3078,0.016439
6.3462,0.014034
6.3846,0.014034
6.4230,0.014034
6.4614,0.014034
6.4998,0.014034
6.5382,0.014034
6.5766,0.033280
6.6150,0.033280
6.6534,0.033280
6.6918,0.033280
6.7303,0.033280
6.7687,0.033280
6.8071,0.033280
6.8455,0.033280
6.8839,0.033280
6.9223,0.014034
6.9607,0.014034
6.9991,0.014034
7.0375,0.014034
7.0759,0.014034
7.1143,0.014034
7.1527,0.014034
7.1911,0.014034
7.2295,0.014034
7.2680,0.014034
7.3064,0.014034
7.3448,0.014034
7.3832,0.018845
7.4216,0.018845
7.4600,0.018845
7.4984,0.018845
7.5368,0.018845
7.5752,0.018845
7.6136,0.016439
7.6520,0.016439
7.6904,0.016439
7.7288,0.014034
7.7673,0.014034
7.8057,0.014034
7.8441,0.016439
7.8825,0.016439
7.9209,0.016439
7.9593,0.016439
7.9977,0.016439
8.0361,0.016439
8.0745,0.016439
8.1129,0.016439
8.1513,0.016439
8.1897,0.014034
8.2281,0.014034
8.2665,0.014034
8.3050,0.014034
8.3434,0.014034
8.3818,0.014034
8.4202,0.014034
8.4586,0.014034
8.4970,0.014034
8.5354,0.014034
8.5738,0.014034
8.6122,0.014034
8.6506,0.014034
8.6890,0.014034
8.7274,0.014034
8.7658,0.014034
8.8043,0.014034
8.8427,0.014034
8.8811,0.014034
8.9195,0.014034
8.9579,0.014034
8.9963,0.016439
9.0347,0.016439
9.0731,0.016439
9.1115,0.016439
9.1499,0.016439
9.1883,0.016439
9.2267,0.014034
9.2651,0.014034
9.3035,0.014034
9.3420,0.014034
9.3804,0.014034
9.4188,0.014034
9.4572,0.014034
9.4956,0.014034
9.5340,0.014034
9.5724,0.014034
9.6108,0.014034
9.6492,0.014034
9.6876,0.016439
9.7260,0.016439
9.7644,0.016439
9.8028,0.016439
9.8412,0.016439
9.8797,0.016439
9.9181,0.016439
9.9565,0.016439
9.9949,0.016439
10.0333,0.016439
10.0717,0.016439
10.1101,0.016439
10.1485,0.016439
10.1869,0.016439
10.2253,0.016439
10.2637,0.014034
10.3021,0.014034
10.3405,0.014034
10.3790,0.016439
10.4174,0.016439
10.4558,0.016439
10.4942,0.014034
10.5326,0.014034
10.5710,0.014034
10.6094,0.014034
10.6478,0.014034
10.6862,0.014034
10.7246,0.014034
10.7630,0.014034
10.8014,0.014034
10.8398,0.014034
10.8782,0.014034
10.9167,0.014034
10.9551,0.014034
10.9935,0.014034
11.0319,0.014034
11.0703,0.014034
11.1087,0.014034
11.1471,0.014034
11.1855,0.014034
11.2239,0.014034
11.2623,0.014034
11.3007,0.014034
11.3391,0.014034
11.3775,0.014034
11.4160,0.014034
11.4544,0.014034
11.4928,0.014034
11.5312,0.014034
11.5696,0.014034
11.6080,0.014034
11.6464,0.014034
11.6848,0.014034
11.7232,0.014034
11.7616,0.014034
11.8000,0.014034
11.8384,0.014034
11.8768,0.014034
11.9152,0.014034
11.9537,0.014034
11.9921,0.014034
12.0305,0.014034
12.0689,0.014034
12.1073,0.014034
12.1457,0.014034
12.1841,0.014034
12.2225,0.014034
12.2609,0.014034
12.2993,0.014034
12.3377,0.014034
12.3761,0.014034
12.4145,0.014034
12.4530,0.014034
12.4914,0.014034
12.5298,0.014034
12.5682,0.014034
12.6066,0.014034
12.6450,0.014034
12.6834,0.014034
12.7218,0.014034
12.7602,0.014034
12.7986,0.014034
12.8370,0.014034
12.8754,0.014034
12.9138,0.014034
12.9522,0.014034
12.9907,0.014034
13.0291,0.014034
13.0675,0.014034
13.1059,0.014034
13.1443,0.014034
13.1827,0.014034
13.2211,0.014034
13.2595,0.014034
13.2979,0.014034
13.3363,0.014034
13.3747,0.014034
13.4131,0.014034
13.4515,0.014034
13.4899,0.014034
13.5284,0.014034
13.5668,0.014034
13.6052,0.014034
13.6436,0.014034
13.6820,0.014034
13.7204,0.014034
13.7588,0.014034
13.7972,0.014034
13.8356,0.014034
13.8740,0.014034
13.9124,0.014034
13.9508,0.014034
13.9892,0.014034
14.0277,0.014034
14.0661,0.014034
14.1045,0.014034
14.1429,0.014034
14.1813,0.016439
14.2197,0.016439
14.2581,0.016439
14.2965,0.014034
14.3349,0.014034
14.3733,0.014034
14.4117,0.014034
14.4501,0.014034
14.4885,0.014034
14.5269,0.014034
14.5654,0.014034
14.6038,0.014034
14.6422,0.014034
14.6806,0.014034
14.7190,0.014034
14.7574,0.014034
14.7958,0.014034
