# source: /Users/mac/Documents/MOF/img/anie.202308506/anie.202308506_f5i.png
# doi: 10.1002/anie.202308506  figure: Figure 5I
# legend: HIAM-4021  (match: geometry)
# x: 2θ / degree   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
1.9677,0.591419
2.0061,0.586207
2.0446,0.586608
2.0830,0.605854
2.1214,0.605854
2.1598,0.605854
2.1982,0.632318
2.2366,0.596632
2.2750,0.598236
2.3134,0.603849
2.3518,0.610666
2.3902,0.612670
2.4286,0.623897
2.4670,0.668404
2.5054,0.668404
2.5438,0.668404
2.5823,0.668404
2.6207,0.615076
2.6591,0.588613
2.6975,0.668404
2.7359,0.668404
2.7743,0.582197
2.8127,0.581395
2.8511,0.637129
2.8895,0.585004
2.9279,0.584603
2.9663,0.584603
3.0047,0.584603
3.0431,0.584603
3.0816,0.584603
3.1200,0.584603
3.1584,0.584603
3.1968,0.585004
3.2352,0.585405
3.2736,0.585405
3.3120,0.585405
3.3504,0.585004
3.3888,0.584603
3.4272,0.584603
3.4656,0.584603
3.5040,0.584603
3.5424,0.584603
3.5808,0.584603
3.6193,0.584603
3.6577,0.584603
3.6961,0.584202
3.7345,0.584202
3.7729,0.584603
3.8113,0.584603
3.8497,0.584603
3.8881,0.585004
3.9265,0.585806
3.9649,0.585806
4.0033,0.586207
4.0417,0.591419
4.0801,0.587009
4.1186,0.591419
4.1570,0.589415
4.1954,0.590217
4.2338,0.591018
4.2722,0.593023
4.3106,0.595028
4.3490,0.595830
4.3874,0.598236
4.4258,0.603448
4.4642,0.603448
4.5026,0.605854
4.5410,0.590217
4.5794,0.593023
4.6178,0.603448
4.6563,0.603448
4.6947,0.603448
4.7331,0.595028
4.7715,0.597835
4.8099,0.620289
4.8483,0.600642
4.8867,0.590617
4.9251,0.605453
4.9635,0.608661
5.0019,0.632318
5.0403,0.632318
5.0787,0.632318
5.1171,0.602646
5.1555,0.596632
5.1940,0.591018
5.2324,0.590217
5.2708,0.589415
5.3092,0.584603
5.3476,0.583801
5.3860,0.582999
5.4244,0.586207
5.4628,0.585806
5.5012,0.585806
5.5396,0.585405
5.5780,0.585405
5.6164,0.585004
5.6548,0.584603
5.6933,0.584202
5.7317,0.584202
5.7701,0.585004
5.8085,0.585004
