# source: /Users/mac/Documents/MOF/img/anie.202308506/anie.202308506_f5i.png
# doi: 10.1002/anie.202308506  figure: Figure 5I
# legend: HIAM-4011  (match: colour+geometry)
# x: 2θ / degree   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
1.9677,0.219727
2.0061,0.219727
2.0446,0.219727
2.0830,0.255814
2.1214,0.255814
2.1598,0.216520
2.1982,0.277466
2.2366,0.277466
2.2750,0.277466
2.3134,0.242983
2.3518,0.287089
2.3902,0.271852
2.4286,0.287089
2.4670,0.287089
2.5054,0.287089
2.5438,0.287089
2.5823,0.209302
2.6207,0.248998
2.6591,0.287089
2.6975,0.287089
2.7359,0.287089
2.7743,0.212911
2.8127,0.279872
2.8511,0.197273
2.8895,0.210104
2.9279,0.210104
2.9663,0.210104
3.0047,0.203288
3.0431,0.203288
3.0816,0.203288
3.1200,0.203288
3.1584,0.203288
3.1968,0.203288
3.2352,0.202085
3.2736,0.202085
3.3120,0.202085
3.3504,0.202085
3.3888,0.202085
3.4272,0.202085
3.4656,0.203288
3.5040,0.203288
3.5424,0.203288
3.5808,0.203288
3.6193,0.203288
3.6577,0.203288
3.6961,0.203288
3.7345,0.203288
3.7729,0.203288
3.8113,0.203288
3.8497,0.203288
3.8881,0.203288
3.9265,0.210104
3.9649,0.210104
4.0033,0.210104
4.0417,0.217322
4.0801,0.217322
4.1186,0.217322
4.1570,0.212911
4.1954,0.219727
4.2338,0.218925
4.2722,0.222133
4.3106,0.222133
4.3490,0.222133
4.3874,0.223737
4.4258,0.222133
4.4642,0.222133
4.5026,0.219727
4.5410,0.212911
4.5794,0.219727
4.6178,0.231756
4.6563,0.231756
4.6947,0.231756
4.7331,0.255814
4.7715,0.218925
4.8099,0.255814
4.8483,0.229751
4.8867,0.258220
4.9251,0.212911
4.9635,0.260626
5.0019,0.260626
5.0403,0.260626
5.0787,0.260626
5.1171,0.260626
5.1555,0.230954
5.1940,0.258220
5.2324,0.258220
5.2708,0.258220
5.3092,0.217723
