# source: /Users/mac/Documents/MOF/img/anie.202308506/anie.202308506_s20.png
# doi: 10.1002/anie.202308506  figure: Figure S20
# legend: nano-HIAM-4011 after Trp detection  (match: colour+geometry)
# x: 2θ / degree   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
2.1852,0.460076
2.2435,0.464829
2.3018,0.476236
2.3601,0.525665
2.4184,0.527567
2.4767,0.527567
2.5350,0.525665
2.5933,0.491445
2.6516,0.451521
2.7098,0.443916
2.7681,0.443916
2.8264,0.442015
2.8847,0.443916
2.9430,0.442015
3.0013,0.442015
3.0596,0.443916
3.1179,0.443916
3.1762,0.442015
3.2345,0.443916
3.2928,0.443916
3.3511,0.442015
3.4094,0.442015
3.4676,0.440114
3.5259,0.438213
3.5842,0.440114
3.6425,0.440114
3.7008,0.440114
3.7591,0.443916
3.8174,0.443916
3.8757,0.442015
3.9340,0.436312
3.9923,0.438213
4.0506,0.440114
4.1089,0.440114
4.1672,0.445817
4.2254,0.449620
4.2837,0.453422
4.3420,0.453422
4.4003,0.453422
4.4586,0.451521
4.5169,0.445817
4.5752,0.443916
4.6335,0.445817
4.6918,0.457224
4.7501,0.464829
4.8084,0.493346
4.8667,0.519962
4.9249,0.550380
4.9832,0.552281
5.0415,0.552281
5.0998,0.542776
5.1581,0.499049
5.2164,0.457224
5.2747,0.443916
5.3330,0.440114
5.3913,0.440114
5.4496,0.440114
5.5079,0.438213
5.5662,0.438213
5.6245,0.440114
5.6827,0.438213
5.7410,0.438213
5.7993,0.440114
5.8576,0.440114
5.9159,0.440114
5.9742,0.440114
6.0325,0.442015
6.0908,0.443916
6.1491,0.442015
6.2074,0.443916
6.2657,0.443916
6.3240,0.443916
6.3822,0.443916
6.4405,0.445817
6.4988,0.451521
6.5571,0.462928
6.6154,0.472433
6.6737,0.474335
6.7320,0.474335
6.7903,0.474335
6.8486,0.455323
6.9069,0.443916
6.9652,0.440114
7.0235,0.438213
7.0818,0.438213
7.1400,0.440114
7.1983,0.440114
7.2566,0.442015
7.3149,0.442015
7.3732,0.443916
7.4315,0.445817
7.4898,0.447719
7.5481,0.447719
7.6064,0.445817
7.6647,0.445817
7.7230,0.443916
7.7813,0.442015
7.8395,0.442015
7.8978,0.445817
7.9561,0.445817
8.0144,0.443916
8.0727,0.443916
8.1310,0.440114
8.1893,0.438213
8.2476,0.440114
8.3059,0.440114
8.3642,0.438213
8.4225,0.438213
8.4808,0.440114
8.5391,0.445817
8.5973,0.451521
8.6556,0.451521
8.7139,0.451521
8.7722,0.451521
8.8305,0.447719
8.8888,0.442015
8.9471,0.445817
9.0054,0.445817
9.0637,0.447719
9.1220,0.447719
9.1803,0.445817
9.2386,0.440114
9.2969,0.438213
9.3551,0.436312
9.4134,0.438213
9.4717,0.440114
9.5300,0.440114
9.5883,0.442015
9.6466,0.445817
9.7049,0.447719
9.7632,0.447719
9.8215,0.447719
9.8798,0.453422
9.9381,0.459125
9.9964,0.464829
10.0546,0.464829
10.1129,0.462928
10.1712,0.449620
10.2295,0.445817
10.2878,0.442015
10.3461,0.440114
10.4044,0.440114
10.4627,0.438213
10.5210,0.438213
10.5793,0.438213
10.6376,0.438213
10.6959,0.438213
10.7542,0.438213
10.8124,0.438213
10.8707,0.440114
10.9290,0.442015
10.9873,0.442015
11.0456,0.442015
11.1039,0.440114
11.1622,0.440114
11.2205,0.438213
11.2788,0.438213
11.3371,0.438213
11.3954,0.438213
11.4537,0.438213
11.5119,0.438213
11.5702,0.438213
11.6285,0.438213
11.6868,0.438213
11.7451,0.438213
11.8034,0.438213
11.8617,0.438213
11.9200,0.438213
11.9783,0.438213
12.0366,0.438213
12.0949,0.438213
12.1532,0.438213
12.2115,0.438213
12.2697,0.438213
12.3280,0.438213
12.3863,0.440114
12.4446,0.440114
12.5029,0.440114
12.5612,0.440114
12.6195,0.440114
12.6778,0.440114
12.7361,0.438213
12.7944,0.440114
12.8527,0.440114
12.9110,0.440114
12.9693,0.438213
13.0275,0.438213
13.0858,0.438213
13.1441,0.438213
13.2024,0.440114
13.2607,0.440114
13.3190,0.440114
13.3773,0.440114
13.4356,0.440114
13.4939,0.438213
13.5522,0.438213
13.6105,0.438213
13.6688,0.438213
13.7270,0.438213
13.7853,0.438213
13.8436,0.438213
13.9019,0.438213
13.9602,0.438213
14.0185,0.440114
14.0768,0.440114
14.1351,0.438213
14.1934,0.438213
14.2517,0.438213
14.3100,0.438213
14.3683,0.438213
14.4266,0.438213
14.4848,0.438213
14.5431,0.438213
14.6014,0.438213
14.6597,0.438213
14.7180,0.438213
14.7763,0.438213
14.8346,0.440114
14.8929,0.440114
14.9512,0.438213
15.0095,0.438213
15.0678,0.438213
15.1261,0.436312
15.1843,0.438213
15.2426,0.438213
15.3009,0.438213
15.3592,0.436312
15.4175,0.438213
15.4758,0.438213
15.5341,0.438213
15.5924,0.438213
15.6507,0.438213
15.7090,0.440114
15.7673,0.438213
15.8256,0.438213
15.8839,0.438213
15.9421,0.438213
16.0004,0.438213
16.0587,0.438213
16.1170,0.438213
16.1753,0.438213
16.2336,0.436312
16.2919,0.436312
16.3502,0.438213
16.4085,0.438213
16.4668,0.438213
16.5251,0.438213
16.5834,0.440114
16.6416,0.438213
16.6999,0.438213
16.7582,0.440114
16.8165,0.440114
16.8748,0.438213
16.9331,0.438213
16.9914,0.440114
17.0497,0.440114
17.1080,0.440114
17.1663,0.438213
17.2246,0.438213
17.2829,0.438213
17.3412,0.438213
17.3994,0.438213
17.4577,0.438213
17.5160,0.438213
17.5743,0.440114
17.6326,0.440114
17.6909,0.438213
17.7492,0.440114
17.8075,0.440114
17.8658,0.438213
17.9241,0.438213
17.9824,0.438213
18.0407,0.442015
18.0990,0.440114
18.1572,0.440114
18.2155,0.440114
18.2738,0.438213
18.3321,0.438213
18.3904,0.438213
18.4487,0.436312
18.5070,0.438213
18.5653,0.438213
18.6236,0.438213
18.6819,0.438213
18.7402,0.438213
18.7985,0.440114
18.8567,0.440114
18.9150,0.438213
18.9733,0.440114
19.0316,0.440114
19.0899,0.440114
19.1482,0.438213
19.2065,0.438213
19.2648,0.438213
19.3231,0.438213
19.3814,0.438213
19.4397,0.438213
19.4980,0.438213
19.5563,0.438213
19.6145,0.438213
19.6728,0.438213
19.7311,0.438213
19.7894,0.438213
19.8477,0.438213
19.9060,0.438213
19.9643,0.438213
20.0226,0.440114
20.0809,0.438213
20.1392,0.438213
20.1975,0.438213
20.2558,0.438213
20.3140,0.440114
20.3723,0.440114
20.4306,0.438213
20.4889,0.440114
20.5472,0.440114
20.6055,0.440114
20.6638,0.440114
20.7221,0.440114
20.7804,0.440114
20.8387,0.438213
20.8970,0.438213
20.9553,0.438213
21.0136,0.440114
21.0718,0.440114
21.1301,0.440114
21.1884,0.440114
21.2467,0.438213
21.3050,0.440114
21.3633,0.438213
21.4216,0.438213
21.4799,0.438213
21.5382,0.440114
21.5965,0.440114
21.6548,0.440114
21.7131,0.438213
21.7713,0.438213
21.8296,0.438213
21.8879,0.438213
21.9462,0.440114
22.0045,0.440114
22.0628,0.440114
22.1211,0.438213
22.1794,0.438213
22.2377,0.438213
22.2960,0.438213
22.3543,0.440114
22.4126,0.440114
22.4709,0.440114
22.5291,0.438213
22.5874,0.438213
22.6457,0.438213
22.7040,0.438213
22.7623,0.438213
