# source: /Users/mac/Documents/MOF/img/anie.202308506/anie.202308506_s20.png
# doi: 10.1002/anie.202308506  figure: Figure S20
# legend: as-synthesized nano-HIAM-4011  (match: colour+geometry)
# x: 2θ / degree   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
2.2435,0.173004
2.3018,0.179658
2.3601,0.196768
2.4184,0.198669
2.4767,0.198669
2.5350,0.198669
2.5933,0.191065
2.6516,0.160646
2.7098,0.158745
2.7681,0.158745
2.8264,0.158745
2.8847,0.158745
2.9430,0.158745
3.0013,0.158745
3.0596,0.158745
3.1179,0.158745
3.1762,0.158745
3.2345,0.158745
3.2928,0.156844
3.3511,0.156844
3.4094,0.158745
3.4676,0.156844
3.5259,0.158745
3.5842,0.158745
3.6425,0.158745
3.7008,0.158745
3.7591,0.158745
3.8174,0.158745
3.8757,0.160646
3.9340,0.160646
3.9923,0.160646
4.0506,0.162548
4.1089,0.164449
4.1672,0.170152
4.2254,0.175856
4.2837,0.192966
4.3420,0.196768
4.4003,0.198669
4.4586,0.198669
4.5169,0.196768
4.5752,0.168251
4.6335,0.166350
4.6918,0.170152
4.7501,0.181559
4.8084,0.191065
4.8667,0.206274
4.9249,0.250000
4.9832,0.259506
5.0415,0.259506
5.0998,0.259506
5.1581,0.236692
5.2164,0.181559
5.2747,0.168251
5.3330,0.160646
5.3913,0.158745
5.4496,0.158745
5.5079,0.158745
5.5662,0.158745
5.6245,0.156844
5.6827,0.156844
5.7410,0.156844
5.7993,0.158745
5.8576,0.158745
5.9159,0.162548
5.9742,0.162548
6.0325,0.166350
6.0908,0.170152
6.1491,0.175856
6.2074,0.175856
6.2657,0.175856
6.3240,0.173954
6.3822,0.168251
6.4405,0.179658
6.4988,0.187262
6.5571,0.217681
6.6154,0.259506
6.6737,0.282319
6.7320,0.284221
6.7903,0.284221
6.8486,0.238593
6.9069,0.173954
6.9652,0.160646
7.0235,0.158745
7.0818,0.158745
7.1400,0.156844
7.1983,0.156844
7.2566,0.156844
7.3149,0.158745
7.3732,0.158745
7.4315,0.162548
7.4898,0.164449
7.5481,0.164449
7.6064,0.164449
7.6647,0.164449
