# source: /Users/mac/Documents/MOF/img/anie.202308506/anie.202308506_s49.png
# doi: 10.1002/anie.202308506  figure: Figure S49
# legend: HIAM-4022  (match: geometry)
# x: 2θ / degree   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
2.1457,0.571646
2.1862,0.576982
2.2267,0.586128
2.2672,0.593750
2.3077,0.625762
2.3482,0.660823
2.3887,0.721799
2.4291,0.805640
2.4696,0.910823
2.5101,0.912348
2.5506,0.910823
2.5911,0.907774
2.6316,0.613567
2.6721,0.561738
2.7126,0.554116
2.7530,0.551067
2.7935,0.551067
2.8340,0.551067
2.8745,0.551067
2.9150,0.551067
2.9555,0.551067
2.9960,0.551067
3.0364,0.551067
3.0769,0.551067
3.1174,0.551067
3.1579,0.551067
3.1984,0.551067
3.2389,0.551067
3.2794,0.551067
3.3198,0.551067
3.3603,0.551067
3.4008,0.551067
3.4413,0.551067
3.4818,0.551067
3.5223,0.551067
3.5628,0.551067
3.6032,0.551067
3.6437,0.551067
3.6842,0.551067
3.7247,0.551067
3.7652,0.552591
3.8057,0.552591
3.8462,0.552591
3.8866,0.551067
3.9271,0.551067
3.9676,0.551067
4.0081,0.551067
4.0486,0.551067
4.0891,0.551067
4.1296,0.552591
4.1700,0.552591
4.2105,0.554116
4.2510,0.557165
4.2915,0.560213
4.3320,0.560213
4.3725,0.563262
4.4130,0.563262
4.4534,0.563262
4.4939,0.563262
4.5344,0.558689
4.5749,0.554116
4.6154,0.552591
4.6559,0.554116
4.6964,0.555640
4.7368,0.558689
4.7773,0.564787
4.8178,0.569360
4.8583,0.572409
4.8988,0.592226
4.9393,0.633384
4.9798,0.668445
5.0202,0.668445
5.0607,0.668445
5.1012,0.668445
5.1417,0.607470
5.1822,0.563262
5.2227,0.557165
5.2632,0.552591
5.3036,0.552591
5.3441,0.552591
5.3846,0.551067
5.4251,0.551067
5.4656,0.551067
5.5061,0.552591
5.5466,0.552591
5.5870,0.551067
5.6275,0.551067
5.6680,0.551067
5.7085,0.551067
5.7490,0.551067
5.7895,0.551067
5.8300,0.551067
5.8704,0.551067
5.9109,0.551067
5.9514,0.551067
5.9919,0.552591
6.0324,0.552591
6.0729,0.554116
6.1134,0.557165
6.1538,0.560213
6.1943,0.560213
6.2348,0.560213
6.2753,0.560213
6.3158,0.555640
6.3563,0.552591
6.3968,0.552591
6.4372,0.554116
6.4777,0.555640
6.5182,0.558689
6.5587,0.569360
6.5992,0.578506
6.6397,0.586128
6.6802,0.587652
6.7206,0.587652
6.7611,0.587652
6.8016,0.573933
6.8421,0.561738
6.8826,0.554116
6.9231,0.552591
6.9636,0.551067
7.0040,0.551067
7.0445,0.551067
7.0850,0.551067
7.1255,0.551067
7.1660,0.551067
7.2065,0.551067
7.2470,0.551067
7.2874,0.551067
7.3279,0.551067
7.3684,0.554116
7.4089,0.555640
7.4494,0.558689
7.4899,0.561738
7.5304,0.563262
7.5709,0.564787
7.6113,0.564787
7.6518,0.558689
7.6923,0.552591
7.7328,0.551067
7.7733,0.551067
7.8138,0.551067
7.8543,0.551067
7.8947,0.552591
7.9352,0.552591
7.9757,0.552591
8.0162,0.552591
8.0567,0.552591
8.0972,0.552591
8.1377,0.551067
8.1781,0.551067
8.2186,0.551067
8.2591,0.551067
8.2996,0.551067
8.3401,0.551067
8.3806,0.551067
8.4211,0.551067
8.4615,0.551067
8.5020,0.551067
8.5425,0.551067
8.5830,0.552591
8.6235,0.552591
8.6640,0.552591
8.7045,0.552591
8.7449,0.552591
8.7854,0.552591
8.8259,0.552591
8.8664,0.552591
8.9069,0.554116
8.9474,0.555640
8.9879,0.558689
9.0283,0.560213
9.0688,0.560213
9.1093,0.560213
9.1498,0.560213
9.1903,0.554116
9.2308,0.551067
9.2713,0.551067
9.3117,0.551067
9.3522,0.551067
9.3927,0.551067
9.4332,0.551067
9.4737,0.551067
9.5142,0.551067
9.5547,0.551067
9.5951,0.552591
9.6356,0.554116
9.6761,0.555640
9.7166,0.557165
9.7571,0.558689
9.7976,0.558689
9.8381,0.557165
9.8785,0.555640
9.9190,0.560213
9.9595,0.569360
10.0000,0.573933
10.0405,0.575457
10.0810,0.575457
10.1215,0.575457
10.1619,0.570884
10.2024,0.560213
10.2429,0.555640
10.2834,0.554116
10.3239,0.552591
10.3644,0.551067
10.4049,0.551067
10.4453,0.551067
10.4858,0.551067
10.5263,0.551067
10.5668,0.551067
10.6073,0.551067
10.6478,0.551067
10.6883,0.551067
10.7287,0.551067
10.7692,0.551067
10.8097,0.551067
10.8502,0.551067
10.8907,0.551067
10.9312,0.552591
10.9717,0.552591
11.0121,0.552591
11.0526,0.552591
11.0931,0.552591
11.1336,0.551067
11.1741,0.551067
11.2146,0.551067
11.2551,0.551067
11.2955,0.551067
11.3360,0.551067
11.3765,0.551067
11.4170,0.551067
11.4575,0.551067
11.4980,0.551067
11.5385,0.551067
11.5789,0.551067
11.6194,0.551067
11.6599,0.551067
11.7004,0.551067
11.7409,0.552591
11.7814,0.552591
11.8219,0.551067
11.8623,0.551067
11.9028,0.551067
11.9433,0.551067
11.9838,0.551067
12.0243,0.551067
12.0648,0.551067
12.1053,0.551067
12.1457,0.551067
12.1862,0.551067
12.2267,0.551067
12.2672,0.551067
12.3077,0.552591
12.3482,0.552591
12.3887,0.552591
12.4291,0.552591
12.4696,0.552591
12.5101,0.552591
12.5506,0.552591
12.5911,0.552591
12.6316,0.552591
12.6721,0.552591
12.7126,0.552591
12.7530,0.551067
12.7935,0.551067
12.8340,0.551067
12.8745,0.551067
12.9150,0.551067
12.9555,0.551067
12.9960,0.551067
13.0364,0.551067
13.0769,0.551067
13.1174,0.551067
13.1579,0.551067
13.1984,0.551067
13.2389,0.551067
13.2794,0.551067
13.3198,0.551067
13.3603,0.551067
13.4008,0.551067
13.4413,0.551067
13.4818,0.551067
13.5223,0.551067
13.5628,0.551067
13.6032,0.551067
13.6437,0.551067
13.6842,0.551067
13.7247,0.551067
13.7652,0.551067
13.8057,0.551067
13.8462,0.551067
13.8866,0.552591
13.9271,0.552591
13.9676,0.552591
14.0081,0.552591
14.0486,0.552591
14.0891,0.552591
14.1296,0.552591
14.1700,0.552591
14.2105,0.551067
14.2510,0.551067
14.2915,0.551067
14.3320,0.551067
14.3725,0.551067
14.4130,0.551067
14.4534,0.551067
14.4939,0.551067
14.5344,0.551067
14.5749,0.551067
14.6154,0.551067
14.6559,0.551067
14.6964,0.551067
14.7368,0.551067
14.7773,0.551067
14.8178,0.551067
14.8583,0.551067
14.8988,0.551067
14.9393,0.551067
14.9798,0.551067
15.0202,0.551067
15.0607,0.551067
15.1012,0.551067
15.1417,0.552591
15.1822,0.551067
15.2227,0.551067
15.2632,0.551067
15.3036,0.551067
15.3441,0.551067
15.3846,0.551067
15.4251,0.551067
15.4656,0.551067
15.5061,0.551067
15.5466,0.551067
15.5870,0.551067
15.6275,0.551067
15.6680,0.551067
15.7085,0.552591
15.7490,0.552591
15.7895,0.552591
15.8300,0.552591
15.8704,0.552591
15.9109,0.552591
15.9514,0.552591
15.9919,0.552591
16.0324,0.551067
16.0729,0.551067
16.1134,0.551067
16.1538,0.551067
16.1943,0.551067
16.2348,0.551067
16.2753,0.551067
16.3158,0.551067
16.3563,0.551067
16.3968,0.551067
16.4372,0.551067
16.4777,0.551067
16.5182,0.551067
16.5587,0.552591
16.5992,0.552591
16.6397,0.551067
16.6802,0.551067
16.7206,0.551067
16.7611,0.551067
16.8016,0.551067
16.8421,0.551067
16.8826,0.551067
16.9231,0.551067
16.9636,0.551067
17.0040,0.551067
17.0445,0.551067
17.0850,0.552591
17.1255,0.552591
17.1660,0.551067
17.2065,0.551067
17.2470,0.551067
17.2874,0.551067
17.3279,0.551067
17.3684,0.551067
17.4089,0.551067
17.4494,0.551067
17.4899,0.551067
17.5304,0.552591
17.5709,0.552591
17.6113,0.552591
17.6518,0.552591
17.6923,0.551067
17.7328,0.551067
17.7733,0.551067
17.8138,0.551067
17.8543,0.551067
17.8947,0.551067
17.9352,0.551067
17.9757,0.551067
18.0162,0.552591
18.0567,0.552591
18.0972,0.552591
18.1377,0.552591
18.1781,0.552591
18.2186,0.552591
18.2591,0.552591
18.2996,0.551067
