# paper: 10.1021%2Fcg500005p
# figure: Figure 10  panel: Figure_10_1
# technique: photoluminescence  material: (CuI)4(THT)4 (3a)
# series: (CuI)4(THT)4 (as 3a′ at low temperature)  (experimental)
# x: （nm)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
471.80095,0.009719
472.27488,0.008639
472.74882,0.008639
473.22275,0.009719
473.69668,0.009719
474.17062,0.009719
474.64455,0.009719
475.11848,0.009719
475.59242,0.009719
476.06635,0.009719
476.54028,0.010799
477.01422,0.010799
477.48815,0.010799
477.96209,0.009719
478.43602,0.009719
478.90995,0.009719
479.38389,0.009719
479.85782,0.009719
480.33175,0.009179
480.80569,0.009719
481.27962,0.010259
481.75355,0.010799
482.22749,0.011339
482.70142,0.014039
483.17536,0.014039
483.64929,0.014039
484.12322,0.016199
484.59716,0.016199
485.07109,0.016199
485.54502,0.016199
486.01896,0.016199
486.49289,0.016199
486.96682,0.018359
487.44076,0.018359
487.91469,0.018359
488.38863,0.017279
488.86256,0.019438
489.33649,0.019438
489.81043,0.019438
490.28436,0.020518
490.75829,0.020518
491.23223,0.021598
491.70616,0.023758
492.18009,0.026998
492.65403,0.029158
493.12796,0.029158
493.60190,0.031317
494.07583,0.031317
494.54976,0.031317
495.02370,0.031317
495.49763,0.035637
495.97156,0.035637
496.44550,0.035637
496.91943,0.038877
497.39336,0.038877
497.86730,0.038877
498.34123,0.038877
498.81517,0.044276
499.28910,0.044276
499.76303,0.047516
500.23697,0.047516
500.71090,0.048596
501.18483,0.050756
501.65877,0.050756
502.13270,0.052916
502.60664,0.052916
503.08057,0.052916
503.55450,0.052916
504.02844,0.057235
504.50237,0.057235
504.97630,0.052916
505.45024,0.065875
505.92417,0.061555
506.39810,0.061555
506.87204,0.063715
507.34597,0.065875
507.81991,0.070194
508.29384,0.070194
508.76777,0.070194
509.24171,0.070194
509.71564,0.072354
510.18957,0.072354
510.66351,0.072354
511.13744,0.073434
511.61137,0.076674
512.08531,0.079914
512.55924,0.085313
513.03318,0.086393
513.50711,0.088553
513.98104,0.098272
514.45498,0.097192
514.92891,0.099352
515.40284,0.099352
515.87678,0.100432
516.35071,0.102592
516.82464,0.102592
517.29858,0.105832
517.77251,0.106911
518.24645,0.109071
518.72038,0.109071
519.19431,0.104752
519.66825,0.110151
520.14218,0.109071
520.61611,0.124190
521.09005,0.117711
521.56398,0.118790
522.03791,0.120950
522.51185,0.122030
522.98578,0.126350
523.45972,0.127430
523.93365,0.126350
524.40758,0.141469
524.88152,0.129590
525.35545,0.145788
525.82938,0.145788
526.30332,0.153348
526.77725,0.149028
527.25118,0.150108
527.72512,0.152268
528.19905,0.152268
528.67299,0.156587
529.14692,0.158747
529.62085,0.159827
530.09479,0.164147
530.56872,0.166307
531.04265,0.167387
531.51659,0.168467
531.99052,0.169546
532.46445,0.180346
532.93839,0.180346
533.41232,0.188985
533.88626,0.188985
534.36019,0.193305
534.83412,0.186825
535.30806,0.187905
535.78199,0.188985
536.25592,0.206263
536.72986,0.206263
537.20379,0.210583
537.67773,0.210583
538.15166,0.204104
538.62559,0.205184
539.09953,0.211663
539.57346,0.214903
540.04739,0.218143
540.52133,0.219222
540.99526,0.222462
541.46919,0.232181
541.94313,0.240821
542.41706,0.240821
542.89100,0.222462
543.36493,0.245140
543.83886,0.249460
544.31280,0.251620
544.78673,0.250540
545.26066,0.250540
545.73460,0.257019
546.20853,0.258099
546.68246,0.251620
547.15640,0.266739
547.63033,0.275378
548.10427,0.275378
548.57820,0.261339
549.05213,0.284017
549.52607,0.288337
550.00000,0.288337
550.47393,0.292657
550.94787,0.292657
551.42180,0.292657
551.89573,0.293737
552.36967,0.305616
552.84360,0.296976
553.31754,0.306695
553.79147,0.307775
554.26540,0.311015
554.73934,0.311015
555.21327,0.322894
555.68720,0.322894
556.16114,0.331533
556.63507,0.331533
557.10900,0.327214
557.58294,0.327214
558.05687,0.328294
558.53081,0.340173
559.00474,0.344492
559.47867,0.339093
559.95261,0.345572
560.42654,0.345572
560.90047,0.357451
561.37441,0.357451
561.84834,0.350972
562.32227,0.352052
562.79621,0.355292
563.27014,0.363931
563.74408,0.367171
564.21801,0.368251
564.69194,0.371490
565.16588,0.371490
565.63981,0.379050
566.11374,0.379050
566.58768,0.372570
567.06161,0.404968
567.53555,0.404968
568.00948,0.404968
568.48341,0.404968
568.95735,0.404968
569.43128,0.400648
569.90521,0.395248
570.37915,0.395248
570.85308,0.397408
571.32701,0.404968
571.80095,0.401728
572.27488,0.401728
572.74882,0.402808
573.22275,0.404968
573.69668,0.407127
574.17062,0.407127
574.64455,0.407127
575.11848,0.409287
575.59242,0.410367
576.06635,0.410367
576.54028,0.410367
577.01422,0.413607
577.48815,0.412527
577.96209,0.412527
578.43602,0.413607
578.90995,0.413607
579.38389,0.414687
579.85782,0.414687
580.33175,0.417927
580.80569,0.414687
581.27962,0.417927
581.75355,0.417927
582.22749,0.419006
582.70142,0.419006
583.17536,0.417927
583.64929,0.417927
584.12322,0.414687
584.59716,0.416847
585.07109,0.416847
585.54502,0.414687
586.01896,0.414687
586.49289,0.413607
586.96682,0.413607
587.44076,0.413607
587.91469,0.416847
588.38863,0.416847
588.86256,0.413607
589.33649,0.413607
589.81043,0.411447
590.28436,0.411447
590.75829,0.411447
591.23223,0.406048
591.70616,0.413607
592.18009,0.410367
592.65403,0.400648
593.12796,0.407127
593.60190,0.407127
594.07583,0.401728
594.54976,0.401728
595.02370,0.400648
595.49763,0.400648
595.97156,0.400648
596.44550,0.400648
596.91943,0.398488
597.39336,0.396328
597.86730,0.396328
598.34123,0.381210
598.81517,0.396328
599.28910,0.376890
599.76303,0.382289
600.23697,0.382289
600.71090,0.381210
601.18483,0.376890
601.65877,0.372570
602.13270,0.372570
602.60664,0.368251
603.08057,0.374730
603.55450,0.363931
604.02844,0.362851
604.50237,0.361771
604.97630,0.360691
605.45024,0.366091
605.92417,0.366091
606.39810,0.358531
606.87204,0.357451
607.34597,0.353132
607.81991,0.353132
608.29384,0.344492
608.76777,0.344492
609.24171,0.340173
609.71564,0.340173
610.18957,0.325054
610.66351,0.332613
611.13744,0.318575
611.61137,0.322894
612.08531,0.308855
612.55924,0.308855
613.03318,0.306695
613.50711,0.306695
613.98104,0.300216
614.45498,0.298056
614.92891,0.292657
615.40284,0.292657
615.87678,0.292657
616.35071,0.296976
616.82464,0.292657
617.29858,0.292657
617.77251,0.284017
618.24645,0.284017
618.72038,0.279698
619.19431,0.279698
619.66825,0.271058
620.14218,0.271058
620.61611,0.262419
621.09005,0.262419
621.56398,0.258099
622.03791,0.258099
