# paper: 10.1039%2FC3DT53505C
# figure: Figure 4  panel: Figure_4_1
# technique: uv_vis_absorption  material: methyl orange (MO) aqueous solution, 7.5 × 10−6 mol L−1
# series: methyl orange solution before electrolysis (0 h CPE)  (experimental)
# x: Wavelength (nm)   y: data units from y ticks
x,y
217.52857,1.330472
218.03726,1.334764
218.54595,1.341202
219.05464,1.354077
219.56333,1.371245
220.07202,1.388412
220.58071,1.401288
221.08940,1.414163
221.59809,1.431330
222.10678,1.452790
222.61547,1.465665
223.12416,1.482833
223.63285,1.500000
224.14154,1.525751
224.65024,1.534335
225.15893,1.542918
225.66762,1.560086
226.17631,1.572961
226.68500,1.585837
227.19369,1.603004
227.70238,1.615880
228.21107,1.628755
228.71976,1.637339
229.22845,1.641631
229.73714,1.645923
230.24583,1.645923
230.75452,1.652361
231.26321,1.656652
231.77190,1.658798
232.28059,1.660944
232.78928,1.652361
233.29797,1.643777
233.80666,1.645923
234.31535,1.633047
234.82404,1.620172
235.33273,1.615880
235.84142,1.607296
236.35011,1.598712
236.85880,1.590129
237.36749,1.581545
237.87618,1.560086
238.38487,1.538627
238.89356,1.504292
239.40225,1.482833
239.91094,1.452790
240.41963,1.435622
240.92832,1.388412
241.43701,1.354077
241.94570,1.332618
242.45439,1.328326
242.96308,1.414163
243.47177,1.392704
243.98046,1.216738
244.48915,1.165236
244.99784,1.156652
245.50653,1.148069
246.01522,1.113734
246.52391,1.092275
247.03260,1.032189
247.54129,0.997854
248.04998,0.984979
248.55868,0.972103
249.06737,0.954936
249.57606,0.946352
250.08475,0.907725
250.59344,0.881974
251.10213,0.847639
251.61082,0.826180
252.11951,0.796137
252.62820,0.778970
253.13689,0.753219
253.64558,0.736052
254.15427,0.731760
254.66296,0.718884
255.17165,0.697425
255.68034,0.667382
256.18903,0.652361
256.69772,0.667382
257.20641,0.667382
257.71510,0.652361
258.22379,0.658798
258.73248,0.641631
259.24117,0.615880
259.74986,0.615880
260.25855,0.607296
260.76724,0.603004
261.27593,0.598712
261.78462,0.585837
262.29331,0.624464
262.80200,0.611588
263.31069,0.598712
263.81938,0.585837
264.32807,0.577253
264.83676,0.517167
265.34545,0.504292
265.85414,0.491416
266.36283,0.482833
266.87152,0.469957
267.38021,0.457082
267.88890,0.439914
268.39759,0.431330
268.90628,0.418455
269.41497,0.405579
269.92366,0.396996
270.43235,0.384120
270.94104,0.371245
271.44973,0.358369
271.95842,0.345494
272.46712,0.336910
272.97581,0.332618
273.48450,0.324034
273.99319,0.315451
274.50188,0.306867
275.01057,0.298283
275.51926,0.293991
276.02795,0.268240
276.53664,0.272532
277.04533,0.263948
277.55402,0.263948
278.06271,0.259657
278.57140,0.259657
279.08009,0.255365
279.58878,0.253219
280.09747,0.248927
280.60616,0.248927
281.11485,0.253219
281.62354,0.255365
282.13223,0.255365
282.64092,0.255365
283.14961,0.255365
283.65830,0.255365
284.16699,0.255365
284.67568,0.253219
285.18437,0.251073
285.69306,0.246781
286.20175,0.244635
286.71044,0.240343
287.21913,0.238197
287.72782,0.231760
288.23651,0.227468
288.74520,0.225322
289.25389,0.223176
289.76258,0.221030
290.27127,0.216738
290.77996,0.214592
291.28865,0.210300
291.79734,0.206009
292.30603,0.203863
292.81472,0.203863
293.32341,0.203863
293.83210,0.203863
294.34079,0.201717
294.84948,0.203863
295.35817,0.203863
295.86687,0.208155
296.37556,0.210300
296.88425,0.212446
297.39294,0.216738
297.90163,0.218884
298.41032,0.223176
298.91901,0.223176
299.42770,0.223176
299.93639,0.227468
300.44508,0.218884
300.95377,0.197425
301.46246,0.251073
301.97115,0.246781
302.47984,0.197425
302.98853,0.229614
303.49722,0.212446
304.00591,0.178112
304.51460,0.169528
305.02329,0.160944
305.53198,0.152361
306.04067,0.143777
306.54936,0.135193
307.05805,0.130901
307.56674,0.122318
308.07543,0.118026
308.58412,0.105150
309.09281,0.098712
309.60150,0.092275
310.11019,0.090129
310.61888,0.085837
311.12757,0.083691
311.63626,0.072961
312.14495,0.070815
312.65364,0.066524
313.16233,0.062232
313.67102,0.057940
314.17971,0.057940
314.68840,0.051502
315.19709,0.049356
315.70578,0.049356
316.21447,0.049356
316.72316,0.049356
317.23185,0.045064
317.74054,0.047210
318.24923,0.040773
318.75792,0.036481
319.26661,0.034335
319.77531,0.034335
320.28400,0.032189
320.79269,0.030043
321.30138,0.027897
321.81007,0.025751
322.31876,0.023605
322.82745,0.021459
323.33614,0.019313
323.84483,0.019313
324.35352,0.019313
324.86221,0.017167
325.37090,0.015021
325.87959,0.017167
