# paper: 10.1039%2FC3DT53505C
# figure: Figure 4  panel: Figure_4_1
# technique: uv_vis_absorption  material: methyl orange (MO) aqueous solution, 7.5 × 10−6 mol L−1
# series: methyl orange solution after 6 h controlled-potential electrolysis  (experimental)
# x: Wavelength (nm)   y: data units from y ticks
x,y
217.52857,1.641631
218.03726,1.658798
218.54595,1.671674
219.05464,1.688841
219.56333,1.706009
220.07202,1.723176
220.58071,1.736052
221.08940,1.757511
221.59809,1.766094
222.10678,1.787554
222.61547,1.800429
223.12416,1.817597
223.63285,1.830472
224.14154,1.847639
224.65024,1.860515
225.15893,1.877682
225.66762,1.890558
226.17631,1.903433
226.68500,1.916309
227.19369,1.929185
227.70238,1.942060
228.21107,1.954936
228.71976,1.963519
229.22845,1.972103
229.73714,1.980687
230.24583,1.987124
230.75452,1.991416
231.26321,1.995708
231.77190,1.993562
232.28059,1.995708
232.78928,1.989270
233.29797,1.984979
233.80666,1.976395
234.31535,1.954936
234.82404,1.933476
235.33273,1.877682
235.84142,1.839056
236.35011,1.761803
236.85880,1.718884
237.36749,1.706009
237.87618,1.680258
238.38487,1.650215
238.89356,1.628755
239.40225,1.598712
239.91094,1.572961
240.41963,1.555794
240.92832,1.521459
241.43701,1.504292
241.94570,1.469957
242.45439,1.448498
242.96308,1.418455
243.47177,1.396996
243.98046,1.366953
244.48915,1.349785
244.99784,1.315451
245.50653,1.293991
246.01522,1.263948
246.52391,1.242489
247.03260,1.212446
247.54129,1.195279
248.04998,1.165236
248.55868,1.143777
249.06737,1.113734
249.57606,1.096567
250.08475,1.062232
250.59344,1.045064
251.10213,1.015021
251.61082,0.997854
252.11951,0.972103
252.62820,0.954936
253.13689,0.929185
253.64558,0.912017
254.15427,0.886266
254.66296,0.869099
255.17165,0.847639
255.68034,0.830472
256.18903,0.809013
256.69772,0.791845
257.20641,0.774678
257.71510,0.757511
258.22379,0.740343
258.73248,0.727468
259.24117,0.710300
259.74986,0.697425
260.25855,0.680258
260.76724,0.667382
261.27593,0.650215
261.78462,0.641631
262.29331,0.628755
262.80200,0.615880
263.31069,0.603004
263.81938,0.590129
264.32807,0.581545
264.83676,0.568670
265.34545,0.560086
265.85414,0.551502
266.36283,0.538627
266.87152,0.525751
267.38021,0.517167
267.88890,0.484979
268.39759,0.476395
268.90628,0.484979
269.41497,0.476395
269.92366,0.457082
270.43235,0.452790
270.94104,0.439914
271.44973,0.431330
271.95842,0.418455
272.46712,0.409871
272.97581,0.401288
273.48450,0.392704
273.99319,0.379828
274.50188,0.371245
275.01057,0.358369
275.51926,0.354077
276.02795,0.341202
276.53664,0.336910
277.04533,0.313305
277.55402,0.319742
278.06271,0.306867
278.57140,0.296137
279.08009,0.296137
279.58878,0.293991
280.09747,0.289700
280.60616,0.287554
281.11485,0.285408
281.62354,0.285408
282.13223,0.285408
282.64092,0.285408
283.14961,0.285408
283.65830,0.283262
284.16699,0.281116
284.67568,0.281116
285.18437,0.278970
285.69306,0.276824
286.20175,0.274678
286.71044,0.272532
287.21913,0.268240
287.72782,0.263948
288.23651,0.263948
288.74520,0.253219
289.25389,0.261803
289.76258,0.251073
290.27127,0.253219
290.77996,0.244635
291.28865,0.240343
291.79734,0.238197
292.30603,0.233906
292.81472,0.233906
293.32341,0.231760
293.83210,0.233906
294.34079,0.233906
294.84948,0.238197
295.35817,0.244635
295.86687,0.242489
296.37556,0.248927
296.88425,0.248927
297.39294,0.255365
297.90163,0.257511
298.41032,0.259657
298.91901,0.259657
299.42770,0.261803
299.93639,0.261803
300.44508,0.259657
300.95377,0.261803
301.46246,0.257511
301.97115,0.251073
302.47984,0.218884
302.98853,0.233906
303.49722,0.212446
304.00591,0.201717
304.51460,0.206009
305.02329,0.195279
305.53198,0.195279
306.04067,0.182403
306.54936,0.182403
307.05805,0.175966
307.56674,0.158798
308.07543,0.154506
308.58412,0.158798
309.09281,0.148069
309.60150,0.137339
310.11019,0.141631
310.61888,0.137339
311.12757,0.120172
311.63626,0.115880
312.14495,0.115880
312.65364,0.111588
313.16233,0.107296
313.67102,0.103004
314.17971,0.098712
314.68840,0.094421
315.19709,0.090129
315.70578,0.085837
316.21447,0.083691
316.72316,0.079399
317.23185,0.077253
317.74054,0.075107
318.24923,0.070815
318.75792,0.068670
319.26661,0.066524
319.77531,0.062232
320.28400,0.062232
320.79269,0.057940
321.30138,0.057940
321.81007,0.053648
322.31876,0.053648
322.82745,0.049356
323.33614,0.049356
323.84483,0.049356
324.35352,0.045064
324.86221,0.042918
325.37090,0.040773
