# paper: 10.1039%2FC3DT53505C
# figure: Figure 4  panel: Figure_4_2
# technique: uv_vis_absorption  material: methyl orange (MO) aqueous solution, 7.5 × 10−6 mol L−1
# series: methyl orange solution after 8 h controlled-potential electrolysis  (experimental)
# x: Wavelength (nm)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
231.48436,0.857649
231.96321,0.856232
232.44206,0.854108
232.92092,0.852691
233.39977,0.851983
233.87862,0.850567
234.35747,0.850567
234.83632,0.850567
235.31517,0.850567
235.79402,0.850567
236.27287,0.850567
236.75172,0.853399
237.23057,0.859065
237.70943,0.860482
238.18828,0.860482
238.66713,0.852691
239.14598,0.847025
239.62483,0.856232
240.10368,0.845609
240.58253,0.856232
241.06138,0.844193
241.54023,0.854816
242.01909,0.847025
242.49794,0.844193
242.97679,0.841360
243.45564,0.846317
243.93449,0.847734
244.41334,0.842776
244.89219,0.841360
245.37104,0.838527
245.84989,0.844193
246.32874,0.842776
246.80760,0.833569
247.28645,0.828612
247.76530,0.837819
248.24415,0.833569
248.72300,0.828612
249.20185,0.815156
249.68070,0.811615
250.15955,0.809490
250.63840,0.807365
251.11726,0.810198
251.59611,0.808782
252.07496,0.807365
252.55381,0.810907
253.03266,0.809490
253.51151,0.805949
253.99036,0.803116
254.46921,0.802408
254.94806,0.800992
255.42692,0.795326
255.90577,0.793909
256.38462,0.793909
256.86347,0.792493
257.34232,0.791076
257.82117,0.786827
258.30002,0.782578
258.77887,0.766997
259.25772,0.757082
259.73657,0.747167
260.21543,0.741501
260.69428,0.735836
261.17313,0.731586
261.65198,0.728754
262.13083,0.724504
262.60968,0.720255
263.08853,0.691218
263.56738,0.706091
264.04623,0.693343
264.52509,0.691218
265.00394,0.691926
265.48279,0.687677
265.96164,0.682011
266.44049,0.679178
266.91934,0.672096
267.39819,0.665014
267.87704,0.662181
268.35589,0.657932
268.83474,0.653683
269.31360,0.645184
269.79245,0.639518
270.27130,0.631020
270.75015,0.626771
271.22900,0.619688
271.70785,0.614023
272.18670,0.604108
272.66555,0.597025
273.14440,0.589943
273.62326,0.577195
274.10211,0.568697
274.58096,0.558782
275.05981,0.555949
275.53866,0.553116
276.01751,0.548867
276.49636,0.543201
276.97521,0.540368
277.45406,0.529037
277.93291,0.519122
278.41177,0.514873
278.89062,0.513456
279.36947,0.512748
279.84832,0.512040
280.32717,0.510623
280.80602,0.508499
281.28487,0.507082
281.76372,0.504958
282.24257,0.502125
282.72143,0.502125
283.20028,0.499292
283.67913,0.497875
284.15798,0.495042
284.63683,0.493626
285.11568,0.490793
285.59453,0.490793
286.07338,0.487960
286.55223,0.486544
287.03109,0.483711
287.50994,0.479462
287.98879,0.473796
288.46764,0.472380
288.94649,0.472380
289.42534,0.469547
289.90419,0.461048
290.38304,0.451133
290.86189,0.446884
291.34074,0.442635
