# paper: 10.1080%2F15533174.2013.862822
# figure: Figure 1  panel: Figure_1_0
# technique: photoluminescence  material: [Ba(5,5-dcbipy)(µ-H2O)2(H2O)2]n (1)
# series: [Ba(5,5-dcbipy)(µ-H2O)2(H2O)2]n  (experimental)
# x: Emission Wavelength(nm)   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
344.35286,0.284091
344.69346,0.288636
345.03406,0.288636
345.37466,0.293182
345.71526,0.313636
346.05586,0.313636
346.39646,0.318182
346.73706,0.327273
347.07766,0.336364
347.41826,0.340909
347.75886,0.347727
348.09946,0.356818
348.44005,0.365909
348.78065,0.372727
349.12125,0.379545
349.46185,0.386364
349.80245,0.395455
350.14305,0.404545
350.48365,0.413636
350.82425,0.420455
351.16485,0.431818
351.50545,0.438636
351.84605,0.443182
352.18665,0.452273
352.52725,0.461364
352.86785,0.468182
353.20845,0.477273
353.54905,0.486364
353.88965,0.493182
354.23025,0.500000
354.57084,0.509091
354.91144,0.518182
355.25204,0.525000
355.59264,0.531818
355.93324,0.538636
356.27384,0.543182
356.61444,0.556818
356.95504,0.561364
357.29564,0.565909
357.63624,0.575000
357.97684,0.581818
358.31744,0.588636
358.65804,0.595455
358.99864,0.600000
359.33924,0.606818
359.67984,0.611364
360.02044,0.618182
360.36104,0.625000
360.70163,0.634091
361.04223,0.638636
361.38283,0.643182
361.72343,0.647727
362.06403,0.654545
362.40463,0.663636
362.74523,0.665909
363.08583,0.668182
363.42643,0.677273
363.76703,0.681818
364.10763,0.686364
364.44823,0.693182
364.78883,0.695455
365.12943,0.700000
365.47003,0.706818
365.81063,0.711364
366.15123,0.713636
366.49183,0.718182
366.83243,0.720455
367.17302,0.725000
367.51362,0.731818
367.85422,0.734091
368.19482,0.738636
368.53542,0.740909
368.87602,0.743182
369.21662,0.747727
369.55722,0.752273
369.89782,0.754545
370.23842,0.756818
370.57902,0.759091
370.91962,0.761364
371.26022,0.765909
371.60082,0.768182
371.94142,0.770455
372.28202,0.775000
372.62262,0.777273
372.96322,0.777273
373.30381,0.779545
373.64441,0.781818
373.98501,0.784091
374.32561,0.786364
374.66621,0.786364
375.00681,0.788636
375.34741,0.790909
375.68801,0.790909
376.02861,0.793182
376.36921,0.793182
376.70981,0.793182
377.05041,0.795455
377.39101,0.795455
377.73161,0.795455
378.07221,0.795455
378.41281,0.797727
378.75341,0.797727
379.09401,0.797727
379.43460,0.800000
379.77520,0.800000
380.11580,0.800000
380.45640,0.800000
380.79700,0.800000
381.13760,0.800000
381.47820,0.800000
381.81880,0.800000
382.15940,0.800000
382.50000,0.800000
382.84060,0.800000
383.18120,0.800000
383.52180,0.797727
383.86240,0.797727
384.20300,0.797727
384.54360,0.797727
384.88420,0.797727
