# paper: 10.1006%2Fjssc.2002.9584
# figure: Figure 1  panel: Figure_1_1
# technique: pxrd  material: CPO-2-Cu, [Cu(ndc)(pyridine)]
# series: [Cu(ndc)(pyridine)] (CPO-2-Cu)  (experimental)
# x: 2-Theta, deg   y: arb. units, 0 = bottom axis, 1 = top of plot box
x,y
2.18854,0.506849
2.19109,0.505137
2.19365,0.505137
2.19621,0.166952
2.19876,0.166952
2.20132,0.166952
2.20388,0.168664
2.20643,0.170377
2.20899,0.170377
2.21155,0.172089
2.21410,0.173801
2.21666,0.173801
2.21922,0.166952
2.22177,0.166952
2.22433,0.166952
2.22689,0.170377
2.22944,0.170377
2.23200,0.184075
2.23455,0.199486
2.23711,0.201199
2.23967,0.202911
2.24222,0.202911
2.24478,0.185788
2.24734,0.206336
2.24989,0.206336
2.25245,0.206336
2.25501,0.175514
2.25756,0.175514
2.26012,0.184075
2.26268,0.194349
2.26523,0.196062
2.26779,0.220034
2.27034,0.220034
2.27290,0.220034
2.27546,0.170377
2.27801,0.156678
2.28057,0.148116
2.28313,0.144692
2.28568,0.129281
2.28824,0.129281
2.29080,0.129281
2.29335,0.144692
2.29591,0.154966
2.29847,0.156678
2.30102,0.156678
2.30358,0.156678
2.30614,0.144692
2.30869,0.144692
2.31125,0.158390
2.31380,0.160103
2.31636,0.158390
2.31892,0.158390
2.32147,0.160103
2.32403,0.160103
2.32659,0.208048
2.32914,0.221747
2.33170,0.223459
2.33426,0.221747
2.33681,0.177226
2.33937,0.295377
2.34193,0.295377
2.34448,0.295377
2.34704,0.278253
2.34960,0.165240
2.35215,0.165240
2.35471,0.165240
2.35726,0.165240
2.35982,0.204623
2.36238,0.204623
2.36493,0.204623
2.36749,0.172089
2.37005,0.172089
2.37260,0.165240
2.37516,0.189212
2.37772,0.240582
2.38027,0.240582
2.38283,0.240582
2.38539,0.226884
2.38794,0.226884
2.39050,0.148116
2.39305,0.146404
2.39561,0.170377
2.39817,0.170377
2.40072,0.214897
2.40328,0.223459
2.40584,0.223459
2.40839,0.221747
2.41095,0.192637
2.41351,0.184075
2.41606,0.184075
2.41862,0.173801
2.42118,0.160959
2.42373,0.160959
2.42629,0.160103
2.42885,0.160103
2.43140,0.156678
2.43396,0.156678
2.43651,0.160103
2.43907,0.173801
2.44163,0.175514
2.44418,0.173801
2.44674,0.172089
2.44930,0.172089
2.45185,0.166952
2.45441,0.161815
2.45697,0.161815
2.45952,0.168664
2.46208,0.170377
2.46464,0.182363
2.46719,0.182363
2.46975,0.180651
2.47230,0.187500
2.47486,0.187500
2.47742,0.189212
2.47997,0.190925
2.48253,0.190925
2.48509,0.185788
2.48764,0.177226
2.49020,0.197774
2.49276,0.197774
2.49531,0.197774
2.49787,0.187500
2.50043,0.187500
2.50298,0.178938
2.50554,0.184075
2.50810,0.184075
2.51065,0.184075
2.51321,0.182363
2.51576,0.180651
2.51832,0.182363
2.52088,0.182363
2.52343,0.180651
2.52599,0.173801
2.52855,0.180651
2.53110,0.180651
2.53366,0.178938
2.53622,0.177226
2.53877,0.177226
2.54133,0.173801
2.54389,0.160103
2.54644,0.161815
2.54900,0.175514
2.55156,0.175514
2.55411,0.173801
2.55667,0.170377
2.55922,0.156678
2.56178,0.173801
2.56434,0.178938
2.56689,0.187500
2.56945,0.187500
2.57201,0.187500
2.57456,0.187500
2.57712,0.187500
2.57968,0.175514
2.58223,0.175514
2.58479,0.184075
2.58735,0.184075
2.58990,0.184075
2.59246,0.182363
2.59501,0.180651
2.59757,0.178938
2.60013,0.172089
2.60268,0.156678
2.60524,0.196062
2.60780,0.199486
2.61035,0.199486
2.61291,0.199486
2.61547,0.180651
2.61802,0.178938
2.62058,0.173801
2.62314,0.160103
2.62569,0.158390
2.62825,0.163527
2.63081,0.170377
2.63336,0.172089
2.63592,0.172089
2.63847,0.170377
2.64103,0.177226
2.64359,0.177226
2.64614,0.177226
2.64870,0.180651
2.65126,0.180651
2.65381,0.180651
2.65637,0.182363
2.65893,0.182363
2.66148,0.180651
2.66404,0.180651
2.66660,0.180651
2.66915,0.216610
2.67171,0.232021
2.67426,0.232021
2.67682,0.230308
2.67938,0.175514
2.68193,0.175514
2.68449,0.175514
2.68705,0.175514
2.68960,0.180651
2.69216,0.180651
2.69472,0.178938
2.69727,0.168664
2.69983,0.161815
2.70239,0.160103
2.70494,0.160959
2.70750,0.165240
2.71006,0.196062
2.71261,0.209760
2.71517,0.211473
2.71772,0.211473
2.72028,0.209760
2.72284,0.180651
2.72539,0.180651
2.72795,0.187500
2.73051,0.187500
2.73306,0.187500
2.73562,0.185788
2.73818,0.166952
2.74073,0.163527
2.74329,0.163527
2.74585,0.163527
2.74840,0.163527
2.75096,0.161815
2.75351,0.165240
2.75607,0.165240
2.75863,0.163527
2.76118,0.160959
2.76374,0.160959
2.76630,0.160959
2.76885,0.154966
2.77141,0.163527
2.77397,0.163527
2.77652,0.165240
2.77908,0.184075
2.78164,0.184075
2.78419,0.194349
2.78675,0.197774
2.78931,0.197774
2.79186,0.197774
2.79442,0.184075
2.79697,0.184075
2.79953,0.184075
2.80209,0.182363
2.80464,0.173801
2.80720,0.168664
2.80976,0.170377
2.81231,0.172089
2.81487,0.172089
2.81743,0.175514
2.81998,0.175514
2.82254,0.173801
2.82510,0.168664
2.82765,0.170377
2.83021,0.170377
2.83277,0.168664
2.83532,0.160103
2.83788,0.166952
2.84043,0.166952
2.84299,0.166952
2.84555,0.170377
2.84810,0.184075
2.85066,0.184075
2.85322,0.185788
2.85577,0.185788
2.85833,0.185788
2.86089,0.184075
2.86344,0.182363
2.86600,0.172089
2.86856,0.172089
2.87111,0.170377
2.87367,0.163527
2.87622,0.163527
2.87878,0.165240
2.88134,0.165240
2.88389,0.165240
2.88645,0.180651
2.88901,0.184075
2.89156,0.184075
2.89412,0.184075
2.89668,0.182363
2.89923,0.170377
2.90179,0.172089
2.90435,0.173801
2.90690,0.173801
2.90946,0.184075
2.91202,0.184075
2.91457,0.184075
2.91713,0.178938
2.91968,0.172089
2.92224,0.163527
2.92480,0.163527
2.92735,0.182363
2.92991,0.182363
2.93247,0.180651
2.93502,0.170377
2.93758,0.172089
2.94014,0.173801
2.94269,0.173801
2.94525,0.172089
2.94781,0.180651
2.95036,0.180651
2.95292,0.189212
2.95547,0.190925
2.95803,0.190925
2.96059,0.194349
2.96314,0.194349
2.96570,0.192637
2.96826,0.185788
2.97081,0.182363
2.97337,0.182363
2.97593,0.182363
2.97848,0.182363
2.98104,0.180651
2.98360,0.175514
2.98615,0.175514
2.98871,0.187500
2.99127,0.187500
2.99382,0.185788
2.99638,0.178938
2.99893,0.168664
3.00149,0.197774
3.00405,0.225171
3.00660,0.225171
3.00916,0.225171
3.01172,0.223459
3.01427,0.156678
3.01683,0.165240
3.01939,0.165240
3.02194,0.165240
3.02450,0.166952
3.02706,0.166952
3.02961,0.194349
3.03217,0.194349
3.03473,0.194349
3.03728,0.192637
3.03984,0.170377
3.04239,0.168664
3.04495,0.180651
3.04751,0.184075
3.05006,0.184075
3.05262,0.184075
3.05518,0.182363
3.05773,0.180651
3.06029,0.177226
3.06285,0.177226
3.06540,0.177226
3.06796,0.172089
3.07052,0.172089
3.07307,0.170377
3.07563,0.168664
3.07818,0.165240
3.08074,0.151541
3.08330,0.151541
3.08585,0.154966
3.08841,0.156678
3.09097,0.156678
3.09352,0.156678
3.09608,0.166952
3.09864,0.166952
3.10119,0.166952
3.10375,0.172089
3.10631,0.173801
3.10886,0.180651
3.11142,0.182363
3.11398,0.180651
3.11653,0.170377
3.11909,0.170377
3.12164,0.184075
3.12420,0.184075
3.12676,0.184075
3.12931,0.180651
3.13187,0.177226
3.13443,0.175514
3.13698,0.184075
3.13954,0.184075
3.14210,0.185788
3.14465,0.185788
3.14721,0.185788
3.14977,0.180651
3.15232,0.178938
3.15488,0.178938
3.15743,0.192637
3.15999,0.194349
3.16255,0.194349
3.16510,0.192637
3.16766,0.182363
3.17022,0.177226
3.17277,0.175514
3.17533,0.173801
3.17789,0.173801
3.18044,0.172089
3.18300,0.172089
3.18556,0.163527
3.18811,0.163527
3.19067,0.163527
3.19323,0.163527
3.19578,0.163527
3.19834,0.185788
3.20089,0.185788
3.20345,0.185788
3.20601,0.166952
3.20856,0.166952
3.21112,0.156678
3.21368,0.178938
3.21623,0.180651
3.21879,0.180651
3.22135,0.178938
3.22390,0.175514
3.22646,0.180651
3.22902,0.184075
3.23157,0.184075
3.23413,0.184075
3.23669,0.177226
3.23924,0.177226
3.24180,0.177226
3.24435,0.177226
3.24691,0.185788
3.24947,0.185788
3.25202,0.185788
3.25458,0.185788
3.25714,0.182363
3.25969,0.194349
3.26225,0.196062
3.26481,0.194349
3.26736,0.192637
3.26992,0.173801
3.27248,0.173801
3.27503,0.172089
3.27759,0.165240
3.28014,0.163527
3.28270,0.163527
3.28526,0.163527
3.28781,0.149829
3.29037,0.180651
3.29293,0.182363
3.29548,0.180651
3.29804,0.172089
3.30060,0.170377
3.30315,0.170377
3.30571,0.168664
3.30827,0.158390
3.31082,0.156678
3.31338,0.156678
3.31594,0.158390
3.31849,0.173801
3.32105,0.175514
3.32360,0.175514
3.32616,0.173801
3.32872,0.172089
3.33127,0.170377
3.33383,0.172089
3.33639,0.178938
3.33894,0.180651
3.34150,0.180651
3.34406,0.178938
3.34661,0.172089
3.34917,0.172089
3.35173,0.172089
3.35428,0.170377
3.35684,0.170377
3.35939,0.172089
3.36195,0.170377
3.36451,0.197774
3.36706,0.197774
3.36962,0.197774
3.37218,0.166952
3.37473,0.166952
3.37729,0.156678
3.37985,0.158390
3.38240,0.163527
3.38496,0.165240
3.38752,0.165240
3.39007,0.158390
3.39263,0.163527
3.39519,0.178938
3.39774,0.199486
3.40030,0.199486
3.40285,0.199486
3.40541,0.199486
3.40797,0.173801
3.41052,0.154966
3.41308,0.156678
3.41564,0.158390
3.41819,0.172089
3.42075,0.180651
3.42331,0.182363
3.42586,0.182363
3.42842,0.180651
3.43098,0.177226
3.43353,0.177226
3.43609,0.177226
3.43865,0.156678
3.44120,0.160103
3.44376,0.165240
3.44631,0.165240
3.44887,0.170377
3.45143,0.172089
3.45398,0.170377
3.45654,0.170377
3.45910,0.168664
3.46165,0.172089
3.46421,0.173801
3.46677,0.172089
3.46932,0.163527
3.47188,0.178938
3.47444,0.180651
3.47699,0.178938
3.47955,0.165240
3.48210,0.165240
3.48466,0.168664
3.48722,0.170377
3.48977,0.187500
3.49233,0.187500
3.49489,0.187500
3.49744,0.185788
3.50000,0.172089
3.50256,0.170377
3.50511,0.178938
3.50767,0.180651
3.51023,0.182363
3.51278,0.180651
3.51534,0.180651
3.51790,0.173801
3.52045,0.172089
3.52301,0.177226
3.52556,0.177226
3.52812,0.177226
3.53068,0.172089
3.53323,0.173801
3.53579,0.173801
3.53835,0.173801
3.54090,0.172089
3.54346,0.165240
3.54602,0.166952
3.54857,0.166952
3.55113,0.178938
3.55369,0.180651
3.55624,0.178938
3.55880,0.166952
3.56135,0.175514
3.56391,0.177226
3.56647,0.177226
3.56902,0.177226
3.57158,0.170377
3.57414,0.168664
3.57669,0.166952
3.57925,0.161815
3.58181,0.160103
3.58436,0.158390
3.58692,0.165240
3.58948,0.165240
3.59203,0.165240
3.59459,0.156678
3.59715,0.154966
3.59970,0.151541
3.60226,0.160103
3.60481,0.161815
3.60737,0.165240
3.60993,0.166952
3.61248,0.166952
3.61504,0.178938
3.61760,0.180651
3.62015,0.180651
3.62271,0.165240
3.62527,0.165240
3.62782,0.165240
3.63038,0.168664
3.63294,0.170377
3.63549,0.168664
3.63805,0.165240
3.64061,0.160103
3.64316,0.163527
3.64572,0.163527
3.64827,0.163527
3.65083,0.170377
3.65339,0.172089
3.65594,0.170377
3.65850,0.166952
3.66106,0.165240
3.66361,0.163527
3.66617,0.163527
3.66873,0.163527
3.67128,0.165240
3.67384,0.165240
3.67640,0.177226
3.67895,0.177226
3.68151,0.177226
3.68406,0.166952
3.68662,0.163527
3.68918,0.156678
3.69173,0.170377
3.69429,0.172089
3.69685,0.172089
3.69940,0.180651
3.70196,0.182363
3.70452,0.184075
3.70707,0.194349
3.70963,0.196062
3.71219,0.194349
3.71474,0.185788
3.71730,0.187500
3.71986,0.187500
3.72241,0.185788
3.72497,0.185788
3.72752,0.185788
3.73008,0.185788
3.73264,0.184075
3.73519,0.184075
3.73775,0.175514
3.74031,0.160103
3.74286,0.158390
3.74542,0.156678
3.74798,0.161815
3.75053,0.163527
3.75309,0.165240
3.75565,0.165240
3.75820,0.161815
3.76076,0.163527
3.76331,0.163527
3.76587,0.165240
3.76843,0.165240
3.77098,0.166952
3.77354,0.166952
3.77610,0.168664
3.77865,0.172089
3.78121,0.173801
3.78377,0.173801
3.78632,0.166952
3.78888,0.165240
3.79144,0.173801
3.79399,0.175514
3.79655,0.175514
3.79911,0.175514
3.80166,0.185788
3.80422,0.187500
3.80677,0.187500
3.80933,0.187500
3.81189,0.165240
3.81444,0.156678
3.81700,0.154966
3.81956,0.149829
3.82211,0.165240
3.82467,0.165240
3.82723,0.165240
3.82978,0.160103
3.83234,0.160103
3.83490,0.158390
3.83745,0.156678
3.84001,0.160103
3.84257,0.161815
3.84512,0.161815
3.84768,0.165240
3.85023,0.166952
3.85279,0.168664
3.85535,0.173801
3.85790,0.180651
3.86046,0.182363
3.86302,0.182363
3.86557,0.166952
3.86813,0.165240
3.87069,0.165240
3.87324,0.165240
3.87580,0.158390
3.87836,0.158390
3.88091,0.160103
3.88347,0.170377
3.88602,0.172089
3.88858,0.172089
3.89114,0.172089
3.89369,0.172089
3.89625,0.172089
3.89881,0.172089
3.90136,0.165240
3.90392,0.168664
3.90648,0.170377
3.90903,0.170377
3.91159,0.168664
3.91415,0.163527
3.91670,0.165240
3.91926,0.165240
3.92182,0.165240
3.92437,0.165240
3.92693,0.161815
3.92948,0.158390
3.93204,0.160103
3.93460,0.160103
3.93715,0.158390
3.93971,0.158390
3.94227,0.158390
3.94482,0.158390
3.94738,0.158390
3.94994,0.158390
3.95249,0.160103
3.95505,0.160103
3.95761,0.170377
3.96016,0.170377
3.96272,0.166952
3.96527,0.168664
3.96783,0.170377
3.97039,0.172089
3.97294,0.172089
3.97550,0.170377
3.97806,0.165240
3.98061,0.178938
3.98317,0.180651
3.98573,0.180651
3.98828,0.168664
3.99084,0.166952
3.99340,0.172089
3.99595,0.173801
3.99851,0.172089
4.00107,0.163527
4.00362,0.163527
4.00618,0.165240
4.00873,0.165240
4.01129,0.172089
4.01385,0.172089
4.01640,0.160103
4.01896,0.161815
4.02152,0.161815
4.02407,0.160103
4.02663,0.158390
4.02919,0.158390
4.03174,0.166952
4.03430,0.166952
4.03686,0.166952
4.03941,0.163527
4.04197,0.163527
4.04453,0.173801
4.04708,0.173801
4.04964,0.172089
4.05219,0.170377
4.05475,0.163527
4.05731,0.163527
4.05986,0.168664
4.06242,0.170377
4.06498,0.168664
4.06753,0.163527
4.07009,0.163527
4.07265,0.161815
4.07520,0.160103
4.07776,0.173801
4.08032,0.177226
4.08287,0.177226
4.08543,0.177226
4.08798,0.172089
4.09054,0.170377
4.09310,0.173801
4.09565,0.175514
4.09821,0.173801
4.10077,0.170377
4.10332,0.170377
4.10588,0.165240
4.10844,0.166952
4.11099,0.166952
4.11355,0.170377
4.11611,0.172089
4.11866,0.170377
4.12122,0.163527
4.12378,0.163527
4.12633,0.160103
4.12889,0.158390
4.13144,0.160103
4.13400,0.172089
4.13656,0.175514
4.13911,0.175514
4.14167,0.173801
4.14423,0.166952
4.14678,0.166952
4.14934,0.165240
4.15190,0.165240
4.15445,0.172089
4.15701,0.173801
4.15957,0.175514
4.16212,0.175514
4.16468,0.170377
4.16723,0.165240
4.16979,0.166952
4.17235,0.166952
4.17490,0.166952
4.17746,0.163527
4.18002,0.163527
4.18257,0.163527
4.18513,0.160103
4.18769,0.156678
4.19024,0.148116
4.19280,0.149829
4.19536,0.149829
4.19791,0.160103
4.20047,0.163527
4.20303,0.165240
4.20558,0.166952
4.20814,0.175514
4.21069,0.175514
4.21325,0.173801
4.21581,0.166952
4.21836,0.166952
4.22092,0.166952
4.22348,0.166952
4.22603,0.166952
4.22859,0.165240
4.23115,0.165240
4.23370,0.166952
4.23626,0.166952
4.23882,0.165240
4.24137,0.165240
4.24393,0.165240
4.24649,0.165240
4.24904,0.170377
4.25160,0.170377
4.25415,0.170377
4.25671,0.179795
4.25927,0.172089
4.26182,0.177226
4.26438,0.177226
4.26694,0.177226
4.26949,0.160103
4.27205,0.160103
4.27461,0.173801
4.27716,0.175514
4.27972,0.175514
4.28228,0.170377
4.28483,0.160103
4.28739,0.163527
4.28994,0.163527
4.29250,0.163527
4.29506,0.166952
4.29761,0.172089
4.30017,0.173801
4.30273,0.172089
4.30528,0.166952
4.30784,0.158390
4.31040,0.160103
4.31295,0.160103
4.31551,0.158390
4.31807,0.165240
4.32062,0.168664
4.32318,0.170377
4.32574,0.168664
4.32829,0.165240
4.33085,0.163527
4.33340,0.163527
4.33596,0.163527
4.33852,0.168664
4.34107,0.170377
4.34363,0.170377
4.34619,0.175514
4.34874,0.175514
4.35130,0.173801
4.35386,0.168664
4.35641,0.170377
4.35897,0.170377
4.36153,0.173801
4.36408,0.173801
4.36664,0.173801
4.36919,0.172089
4.37175,0.172089
4.37431,0.172089
4.37686,0.160103
4.37942,0.170377
4.38198,0.170377
4.38453,0.170377
4.38709,0.170377
4.38965,0.170377
4.39220,0.161815
4.39476,0.173801
4.39732,0.173801
4.39987,0.172089
4.40243,0.165240
4.40499,0.165240
4.40754,0.166952
4.41010,0.170377
4.41265,0.187500
4.41521,0.187500
4.41777,0.187500
4.42032,0.182363
4.42288,0.187500
4.42544,0.187500
4.42799,0.182363
4.43055,0.180651
4.43311,0.158390
4.43566,0.161815
4.43822,0.161815
4.44078,0.173801
4.44333,0.173801
4.44589,0.178938
4.44844,0.180651
4.45100,0.178938
4.45356,0.172089
4.45611,0.166952
4.45867,0.173801
4.46123,0.173801
4.46378,0.175514
4.46634,0.173801
4.46890,0.166952
4.47145,0.197774
4.47401,0.197774
4.47657,0.196062
4.47912,0.166952
4.48168,0.166952
4.48424,0.163527
4.48679,0.173801
4.48935,0.211473
4.49190,0.211473
4.49446,0.199486
4.49702,0.199486
4.49957,0.199486
4.50213,0.170377
4.50469,0.168664
4.50724,0.385274
4.50980,0.386986
4.51236,0.388699
