# paper: 10.1039%2FC3CE41975D
# figure: Figure 11  panel: Figure_11_0
# technique: magnetic_susceptibility  material: [NiSr2(pydc)3(H2O)8]n·2nH2O (6)
# series: [NiSr2(pydc)3(H2O)8]n·2nH2O (6)  (experimental)
# x: T/K   y: data units from y ticks
x,y
-2.67199,0.060714
-2.36486,0.060714
-2.05774,0.035299
-1.75061,0.035299
-1.44349,0.034801
-1.13636,0.034801
-0.82924,0.035050
-0.52211,0.035050
-0.21499,0.060465
0.09214,0.010880
0.39926,0.010880
0.70639,0.010880
1.01351,0.035299
1.32064,0.035299
1.62776,0.128987
1.93489,0.128987
5.92752,0.193522
6.23464,0.194020
6.54177,0.194020
6.84889,0.194518
7.15602,0.202990
7.46314,0.218688
7.77027,0.225914
8.07740,0.226412
8.38452,0.234884
8.69165,0.234884
8.99877,0.235133
9.30590,0.235631
9.61302,0.241860
9.92015,0.241860
10.22727,0.249585
10.53440,0.250332
10.84152,0.252326
11.14865,0.253571
11.45577,0.254070
11.76290,0.263040
12.07002,0.266777
12.37715,0.266777
12.68428,0.267525
12.99140,0.268272
13.29853,0.270017
13.60565,0.270017
13.91278,0.272757
14.21990,0.273256
14.52703,0.277990
14.83415,0.278987
15.14128,0.279485
15.44840,0.279485
15.75553,0.281478
16.06265,0.281977
16.36978,0.282973
16.67690,0.282973
16.98403,0.284967
17.29115,0.285714
17.59828,0.285714
17.90541,0.285714
18.21253,0.286462
18.51966,0.286462
18.82678,0.287458
19.13391,0.287458
19.44103,0.288455
19.74816,0.288455
20.05528,0.288953
20.36241,0.288953
20.66953,0.289203
20.97666,0.289203
21.28378,0.288455
21.59091,0.288455
21.89803,0.288455
22.20516,0.288455
22.51229,0.282724
22.81941,0.282226
23.12654,0.281478
23.43366,0.281478
23.74079,0.280980
24.04791,0.280980
24.35504,0.279983
24.66216,0.279983
24.96929,0.278488
25.27641,0.278488
25.58354,0.277492
25.89066,0.277492
26.19779,0.273007
26.50491,0.272508
26.81204,0.272508
27.11916,0.272508
27.42629,0.272259
27.73342,0.272259
28.04054,0.272010
28.34767,0.272010
28.65479,0.269767
28.96192,0.269020
29.26904,0.268522
29.57617,0.268522
29.88329,0.268023
30.19042,0.268023
30.49754,0.268023
30.80467,0.268023
31.11179,0.267525
31.41892,0.267525
31.72604,0.267027
32.03317,0.267027
32.34029,0.267027
32.64742,0.267027
32.95455,0.266777
33.26167,0.267027
33.56880,0.266279
