# paper: 10.1039%2FC3CE41975D
# figure: Figure 11  panel: Figure_11_0
# technique: magnetic_susceptibility  material: [NiSr2(pydc)3(H2O)8]n·2nH2O (6)
# series: [NiSr2(pydc)3(H2O)8]n·2nH2O (6)  (calculated)
# x: T/K   y: data units from y ticks
# read by: pixels
x,y
-2.67199,0.011379
-2.54914,0.035000
-2.36486,0.011379
-2.05774,0.009884
-2.05774,0.012874
-1.44349,0.133472
-1.39961,0.124075
-1.27597,0.105905
-1.13636,0.133472
-0.82924,0.133472
-0.67568,0.162874
-0.66172,0.008230
-0.56050,0.143625
-0.09214,0.038488
-0.08702,0.172924
0.56679,0.064361
0.64496,0.147126
0.66800,0.186483
0.81807,0.056931
1.01351,0.212209
1.01351,0.210465
1.01351,0.236628
1.01351,0.023339
1.28225,0.006084
1.32064,0.023339
1.62776,0.051993
1.62776,0.043522
1.62776,0.218189
1.75061,0.016561
1.78133,0.047757
1.93489,0.184053
1.93489,0.051993
1.93489,0.218439
1.93489,0.043522
2.12439,0.349237
2.24201,0.219186
2.24201,0.052492
2.24201,0.042774
2.24201,0.246844
2.53107,0.071644
2.54914,0.052492
2.54914,0.042774
2.85627,0.048256
2.85627,0.041777
3.15202,0.023330
3.16339,0.048256
3.16339,0.042027
3.16339,0.113289
3.16339,0.168605
3.47052,0.067940
3.47052,0.053488
3.62408,0.155150
3.77764,0.067940
3.77764,0.053488
4.04933,0.258421
4.08477,0.053738
4.08477,0.067691
4.23833,0.003904
4.39189,0.053738
4.39189,0.067691
4.43577,0.042454
4.54545,0.027575
4.69902,0.067691
4.69902,0.053738
5.00614,0.053738
5.00614,0.067691
5.15088,0.111089
5.15971,0.100581
5.24502,0.117497
5.31327,0.060714
5.31327,0.260299
5.46683,0.030814
5.46683,0.033804
5.51802,0.008970
5.62039,0.060714
6.23464,0.263787
6.54177,0.263787
6.84889,0.267027
7.15602,0.263787
7.46314,0.264286
7.77027,0.273505
7.77027,0.265033
7.77027,0.191528
7.77027,0.106063
8.07740,0.192027
8.38452,0.197259
8.69165,0.186047
8.69165,0.196262
8.99877,0.097841
8.99877,0.203239
9.30590,0.203738
9.30590,0.175581
9.30590,0.179568
9.61302,0.214701
9.92015,0.161628
9.92015,0.214203
10.22727,0.226910
10.53440,0.150664
10.53440,0.226661
10.84152,0.085631
10.84152,0.233389
11.00690,0.269192
11.11252,0.237844
11.14865,0.140449
11.14865,0.233638
11.76290,0.132226
12.37715,0.123256
12.54095,0.245548
12.68428,0.073920
12.99140,0.120017
13.22174,0.289452
13.60565,0.109801
13.91278,0.252076
14.18151,0.291757
14.21990,0.252575
14.52703,0.261296
14.83415,0.099834
14.83415,0.261296
15.75553,0.268272
16.06265,0.093355
16.06265,0.268522
17.71345,0.275810
17.90541,0.082890
18.51966,0.080399
19.74816,0.074668
